k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0512020327150822, -0.3284987807273865, 0.1747747957706451, 0.4842114746570587, 0.3365215063095093, 0.2501654624938965, 0.1724041551351547, 0.245895192027092, -0.0109115429222584, 0.1118864566087723, 0.0263772290199995, -0.1730238348245621, 0.059964794665575, 0.1842759251594543, -0.1574073135852814, -0.1547022312879562, -0.2951728701591492, 0.0426227189600468, -0.3072008490562439, -0.0202190857380629, 0.2125610560178757, -0.0013137486530468]| 14.1178884506225586|      2.00000000|[61, 4, 0, 1]                                                              | | GPS sucess | actual_k=4
      12|[-12.62677189335227, -0.1326838433742523, 4.9262823686003685, 12.186507858335972, -1.5215452015399933, 0.7623259900137782, -4.113797411322594, 8.854356287047267, -8.933501709252596, 3.520187422633171, 1.8833861630409956, -0.364238552749157, -2.5264174565672874, 2.2846599221229553, 0.194914523512125, -14.646960601210594, 6.2607252495363355, -8.527247305959463, -1.6382495891302824, -5.683063002303243, -0.2378527969121933, 0.8622264239238575]| 12.1100168228149414|     16.00000000|[721, 48, 0, 12]                                                           |  | used linear model with 65 points | actual_k=4
      13|[-12.497454892843962, -4.984210103750229, 9.713071785867214, 11.494292713701725, -1.794550895690918, -6.047007334418595, -3.1405460089445114, 14.83475541882217, -5.37967561557889, 6.571166083216667, 1.0245456378906965, -0.1601181104779243, -4.917947731912136, 6.5722580552101135, -2.016198929399252, -15.953666791319847, 10.879326571710408, -3.502760287374258, -1.8509178292006254, -1.0090231616050005, -2.230092391371727, 0.6504759314702824]| 12.1093750000000000|     32.00000000|[781, 52, 0, 13]                                                           | | GPS sucess | actual_k=4
      14|[-12.497454892843962, -4.984210103750229, 9.713071785867214, 11.494292713701725, -1.794550895690918, -6.047007334418595, -3.1405460089445114, 14.83475541882217, -5.37967561557889, 6.571166083216667, 1.0245456378906965, -0.1601181104779243, -4.917947731912136, 6.5722580552101135, -2.016198929399252, -15.953666791319847, 10.879326571710408, -3.502760287374258, -1.8509178292006254, -1.0090231616050005, -2.230092391371727, 0.6504759314702824]| 12.1093750000000000|     16.00000000|[841, 56, 0, 14]                                                           |  | used linear model with 65 points | actual_k=4
      15|[-15.398889314383268, -2.238147586584091, 10.833692751824856, 13.632026173174381, -5.815338134765625, -9.644058716483414, -5.175332948565483, 14.053948340937495, -2.367846477776766, 7.243562266230583, -5.229492696002126, -3.536903388798237, -7.024833165109158, 3.08379465341568, 0.5139643587172031, -21.15434943139553, 11.389945496805012, -5.522587414830923, 1.7265195716172457, 0.9777857344597578, -8.673218116164207, 5.910120439832099]| 12.1061267852783203|     32.00000000|[901, 60, 0, 15]                                                           | | GPS sucess | actual_k=4
      16|[-20.42295290157199, -5.303117364645004, 13.1943723782897, 17.132282711565495, -0.8038163185119629, -3.044341099448502, -11.834690496325493, 7.8943209033459425, -7.453949440270662, 3.442383334040642, 1.5441960971802473, -4.286622829735279, 0.2790117636322975, -9.512991845607758, 4.590703669935465, -22.110274955630302, 16.860360612161458, -15.971262570470572, -8.859266294166446, 0.5554043930023909, -18.184640273451805, 18.65589280158747]| 12.0890741348266602|     64.00000000|[961, 64, 0, 16]                                                           | | GPS sucess | actual_k=4
      17|[-20.42295290157199, -5.303117364645004, 13.1943723782897, 17.132282711565495, -0.8038163185119629, -3.044341099448502, -11.834690496325493, 7.8943209033459425, -7.453949440270662, 3.442383334040642, 1.5441960971802473, -4.286622829735279, 0.2790117636322975, -9.512991845607758, 4.590703669935465, -22.110274955630302, 16.860360612161458, -15.971262570470572, -8.859266294166446, 0.5554043930023909, -18.184640273451805, 18.65589280158747]| 12.0890741348266602|     32.00000000|[1021, 68, 0, 17]                                                          |  | used linear model with 65 points | actual_k=4
      18|[-28.67274023219943, -5.485033258795738, 16.64118906110525, 22.93052289634943, 3.0705549716949463, -20.431883824057877, -15.929886743426323, 10.01315945200622, -20.333945740014315, 1.814959093928337, 5.853402582928538, -8.023188419640064, 1.3304859772324562, -9.934502929449081, 2.9011948741972446, -22.19619309157133, 7.05018471647054, -7.609496708959341, -13.83018590323627, -10.08077266998589, -25.995789870619774, 19.912936282460578]| 12.0749979019165039|     64.00000000|[1081, 72, 0, 18]                                                          | | GPS sucess | actual_k=4
      19|[-28.67274023219943, -5.485033258795738, 16.64118906110525, 22.93052289634943, 3.0705549716949463, -20.431883824057877, -15.929886743426323, 10.01315945200622, -20.333945740014315, 1.814959093928337, 5.853402582928538, -8.023188419640064, 1.3304859772324562, -9.934502929449081, 2.9011948741972446, -22.19619309157133, 7.05018471647054, -7.609496708959341, -13.83018590323627, -10.08077266998589, -25.995789870619774, 19.912936282460578]| 12.0749979019165039|     32.00000000|[1141, 76, 0, 19]                                                          |  | used linear model with 65 points | actual_k=4
      20|[-28.67274023219943, -5.485033258795738, 16.64118906110525, 22.93052289634943, 3.0705549716949463, -20.431883824057877, -15.929886743426323, 10.01315945200622, -20.333945740014315, 1.814959093928337, 5.853402582928538, -8.023188419640064, 1.3304859772324562, -9.934502929449081, 2.9011948741972446, -22.19619309157133, 7.05018471647054, -7.609496708959341, -13.83018590323627, -10.08077266998589, -25.995789870619774, 19.912936282460578]| 12.0749979019165039|     16.00000000|[1201, 80, 0, 20]                                                          |  | used linear model with 65 points | actual_k=4
      21|[-28.67274023219943, -5.485033258795738, 16.64118906110525, 22.93052289634943, 3.0705549716949463, -20.431883824057877, -15.929886743426323, 10.01315945200622, -20.333945740014315, 1.814959093928337, 5.853402582928538, -8.023188419640064, 1.3304859772324562, -9.934502929449081, 2.9011948741972446, -22.19619309157133, 7.05018471647054, -7.609496708959341, -13.83018590323627, -10.08077266998589, -25.995789870619774, 19.912936282460578]| 12.0749979019165039|      8.00000000|[1261, 84, 0, 21]                                                          |  | used linear model with 65 points | actual_k=4
      22|[-27.647820722311735, -7.579255327582359, 19.15500947088003, 22.087020553648472, 3.615254580974579, -18.40615559834987, -13.997509524226189, 10.65679389052093, -22.520482052117586, 4.079130932688713, 6.218517092987895, -10.225514240562916, 2.264364220201969, -13.049178451299667, 1.752372208982706, -20.739399306476116, 6.951605808921158, -8.554617878049612, -14.252428157255054, -13.513761790469289, -25.96134626120329, 18.812861275975592]| 12.0686149597167969|     16.00000000|[1321, 88, 0, 22]                                                          | | GPS sucess | actual_k=4
      23|[-28.054046969860792, -6.427000388503075, 20.39075144380331, 21.976063452661037, 3.454625129699707, -15.060758841224015, -19.396389529109, 17.39772349409759, -18.2772607691586, 4.512130096554756, 0.5390298645943403, -9.013265557587147, -3.4166488870978355, -14.74302789568901, 0.2991172708570957, -16.76157557219267, 8.238350641913712, -7.115381952375174, -19.339870555326343, -17.80978706665337, -27.072682730853558, 15.225980592076667]| 12.0673999786376953|     32.00000000|[1381, 92, 0, 23]                                                          | | GPS sucess | actual_k=4
      24|[-28.054046969860792, -6.427000388503075, 20.39075144380331, 21.976063452661037, 3.454625129699707, -15.060758841224015, -19.396389529109, 17.39772349409759, -18.2772607691586, 4.512130096554756, 0.5390298645943403, -9.013265557587147, -3.4166488870978355, -14.74302789568901, 0.2991172708570957, -16.76157557219267, 8.238350641913712, -7.115381952375174, -19.339870555326343, -17.80978706665337, -27.072682730853558, 15.225980592076667]| 12.0673999786376953|     16.00000000|[1441, 96, 0, 24]                                                          |  | used linear model with 65 points | actual_k=4
      25|[-28.187906604260206, -6.278132185339928, 19.10596963018179, 22.39743532985449, 2.761191964149475, -12.782639754004776, -16.25163798034191, 18.13335424475372, -17.829125363379717, -2.0015293806791306, -0.4896115977317095, -12.586202092468739, -7.089529059827328, -17.384299725294113, 9.942131225019693, -19.89348780363798, 7.468920660205185, -3.187630172818899, -16.015359742566943, -13.728824885562062, -23.669058434665203, 16.959318590466864]| 12.0670299530029297|     32.00000000|[1501, 100, 0, 25]                                                         | | GPS sucess | actual_k=4
      26|[-28.187906604260206, -6.278132185339928, 19.10596963018179, 22.39743532985449, 2.761191964149475, -12.782639754004776, -16.25163798034191, 18.13335424475372, -17.829125363379717, -2.0015293806791306, -0.4896115977317095, -12.586202092468739, -7.089529059827328, -17.384299725294113, 9.942131225019693, -19.89348780363798, 7.468920660205185, -3.187630172818899, -16.015359742566943, -13.728824885562062, -23.669058434665203, 16.959318590466864]| 12.0670299530029297|     16.00000000|[1561, 104, 0, 26]                                                         |  | used linear model with 65 points | actual_k=4
      27|[-28.187906604260206, -6.278132185339928, 19.10596963018179, 22.39743532985449, 2.761191964149475, -12.782639754004776, -16.25163798034191, 18.13335424475372, -17.829125363379717, -2.0015293806791306, -0.4896115977317095, -12.586202092468739, -7.089529059827328, -17.384299725294113, 9.942131225019693, -19.89348780363798, 7.468920660205185, -3.187630172818899, -16.015359742566943, -13.728824885562062, -23.669058434665203, 16.959318590466864]| 12.0670299530029297|      8.00000000|[1621, 108, 0, 27]                                                         |  | used linear model with 65 points | actual_k=4
      28|[-28.57194958254695, -6.933759853243828, 17.820069156587124, 22.939797781407833, -0.9028574228286743, -14.21270860452205, -14.463120147585869, 17.696858702227473, -16.206749636679888, -0.8831570595502853, 2.5957644265145063, -11.751175113022327, -6.930453382432461, -16.276001662015915, 6.903448525816202, -22.24620544165373, 7.5723420130088925, -4.752507206052542, -16.49653829447925, -11.723261388018727, -23.211961440742016, 14.59905834228266]| 12.0653772354125977|     16.00000000|[1681, 112, 0, 28]                                                         | | GPS sucess | actual_k=4
      29|[-28.57194958254695, -6.933759853243828, 17.820069156587124, 22.939797781407833, -0.9028574228286743, -14.21270860452205, -14.463120147585869, 17.696858702227473, -16.206749636679888, -0.8831570595502853, 2.5957644265145063, -11.751175113022327, -6.930453382432461, -16.276001662015915, 6.903448525816202, -22.24620544165373, 7.5723420130088925, -4.752507206052542, -16.49653829447925, -11.723261388018727, -23.211961440742016, 14.59905834228266]| 12.0653772354125977|      8.00000000|[1741, 116, 0, 29]                                                         |  | used linear model with 65 points | actual_k=4
      30|[-32.92982779070735, -9.184026882052422, 17.9211008772254, 26.4375826343894, -2.1665897369384766, -13.783581179566681, -14.713017046451569, 18.41514760069549, -15.819535542279482, 0.2304235249757767, 2.421288488432765, -11.96549079567194, -7.919675551354885, -15.908825874328613, 5.556121412664652, -20.107053391635418, 8.72060248721391, -2.693324562162161, -15.487518919631839, -13.708398373797536, -24.439670257270336, 16.68353123695124]| 12.0536308288574219|     16.00000000|[1801, 120, 0, 30]                                                         | | GPS sucess | actual_k=4
      31|[-32.92982779070735, -9.184026882052422, 17.9211008772254, 26.4375826343894, -2.1665897369384766, -13.783581179566681, -14.713017046451569, 18.41514760069549, -15.819535542279482, 0.2304235249757767, 2.421288488432765, -11.96549079567194, -7.919675551354885, -15.908825874328613, 5.556121412664652, -20.107053391635418, 8.72060248721391, -2.693324562162161, -15.487518919631839, -13.708398373797536, -24.439670257270336, 16.68353123695124]| 12.0536308288574219|      8.00000000|[1861, 124, 0, 31]                                                         |  | used linear model with 65 points | actual_k=4
      32|[-35.119120221585035, -9.040773704648018, 20.144469998776913, 27.662702940404415, -2.8942344188690186, -13.578900543041527, -14.314314216375351, 18.87520900182426, -16.29020257666707, -1.2006122320890427, 3.450250742956996, -13.273613430559635, -8.19840743392706, -17.006960272789, 3.4981516040861607, -24.60901414602995, 8.439093654043972, -1.566808219999075, -13.18836130015552, -10.03688577003777, -23.896440975368023, 17.43510742217768]| 12.0523843765258789|     16.00000000|[1921, 128, 0, 32]                                                         | | GPS sucess | actual_k=4
      33|[-35.119120221585035, -9.040773704648018, 20.144469998776913, 27.662702940404415, -2.8942344188690186, -13.578900543041527, -14.314314216375351, 18.87520900182426, -16.29020257666707, -1.2006122320890427, 3.450250742956996, -13.273613430559635, -8.19840743392706, -17.006960272789, 3.4981516040861607, -24.60901414602995, 8.439093654043972, -1.566808219999075, -13.18836130015552, -10.03688577003777, -23.896440975368023, 17.43510742217768]| 12.0523843765258789|      8.00000000|[1981, 132, 0, 33]                                                         |  | used linear model with 65 points | actual_k=4
      34|[-37.11735771223903, -9.342879876494408, 22.580610297620296, 29.048294685781002, -1.7359471321105957, -13.793268543668091, -14.956146568059921, 19.941467909142375, -18.68471570685506, -0.848361536860466, 4.940639613196254, -12.640935339033604, -7.848256640136242, -18.309369683265686, 5.3534426130354404, -20.104442708194256, 10.786551301367581, -2.6360367499291897, -11.884121788665652, -11.588339122012258, -25.899409763514996, 18.000351679627784]| 12.0454654693603516|     16.00000000|[2041, 136, 0, 34]                                                         | | GPS sucess | actual_k=4
      35|[-37.11735771223903, -9.342879876494408, 22.580610297620296, 29.048294685781002, -1.7359471321105957, -13.793268543668091, -14.956146568059921, 19.941467909142375, -18.68471570685506, -0.848361536860466, 4.940639613196254, -12.640935339033604, -7.848256640136242, -18.309369683265686, 5.3534426130354404, -20.104442708194256, 10.786551301367581, -2.6360367499291897, -11.884121788665652, -11.588339122012258, -25.899409763514996, 18.000351679627784]| 12.0454654693603516|      8.00000000|[2101, 140, 0, 35]                                                         |  | used linear model with 65 points | actual_k=4
      36|[-36.36999819800258, -11.197635158896446, 23.39633520692587, 28.359986387193203, 0.4118237495422363, -13.562917080707848, -17.614576905965805, 20.51893845014274, -21.134164292365313, 0.4291728287935257, 4.0004926305264235, -12.210782803595066, -8.54992663115263, -13.75138008594513, 6.683799806982279, -19.61605279892683, 12.31291860807687, -2.590314883738756, -8.97884620539844, -11.74351535923779, -26.32125797122717, 16.039706003968604]| 12.0430936813354492|     16.00000000|[2161, 144, 0, 36]                                                         | | GPS sucess | actual_k=4
      37|[-36.75666491314769, -11.831740960478783, 24.341437302529812, 28.526835702359676, 1.070557951927185, -20.729214516468346, -14.01902922987938, 22.97613468579948, -15.730294186621904, 1.4336603432893753, 0.9736810307949781, -15.348775185644627, -10.532327763736248, -9.938108801841736, 3.152815405279398, -20.678680948913097, 16.761780207045376, -2.9417588897049427, -3.803955687209964, -14.40168129093945, -21.05999793857336, 20.626895201508887]| 12.0415563583374023|     32.00000000|[2221, 148, 0, 37]                                                         | | GPS sucess | actual_k=4
      38|[-36.75666491314769, -11.831740960478783, 24.341437302529812, 28.526835702359676, 1.070557951927185, -20.729214516468346, -14.01902922987938, 22.97613468579948, -15.730294186621904, 1.4336603432893753, 0.9736810307949781, -15.348775185644627, -10.532327763736248, -9.938108801841736, 3.152815405279398, -20.678680948913097, 16.761780207045376, -2.9417588897049427, -3.803955687209964, -14.40168129093945, -21.05999793857336, 20.626895201508887]| 12.0415563583374023|     16.00000000|[2281, 152, 0, 38]                                                         |  | used linear model with 65 points | actual_k=4
      39|[-41.65975872799754, -11.125341281294823, 21.338735781610012, 32.82466056197882, 2.8925615549087524, -19.084293094463646, -15.950229972600937, 21.94760218076408, -8.62542386725545, 4.925815895199776, 1.521610913798213, -17.295962251722813, -12.950245015323162, -10.895075678825378, 4.465060893446207, -15.898557238280773, 12.100099508650601, -9.21138121560216, -3.1958760153502226, -19.047357903793454, -21.35213401168585, 17.165153992478736]| 12.0310678482055664|     32.00000000|[2341, 156, 0, 39]                                                         | | GPS sucess | actual_k=4
      40|[-41.65975872799754, -11.125341281294823, 21.338735781610012, 32.82466056197882, 2.8925615549087524, -19.084293094463646, -15.950229972600937, 21.94760218076408, -8.62542386725545, 4.925815895199776, 1.521610913798213, -17.295962251722813, -12.950245015323162, -10.895075678825378, 4.465060893446207, -15.898557238280773, 12.100099508650601, -9.21138121560216, -3.1958760153502226, -19.047357903793454, -21.35213401168585, 17.165153992478736]| 12.0310678482055664|     16.00000000|[2401, 160, 0, 40]                                                         |  | used linear model with 65 points | actual_k=4
      41|[-45.02374831959605, -10.92522206902504, 17.798199854791164, 36.04241111129522, 5.47159469127655, -17.160078135319054, -8.692872375249863, 23.493632225319743, -9.081626433879137, 2.198033168911934, 0.5338142495602369, -22.306217588484287, -11.896320693194866, -15.100187182426453, 2.782972279936075, -21.587446741759777, 12.628904645331204, -11.683566112071276, 1.8070570100098848, -14.091882573440671, -18.490433000028133, 15.053269875352271]| 12.0241403579711914|     32.00000000|[2461, 164, 0, 41]                                                         | | GPS sucess | actual_k=4
      42|[-45.02374831959605, -10.92522206902504, 17.798199854791164, 36.04241111129522, 5.47159469127655, -17.160078135319054, -8.692872375249863, 23.493632225319743, -9.081626433879137, 2.198033168911934, 0.5338142495602369, -22.306217588484287, -11.896320693194866, -15.100187182426453, 2.782972279936075, -21.587446741759777, 12.628904645331204, -11.683566112071276, 1.8070570100098848, -14.091882573440671, -18.490433000028133, 15.053269875352271]| 12.0241403579711914|     16.00000000|[2521, 168, 0, 42]                                                         |  | used linear model with 65 points | actual_k=4
      43|[-47.15301625058055, -10.113464623689651, 14.249166928231716, 38.26133944839239, 2.4374359846115112, -18.91710337717086, -8.136245399713516, 28.148913769051433, -2.7905020900070667, 2.862375095486641, -3.2483105082064867, -19.03122917562723, -13.073312036693096, -18.606534838676453, -2.7098904214799404, -16.308833174407482, 7.325595204718411, -9.393947381526232, 2.246781485155225, -16.70882307179272, -15.926172278821468, 11.146361124818213]| 12.0204973220825195|     32.00000000|[2581, 172, 0, 43]                                                         | | GPS sucess | actual_k=4
      44|[-52.68605725094676, -11.11186334490776, 5.361293278634548, 44.26448132842779, 1.708724558353424, -8.289480772800744, -7.526290684938431, 25.942016510292888, -12.853910941630602, -9.20109860599041, -10.76027530618012, -13.533395923674107, -15.934203140437603, -9.71627128124237, 6.171415273100138, -18.422238402068615, -2.955176050774753, -1.0366370864212513, 9.1454907823354, -20.373898612335324, -20.07801964133978, 12.04874802858103]| 12.0075788497924805|     64.00000000|[2641, 176, 0, 44]                                                         | | GPS sucess | actual_k=4
      45|[-71.29697720333934, -8.297250241041183, -5.391900576651096, 60.43720509856939, 1.8481396287679672, -22.257738676853478, 7.652667254209518, 25.636271057650447, -20.046986121684313, -27.6861182898283, 5.048359451815486, -12.19812337309122, -18.146982423961163, -26.186787486076355, 12.008405152708292, -23.848491720855236, -11.17999332677573, 33.9496185593307, -2.5906075071543455, -5.843160735443234, -20.02460018545389, 29.754940045182593]| 11.9692592620849609|    128.00000000|[2701, 180, 0, 45]                                                         | | GPS sucess | actual_k=4
      46|[-105.43239514157176, 39.19027569890022, 9.87916036695242, 81.04544904083014, -4.628310337662697, -53.30691584665328, -5.741600781679153, 3.669125137850642, -25.42315198853612, -62.0728370398283, -40.426108779385686, 13.649611078202724, -51.32881759852171, 9.076613545417786, 0.5537676252424717, -38.73750024288893, -35.5759646249935, 78.45593951269984, 5.260508673265576, 9.449206246063113, -5.424061931669712, 59.89425469667185]| 11.9586400985717773|    256.00000000|[2761, 184, 0, 46]                                                         | | GPS sucess | actual_k=4
      47|[-105.43239514157176, 39.19027569890022, 9.87916036695242, 81.04544904083014, -4.628310337662697, -53.30691584665328, -5.741600781679153, 3.669125137850642, -25.42315198853612, -62.0728370398283, -40.426108779385686, 13.649611078202724, -51.32881759852171, 9.076613545417786, 0.5537676252424717, -38.73750024288893, -35.5759646249935, 78.45593951269984, 5.260508673265576, 9.449206246063113, -5.424061931669712, 59.89425469667185]| 11.9586400985717773|    128.00000000|[2821, 188, 0, 47]                                                         |  | used linear model with 65 points | actual_k=4
      48|[-105.43239514157176, 39.19027569890022, 9.87916036695242, 81.04544904083014, -4.628310337662697, -53.30691584665328, -5.741600781679153, 3.669125137850642, -25.42315198853612, -62.0728370398283, -40.426108779385686, 13.649611078202724, -51.32881759852171, 9.076613545417786, 0.5537676252424717, -38.73750024288893, -35.5759646249935, 78.45593951269984, 5.260508673265576, 9.449206246063113, -5.424061931669712, 59.89425469667185]| 11.9586400985717773|     64.00000000|[2881, 192, 0, 48]                                                         |  | used linear model with 65 points | actual_k=4
      49|[-105.43239514157176, 39.19027569890022, 9.87916036695242, 81.04544904083014, -4.628310337662697, -53.30691584665328, -5.741600781679153, 3.669125137850642, -25.42315198853612, -62.0728370398283, -40.426108779385686, 13.649611078202724, -51.32881759852171, 9.076613545417786, 0.5537676252424717, -38.73750024288893, -35.5759646249935, 78.45593951269984, 5.260508673265576, 9.449206246063113, -5.424061931669712, 59.89425469667185]| 11.9586400985717773|     32.00000000|[2941, 196, 0, 49]                                                         |  | used linear model with 65 points | actual_k=4
      50|[-95.88360325619578, 43.45065215229988, 3.6211928948760033, 74.59973170608282, -4.736773602664471, -59.991771784611046, -0.0812924206256866, -2.5366148371249437, -25.984977085143328, -75.35965745151043, -32.1782431025058, 7.323604665696621, -46.85085367411375, 12.148833632469177, -5.700095232576132, -51.1107082888484, -39.0361389471218, 80.1050973944366, 0.5667230058461428, 18.074327362701297, 4.08641704171896, 56.64674426347483]| 11.9501314163208008|     64.00000000|[3001, 200, 0, 50]                                                         | | GPS sucess | actual_k=4
      51|[-95.88360325619578, 43.45065215229988, 3.6211928948760033, 74.59973170608282, -4.736773602664471, -59.991771784611046, -0.0812924206256866, -2.5366148371249437, -25.984977085143328, -75.35965745151043, -32.1782431025058, 7.323604665696621, -46.85085367411375, 12.148833632469177, -5.700095232576132, -51.1107082888484, -39.0361389471218, 80.1050973944366, 0.5667230058461428, 18.074327362701297, 4.08641704171896, 56.64674426347483]| 11.9501314163208008|     32.00000000|[3061, 204, 0, 51]                                                         |  | used linear model with 65 points | actual_k=4
