k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0798811316490173, 0.1697626858949661, 0.0076471362262964, 0.4022648930549622, -0.0754127874970436, -0.001277256757021, -0.0005771989235654, -0.0532212071120739, -0.1716371178627014, -0.4345829486846924, 0.3289691507816315, 0.2110833674669266, -0.0160505678504705, -0.1461291909217834, 0.0939741805195808, 0.5108557939529419, 0.0165547765791416, 0.0418044738471508, 0.0028238429222256, 0.1963275820016861, -0.0864802896976471, 0.278159111738205]| 14.2019891738891602|      2.00000000|[61, 4, 0, 1]                                                              | | GPS sucess | actual_k=4
      37|[-37.4663377776742, -10.162047824822366, 6.697443800978363, 32.03234885632992, 13.598797343671322, -24.175615210086107, 23.463200657977723, 15.314308900386095, -19.198732214048505, 13.729724742472172, 11.434963390231133, -12.560667291283607, -1.783600315451622, -1.603427916765213, -19.56733114272356, 6.18356778472662, 4.2706235609948635, -16.14943690598011, 8.8180844692979, 2.9187078066170216, -20.50391161814332, 8.352334677241743]| 12.0437107086181641|     32.00000000|[2221, 148, 0, 37]                                                         | | GPS sucess | actual_k=4
      38|[-37.4663377776742, -10.162047824822366, 6.697443800978363, 32.03234885632992, 13.598797343671322, -24.175615210086107, 23.463200657977723, 15.314308900386095, -19.198732214048505, 13.729724742472172, 11.434963390231133, -12.560667291283607, -1.783600315451622, -1.603427916765213, -19.56733114272356, 6.18356778472662, 4.2706235609948635, -16.14943690598011, 8.8180844692979, 2.9187078066170216, -20.50391161814332, 8.352334677241743]| 12.0437107086181641|     16.00000000|[2281, 152, 0, 38]                                                         |  | used linear model with 65 points | actual_k=4
      39|[-37.4663377776742, -10.162047824822366, 6.697443800978363, 32.03234885632992, 13.598797343671322, -24.175615210086107, 23.463200657977723, 15.314308900386095, -19.198732214048505, 13.729724742472172, 11.434963390231133, -12.560667291283607, -1.783600315451622, -1.603427916765213, -19.56733114272356, 6.18356778472662, 4.2706235609948635, -16.14943690598011, 8.8180844692979, 2.9187078066170216, -20.50391161814332, 8.352334677241743]| 12.0437107086181641|      8.00000000|[2341, 156, 0, 39]                                                         |  | used linear model with 65 points | actual_k=4
      40|[-37.4663377776742, -10.162047824822366, 6.697443800978363, 32.03234885632992, 13.598797343671322, -24.175615210086107, 23.463200657977723, 15.314308900386095, -19.198732214048505, 13.729724742472172, 11.434963390231133, -12.560667291283607, -1.783600315451622, -1.603427916765213, -19.56733114272356, 6.18356778472662, 4.2706235609948635, -16.14943690598011, 8.8180844692979, 2.9187078066170216, -20.50391161814332, 8.352334677241743]| 12.0437107086181641|      4.00000000|[2401, 160, 0, 40]                                                         |  | used linear model with 65 points | actual_k=4
      41|[-38.172412969172, -9.863733223639429, 6.90514540951699, 32.52999298274517, 14.714721344411373, -26.083818692713976, 23.818989127292298, 16.90860452130437, -19.380509899929166, 13.258077122271061, 12.383058831095695, -12.61829287558794, -2.2046130150556564, -2.766639620065689, -18.538070984184742, 6.615262322127819, 3.907848831266165, -16.10170777887106, 7.854050686815754, 2.57619421556592, -19.346962574869394, 7.639729916118085]| 12.0422220230102539|      8.00000000|[2461, 164, 0, 41]                                                         | | GPS sucess | actual_k=4
      42|[-40.50731597095728, -12.573544672690332, 8.605718377046287, 34.20540301501751, 15.260996423661709, -28.370575208216906, 24.73580196441617, 16.62165828421712, -19.915287541225553, 14.156956471502781, 11.474835023283958, -9.554756231606007, -2.17733852006495, -4.682395726442337, -17.68477464467287, 3.7001867815852165, 2.7714304886758327, -17.95201727002859, 8.026943287113681, 1.489433217793703, -20.307681802660227, 10.191916166804731]| 12.0350885391235352|     16.00000000|[2521, 168, 0, 42]                                                         | | GPS sucess | actual_k=4
      43|[-42.68392739444971, -12.98483436461538, 9.7083599595353, 35.84400264918804, 11.168211542069912, -22.846644181758165, 25.643352239741944, 18.94297357276082, -20.74890218861401, 12.878003515303135, 9.720181092619896, -13.989623613655567, -3.2678283844143152, -8.325973778963089, -20.058183439075947, 3.752371896058321, -3.613956931978464, -20.641885243356228, 9.007698020199314, 0.6186275370419025, -11.337459329515696, 6.607788025401533]| 12.0299167633056641|     32.00000000|[2581, 172, 0, 43]                                                         | | GPS sucess | actual_k=4
      44|[-50.038251258432865, -16.615822485648096, 6.441660645417869, 42.597685739398, 15.241070352494717, -32.22000004723668, 27.9047372037312, 30.082503754645586, -14.934439526870847, 5.004869379103184, 7.789997443556786, -16.70886356383562, 6.18113954924047, -13.579432755708694, -23.40861440449953, -10.32748020812869, -3.5718618519604206, -12.74635549634695, 8.46932794735767, -0.9613536708056927, -10.728951696306467, -1.118012965656817]| 12.0259113311767578|     64.00000000|[2641, 176, 0, 44]                                                         | | GPS sucess | actual_k=4
      45|[-68.2451337352395, 4.886864968575537, 8.938614609651268, 55.126671716570854, 13.330816350877285, -27.79856278374791, 39.448498457088135, 43.76471372321248, -18.79259811528027, -3.4918213710188866, 8.825812324881554, -6.241274185478687, 32.417078575119376, -38.8012173473835, -21.90383256226778, -10.74711124226451, 6.634497057646513, -28.857542477548122, 8.56951286480762, -2.62285340949893, -13.025275234133005, 9.207213818095624]| 12.0225753784179688|    128.00000000|[2701, 180, 0, 45]                                                         | | GPS sucess | actual_k=4
      46|[-68.2451337352395, 4.886864968575537, 8.938614609651268, 55.126671716570854, 13.330816350877285, -27.79856278374791, 39.448498457088135, 43.76471372321248, -18.79259811528027, -3.4918213710188866, 8.825812324881554, -6.241274185478687, 32.417078575119376, -38.8012173473835, -21.90383256226778, -10.74711124226451, 6.634497057646513, -28.857542477548122, 8.56951286480762, -2.62285340949893, -13.025275234133005, 9.207213818095624]| 12.0225753784179688|     64.00000000|[2761, 184, 0, 46]                                                         |  | used linear model with 65 points | actual_k=4
      47|[-68.2451337352395, 4.886864968575537, 8.938614609651268, 55.126671716570854, 13.330816350877285, -27.79856278374791, 39.448498457088135, 43.76471372321248, -18.79259811528027, -3.4918213710188866, 8.825812324881554, -6.241274185478687, 32.417078575119376, -38.8012173473835, -21.90383256226778, -10.74711124226451, 6.634497057646513, -28.857542477548122, 8.56951286480762, -2.62285340949893, -13.025275234133005, 9.207213818095624]| 12.0225753784179688|     32.00000000|[2821, 188, 0, 47]                                                         |  | used linear model with 65 points | actual_k=4
      48|[-70.92029605060816, 0.2943523610010743, 1.0491778878495097, 58.74854962527752, 24.328909002244473, -31.507101077586412, 42.496445625438355, 44.54769541695714, -26.080855714157224, -9.331581197679043, 11.733111843466759, -4.904110975563526, 36.35149367712438, -48.90579441189766, -25.084363348782063, -13.304767053574324, -11.216073621064425, -32.15657206624746, 8.886868318775669, 2.1999667771160603, -14.147058133035898, 5.340158401988447]| 11.9883098602294922|     64.00000000|[2881, 192, 0, 48]                                                         | | GPS sucess | actual_k=4
      49|[-70.92029605060816, 0.2943523610010743, 1.0491778878495097, 58.74854962527752, 24.328909002244473, -31.507101077586412, 42.496445625438355, 44.54769541695714, -26.080855714157224, -9.331581197679043, 11.733111843466759, -4.904110975563526, 36.35149367712438, -48.90579441189766, -25.084363348782063, -13.304767053574324, -11.216073621064425, -32.15657206624746, 8.886868318775669, 2.1999667771160603, -14.147058133035898, 5.340158401988447]| 11.9883098602294922|     32.00000000|[2941, 196, 0, 49]                                                         |  | used linear model with 65 points | actual_k=4
      50|[-73.06814680248499, -0.1701435362920165, 10.165586235933006, 58.49158252775669, 26.576921068131924, -36.04986812546849, 40.426857679500245, 32.78890826180577, -21.729115830734372, -14.377657018601894, -3.3655257374048233, -14.581943579018116, 33.15578349493444, -53.24972942471504, -23.429381497204304, -5.138445299118757, -6.50436507537961, -25.7927028760314, 13.647592863300815, 9.737640727311373, -16.31193793192506, -5.686530173756182]| 11.9743385314941406|     64.00000000|[3001, 200, 0, 50]                                                         | | GPS sucess | actual_k=4
      51|[-73.06814680248499, -0.1701435362920165, 10.165586235933006, 58.49158252775669, 26.576921068131924, -36.04986812546849, 40.426857679500245, 32.78890826180577, -21.729115830734372, -14.377657018601894, -3.3655257374048233, -14.581943579018116, 33.15578349493444, -53.24972942471504, -23.429381497204304, -5.138445299118757, -6.50436507537961, -25.7927028760314, 13.647592863300815, 9.737640727311373, -16.31193793192506, -5.686530173756182]| 11.9743385314941406|     32.00000000|[3061, 204, 0, 51]                                                         |  | used linear model with 65 points | actual_k=4
