k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.1159169524908066, -0.1880708783864975, -0.2382090985774994, 0.8740733861923218, -0.2362662255764008, -0.1882171928882599, -0.1238998994231224, -0.0593002587556839, -0.0073590190149844, 0.0163300205022097, 0.0151395425200462, -0.0068678087554872, -0.0369792878627777, -0.0595408231019974, -0.0614902451634407, -0.0384309366345406, -0.0056644096039236, 0.0332339443266392, 0.0303912274539471, -0.0219681411981583, -0.0834110006690025, 0.0078400066122413]| 13.8329296112060547|      2.00000000|[33, 0, 0, 2]                                                              | | GPS sucess | actual_k=0
      12|[1.587654153816402, 0.0892698746174574, 0.7783405357040465, 1.7569318087771535, 0.3614936729427427, 0.459477486088872, 0.3346867533400655, -0.001563178433571, -0.4765269956551492, -0.9819837007671595, -1.3838026076555252, -1.5775921675376594, -1.5273669082671404, 0.7145395409315825, -2.449693262577057, -0.8233182802796364, -1.2091462463140488, -2.2853048481047153, -4.003021899610758, 5.916950581595302, -0.6292905248701572, -0.889215792529285]| 12.1448478698730469|      4.00000000|[385, 0, 0, 24]                                                            |  | used linear model with 33 points | actual_k=0
      13|[1.587654153816402, 0.0892698746174574, 0.7783405357040465, 1.7569318087771535, 0.3614936729427427, 0.459477486088872, 0.3346867533400655, -0.001563178433571, -0.4765269956551492, -0.9819837007671595, -1.3838026076555252, -1.5775921675376594, -1.5273669082671404, 0.7145395409315825, -2.449693262577057, -0.8233182802796364, -1.2091462463140488, -2.2853048481047153, -4.003021899610758, 5.916950581595302, -0.6292905248701572, -0.889215792529285]| 12.1448478698730469|      2.00000000|[417, 0, 0, 26]                                                            |  | used linear model with 33 points | actual_k=0
      14|[1.6162353092804551, 0.1254359949380159, 0.8012734134681523, 1.7551990626379848, 0.3336423595901579, 0.4161205347627401, 0.2963283183053136, -0.0108221900300123, -0.4344491115771234, -0.892906004562974, -1.2640079110860825, -1.4725452694110572, -1.5024049412459135, 0.589299513027072, -2.776014357805252, -1.3531754985451698, 0.4884703308343887, -2.92213648930192, -4.405269417911768, 5.9153368707047775, -0.3173860050737858, -0.9783979160711169]| 12.1448307037353516|      4.00000000|[449, 0, 0, 28]                                                            | | GPS sucess | actual_k=0
      15|[1.0882759625092149, 0.2009616363793612, -0.0329981963150203, 2.308641600422561, 1.1378099282737821, 0.9906948264688253, 0.5608182372525334, 0.014273684413638, -0.4564806292764843, -0.7209207210689783, -0.7042231410741806, -0.470039966981858, -0.1957590710371733, 1.8794425260275602, -1.9098832309246063, -1.2308035045862198, -0.1495568007230759, -3.8653476871550083, -4.756463650614023, 7.032171988044865, 1.8886288665235043, -1.7824906213209033]| 12.1437444686889648|      8.00000000|[481, 0, 0, 30]                                                            | | GPS sucess | actual_k=0
      16|[1.0882759625092149, 0.2009616363793612, -0.0329981963150203, 2.308641600422561, 1.1378099282737821, 0.9906948264688253, 0.5608182372525334, 0.014273684413638, -0.4564806292764843, -0.7209207210689783, -0.7042231410741806, -0.470039966981858, -0.1957590710371733, 1.8794425260275602, -1.9098832309246063, -1.2308035045862198, -0.1495568007230759, -3.8653476871550083, -4.756463650614023, 7.032171988044865, 1.8886288665235043, -1.7824906213209033]| 12.1437444686889648|      4.00000000|[513, 0, 0, 32]                                                            |  | used linear model with 33 points | actual_k=0
      17|[1.0882759625092149, 0.2009616363793612, -0.0329981963150203, 2.308641600422561, 1.1378099282737821, 0.9906948264688253, 0.5608182372525334, 0.014273684413638, -0.4564806292764843, -0.7209207210689783, -0.7042231410741806, -0.470039966981858, -0.1957590710371733, 1.8794425260275602, -1.9098832309246063, -1.2308035045862198, -0.1495568007230759, -3.8653476871550083, -4.756463650614023, 7.032171988044865, 1.8886288665235043, -1.7824906213209033]| 12.1437444686889648|      2.00000000|[545, 0, 0, 34]                                                            |  | used linear model with 33 points | actual_k=0
      18|[1.0671214377507567, 0.1799843963235617, -0.0440102429129183, 2.313633573241532, 1.1580965218599886, 1.0182272884994745, 0.5823921179398894, 0.2502890042378567, -0.4831093526445329, -0.7742660362273455, -0.7695538997650146, -0.5215248162858188, -0.2042975518852472, 1.9323611836880445, -1.8055729418992996, -1.1310603618621826, -0.1641788212582469, -3.719447288662195, -5.425648275762796, 8.5746326680528, 0.8807738088071346, -1.57467673253268]| 12.1436862945556641|      4.00000000|[577, 0, 0, 36]                                                            | | GPS sucess | actual_k=0
      19|[0.2444056188687682, 0.9216191228479147, 0.6624458222649992, 2.8152529718354344, 1.7733299431856722, 1.6273435447365046, 1.2096306895837188, 0.8959799222066067, 0.1488055610097945, -0.2195574957877398, -0.3757933378219604, -0.374814837705344, -0.3721150103956461, 1.4203683715313673, -2.6407165080308914, -2.214168429374695, -1.3715557781979442, -4.888336453586817, -6.354786101728678, 8.155900710378774, 1.4100139401853085, 0.7221188740804791]| 12.1422348022460938|      8.00000000|[609, 0, 0, 38]                                                            | | GPS sucess | actual_k=0
      20|[0.2444056188687682, 0.9216191228479147, 0.6624458222649992, 2.8152529718354344, 1.7733299431856722, 1.6273435447365046, 1.2096306895837188, 0.8959799222066067, 0.1488055610097945, -0.2195574957877398, -0.3757933378219604, -0.374814837705344, -0.3721150103956461, 1.4203683715313673, -2.6407165080308914, -2.214168429374695, -1.3715557781979442, -4.888336453586817, -6.354786101728678, 8.155900710378774, 1.4100139401853085, 0.7221188740804791]| 12.1422348022460938|      4.00000000|[641, 0, 0, 40]                                                            |  | used linear model with 33 points | actual_k=0
      21|[0.1419674446806312, 0.7324526216834784, 0.4413534491322935, 2.9407398672774434, 1.6857422140892595, 1.6643769014626741, 1.3551455503329635, 1.0878174118115567, 0.2897396706975996, -0.2399245817214251, -0.6523793637752533, -0.9578499491326511, -1.2447557393461466, 0.350225267931819, 0.8178101032972336, -3.183957517147064, -2.0396566120907664, -5.182965908199549, -6.219476107507944, 8.27890497550834, 1.410602105082944, 0.6213403092697263]| 12.1418275833129883|      8.00000000|[673, 0, 0, 42]                                                            | | GPS sucess | actual_k=0
      22|[0.1419674446806312, 0.7324526216834784, 0.4413534491322935, 2.9407398672774434, 1.6857422140892595, 1.6643769014626741, 1.3551455503329635, 1.0878174118115567, 0.2897396706975996, -0.2399245817214251, -0.6523793637752533, -0.9578499491326511, -1.2447557393461466, 0.350225267931819, 0.8178101032972336, -3.183957517147064, -2.0396566120907664, -5.182965908199549, -6.219476107507944, 8.27890497550834, 1.410602105082944, 0.6213403092697263]| 12.1418275833129883|      4.00000000|[705, 0, 0, 44]                                                            |  | used linear model with 33 points | actual_k=0
      23|[0.0996583951637149, 0.6904981415718794, 0.4193293559364974, 2.9507238129153848, 1.7263154012616724, 1.5487847719341516, 1.3982933117076755, 1.091423889331054, 0.2364822239615023, -0.3466152120381594, -0.5702633559703827, -1.0608196477405727, -1.2618327010422945, 0.4560625832527876, 1.026430681347847, -2.98447123169899, -2.0689006531611085, -5.737896177917719, -7.5578453578054905, 11.363826335524209, -0.6051080103497952, 1.0369680868461728]| 12.1416912078857422|      8.00000000|[737, 0, 0, 46]                                                            | | GPS sucess | actual_k=0
      24|[0.0996583951637149, 0.6904981415718794, 0.4193293559364974, 2.9507238129153848, 1.7263154012616724, 1.5487847719341516, 1.3982933117076755, 1.091423889331054, 0.2364822239615023, -0.3466152120381594, -0.5702633559703827, -1.0608196477405727, -1.2618327010422945, 0.4560625832527876, 1.026430681347847, -2.98447123169899, -2.0689006531611085, -5.737896177917719, -7.5578453578054905, 11.363826335524209, -0.6051080103497952, 1.0369680868461728]| 12.1416912078857422|      4.00000000|[769, 0, 0, 48]                                                            |  | used linear model with 33 points | actual_k=0
      25|[-0.1162142502143979, 0.723130414262414, 0.5190323474816978, 3.104512424208224, 1.895969502395019, 1.6752249989658594, 1.4119104081764817, 0.9268521123449318, -0.1507369368337095, -0.9648077059537172, -1.3815403878688812, 2.515792824793607, -2.165213333442807, -0.2937388736754656, 0.549652561545372, -3.1271845400333405, -1.9109406406059861, -5.423479858785868, -7.315298397094011, 11.32450797886122, -0.4081555779557675, 1.1607415424659848]| 12.1411504745483398|      8.00000000|[801, 0, 0, 50]                                                            | | GPS sucess | actual_k=0
      26|[-0.1162142502143979, 0.723130414262414, 0.5190323474816978, 3.104512424208224, 1.895969502395019, 1.6752249989658594, 1.4119104081764817, 0.9268521123449318, -0.1507369368337095, -0.9648077059537172, -1.3815403878688812, 2.515792824793607, -2.165213333442807, -0.2937388736754656, 0.549652561545372, -3.1271845400333405, -1.9109406406059861, -5.423479858785868, -7.315298397094011, 11.32450797886122, -0.4081555779557675, 1.1607415424659848]| 12.1411504745483398|      4.00000000|[833, 0, 0, 52]                                                            |  | used linear model with 33 points | actual_k=0
      27|[-0.1162142502143979, 0.723130414262414, 0.5190323474816978, 3.104512424208224, 1.895969502395019, 1.6752249989658594, 1.4119104081764817, 0.9268521123449318, -0.1507369368337095, -0.9648077059537172, -1.3815403878688812, 2.515792824793607, -2.165213333442807, -0.2937388736754656, 0.549652561545372, -3.1271845400333405, -1.9109406406059861, -5.423479858785868, -7.315298397094011, 11.32450797886122, -0.4081555779557675, 1.1607415424659848]| 12.1411504745483398|      2.00000000|[865, 0, 0, 54]                                                            |  | used linear model with 33 points | actual_k=0
      28|[-0.1162142502143979, 0.723130414262414, 0.5190323474816978, 3.104512424208224, 1.895969502395019, 1.6752249989658594, 1.4119104081764817, 0.9268521123449318, -0.1507369368337095, -0.9648077059537172, -1.3815403878688812, 2.515792824793607, -2.165213333442807, -0.2937388736754656, 0.549652561545372, -3.1271845400333405, -1.9109406406059861, -5.423479858785868, -7.315298397094011, 11.32450797886122, -0.4081555779557675, 1.1607415424659848]| 12.1411504745483398|      1.00000000|[897, 0, 0, 56]                                                            |  | used linear model with 33 points | actual_k=0
      29|[-0.1162142502143979, 0.723130414262414, 0.5190323474816978, 3.104512424208224, 1.895969502395019, 1.6752249989658594, 1.4119104081764817, 0.9268521123449318, -0.1507369368337095, -0.9648077059537172, -1.3815403878688812, 2.515792824793607, -2.165213333442807, -0.2937388736754656, 0.549652561545372, -3.1271845400333405, -1.9109406406059861, -5.423479858785868, -7.315298397094011, 11.32450797886122, -0.4081555779557675, 1.1607415424659848]| 12.1411504745483398|      0.50000000|[929, 0, 0, 58]                                                            |  | used linear model with 33 points | actual_k=0
      30|[-0.119225992122665, 0.7272094483487308, 0.5314952214248478, 3.1237360006198287, 1.9171762650366873, 1.6910300273448229, 1.4136125452350825, 0.9062806402216665, -0.199139331933111, -1.042081767693162, -1.4829500168561935, 2.9628693838603795, -2.2781359124928713, -0.3874640557914972, 0.4900552965700626, -3.1450237035751343, -1.872509085573256, -5.384177818894386, -7.284980027005076, 11.319593184278347, -0.4235843957867473, 1.1762132244184613]| 12.1411380767822266|      1.00000000|[961, 0, 0, 60]                                                            | | GPS sucess | actual_k=0
      31|[-0.1440686157438904, 0.7001165407709777, 0.5144949150271714, 3.1264884653501213, 1.9421411415096372, 1.7308458294719458, 1.4512219994794577, 0.9180252157966606, -0.2379090539179742, -1.0572872664779425, -1.6656556725502014, 2.7173601766116917, -1.416002469137311, -0.6526383254677057, 0.285903487354517, -3.251154527068138, -1.8721265270141885, -5.309983178973198, -7.209361990913749, 11.314857971505262, -0.5203803272452205, 1.2859978871420026]| 12.1410818099975586|      2.00000000|[993, 0, 0, 62]                                                            | | GPS sucess | actual_k=0
      32|[-0.1440686157438904, 0.7001165407709777, 0.5144949150271714, 3.1264884653501213, 1.9421411415096372, 1.7308458294719458, 1.4512219994794577, 0.9180252157966606, -0.2379090539179742, -1.0572872664779425, -1.6656556725502014, 2.7173601766116917, -1.416002469137311, -0.6526383254677057, 0.285903487354517, -3.251154527068138, -1.8721265270141885, -5.309983178973198, -7.209361990913749, 11.314857971505262, -0.5203803272452205, 1.2859978871420026]| 12.1410818099975586|      1.00000000|[1025, 0, 0, 64]                                                           |  | used linear model with 33 points | actual_k=0
      33|[-0.1440686157438904, 0.7001165407709777, 0.5144949150271714, 3.1264884653501213, 1.9421411415096372, 1.7308458294719458, 1.4512219994794577, 0.9180252157966606, -0.2379090539179742, -1.0572872664779425, -1.6656556725502014, 2.7173601766116917, -1.416002469137311, -0.6526383254677057, 0.285903487354517, -3.251154527068138, -1.8721265270141885, -5.309983178973198, -7.209361990913749, 11.314857971505262, -0.5203803272452205, 1.2859978871420026]| 12.1410818099975586|      0.50000000|[1057, 0, 0, 66]                                                           |  | used linear model with 33 points | actual_k=0
      34|[-0.1470803576521575, 0.7041955748572946, 0.5269577889703214, 3.145712041761726, 1.9633479041513056, 1.7466508578509092, 1.4529241365380585, 0.8974537436733954, -0.2863114490173757, -1.1345613282173872, -1.5982300117611885, 3.164436735678464, -1.528925048187375, -0.7463635075837374, 0.2263062223792076, -3.268993690609932, -1.8523815254447982, -5.2706811390817165, -7.1277721878141165, 11.309943176922388, -0.5567831823136657, 1.301469569094479]| 12.1410455703735352|      1.00000000|[1089, 0, 0, 68]                                                           | | GPS sucess | actual_k=0
      35|[-0.2550167697481811, 0.564683229662478, 0.3718191175721586, 3.285571256186813, 1.8152307046111673, 1.611699877306819, 1.3316802424378693, 0.7881684114108793, -0.3853850304149091, -1.2231002878397703, -1.6724847704172134, 3.1119776484556496, -1.5490959081798792, -0.6721121687442064, 0.3047338649630547, -3.1288951486349106, -1.6486900279996917, -5.006708856672049, -6.809718107804656, 11.678522326168604, -0.1293541321065277, 1.8210544036701322]| 12.1408910751342773|      2.00000000|[1121, 0, 0, 70]                                                           | | GPS sucess | actual_k=0
      36|[-0.2670637373812497, -1.1384172132238746, 0.4216706133447587, 3.3624655618332326, 1.9000577551778406, 1.6749199908226728, 1.3384887906722724, 0.7058825229178183, -0.578994610812515, -1.5321965347975492, -2.0781232863664627, 3.657646190840751, -2.0007862243801355, -1.047012897208333, 0.0663448050618172, -3.200251802802086, -1.5697100217221305, -4.849500697106123, -6.688444627448916, 11.65886314783711, -0.2749655523803085, 1.8829411314800382]| 12.1395015716552734|      4.00000000|[1153, 0, 0, 72]                                                           | | GPS sucess | actual_k=0
      37|[-0.2670637373812497, -1.1384172132238746, 0.4216706133447587, 3.3624655618332326, 1.9000577551778406, 1.6749199908226728, 1.3384887906722724, 0.7058825229178183, -0.578994610812515, -1.5321965347975492, -2.0781232863664627, 3.657646190840751, -2.0007862243801355, -1.047012897208333, 0.0663448050618172, -3.200251802802086, -1.5697100217221305, -4.849500697106123, -6.688444627448916, 11.65886314783711, -0.2749655523803085, 1.8829411314800382]| 12.1395015716552734|      2.00000000|[1185, 0, 0, 74]                                                           |  | used linear model with 33 points | actual_k=0
      38|[-0.2670637373812497, -1.1384172132238746, 0.4216706133447587, 3.3624655618332326, 1.9000577551778406, 1.6749199908226728, 1.3384887906722724, 0.7058825229178183, -0.578994610812515, -1.5321965347975492, -2.0781232863664627, 3.657646190840751, -2.0007862243801355, -1.047012897208333, 0.0663448050618172, -3.200251802802086, -1.5697100217221305, -4.849500697106123, -6.688444627448916, 11.65886314783711, -0.2749655523803085, 1.8829411314800382]| 12.1395015716552734|      1.00000000|[1217, 0, 0, 76]                                                           |  | used linear model with 33 points | actual_k=0
      39|[-0.2670637373812497, -1.1384172132238746, 0.4216706133447587, 3.3624655618332326, 1.9000577551778406, 1.6749199908226728, 1.3384887906722724, 0.7058825229178183, -0.578994610812515, -1.5321965347975492, -2.0781232863664627, 3.657646190840751, -2.0007862243801355, -1.047012897208333, 0.0663448050618172, -3.200251802802086, -1.5697100217221305, -4.849500697106123, -6.688444627448916, 11.65886314783711, -0.2749655523803085, 1.8829411314800382]| 12.1395015716552734|      0.50000000|[1249, 0, 0, 78]                                                           |  | used linear model with 33 points | actual_k=0
      40|[-0.2766717267222703, -1.3260845532640815, 0.3225614628754556, 3.419481200631708, 1.6618094665464014, 1.851881129667163, 1.144603508990258, 0.9283800308476202, -0.4808220728300512, -1.4912383016198874, -2.1541111916303635, 3.9784447667188942, -1.9429186265915632, -1.1033918727189302, 0.1270674429833889, -2.8047449737787247, -1.2906431312439963, -4.434965770691633, -6.379488391801715, 11.7062972021522, 0.0252291283104569, 1.6543337004259229]| 12.1393346786499023|      1.00000000|[1281, 0, 0, 80]                                                           | | GPS sucess | actual_k=0
      41|[-0.2872489891014993, -1.3365731732919812, 0.3170554395765066, 3.4219771870411932, 1.6719527633395046, 1.8656473606824875, 1.155390449333936, 0.4303839688072912, -0.4941364345140755, -1.517910959199071, -2.1867765709757805, 3.952702342066914, -1.9471878670156002, -1.076932543888688, 0.1792225874960423, -2.754873402416706, -1.2979541415115818, -4.573698338121176, -6.7140807043761015, 12.477527542156167, -0.0518663579132408, 1.7582406448200345]| 12.1392869949340820|      2.00000000|[1313, 0, 0, 82]                                                           | | GPS sucess | actual_k=0
      42|[-0.3084035138599575, -1.3575504133477807, 0.3060433929786086, 3.426969159860164, 1.692239356925711, 1.8931798227131367, 1.176964330021292, 0.4321872075670399, -0.4420066815800965, -1.571256274357438, -2.2521073296666145, 3.901217492762953, -1.9557263478636742, -1.1050743665546179, 0.283532876521349, -2.655130259692669, -1.3125761620467529, -4.851163472980261, -7.383265329524875, 14.019988222164102, -1.0597214156296104, 1.9660545336082578]| 12.1392860412597656|      4.00000000|[1345, 0, 0, 84]                                                           | | GPS sucess | actual_k=0
      43|[-0.3084035138599575, -1.3575504133477807, 0.3060433929786086, 3.426969159860164, 1.692239356925711, 1.8931798227131367, 1.176964330021292, 0.4321872075670399, -0.4420066815800965, -1.571256274357438, -2.2521073296666145, 3.901217492762953, -1.9557263478636742, -1.1050743665546179, 0.283532876521349, -2.655130259692669, -1.3125761620467529, -4.851163472980261, -7.383265329524875, 14.019988222164102, -1.0597214156296104, 1.9660545336082578]| 12.1392860412597656|      2.00000000|[1377, 0, 0, 86]                                                           |  | used linear model with 33 points | actual_k=0
      44|[-0.3084035138599575, -1.3575504133477807, 0.3060433929786086, 3.426969159860164, 1.692239356925711, 1.8931798227131367, 1.176964330021292, 0.4321872075670399, -0.4420066815800965, -1.571256274357438, -2.2521073296666145, 3.901217492762953, -1.9557263478636742, -1.1050743665546179, 0.283532876521349, -2.655130259692669, -1.3125761620467529, -4.851163472980261, -7.383265329524875, 14.019988222164102, -1.0597214156296104, 1.9660545336082578]| 12.1392860412597656|      1.00000000|[1409, 0, 0, 88]                                                           |  | used linear model with 33 points | actual_k=0
      45|[-0.2917025345377624, -1.3394673531875014, 0.3175098318606615, 3.4261027867905796, 1.6783137002494186, 1.8715013470500708, 1.157785112503916, 0.4275577017688192, -0.4228250519372523, -1.5267174262553453, -2.192209981381893, 3.862348082009703, -1.9432453643530607, -1.1676943805068731, 0.1203723289072514, -2.9200588688254356, -0.4637678734725341, -5.169579293578863, -7.17906285636127, 14.01918136671884, -0.9037691557314247, 1.9214634718373418]| 12.1392745971679688|      2.00000000|[1441, 0, 0, 90]                                                           | | GPS sucess | actual_k=0
      46|[-1.0415910142473876, -1.5288276737555861, 0.8705762643367052, 3.862500339280814, 2.1569674590136856, -0.151883939281106, 1.7697748490609229, -0.8329575112438761, 0.0864907964132726, -1.8294020909816027, -3.08544834703207, 3.205640020314604, -1.9000090453773737, -1.768639912828803, 0.0992409978061914, -3.8473638519644737, 0.8262055047089234, -3.9647473357617855, -8.573455465957522, 14.343610759533476, -0.74669842957519, 2.712312680669129]| 12.1385469436645508|      4.00000000|[1473, 0, 0, 92]                                                           | | GPS sucess | actual_k=0
      47|[-0.9747870969586074, -1.456495433114469, 0.9164420198649168, 3.8590348470024765, 2.101264832308516, -0.2385978419333696, 1.693057978991419, -0.8514755344367586, 0.1632173149846494, -3.25455510802567, -2.8458589538931847, 3.4157338165678084, -1.85008511133492, -2.019119968637824, -0.5534011926501989, -4.907078288495541, 3.9129977353150025, -5.238410618156195, -9.377950502559543, 14.340383337752428, -0.122889389982447, 2.533948433585465]| 12.1374673843383789|      8.00000000|[1505, 0, 0, 94]                                                           | | GPS sucess | actual_k=0
      48|[-0.9747870969586074, -1.456495433114469, 0.9164420198649168, 3.8590348470024765, 2.101264832308516, -0.2385978419333696, 1.693057978991419, -0.8514755344367586, 0.1632173149846494, -3.25455510802567, -2.8458589538931847, 3.4157338165678084, -1.85008511133492, -2.019119968637824, -0.5534011926501989, -4.907078288495541, 3.9129977353150025, -5.238410618156195, -9.377950502559543, 14.340383337752428, -0.122889389982447, 2.533948433585465]| 12.1374673843383789|      4.00000000|[1537, 0, 0, 96]                                                           |  | used linear model with 33 points | actual_k=0
      49|[-0.9747870969586074, -1.456495433114469, 0.9164420198649168, 3.8590348470024765, 2.101264832308516, -0.2385978419333696, 1.693057978991419, -0.8514755344367586, 0.1632173149846494, -3.25455510802567, -2.8458589538931847, 3.4157338165678084, -1.85008511133492, -2.019119968637824, -0.5534011926501989, -4.907078288495541, 3.9129977353150025, -5.238410618156195, -9.377950502559543, 14.340383337752428, -0.122889389982447, 2.533948433585465]| 12.1374673843383789|      2.00000000|[1569, 0, 0, 98]                                                           |  | used linear model with 33 points | actual_k=0
