k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.2419157922267914, 0.2811915576457977, 0.1048589944839478, 0.2857368588447571, -0.0806298106908798, 0.1130976527929306, -0.0150102134793997, 0.2818030714988708, -0.042662251740694, 0.0929862186312675, 0.2381036132574081, 0.082550160586834, -0.3519386053085327, -0.1254981011152267, -0.1450326442718506, 0.0863217934966087, 0.18183334171772, 0.2922354340553284, 0.0409951396286488, 0.3443740010261536, 0.2086205333471298, -0.2571312785148621]| 14.1494359970092773|      2.00000000|[33, 0, 0, 2]                                                              | | GPS sucess | actual_k=0
      12|[-43.37493960559368, -40.279131554067135, -2.9326139092445374, 40.36410848796368, 7.424372002482414, -20.071380212903023, 4.900114215910435, -42.63665806595236, 33.03884292766452, 18.78181380778551, 31.63972496986389, 18.06031958013773, -0.0250009000301361, -23.787968784570694, 21.100941479206085, -63.583241648972034, -21.21533001959324, -27.681940853595734, 26.63999116793275, 57.72861135751009, -30.581832066178322, -6.854137226939201]| 12.0105447769165039|    256.00000000|[385, 0, 0, 24]                                                            | | GPS sucess | actual_k=0
      13|[-43.37493960559368, -40.279131554067135, -2.9326139092445374, 40.36410848796368, 7.424372002482414, -20.071380212903023, 4.900114215910435, -42.63665806595236, 33.03884292766452, 18.78181380778551, 31.63972496986389, 18.06031958013773, -0.0250009000301361, -23.787968784570694, 21.100941479206085, -63.583241648972034, -21.21533001959324, -27.681940853595734, 26.63999116793275, 57.72861135751009, -30.581832066178322, -6.854137226939201]| 12.0105447769165039|    128.00000000|[417, 0, 0, 26]                                                            |  | used linear model with 33 points | actual_k=0
      14|[-43.37493960559368, -40.279131554067135, -2.9326139092445374, 40.36410848796368, 7.424372002482414, -20.071380212903023, 4.900114215910435, -42.63665806595236, 33.03884292766452, 18.78181380778551, 31.63972496986389, 18.06031958013773, -0.0250009000301361, -23.787968784570694, 21.100941479206085, -63.583241648972034, -21.21533001959324, -27.681940853595734, 26.63999116793275, 57.72861135751009, -30.581832066178322, -6.854137226939201]| 12.0105447769165039|     64.00000000|[449, 0, 0, 28]                                                            |  | used linear model with 33 points | actual_k=0
      15|[-43.37493960559368, -40.279131554067135, -2.9326139092445374, 40.36410848796368, 7.424372002482414, -20.071380212903023, 4.900114215910435, -42.63665806595236, 33.03884292766452, 18.78181380778551, 31.63972496986389, 18.06031958013773, -0.0250009000301361, -23.787968784570694, 21.100941479206085, -63.583241648972034, -21.21533001959324, -27.681940853595734, 26.63999116793275, 57.72861135751009, -30.581832066178322, -6.854137226939201]| 12.0105447769165039|     32.00000000|[481, 0, 0, 30]                                                            |  | used linear model with 33 points | actual_k=0
      16|[-43.37493960559368, -40.279131554067135, -2.9326139092445374, 40.36410848796368, 7.424372002482414, -20.071380212903023, 4.900114215910435, -42.63665806595236, 33.03884292766452, 18.78181380778551, 31.63972496986389, 18.06031958013773, -0.0250009000301361, -23.787968784570694, 21.100941479206085, -63.583241648972034, -21.21533001959324, -27.681940853595734, 26.63999116793275, 57.72861135751009, -30.581832066178322, -6.854137226939201]| 12.0105447769165039|     16.00000000|[513, 0, 0, 32]                                                            |  | used linear model with 33 points | actual_k=0
      17|[-43.37493960559368, -40.279131554067135, -2.9326139092445374, 40.36410848796368, 7.424372002482414, -20.071380212903023, 4.900114215910435, -42.63665806595236, 33.03884292766452, 18.78181380778551, 31.63972496986389, 18.06031958013773, -0.0250009000301361, -23.787968784570694, 21.100941479206085, -63.583241648972034, -21.21533001959324, -27.681940853595734, 26.63999116793275, 57.72861135751009, -30.581832066178322, -6.854137226939201]| 12.0105447769165039|      8.00000000|[545, 0, 0, 34]                                                            |  | used linear model with 33 points | actual_k=0
      18|[-43.37493960559368, -40.279131554067135, -2.9326139092445374, 40.36410848796368, 7.424372002482414, -20.071380212903023, 4.900114215910435, -42.63665806595236, 33.03884292766452, 18.78181380778551, 31.63972496986389, 18.06031958013773, -0.0250009000301361, -23.787968784570694, 21.100941479206085, -63.583241648972034, -21.21533001959324, -27.681940853595734, 26.63999116793275, 57.72861135751009, -30.581832066178322, -6.854137226939201]| 12.0105447769165039|      4.00000000|[577, 0, 0, 36]                                                            |  | used linear model with 33 points | actual_k=0
      19|[-43.37493960559368, -40.279131554067135, -2.9326139092445374, 40.36410848796368, 7.424372002482414, -20.071380212903023, 4.900114215910435, -42.63665806595236, 33.03884292766452, 18.78181380778551, 31.63972496986389, 18.06031958013773, -0.0250009000301361, -23.787968784570694, 21.100941479206085, -63.583241648972034, -21.21533001959324, -27.681940853595734, 26.63999116793275, 57.72861135751009, -30.581832066178322, -6.854137226939201]| 12.0105447769165039|      2.00000000|[609, 0, 0, 38]                                                            |  | used linear model with 33 points | actual_k=0
      20|[-43.37493960559368, -40.279131554067135, -2.9326139092445374, 40.36410848796368, 7.424372002482414, -20.071380212903023, 4.900114215910435, -42.63665806595236, 33.03884292766452, 18.78181380778551, 31.63972496986389, 18.06031958013773, -0.0250009000301361, -23.787968784570694, 21.100941479206085, -63.583241648972034, -21.21533001959324, -27.681940853595734, 26.63999116793275, 57.72861135751009, -30.581832066178322, -6.854137226939201]| 12.0105447769165039|      1.00000000|[641, 0, 0, 40]                                                            |  | used linear model with 33 points | actual_k=0
      21|[-43.53239016234875, -40.56232642382383, -2.912306409329176, 40.503012120723724, 7.2469049245119095, -20.07672208501026, 4.566359914839268, -42.80703178886324, 33.16454358026385, 19.162583746016026, 31.30491402745247, 17.8525877520442, -0.1737251132726669, -24.179680913686752, 21.37497243285179, -63.65749904513359, -21.512417510151863, -27.52160446345806, 26.59362304955721, 57.70918366312981, -30.60428436845541, -6.807156462222338]| 12.0099792480468750|      2.00000000|[673, 0, 0, 42]                                                            | | GPS sucess | actual_k=0
      22|[-43.53239016234875, -40.56232642382383, -2.912306409329176, 40.503012120723724, 7.2469049245119095, -20.07672208501026, 4.566359914839268, -42.80703178886324, 33.16454358026385, 19.162583746016026, 31.30491402745247, 17.8525877520442, -0.1737251132726669, -24.179680913686752, 21.37497243285179, -63.65749904513359, -21.512417510151863, -27.52160446345806, 26.59362304955721, 57.70918366312981, -30.60428436845541, -6.807156462222338]| 12.0099792480468750|      1.00000000|[705, 0, 0, 44]                                                            |  | used linear model with 33 points | actual_k=0
      23|[-43.832489624619484, -40.6938456222415, -2.552400391548872, 40.698606103658676, 7.244742246810347, -20.173192731570452, 4.3672385439276695, -42.951192119158804, 32.78953016921878, 19.337295033037663, 31.25949903205037, 17.62023153156042, 0.1055265218019485, -24.052732184529305, 21.32690504938364, -63.674503741785884, -21.24408532679081, -27.387674033641815, 26.367203541100025, 57.9298260807991, -30.928614102303982, -6.73375428840518]| 12.0092763900756836|      2.00000000|[737, 0, 0, 46]                                                            | | GPS sucess | actual_k=0
      24|[-44.032168596982956, -40.94993173331022, -2.5381632735952735, 40.83515311777592, 7.234832756686956, -20.35784374875948, 3.8341917619109154, -42.77551432792097, 33.10890657827258, 20.114450372755527, 30.734173376113176, 17.611009019427, 0.1989433318376541, -24.458681657910347, 21.050786174833775, -63.29456722550094, -21.213240509852767, -27.761895775794983, 26.79672036319971, 58.00276565551758, -30.98610633611679, -8.045560847967863]| 12.0084819793701172|      4.00000000|[769, 0, 0, 48]                                                            | | GPS sucess | actual_k=0
      25|[-44.65081223845482, -41.2779081389308, -2.4265371626242995, 41.39277310669422, 7.661627345252782, -19.85131763620302, 4.120702438056469, -42.6150001520291, 34.5552947036922, 20.011855073273182, 31.69800229743123, 18.4285817919299, -1.5345560759305954, -24.82351778447628, 20.42559526115656, -63.2771412152797, -21.46607423387468, -26.951649069786072, 25.69641873985529, 55.98063588142395, -30.963818846270442, -8.334573786705732]| 12.0078144073486328|      8.00000000|[801, 0, 0, 50]                                                            | | GPS sucess | actual_k=0
      26|[-44.65081223845482, -41.2779081389308, -2.4265371626242995, 41.39277310669422, 7.661627345252782, -19.85131763620302, 4.120702438056469, -42.6150001520291, 34.5552947036922, 20.011855073273182, 31.69800229743123, 18.4285817919299, -1.5345560759305954, -24.82351778447628, 20.42559526115656, -63.2771412152797, -21.46607423387468, -26.951649069786072, 25.69641873985529, 55.98063588142395, -30.963818846270442, -8.334573786705732]| 12.0078144073486328|      4.00000000|[833, 0, 0, 52]                                                            |  | used linear model with 33 points | actual_k=0
      27|[-44.285853922367096, -42.458475045859814, -3.1190760796889663, 41.237329199910164, 8.569824628997594, -19.781034759711474, 4.974078051745892, -41.24640264455229, 33.915242206305265, 19.272023983299732, 31.981679309159517, 16.509067970328033, -0.2360997647047043, -24.284095093607903, 19.562832929193974, -62.41025537438691, -21.902001624926925, -27.359737545251846, 25.133853532373905, 56.040833190083504, -31.321825740858912, -9.253827791661024]| 12.0069322586059570|      8.00000000|[865, 0, 0, 54]                                                            | | GPS sucess | actual_k=0
      28|[-46.174008548259735, -44.98621266335249, -6.138148612342775, 43.54820819199085, 8.511796422768384, -18.512114695739, 4.757246263325214, -41.591077857650816, 33.82783090695739, 18.223304577171803, 34.34585129097104, 15.411464172415435, 1.5636397153139114, -25.666013285517693, 17.357958652079105, -64.80150479264557, -21.47691068612039, -30.50854817032814, 23.96086273342371, 54.63762505352497, -30.609743176028132, -9.285412158817053]| 12.0060529708862305|     16.00000000|[897, 0, 0, 56]                                                            | | GPS sucess | actual_k=0
      29|[-46.174008548259735, -44.98621266335249, -6.138148612342775, 43.54820819199085, 8.511796422768384, -18.512114695739, 4.757246263325214, -41.591077857650816, 33.82783090695739, 18.223304577171803, 34.34585129097104, 15.411464172415435, 1.5636397153139114, -25.666013285517693, 17.357958652079105, -64.80150479264557, -21.47691068612039, -30.50854817032814, 23.96086273342371, 54.63762505352497, -30.609743176028132, -9.285412158817053]| 12.0060529708862305|      8.00000000|[929, 0, 0, 58]                                                            |  | used linear model with 33 points | actual_k=0
      30|[-46.174008548259735, -44.98621266335249, -6.138148612342775, 43.54820819199085, 8.511796422768384, -18.512114695739, 4.757246263325214, -41.591077857650816, 33.82783090695739, 18.223304577171803, 34.34585129097104, 15.411464172415435, 1.5636397153139114, -25.666013285517693, 17.357958652079105, -64.80150479264557, -21.47691068612039, -30.50854817032814, 23.96086273342371, 54.63762505352497, -30.609743176028132, -9.285412158817053]| 12.0060529708862305|      4.00000000|[961, 0, 0, 60]                                                            |  | used linear model with 33 points | actual_k=0
      31|[-46.74323093891144, -45.81867956370115, -5.685380137525499, 43.854947462677956, 9.010385670233518, -17.90408670110628, 5.89218557626009, -41.89024811331183, 32.563751336187124, 19.114993043243885, 34.37539269216359, 15.867429572157562, 0.9701901823282242, -24.968973860144615, 17.67323822528124, -65.65955865569413, -20.380335425958037, -30.88408213853836, 22.058708764612675, 54.76602756977081, -30.40072184614837, -9.687355931848288]| 11.9993028640747070|      8.00000000|[993, 0, 0, 62]                                                            | | GPS sucess | actual_k=0
      32|[-46.74323093891144, -45.81867956370115, -5.685380137525499, 43.854947462677956, 9.010385670233518, -17.90408670110628, 5.89218557626009, -41.89024811331183, 32.563751336187124, 19.114993043243885, 34.37539269216359, 15.867429572157562, 0.9701901823282242, -24.968973860144615, 17.67323822528124, -65.65955865569413, -20.380335425958037, -30.88408213853836, 22.058708764612675, 54.76602756977081, -30.40072184614837, -9.687355931848288]| 11.9993028640747070|      4.00000000|[1025, 0, 0, 64]                                                           |  | used linear model with 33 points | actual_k=0
      33|[-46.74323093891144, -45.81867956370115, -5.685380137525499, 43.854947462677956, 9.010385670233518, -17.90408670110628, 5.89218557626009, -41.89024811331183, 32.563751336187124, 19.114993043243885, 34.37539269216359, 15.867429572157562, 0.9701901823282242, -24.968973860144615, 17.67323822528124, -65.65955865569413, -20.380335425958037, -30.88408213853836, 22.058708764612675, 54.76602756977081, -30.40072184614837, -9.687355931848288]| 11.9993028640747070|      2.00000000|[1057, 0, 0, 66]                                                           |  | used linear model with 33 points | actual_k=0
      34|[-46.74323093891144, -45.81867956370115, -5.685380137525499, 43.854947462677956, 9.010385670233518, -17.90408670110628, 5.89218557626009, -41.89024811331183, 32.563751336187124, 19.114993043243885, 34.37539269216359, 15.867429572157562, 0.9701901823282242, -24.968973860144615, 17.67323822528124, -65.65955865569413, -20.380335425958037, -30.88408213853836, 22.058708764612675, 54.76602756977081, -30.40072184614837, -9.687355931848288]| 11.9993028640747070|      1.00000000|[1089, 0, 0, 68]                                                           |  | used linear model with 33 points | actual_k=0
      35|[-46.74872338306159, -46.12100400775671, -5.557822070084512, 43.84824639791623, 9.123613477218896, -17.91266308678314, 5.844523832201958, -42.10040517989546, 32.607681039720774, 19.19026105850935, 34.13844862766564, 16.04638123791665, 0.6789258271455765, -24.97596969595179, 18.158045686781406, -66.17784524150193, -20.3174947258085, -30.996380142867565, 22.055361768230796, 54.762228440493345, -30.442537499591708, -9.489433612674475]| 11.9990167617797852|      2.00000000|[1121, 0, 0, 70]                                                           | | GPS sucess | actual_k=0
      36|[-46.74872338306159, -46.12100400775671, -5.557822070084512, 43.84824639791623, 9.123613477218896, -17.91266308678314, 5.844523832201958, -42.10040517989546, 32.607681039720774, 19.19026105850935, 34.13844862766564, 16.04638123791665, 0.6789258271455765, -24.97596969595179, 18.158045686781406, -66.17784524150193, -20.3174947258085, -30.996380142867565, 22.055361768230796, 54.762228440493345, -30.442537499591708, -9.489433612674475]| 11.9990167617797852|      1.00000000|[1153, 0, 0, 72]                                                           |  | used linear model with 33 points | actual_k=0
      37|[-47.039686794392765, -45.83058749884367, -5.572769919410348, 44.03647712105885, 9.432789355982095, -18.18103451980278, 5.753770895302296, -41.948391609825194, 32.62784169614315, 19.442831806838512, 34.03885588236153, 15.895310866646469, 0.9793010801076889, -24.726600238587707, 17.967461474239826, -65.90708396025002, -20.606249576434493, -31.07567934691906, 22.159464171156287, 54.80696978420019, -30.23592692427337, -9.34973220154643]| 11.9986314773559570|      2.00000000|[1185, 0, 0, 74]                                                           | | GPS sucess | actual_k=0
      38|[-47.201886157505214, -45.78610209748149, -5.661515356972814, 44.202688115183264, 9.531399585772306, -18.711961283814162, 6.640798397362232, -42.032495834864676, 33.360105618834496, 19.766431234776974, 34.029147549532354, 15.910664891824126, 1.248249277472496, -24.175302752759308, 17.86204507946968, -66.04544881172478, -20.659438075497746, -30.122878953814507, 21.989164790138602, 55.026923917233944, -30.8028467874974, -9.134004723280668]| 11.9982185363769531|      4.00000000|[1217, 0, 0, 76]                                                           | | GPS sucess | actual_k=0
      39|[-47.201886157505214, -45.78610209748149, -5.661515356972814, 44.202688115183264, 9.531399585772306, -18.711961283814162, 6.640798397362232, -42.032495834864676, 33.360105618834496, 19.766431234776974, 34.029147549532354, 15.910664891824126, 1.248249277472496, -24.175302752759308, 17.86204507946968, -66.04544881172478, -20.659438075497746, -30.122878953814507, 21.989164790138602, 55.026923917233944, -30.8028467874974, -9.134004723280668]| 11.9982185363769531|      2.00000000|[1249, 0, 0, 78]                                                           |  | used linear model with 33 points | actual_k=0
      40|[-47.5623471243307, -46.64975241944194, -5.5332932490855455, 44.542923288885504, 9.390395917464048, -18.94992898358032, 6.168163187801838, -41.87956970278174, 32.87918971478939, 20.140982560813427, 34.370447411201894, 15.806343032047153, 0.6838535517454147, -24.3691817461513, 17.255769580602646, -67.15752831287682, -20.547558018937707, -30.055644795298576, 22.26083760522306, 54.85049932450056, -30.65956117026508, -9.356622066348791]| 11.9970121383666992|      4.00000000|[1281, 0, 0, 80]                                                           | | GPS sucess | actual_k=0
      41|[-49.26263530086726, -47.52610610052943, -5.275228502228856, 45.799146133009344, 9.83532614307478, -17.569073900114745, 6.016846172511578, -41.31285332981497, 32.88421863410622, 18.902237944304943, 33.941652609966695, 14.807242466136813, 0.20827816426754, -22.82828199258074, 17.409284994006157, -65.95452836342156, -21.31179721094668, -30.032018937170506, 22.270773829892278, 54.89030493423343, -29.805591775104403, -9.000169839709997]| 11.9931516647338867|      8.00000000|[1313, 0, 0, 82]                                                           | | GPS sucess | actual_k=0
      42|[-49.26263530086726, -47.52610610052943, -5.275228502228856, 45.799146133009344, 9.83532614307478, -17.569073900114745, 6.016846172511578, -41.31285332981497, 32.88421863410622, 18.902237944304943, 33.941652609966695, 14.807242466136813, 0.20827816426754, -22.82828199258074, 17.409284994006157, -65.95452836342156, -21.31179721094668, -30.032018937170506, 22.270773829892278, 54.89030493423343, -29.805591775104403, -9.000169839709997]| 11.9931516647338867|      4.00000000|[1345, 0, 0, 84]                                                           |  | used linear model with 33 points | actual_k=0
      43|[-49.26263530086726, -47.52610610052943, -5.275228502228856, 45.799146133009344, 9.83532614307478, -17.569073900114745, 6.016846172511578, -41.31285332981497, 32.88421863410622, 18.902237944304943, 33.941652609966695, 14.807242466136813, 0.20827816426754, -22.82828199258074, 17.409284994006157, -65.95452836342156, -21.31179721094668, -30.032018937170506, 22.270773829892278, 54.89030493423343, -29.805591775104403, -9.000169839709997]| 11.9931516647338867|      2.00000000|[1377, 0, 0, 86]                                                           |  | used linear model with 33 points | actual_k=0
      44|[-49.5222695870325, -47.74750116094947, -5.577618481591344, 46.14107702905312, 10.336543389130384, -16.830618187319487, 6.612459175288677, -42.208116822876036, 33.07931624446064, 18.466696046292782, 33.91082226205617, 15.0861926805228, -0.0889144092798233, -22.386159562971443, 16.68104051053524, -65.97461806051433, -21.090193266049027, -29.795801229774952, 22.243951519951224, 54.844419438391924, -29.970091385766864, -8.799195569008589]| 11.9914722442626953|      4.00000000|[1409, 0, 0, 88]                                                           | | GPS sucess | actual_k=0
      45|[-49.95559741090983, -47.470851954072714, -4.654934825375676, 46.28579950565472, 11.174198456574231, -16.317107185255736, 6.273344628512859, -41.539467685855925, 32.518276498652995, 17.465228103101254, 36.22623645234853, 14.752987099811435, -0.3485365957021713, -22.370160897728056, 17.163321271538734, -66.41424782387912, -21.379785919561982, -29.465528793632984, 22.50922446511686, 54.71129794791341, -31.899438066408038, -7.91555879637599]| 11.9904794692993164|      8.00000000|[1441, 0, 0, 90]                                                           | | GPS sucess | actual_k=0
      46|[-49.95559741090983, -47.470851954072714, -4.654934825375676, 46.28579950565472, 11.174198456574231, -16.317107185255736, 6.273344628512859, -41.539467685855925, 32.518276498652995, 17.465228103101254, 36.22623645234853, 14.752987099811435, -0.3485365957021713, -22.370160897728056, 17.163321271538734, -66.41424782387912, -21.379785919561982, -29.465528793632984, 22.50922446511686, 54.71129794791341, -31.899438066408038, -7.91555879637599]| 11.9904794692993164|      4.00000000|[1473, 0, 0, 92]                                                           |  | used linear model with 33 points | actual_k=0
      47|[-49.80798629950732, -49.35323041304946, -2.6135348696261644, 45.88711068267003, 11.079360507894307, -17.01534156454727, 6.424612946808338, -41.264126473106444, 33.440518842078745, 17.679441668093204, 36.52019565273076, 13.79562552087009, -1.4962333291769028, -22.187838619109243, 17.78715790808201, -64.67324645631015, -21.519548455253243, -29.443830581381917, 23.27509897015989, 55.04059009626508, -32.24805222265422, -7.838878143578768]| 11.9902324676513672|      8.00000000|[1505, 0, 0, 94]                                                           | | GPS sucess | actual_k=0
      48|[-51.681825201027095, -49.03639366850257, -2.046220423653722, 47.22663566702977, 12.643533610273153, -18.09865765227005, 7.3776043727993965, -41.49218460265547, 35.04352878127247, 14.954102016985416, 37.50368421245366, 13.110137833282351, -5.219071492552757, -19.97406822955236, 17.303604379296303, -63.512991501018405, -23.37210980989039, -29.322797367349267, 21.93108051083982, 52.59579997137189, -34.83860765211284, -9.331572759896517]| 11.9863243103027344|     16.00000000|[1537, 0, 0, 96]                                                           | | GPS sucess | actual_k=0
      49|[-53.96654228400439, -46.974452283233404, -3.753755571320653, 49.28993079299107, 13.144036375451833, -14.299501940142363, 6.64603603631258, -43.69738408271223, 37.42684887442738, 14.026982225477695, 41.140076090581715, 14.667338026687503, -3.7382188886404037, -21.33535856520757, 24.755001798272133, -62.369322491809726, -26.33288804627955, -38.72680432535708, 26.241037061437964, 52.21082179620862, -34.19523553363979, -9.7501748688519]| 11.9819822311401367|     32.00000000|[1569, 0, 0, 98]                                                           | | GPS sucess | actual_k=0
      50|[-53.96654228400439, -46.974452283233404, -3.753755571320653, 49.28993079299107, 13.144036375451833, -14.299501940142363, 6.64603603631258, -43.69738408271223, 37.42684887442738, 14.026982225477695, 41.140076090581715, 14.667338026687503, -3.7382188886404037, -21.33535856520757, 24.755001798272133, -62.369322491809726, -26.33288804627955, -38.72680432535708, 26.241037061437964, 52.21082179620862, -34.19523553363979, -9.7501748688519]| 11.9819822311401367|     16.00000000|[1601, 0, 0, 100]                                                          |  | used linear model with 33 points | actual_k=0
      51|[-58.609753648750484, -48.312868025153875, -2.4777611512690783, 52.599224301520735, 8.562534891534597, -19.09006504667923, 3.4873660877346992, -43.21573766414076, 39.154407248832285, 13.863077767193317, 36.9495701091364, 12.846724404022098, -4.12982939183712, -19.8079118183814, 16.91295076906681, -58.38754363171756, -28.53630248643458, -38.33439732529223, 23.301288535818458, 46.81863944604993, -34.21348510682583, -8.295571196824312]| 11.9758472442626953|     32.00000000|[1633, 0, 0, 102]                                                          | | GPS sucess | actual_k=0
