k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.166834756731987, 0.157649353146553, -0.2823886871337891, 0.3805079162120819, -0.1505714952945709, 0.1168291643261909, -0.275102436542511, -0.0063561266288161, -0.1015815734863281, -0.1157577559351921, -0.1703028529882431, 0.2026741802692413, 0.1128134354948997, -0.1968705058097839, 0.1834356784820557, -0.4231224358081818, -0.0279195439070463, 0.3752683103084564, -0.014877749606967, 0.0421353541314602, -0.133919894695282, -0.2724983394145966]| 14.2095594406127930|      2.00000000|[61, 4, 0, 1]                                                              | | GPS sucess | actual_k=4
      12|[-2.74918295443058, -4.191062390804291, -1.2939954698085785, 5.835629522800446, 0.1943442522315308, -1.6721812039613724, 1.709769368171692, 0.6328770285472274, -0.4880834072828293, -3.4888818189501762, -0.6688514468260109, 1.7740156657528132, -1.9057883024215698, 1.480349075049162, -3.3635421246290207, 3.862061530351639, 0.6496007312089205, 2.8813737332820892, -1.1127259861677885, -2.8514058757573366, 0.7214316129684448, 1.5322272181510925]| 12.1316699981689453|      4.00000000|[721, 48, 0, 12]                                                           |  | used linear model with 65 points | actual_k=4
      13|[-3.0649519115686417, -4.797497570514679, -2.413824290037155, 6.266142666339874, 0.1309825925854966, -0.8030765205621719, 2.651141941547394, 1.7856392031535506, 0.1613580137491226, -3.3517412915825844, -1.8639133688993752, 0.9344165928196162, -2.5143356919288635, 2.9071019999682903, -4.208278939127922, 3.85751144727692, -0.1252349149435759, 3.275548964738846, -0.7243236135691404, -2.640668110921979, 0.7852789685130119, 2.769980013370514]| 12.1310100555419922|      8.00000000|[781, 52, 0, 13]                                                           | | GPS sucess | actual_k=4
      14|[-3.9439444690942764, -5.903597414493561, -1.631126195192337, 6.892246305942535, -1.9897056074114516, -1.7281376272439957, 0.537839949131012, 2.158750510774553, 1.439213290810585, -2.564662493765354, -0.8751093265600502, -0.5215486877132207, -6.2242520451545715, 1.9155249707400799, -3.2784392684698105, 5.216157720889896, 3.370912479236722, 4.840350419282913, 0.937783258035779, -3.5752629209309816, 0.1718141362071037, 4.31148487329483]| 12.1280241012573242|     16.00000000|[841, 56, 0, 14]                                                           | | GPS sucess | actual_k=4
      15|[-3.9439444690942764, -5.903597414493561, -1.631126195192337, 6.892246305942535, -1.9897056074114516, -1.7281376272439957, 0.537839949131012, 2.158750510774553, 1.439213290810585, -2.564662493765354, -0.8751093265600502, -0.5215486877132207, -6.2242520451545715, 1.9155249707400799, -3.2784392684698105, 5.216157720889896, 3.370912479236722, 4.840350419282913, 0.937783258035779, -3.5752629209309816, 0.1718141362071037, 4.31148487329483]| 12.1280241012573242|      8.00000000|[901, 60, 0, 15]                                                           |  | used linear model with 65 points | actual_k=4
      16|[-5.574606791138649, -5.111571967601776, 0.305119127035141, 7.7855247259140015, -2.5856520981760696, -1.580880880355835, 0.9461716413497925, 0.9210173850879073, 2.0843443423509598, -2.3115259185433388, -2.451856624800712, 0.2559086091350764, -5.560619473457336, 2.186149012297392, 1.2528999000787735, 3.410341070499271, 1.5774215925484896, 5.003325819969177, 3.2888260055333376, -4.676445739343762, -1.8627982810139656, 3.063452899456024]| 12.1242780685424805|     16.00000000|[961, 64, 0, 16]                                                           | | GPS sucess | actual_k=4
      17|[-9.324805870652199, -3.9157814383506775, 3.959014505147934, 10.135549902915955, -1.905044421670027, -0.9178141355514526, -5.440900444984436, 6.429142690263689, 6.971383526921272, -2.575017847120762, -3.543843757826835, 4.3125587708782405, -6.345294296741486, -1.6072519905865192, 2.248763933777809, 4.986705110874027, -3.376902176067233, 3.5011924505233765, -0.4347667526453733, -6.056787269189954, -5.78278262168169, 4.462492883205414]| 12.1176929473876953|     32.00000000|[1021, 68, 0, 17]                                                          | | GPS sucess | actual_k=4
      18|[-17.654075279831886, -11.567826211452484, 1.7212620675563812, 17.545831084251404, -7.629172191140242, -3.842117667198181, 0.0088237524032593, 19.089825368486345, 6.146976664662361, -3.5828185454010963, -11.746234428603202, 5.190100134117529, -12.778647243976593, -1.220246184617281, -6.625037297606468, -2.040049268398434, -11.841126991435885, 4.682317614555359, 8.62533857114613, 4.4037401508539915, -4.528010316193104, 13.790556848049164]| 12.0920219421386719|     64.00000000|[1081, 72, 0, 18]                                                          | | GPS sucess | actual_k=4
      19|[-17.654075279831886, -11.567826211452484, 1.7212620675563812, 17.545831084251404, -7.629172191140242, -3.842117667198181, 0.0088237524032593, 19.089825368486345, 6.146976664662361, -3.5828185454010963, -11.746234428603202, 5.190100134117529, -12.778647243976593, -1.220246184617281, -6.625037297606468, -2.040049268398434, -11.841126991435885, 4.682317614555359, 8.62533857114613, 4.4037401508539915, -4.528010316193104, 13.790556848049164]| 12.0920219421386719|     32.00000000|[1141, 76, 0, 19]                                                          |  | used linear model with 65 points | actual_k=4
      20|[-21.431270018219948, -18.234625279903412, -5.640808969736099, 22.268718123435974, -11.447389230248518, -9.958605647087097, -6.144359230995178, 10.005151486955583, 2.605502560734749, -3.958639182150364, -18.03961802693084, -3.5695577256847173, -11.867419183254242, 1.4918872229754925, -9.004811629652977, 2.5200384124182165, -9.966634823009372, -3.292061448097229, 14.579786317422986, 15.432274086400867, -11.144597955048084, 9.908239781856537]| 12.0816659927368164|     64.00000000|[1201, 80, 0, 20]                                                          | | GPS sucess | actual_k=4
      21|[-20.735759750008583, -26.336229741573334, 12.750607579946518, 19.059764981269836, -14.163828954217024, -13.651984572410583, -15.945340752601624, 7.412197805009782, -7.094652697443962, -12.007257498800755, -13.622493278700858, 5.813438833458349, -15.521516501903534, -9.051196921616793, -27.97003112733364, -14.053430749569088, 1.0650033224374056, -8.7905832529068, -8.010345442220569, 25.703402740880847, -29.937036462128162, -18.734805643558502]| 12.0738515853881836|    128.00000000|[1261, 84, 0, 21]                                                          | | GPS sucess | actual_k=4
      22|[-20.735759750008583, -26.336229741573334, 12.750607579946518, 19.059764981269836, -14.163828954217024, -13.651984572410583, -15.945340752601624, 7.412197805009782, -7.094652697443962, -12.007257498800755, -13.622493278700858, 5.813438833458349, -15.521516501903534, -9.051196921616793, -27.97003112733364, -14.053430749569088, 1.0650033224374056, -8.7905832529068, -8.010345442220569, 25.703402740880847, -29.937036462128162, -18.734805643558502]| 12.0738515853881836|     64.00000000|[1321, 88, 0, 22]                                                          |  | used linear model with 65 points | actual_k=4
      23|[-20.735759750008583, -26.336229741573334, 12.750607579946518, 19.059764981269836, -14.163828954217024, -13.651984572410583, -15.945340752601624, 7.412197805009782, -7.094652697443962, -12.007257498800755, -13.622493278700858, 5.813438833458349, -15.521516501903534, -9.051196921616793, -27.97003112733364, -14.053430749569088, 1.0650033224374056, -8.7905832529068, -8.010345442220569, 25.703402740880847, -29.937036462128162, -18.734805643558502]| 12.0738515853881836|     32.00000000|[1381, 92, 0, 23]                                                          |  | used linear model with 65 points | actual_k=4
      24|[-22.77102042734623, -30.510038793087006, 1.5585986077785492, 22.904022574424744, -13.132868036744185, -15.523463129997253, -15.650184512138367, -2.97308471146971, -22.47586588561535, -0.368530310690403, -5.966454040724784, -7.7760987870860845, -16.722233951091766, -9.160664413124323, -25.521539077162743, -12.592370344791561, -7.39991862885654, -4.459584355354309, -8.438921703025699, 28.779657108709216, -33.82940287142992, -21.48243361711502]| 12.0696401596069336|     64.00000000|[1441, 96, 0, 24]                                                          | | GPS sucess | actual_k=4
      25|[-22.77102042734623, -30.510038793087006, 1.5585986077785492, 22.904022574424744, -13.132868036744185, -15.523463129997253, -15.650184512138367, -2.97308471146971, -22.47586588561535, -0.368530310690403, -5.966454040724784, -7.7760987870860845, -16.722233951091766, -9.160664413124323, -25.521539077162743, -12.592370344791561, -7.39991862885654, -4.459584355354309, -8.438921703025699, 28.779657108709216, -33.82940287142992, -21.48243361711502]| 12.0696401596069336|     32.00000000|[1501, 100, 0, 25]                                                         |  | used linear model with 65 points | actual_k=4
      26|[-22.77102042734623, -30.510038793087006, 1.5585986077785492, 22.904022574424744, -13.132868036744185, -15.523463129997253, -15.650184512138367, -2.97308471146971, -22.47586588561535, -0.368530310690403, -5.966454040724784, -7.7760987870860845, -16.722233951091766, -9.160664413124323, -25.521539077162743, -12.592370344791561, -7.39991862885654, -4.459584355354309, -8.438921703025699, 28.779657108709216, -33.82940287142992, -21.48243361711502]| 12.0696401596069336|     16.00000000|[1561, 104, 0, 26]                                                         |  | used linear model with 65 points | actual_k=4
      27|[-26.80161000788212, -27.106735408306122, 0.850007563829422, 25.951175570487976, -12.575489148613997, -19.058053135871887, -15.753848105669022, 1.3009612327441573, -24.630224987864494, 1.1390156373381615, -4.1268822071142495, -3.374739705817774, -21.196432769298553, -8.927810747176409, -30.376043662428856, -7.821407152805477, -10.143477750942111, -3.9403714537620544, -12.080831540748477, 25.191488010808825, -34.48401040583849, -15.996126472949982]| 12.0622167587280273|     32.00000000|[1621, 108, 0, 27]                                                         | | GPS sucess | actual_k=4
      28|[-26.80161000788212, -27.106735408306122, 0.850007563829422, 25.951175570487976, -12.575489148613997, -19.058053135871887, -15.753848105669022, 1.3009612327441573, -24.630224987864494, 1.1390156373381615, -4.1268822071142495, -3.374739705817774, -21.196432769298553, -8.927810747176409, -30.376043662428856, -7.821407152805477, -10.143477750942111, -3.9403714537620544, -12.080831540748477, 25.191488010808825, -34.48401040583849, -15.996126472949982]| 12.0622167587280273|     16.00000000|[1681, 112, 0, 28]                                                         |  | used linear model with 65 points | actual_k=4
      29|[-26.80161000788212, -27.106735408306122, 0.850007563829422, 25.951175570487976, -12.575489148613997, -19.058053135871887, -15.753848105669022, 1.3009612327441573, -24.630224987864494, 1.1390156373381615, -4.1268822071142495, -3.374739705817774, -21.196432769298553, -8.927810747176409, -30.376043662428856, -7.821407152805477, -10.143477750942111, -3.9403714537620544, -12.080831540748477, 25.191488010808825, -34.48401040583849, -15.996126472949982]| 12.0622167587280273|      8.00000000|[1741, 116, 0, 29]                                                         |  | used linear model with 65 points | actual_k=4
      30|[-28.49765957891941, -25.689020097255707, -1.4914142787456512, 27.586862802505493, -12.484367177006789, -19.25748746097088, -17.25147596001625, 1.3120712116360664, -22.962120100855827, -0.3619110956788063, -4.061456386465579, -1.2471392743755132, -21.197296196070965, -8.286654967814684, -29.810662791132927, -6.9344720975495875, -9.495258701965213, -2.380017578601837, -12.977653158828616, 23.882319075986743, -39.656149573624134, -16.047663383185863]| 12.0592651367187500|     16.00000000|[1801, 120, 0, 30]                                                         | | GPS sucess | actual_k=4
      31|[-28.57490087300539, -24.761378288269043, -7.308424681425095, 28.38257247209549, -9.345471188542433, -18.69161246716976, -12.800590187311172, -4.793278805911541, -26.436247155070305, 3.3539692983031273, -5.532199208159, -8.595543205039576, -19.003897005168255, -7.05914606526494, -27.83678512275219, -11.355351938400418, -6.857699049636722, -3.4367300868034363, -16.360739124938846, 27.591250522062182, -40.75027734786272, -14.231511764228344]| 12.0592422485351562|     32.00000000|[1861, 124, 0, 31]                                                         | | GPS sucess | actual_k=4
      32|[-28.57490087300539, -24.761378288269043, -7.308424681425095, 28.38257247209549, -9.345471188542433, -18.69161246716976, -12.800590187311172, -4.793278805911541, -26.436247155070305, 3.3539692983031273, -5.532199208159, -8.595543205039576, -19.003897005168255, -7.05914606526494, -27.83678512275219, -11.355351938400418, -6.857699049636722, -3.4367300868034363, -16.360739124938846, 27.591250522062182, -40.75027734786272, -14.231511764228344]| 12.0592422485351562|     16.00000000|[1921, 128, 0, 32]                                                         |  | used linear model with 65 points | actual_k=4
      33|[-28.57490087300539, -24.761378288269043, -7.308424681425095, 28.38257247209549, -9.345471188542433, -18.69161246716976, -12.800590187311172, -4.793278805911541, -26.436247155070305, 3.3539692983031273, -5.532199208159, -8.595543205039576, -19.003897005168255, -7.05914606526494, -27.83678512275219, -11.355351938400418, -6.857699049636722, -3.4367300868034363, -16.360739124938846, 27.591250522062182, -40.75027734786272, -14.231511764228344]| 12.0592422485351562|      8.00000000|[1981, 132, 0, 33]                                                         |  | used linear model with 65 points | actual_k=4
      34|[-27.458014138042927, -27.820685386657715, -8.259944885969162, 27.97905483841896, -8.643109068390913, -17.077298864722252, -11.725884109735489, -5.403408758342266, -30.345066115260124, 4.117454133927822, -4.531930510420352, -9.2710286967922, -19.108302669075783, -7.550377476960421, -26.051870748400688, -11.160910843405873, -6.214157475158572, -1.9985998272895813, -17.51622117869556, 25.46898709051311, -44.83781988173723, -15.104820065200329]| 12.0573539733886719|     16.00000000|[2041, 136, 0, 34]                                                         | | GPS sucess | actual_k=4
      35|[-31.682747967541218, -27.483582079410553, -7.875593274831772, 31.034401327371597, -7.632615193841048, -20.66235588490963, -8.82257428765297, -5.677470616996288, -35.09415201842785, 7.79036720842123, -5.295962397474796, -9.580886005656794, -17.61125143006211, -5.590949285775423, -28.45687048137188, -15.143432138953358, -2.8701259028166533, -7.170738041400909, -14.604022635146976, 24.287969334051013, -50.8824318125844, -13.515797547996044]| 12.0547323226928711|     32.00000000|[2101, 140, 0, 35]                                                         | | GPS sucess | actual_k=4
      36|[-31.682747967541218, -27.483582079410553, -7.875593274831772, 31.034401327371597, -7.632615193841048, -20.66235588490963, -8.82257428765297, -5.677470616996288, -35.09415201842785, 7.79036720842123, -5.295962397474796, -9.580886005656794, -17.61125143006211, -5.590949285775423, -28.45687048137188, -15.143432138953358, -2.8701259028166533, -7.170738041400909, -14.604022635146976, 24.287969334051013, -50.8824318125844, -13.515797547996044]| 12.0547323226928711|     16.00000000|[2161, 144, 0, 36]                                                         |  | used linear model with 65 points | actual_k=4
      37|[-30.8826919272542, -27.807767152786255, -8.16289296746254, 30.617642641067505, -10.706131562707014, -21.998814210295677, -7.408636122941971, -7.814213685691357, -36.324876591563225, 8.717474423348904, -9.809547488112003, -15.817979931132868, -14.776111678627785, -8.559483278542757, -30.147726699709892, -15.461873202119023, 0.5765498746186495, -12.601794064044952, -17.034397734329104, 18.47658465616405, -49.203748293221, -8.415029935538769]| 12.0493679046630859|     32.00000000|[2221, 148, 0, 37]                                                         | | GPS sucess | actual_k=4
      38|[-33.347754307091236, -19.945406675338745, -7.735492408275604, 31.98068332672119, -8.4107569308253, -22.76974706351757, -10.446213752031326, -9.614400677382946, -47.50806026160717, -8.40448335558176, -6.85322004975751, -16.60892367293127, -10.347916678932961, -7.268896926194429, -23.23701636493206, -9.741140036378056, -7.443122519180179, -2.690749943256378, -22.588192595168948, 25.329313023015857, -51.4148820117116, -6.56248527020216]| 12.0488748550415039|     64.00000000|[2281, 152, 0, 38]                                                         | | GPS sucess | actual_k=4
      39|[-44.438922710716724, -23.589738845825195, 1.5098384022712708, 39.506094455718994, -27.88172326993663, -18.87231568992138, -11.6381815969944, 8.858556933701038, -47.10804136097431, 0.3018374070525169, -2.4843755406327546, -0.3794848911929876, -14.429978923348244, 5.164478432387114, -47.85304228961468, 4.385308594908565, 5.674073563888669, -14.460477650165558, -34.67306484095752, 31.059818966314197, -36.16567737609148, 13.386125035583973]| 12.0313463211059570|    128.00000000|[2341, 156, 0, 39]                                                         | | GPS sucess | actual_k=4
      40|[-44.438922710716724, -23.589738845825195, 1.5098384022712708, 39.506094455718994, -27.88172326993663, -18.87231568992138, -11.6381815969944, 8.858556933701038, -47.10804136097431, 0.3018374070525169, -2.4843755406327546, -0.3794848911929876, -14.429978923348244, 5.164478432387114, -47.85304228961468, 4.385308594908565, 5.674073563888669, -14.460477650165558, -34.67306484095752, 31.059818966314197, -36.16567737609148, 13.386125035583973]| 12.0313463211059570|     64.00000000|[2401, 160, 0, 40]                                                         |  | used linear model with 65 points | actual_k=4
      41|[-44.438922710716724, -23.589738845825195, 1.5098384022712708, 39.506094455718994, -27.88172326993663, -18.87231568992138, -11.6381815969944, 8.858556933701038, -47.10804136097431, 0.3018374070525169, -2.4843755406327546, -0.3794848911929876, -14.429978923348244, 5.164478432387114, -47.85304228961468, 4.385308594908565, 5.674073563888669, -14.460477650165558, -34.67306484095752, 31.059818966314197, -36.16567737609148, 13.386125035583973]| 12.0313463211059570|     32.00000000|[2461, 164, 0, 41]                                                         |  | used linear model with 65 points | actual_k=4
      42|[-49.57674438506365, -26.2313711643219, -4.087303340435028, 44.64858293533325, -19.301338061806746, -7.270637795329094, -11.084730416536331, 15.439984031021595, -48.09507454931736, 12.33352705091238, -1.1680287760682404, 0.4641278393100947, -21.065503196266945, -0.3961666710674763, -37.692247077822685, 13.653446526732296, 11.911422120407224, -15.55072170495987, -27.111375464126468, 27.837495310232043, -32.35188848525286, 20.157730527222157]| 12.0149297714233398|     64.00000000|[2521, 168, 0, 42]                                                         | | GPS sucess | actual_k=4
      43|[-49.57674438506365, -26.2313711643219, -4.087303340435028, 44.64858293533325, -19.301338061806746, -7.270637795329094, -11.084730416536331, 15.439984031021595, -48.09507454931736, 12.33352705091238, -1.1680287760682404, 0.4641278393100947, -21.065503196266945, -0.3961666710674763, -37.692247077822685, 13.653446526732296, 11.911422120407224, -15.55072170495987, -27.111375464126468, 27.837495310232043, -32.35188848525286, 20.157730527222157]| 12.0149297714233398|     32.00000000|[2581, 172, 0, 43]                                                         |  | used linear model with 65 points | actual_k=4
      44|[-50.92024762183428, -30.117053985595703, -3.72380194067955, 45.92257738113403, -17.444338783738203, -10.253715321421623, -15.094928056001663, 5.301384635269642, -61.93798913061619, 0.2670149430632591, 11.626546915154904, 4.837456048233435, -22.61560149624711, 4.660186421126127, -32.25739638507366, 20.075698228087276, 14.082251654937863, -20.225437700748444, -36.19109786860645, 29.98127649538219, -30.83825022727251, 29.519462056457996]| 12.0116720199584961|     64.00000000|[2641, 176, 0, 44]                                                         | | GPS sucess | actual_k=4
      45|[-50.92024762183428, -30.117053985595703, -3.72380194067955, 45.92257738113403, -17.444338783738203, -10.253715321421623, -15.094928056001663, 5.301384635269642, -61.93798913061619, 0.2670149430632591, 11.626546915154904, 4.837456048233435, -22.61560149624711, 4.660186421126127, -32.25739638507366, 20.075698228087276, 14.082251654937863, -20.225437700748444, -36.19109786860645, 29.98127649538219, -30.83825022727251, 29.519462056457996]| 12.0116720199584961|     32.00000000|[2701, 180, 0, 45]                                                         |  | used linear model with 65 points | actual_k=4
      46|[-54.533866710960865, -40.57713222503662, -11.726557105779648, 50.50148010253906, -24.55054377031047, 4.080764010548592, -18.412995606660843, 6.492348380386829, -61.7031639367342, 0.6546556577086449, 9.038187320809811, 4.325584769947454, -18.253487066773232, 11.345034252852201, -35.01325313746929, 19.930732713546604, 12.615172015503049, -24.553995668888092, -43.874204291030765, 29.568047298118472, -20.9079867079854, 26.141880460083485]| 11.9911823272705078|     64.00000000|[2761, 184, 0, 46]                                                         | | GPS sucess | actual_k=4
      47|[-55.895794935524464, -63.33102512359619, -5.605100005865097, 52.32832312583923, -19.09342764329631, 10.979087069630623, -45.431098252534866, 19.458044715225697, -57.832713201642036, -0.7481599226593971, 18.81772642908618, -0.3299337618518621, -6.624115423706826, -10.13182770088315, -37.018585845828056, -2.66780091682449, -8.694033993408084, -43.82311111688614, -48.25299228541553, 22.516049159690738, -24.846152134239674, 41.94049686938524]| 11.9729385375976562|    128.00000000|[2821, 188, 0, 47]                                                         | | GPS sucess | actual_k=4
      48|[-55.895794935524464, -63.33102512359619, -5.605100005865097, 52.32832312583923, -19.09342764329631, 10.979087069630623, -45.431098252534866, 19.458044715225697, -57.832713201642036, -0.7481599226593971, 18.81772642908618, -0.3299337618518621, -6.624115423706826, -10.13182770088315, -37.018585845828056, -2.66780091682449, -8.694033993408084, -43.82311111688614, -48.25299228541553, 22.516049159690738, -24.846152134239674, 41.94049686938524]| 11.9729385375976562|     64.00000000|[2881, 192, 0, 48]                                                         |  | used linear model with 65 points | actual_k=4
      49|[-59.621603794395924, -58.437116622924805, 0.7471496164798737, 53.74270057678223, -3.5536689610453323, 11.408634319901466, -27.097287446260452, 54.37199277430773, -60.96773083508015, 5.664168797433376, 33.474383648019284, 1.3338626630138606, -20.87574906781083, -34.824445117264986, -25.394726440310478, -11.240645422134548, 5.928247081115842, -42.066074669361115, -43.49939741007984, 40.385920299217105, -33.91017610579729, 33.49616951495409]| 11.9616527557373047|    128.00000000|[2941, 196, 0, 49]                                                         | | GPS sucess | actual_k=4
      50|[-59.621603794395924, -58.437116622924805, 0.7471496164798737, 53.74270057678223, -3.5536689610453323, 11.408634319901466, -27.097287446260452, 54.37199277430773, -60.96773083508015, 5.664168797433376, 33.474383648019284, 1.3338626630138606, -20.87574906781083, -34.824445117264986, -25.394726440310478, -11.240645422134548, 5.928247081115842, -42.066074669361115, -43.49939741007984, 40.385920299217105, -33.91017610579729, 33.49616951495409]| 11.9616527557373047|     64.00000000|[3001, 200, 0, 50]                                                         |  | used linear model with 65 points | actual_k=4
      51|[-59.621603794395924, -58.437116622924805, 0.7471496164798737, 53.74270057678223, -3.5536689610453323, 11.408634319901466, -27.097287446260452, 54.37199277430773, -60.96773083508015, 5.664168797433376, 33.474383648019284, 1.3338626630138606, -20.87574906781083, -34.824445117264986, -25.394726440310478, -11.240645422134548, 5.928247081115842, -42.066074669361115, -43.49939741007984, 40.385920299217105, -33.91017610579729, 33.49616951495409]| 11.9616527557373047|     32.00000000|[3061, 204, 0, 51]                                                         |  | used linear model with 65 points | actual_k=4
