k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1703815907239914, 0.340261310338974, -0.2918848991394043, 0.2596587538719177, -0.0531272292137146, 0.2253860980272293, -0.0945106595754623, 0.0251506362110376, -0.0826609134674072, 0.0144698210060596, -0.1295367926359177, -0.2830583453178406, -0.2213968485593796, -0.2909031808376312, 0.0203376580029726, -0.0806582421064377, 0.1025073155760765, -0.1063051819801331, 0.1745223999023438, 0.3602338433265686, -0.1755805164575577, 0.4266362190246582]| 14.3782787322998047|      2.00000000|[16, 1, 0, 1]                                                              | | GPS sucess | actual_k=1
       2|[0.4017368704080582, 0.7368647456169128, -0.307356963865459, 1.1179901957511902, 0.2256766259670258, 0.2755560353398323, 0.2883624881505966, 0.2314246837049723, -0.1944978013634682, 0.4060554094612598, 0.993653729557991, -0.0836738646030426, 0.1040187925100327, -0.555913507938385, -0.249057961627841, 0.0078218206763268, 0.1699910089373589, 0.3477712571620941, 0.4236556738615036, -0.3429346680641174, 0.0193436741828918, -0.0772340297698975]| 13.0015897750854492|      4.00000000|[31, 2, 0, 2]                                                              | | GPS sucess | actual_k=1
       3|[0.5479229241609573, 1.4730808734893799, -1.4214760167524219, 2.3045700192451477, 0.2886678650975227, -0.3592452928423882, 1.4154900163412094, -0.1018196102231741, -1.2351628318428993, -1.2883347682654858, 1.3834091573953629, -0.8766596019268036, 0.7422547787427902, 0.3000537753105164, -1.6121694575995207, -0.5439863577485085, -0.0552404746413231, 0.3358321152627468, 1.3632378429174423, -0.8695681691169739, -0.223907932639122, 1.2233442068099976]| 12.2384777069091797|      8.00000000|[46, 3, 0, 3]                                                              | | GPS sucess | actual_k=1
       4|[3.3128975182771683, 2.2807340025901794, -1.153184781782329, 0.3938297629356384, 1.4020275548100471, -0.777556411921978, 0.9855334013700485, 1.6257027629762888, -1.4843721762299538, 0.3793203420937061, 1.5085323750972748, -1.4703106582164764, -1.2786500006914139, -1.3785657286643982, -3.329584551975131, -3.2503300085663795, 3.1850072517991066, 1.7775452099740505, 1.0538338273763657, 0.4043499827384949, -1.47357939183712, 4.562662243843079]| 12.1645765304565430|     16.00000000|[61, 4, 0, 4]                                                              | | GPS sucess | actual_k=1
       5|[4.577923610806465, 5.760695159435272, -0.9711080892011523, -0.5680162310600281, 8.400433011353016, -2.3711996003985405, -3.450951412320137, 6.4545687679201365, -0.730476476252079, -0.2794238738715649, -1.09659543633461, -2.9706866443157196, -2.2641393691301346, -1.5430082380771637, 4.811704205349088, -6.0259340181946754, 9.171968139708042, 1.9820557497441769, -1.7194775491952896, -0.7229738831520081, -4.433798059821129, 1.70256507396698]| 12.1577777862548828|     32.00000000|[76, 5, 0, 5]                                                              | | GPS sucess | actual_k=1
      16|[-62.733039662241936, 20.616516292095184, 28.802114357240498, 45.93166095018387, -7.3210009559988976, 51.95998729020357, -64.38710422813892, -46.03825674019754, 5.232512019574642, 36.795549888163805, -25.977960139513016, -25.686178416013718, 44.41509102284908, -15.65721108019352, 67.48806385882199, -8.710124053061008, -36.302960477769375, 14.743305625859648, 28.359745249152184, 26.711264312267303, -21.899553880095482, 45.319522589445114]| 12.0023384094238281|    256.00000000|[1114, 82, 0, 82]                                                          |  | trying linear partial model with 16 points | trying quadratic partial model with 29 points| GPS sucess | actual_k=1
      17|[-62.733039662241936, 20.616516292095184, 28.802114357240498, 45.93166095018387, -7.3210009559988976, 51.95998729020357, -64.38710422813892, -46.03825674019754, 5.232512019574642, 36.795549888163805, -25.977960139513016, -25.686178416013718, 44.41509102284908, -15.65721108019352, 67.48806385882199, -8.710124053061008, -36.302960477769375, 14.743305625859648, 28.359745249152184, 26.711264312267303, -21.899553880095482, 45.319522589445114]| 12.0023384094238281|    128.00000000|[1246, 92, 0, 92]                                                          |  | trying linear partial model with 16 points | trying quadratic partial model with 29 points | trying quadratic partial model with 42 points | trying quadratic partial model with 55 points | trying quadratic partial model with 68 points | trying quadratic partial model with 81 points | trying quadratic partial model with 94 points | trying quadratic partial model with 107 points | trying quadratic partial model with 120 points | exploitation failed, decreasing delta | actual_k=1
      18|[-75.4412019699812, -14.344474613666534, 40.803349365480244, 55.85860854387283, 18.336116887629032, 97.34560740739107, -29.321361735463142, -9.022540187463164, 49.88867428153753, -6.382550697773695, -49.58388093113899, -62.422186106443405, 15.73568581044674, -53.72312141954899, 64.18096642382443, 6.044039689004421, -47.637552343308926, 20.225901546422392, 16.073874697089195, 40.53801888227463, -40.23463688790798, 63.69011279940605]| 11.9710617065429688|    256.00000000|[1340, 99, 0, 99]                                                          |  | trying linear partial model with 16 points | trying quadratic partial model with 29 points | trying quadratic partial model with 42 points | trying quadratic partial model with 55 points | trying quadratic partial model with 68 points | trying quadratic partial model with 81 points| GPS sucess | actual_k=1
      19|[-158.31536273658276, -1.0007990002632141, 0.2002457277849317, 127.05819350481033, -69.33357610553503, 73.08892596513033, -41.2020093947649, 17.308525944128633, 56.664205096662045, 72.5144448466599, 9.40114638209343, -36.51818868517876, 75.5760559886694, -1.4517858177423477, 104.02698998339474, 37.81959816068411, -86.32980927079916, 40.19434255594388, -5.790028348565102, -74.91955405473709, -100.29370366036892, 127.09464237093925]| 11.7820405960083008|    512.00000000|[1395, 103, 0, 103]                                                        |  | trying linear partial model with 16 points | trying quadratic partial model with 30 points | trying quadratic partial model with 43 points| GPS sucess | actual_k=1
      20|[-158.31536273658276, -1.0007990002632141, 0.2002457277849317, 127.05819350481033, -69.33357610553503, 73.08892596513033, -41.2020093947649, 17.308525944128633, 56.664205096662045, 72.5144448466599, 9.40114638209343, -36.51818868517876, 75.5760559886694, -1.4517858177423477, 104.02698998339474, 37.81959816068411, -86.32980927079916, 40.19434255594388, -5.790028348565102, -74.91955405473709, -100.29370366036892, 127.09464237093925]| 11.7820405960083008|    256.00000000|[1528, 113, 0, 113]                                                        |  | trying linear partial model with 16 points | trying quadratic partial model with 29 points | trying quadratic partial model with 42 points | trying quadratic partial model with 55 points | trying quadratic partial model with 68 points | trying quadratic partial model with 81 points | trying quadratic partial model with 94 points | trying quadratic partial model with 107 points | trying quadratic partial model with 121 points | exploitation failed, decreasing delta | actual_k=1
      21|[-158.31536273658276, -1.0007990002632141, 0.2002457277849317, 127.05819350481033, -69.33357610553503, 73.08892596513033, -41.2020093947649, 17.308525944128633, 56.664205096662045, 72.5144448466599, 9.40114638209343, -36.51818868517876, 75.5760559886694, -1.4517858177423477, 104.02698998339474, 37.81959816068411, -86.32980927079916, 40.19434255594388, -5.790028348565102, -74.91955405473709, -100.29370366036892, 127.09464237093925]| 11.7820405960083008|    128.00000000|[1661, 123, 0, 123]                                                        |  | trying linear partial model with 16 points | trying quadratic partial model with 29 points | trying quadratic partial model with 42 points | trying quadratic partial model with 56 points | trying quadratic partial model with 69 points | trying quadratic partial model with 82 points | trying quadratic partial model with 95 points | trying quadratic partial model with 108 points | trying quadratic partial model with 121 points | exploitation failed, decreasing delta | actual_k=1
      22|[-158.31536273658276, -1.0007990002632141, 0.2002457277849317, 127.05819350481033, -69.33357610553503, 73.08892596513033, -41.2020093947649, 17.308525944128633, 56.664205096662045, 72.5144448466599, 9.40114638209343, -36.51818868517876, 75.5760559886694, -1.4517858177423477, 104.02698998339474, 37.81959816068411, -86.32980927079916, 40.19434255594388, -5.790028348565102, -74.91955405473709, -100.29370366036892, 127.09464237093925]| 11.7820405960083008|     64.00000000|[1794, 133, 0, 133]                                                        |  | trying linear partial model with 16 points | trying quadratic partial model with 29 points | trying quadratic partial model with 42 points | trying quadratic partial model with 55 points | trying quadratic partial model with 68 points | trying quadratic partial model with 81 points | trying quadratic partial model with 94 points | trying quadratic partial model with 107 points | trying quadratic partial model with 121 points | exploitation failed, decreasing delta | actual_k=1
      23|[-168.3845270127058, -16.64068967103958, -19.689461837522686, 139.34735614061356, -66.38479342311621, 72.96355468779802, -29.37285251915455, 14.238874102011323, 81.66600181907415, 77.88711502030492, 6.91763374209404, -37.98995491862297, 84.33814857900143, -3.2829132229089737, 132.50717263109982, 23.045586548745632, -63.427021108567715, 41.37823873991147, -26.139248624444008, -80.13122016191483, -85.81301747262478, 136.9246127307415]| 11.7645168304443359|    128.00000000|[1823, 135, 0, 135]                                                        |  | trying linear partial model with 16 points| GPS sucess | actual_k=1
      24|[-168.3845270127058, -16.64068967103958, -19.689461837522686, 139.34735614061356, -66.38479342311621, 72.96355468779802, -29.37285251915455, 14.238874102011323, 81.66600181907415, 77.88711502030492, 6.91763374209404, -37.98995491862297, 84.33814857900143, -3.2829132229089737, 132.50717263109982, 23.045586548745632, -63.427021108567715, 41.37823873991147, -26.139248624444008, -80.13122016191483, -85.81301747262478, 136.9246127307415]| 11.7645168304443359|     64.00000000|[1958, 145, 0, 145]                                                        |  | trying linear partial model with 16 points | trying quadratic partial model with 29 points | trying quadratic partial model with 43 points | trying quadratic partial model with 56 points | trying quadratic partial model with 70 points | trying quadratic partial model with 83 points | trying quadratic partial model with 97 points | trying quadratic partial model with 110 points | trying quadratic partial model with 123 points | exploitation failed, decreasing delta | actual_k=1
      25|[-168.3845270127058, -16.64068967103958, -19.689461837522686, 139.34735614061356, -66.38479342311621, 72.96355468779802, -29.37285251915455, 14.238874102011323, 81.66600181907415, 77.88711502030492, 6.91763374209404, -37.98995491862297, 84.33814857900143, -3.2829132229089737, 132.50717263109982, 23.045586548745632, -63.427021108567715, 41.37823873991147, -26.139248624444008, -80.13122016191483, -85.81301747262478, 136.9246127307415]| 11.7645168304443359|     32.00000000|[2091, 155, 0, 155]                                                        |  | trying linear partial model with 16 points | trying quadratic partial model with 29 points | trying quadratic partial model with 42 points | trying quadratic partial model with 55 points | trying quadratic partial model with 68 points | trying quadratic partial model with 82 points | trying quadratic partial model with 95 points | trying quadratic partial model with 108 points | trying quadratic partial model with 121 points | exploitation failed, decreasing delta | actual_k=1
      26|[-167.75763873755932, -7.190478146076202, -19.219668011181056, 138.51258981227875, -66.8771789893508, 68.08561307936907, -37.77277393639088, 6.72481551207602, 82.04569023102522, 68.46797611191869, -5.006241112947464, -46.524717301130295, 94.55147407948971, -3.94729246199131, 137.34374289400876, 18.93187852948904, -54.50156792253256, 43.50280291074887, -23.0883317142725, -68.31356936693192, -85.43639914691448, 126.92018386721611]| 11.7554779052734375|     64.00000000|[2146, 159, 0, 159]                                                        |  | trying linear partial model with 16 points | trying quadratic partial model with 30 points | trying quadratic partial model with 43 points| GPS sucess | actual_k=1
      27|[-182.6124608963728, -1.4030845761299133, -16.675542454235256, 149.3835357427597, -71.27554830163717, 74.80813533812761, -14.711179926991463, -3.297399377450347, 71.18717735260725, 79.56621314957738, 15.235381811857224, -44.693327873945236, 125.77802704274654, -3.85670817643404, 136.1681516636163, 22.16442557424307, -60.50948866456747, 60.471421303693205, -35.14923621714115, -43.479937851428986, -94.37513034045696, 112.3197314441204]| 11.7311801910400391|    128.00000000|[2174, 161, 0, 161]                                                        |  | trying linear partial model with 16 points| GPS sucess | actual_k=1
      28|[-198.5048883408308, 25.249873340129852, -11.114974121563137, 158.74574410915375, -59.817423187196255, 101.78346759825945, 30.646280094981194, -8.73878893814981, 48.200378112494946, 51.81066085770726, 17.370766133069992, -98.28910347819328, 118.73921202123165, -0.0229893997311592, 146.51301650889218, 10.995808325707912, -34.577560029923916, 111.15680033201352, -18.74526359140873, -14.770890533924103, -116.80142466723919, 57.11935684084892]| 11.7121486663818359|    256.00000000|[2293, 170, 0, 170]                                                        |  | trying linear partial model with 16 points | trying quadratic partial model with 29 points | trying quadratic partial model with 42 points | trying quadratic partial model with 55 points | trying quadratic partial model with 68 points | trying quadratic partial model with 81 points | trying quadratic partial model with 94 points | trying quadratic partial model with 107 points| GPS sucess | actual_k=1
      29|[-198.5048883408308, 25.249873340129852, -11.114974121563137, 158.74574410915375, -59.817423187196255, 101.78346759825945, 30.646280094981194, -8.73878893814981, 48.200378112494946, 51.81066085770726, 17.370766133069992, -98.28910347819328, 118.73921202123165, -0.0229893997311592, 146.51301650889218, 10.995808325707912, -34.577560029923916, 111.15680033201352, -18.74526359140873, -14.770890533924103, -116.80142466723919, 57.11935684084892]| 11.7121486663818359|    128.00000000|[2426, 180, 0, 180]                                                        |  | trying linear partial model with 16 points | trying quadratic partial model with 29 points | trying quadratic partial model with 42 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 56 points | trying quadratic partial model with 69 points | trying quadratic partial model with 82 points | trying quadratic partial model with 95 points | trying quadratic partial model with 108 points | trying quadratic partial model with 121 points | exploitation failed, decreasing delta | actual_k=1
      30|[-245.02718524634838, 14.522842586040497, -14.448505978100002, 197.25210320949554, -67.22809251397848, 113.00029022246599, 54.34837894141674, -6.865420078858733, 66.6461121365428, 6.004008788615465, 16.08974453806877, -143.41728875041008, 145.6233882755041, 22.474653117358685, 126.30251960642636, 6.354876719415188, -50.936812959611416, 110.95160766178742, 33.58758018910885, 22.34131497144699, -142.48558680713177, 30.932646483182907]| 11.6996555328369141|    256.00000000|[2454, 182, 0, 182]                                                        |  | trying linear partial model with 16 points| GPS sucess | actual_k=1
      31|[-257.73430804908276, 52.50883883237839, 58.288554568775, 191.18148982524872, -46.663744293153286, 119.76913435012102, -8.143968775868416, 65.37974288500845, 43.46808212250471, 1.5131445117294788, -13.872207671403885, -209.42258355021477, 126.6594505161047, 61.387929789721966, 111.68386249430478, 11.72030135244131, -46.32382019609213, 2.2777719073928893, 69.78458259999752, 19.86779421567917, -17.325903579592705, -79.83723571896553]| 11.6040935516357422|    512.00000000|[2521, 187, 0, 187]                                                        |  | trying linear partial model with 16 points | trying quadratic partial model with 29 points | trying quadratic partial model with 42 points | trying quadratic partial model with 55 points| GPS sucess | actual_k=1
      32|[-257.73430804908276, 52.50883883237839, 58.288554568775, 191.18148982524872, -46.663744293153286, 119.76913435012102, -8.143968775868416, 65.37974288500845, 43.46808212250471, 1.5131445117294788, -13.872207671403885, -209.42258355021477, 126.6594505161047, 61.387929789721966, 111.68386249430478, 11.72030135244131, -46.32382019609213, 2.2777719073928893, 69.78458259999752, 19.86779421567917, -17.325903579592705, -79.83723571896553]| 11.6040935516357422|    256.00000000|[2654, 197, 0, 197]                                                        |  | trying linear partial model with 16 points | trying quadratic partial model with 30 points | trying quadratic partial model with 43 points | trying quadratic partial model with 56 points | trying quadratic partial model with 69 points | trying quadratic partial model with 82 points | trying quadratic partial model with 95 points | trying quadratic partial model with 108 points | trying quadratic partial model with 121 points | exploitation failed, decreasing delta | actual_k=1
      33|[-257.73430804908276, 52.50883883237839, 58.288554568775, 191.18148982524872, -46.663744293153286, 119.76913435012102, -8.143968775868416, 65.37974288500845, 43.46808212250471, 1.5131445117294788, -13.872207671403885, -209.42258355021477, 126.6594505161047, 61.387929789721966, 111.68386249430478, 11.72030135244131, -46.32382019609213, 2.2777719073928893, 69.78458259999752, 19.86779421567917, -17.325903579592705, -79.83723571896553]| 11.6040935516357422|    128.00000000|[2788, 207, 0, 207]                                                        |  | trying linear partial model with 16 points | trying quadratic partial model with 30 points | trying quadratic partial model with 43 points | trying quadratic partial model with 57 points | trying quadratic partial model with 70 points | trying quadratic partial model with 83 points | trying quadratic partial model with 96 points | trying quadratic partial model with 109 points | trying quadratic partial model with 122 points | exploitation failed, decreasing delta | actual_k=1
      34|[-261.7015321701765, 23.780273616313934, 99.38270511198789, 189.579483628273, -53.369462333619595, 124.80592329055071, -31.47957630455494, 76.51006820239127, 5.783778838813305, 30.586379069834948, -15.758766680955887, -238.3961953818798, 97.85043714940548, 119.68787180632353, 143.88993244059384, 12.600635550916195, -65.61415871232748, 37.37076278263703, 81.70151089131832, 12.471841037273407, -48.5174547880888, -124.1584179699421]| 11.5680685043334961|    256.00000000|[2803, 208, 0, 208]                                                        | | GPS sucess | actual_k=1
      35|[-249.35220985114574, -43.687370121479034, 97.30966081190854, 184.56630861759186, -85.46278127282858, 213.24985487014055, -23.630552008748055, 38.41855361498892, -66.73175460845232, 22.886936206370592, 68.34234568476677, -260.35724541544914, 100.2093806117773, 88.76475893706083, 101.84817676432431, -72.89111707359552, -42.46218308061361, 3.649987178388983, 5.478564724326134, 50.771725833415985, -171.37007777392864, -183.1786129772663]| 11.5373792648315430|    512.00000000|[2831, 210, 0, 210]                                                        |  | trying linear partial model with 16 points| GPS sucess | actual_k=1
      36|[-303.9239948242903, -106.4178426861763, 44.24236955214292, 240.7646461725235, -100.62902387231588, 443.68535596877337, 41.70231847465038, -38.01699326001108, -139.43464309722185, 32.42298700287938, 111.11954066157341, -229.83310028910637, 173.702712520957, 30.729629389941692, 44.27734165079892, -312.95994947105646, 40.86790267378092, 17.05608172947541, -169.85793735086918, -56.489573299884796, 53.695153549313545, -272.25264862179756]| 11.3947734832763672|   1024.00000000|[2940, 218, 0, 218]                                                        |  | trying linear partial model with 16 points | trying quadratic partial model with 30 points | trying quadratic partial model with 44 points | trying quadratic partial model with 57 points | trying quadratic partial model with 70 points | trying quadratic partial model with 84 points | trying quadratic partial model with 97 points| GPS sucess | actual_k=1
