k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[20.721861839294434, 1.5313697457313538, 2.0582194067537785, 1.6774395406246185, 0.5897005021572113]|5798.6899414062500000|      2.00000000|[15, 2, 0, 1]                                                              | | GPS sucess | actual_k=2
       2|[19.89513248205185, 2.5104073882102966, 3.4271163679659367, 2.3727371394634247, 0.6158998448401689]|3676.1386718750000000|      4.00000000|[29, 4, 0, 2]                                                              | | GPS sucess | actual_k=2
       3|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      8.00000000|[43, 6, 0, 3]                                                              | | GPS sucess | actual_k=2
       4|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      4.00000000|[70, 10, 0, 5]                                                             |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       5|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      2.00000000|[97, 14, 0, 7]                                                             |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       6|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      1.00000000|[123, 18, 0, 9]                                                            |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       7|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.50000000|[148, 22, 0, 11]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      18|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.00024414|[425, 66, 0, 33]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      19|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.00012207|[450, 70, 0, 35]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      20|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.00006104|[475, 74, 0, 37]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      21|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.00003052|[500, 78, 0, 39]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      22|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.00001526|[525, 82, 0, 41]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      23|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.00000763|[550, 86, 0, 43]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      24|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.00000381|[576, 90, 0, 45]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      25|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.00000191|[601, 94, 0, 47]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      26|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.00000095|[626, 98, 0, 49]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      27|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.00000048|[651, 102, 0, 51]                                                          |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
