k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1703815907239914, 0.340261310338974, -0.2918848991394043, 0.2596587538719177, -0.0531272292137146, 0.2253860980272293, -0.0945106595754623, 0.0251506362110376, -0.0826609134674072, 0.0144698210060596, -0.1295367926359177, -0.2830583453178406, -0.2213968485593796, -0.2909031808376312, 0.0203376580029726, -0.0806582421064377, 0.1025073155760765, -0.1063051819801331, 0.1745223999023438, 0.3602338433265686, -0.1755805164575577, 0.4266362190246582]| 14.3782787322998047|      2.00000000|[13, 4, 0, 1]                                                              | | GPS sucess | actual_k=4
       2|[0.4017368704080582, 0.7368647456169128, -0.307356963865459, 1.1179901957511902, 0.2256766259670258, 0.2755560353398323, 0.2883624881505966, 0.2314246837049723, -0.1944978013634682, 0.4060554094612598, 0.993653729557991, -0.0836738646030426, 0.1040187925100327, -0.555913507938385, -0.249057961627841, 0.0078218206763268, 0.1699910089373589, 0.3477712571620941, 0.4236556738615036, -0.3429346680641174, 0.0193436741828918, -0.0772340297698975]| 13.0015897750854492|      4.00000000|[25, 8, 0, 2]                                                              | | GPS sucess | actual_k=4
       3|[0.5479229241609573, 1.4730808734893799, -1.4214760167524219, 2.3045700192451477, 0.2886678650975227, -0.3592452928423882, 1.4154900163412094, -0.1018196102231741, -1.2351628318428993, -1.2883347682654858, 1.3834091573953629, -0.8766596019268036, 0.7422547787427902, 0.3000537753105164, -1.6121694575995207, -0.5439863577485085, -0.0552404746413231, 0.3358321152627468, 1.3632378429174423, -0.8695681691169739, -0.223907932639122, 1.2233442068099976]| 12.2384777069091797|      8.00000000|[37, 12, 0, 3]                                                             | | GPS sucess | actual_k=4
       4|[3.3128975182771683, 2.2807340025901794, -1.153184781782329, 0.3938297629356384, 1.4020275548100471, -0.777556411921978, 0.9855334013700485, 1.6257027629762888, -1.4843721762299538, 0.3793203420937061, 1.5085323750972748, -1.4703106582164764, -1.2786500006914139, -1.3785657286643982, -3.329584551975131, -3.2503300085663795, 3.1850072517991066, 1.7775452099740505, 1.0538338273763657, 0.4043499827384949, -1.47357939183712, 4.562662243843079]| 12.1645765304565430|     16.00000000|[49, 16, 0, 4]                                                             | | GPS sucess | actual_k=4
       5|[4.577923610806465, 5.760695159435272, -0.9711080892011523, -0.5680162310600281, 8.400433011353016, -2.3711996003985405, -3.450951412320137, 6.4545687679201365, -0.730476476252079, -0.2794238738715649, -1.09659543633461, -2.9706866443157196, -2.2641393691301346, -1.5430082380771637, 4.811704205349088, -6.0259340181946754, 9.171968139708042, 1.9820557497441769, -1.7194775491952896, -0.7229738831520081, -4.433798059821129, 1.70256507396698]| 12.1577777862548828|     32.00000000|[61, 20, 0, 5]                                                             | | GPS sucess | actual_k=4
      16|[-27.700349435210228, -0.2921529412269592, 7.006157387979329, 23.629012525081635, 19.97004472464323, 39.35818337649107, -30.314877413213253, -31.519106483086944, 2.992241106927395, 37.26445858553052, -2.7385619953274727, -6.524689882993698, 27.226748153567314, 3.6721414029598236, 44.552546786144376, -19.044407345354557, -37.305885933339596, 16.619037642376497, 15.831993326544762, 27.794889509677887, -9.903631672263145, 39.759384632110596]| 12.0740137100219727|     64.00000000|[1136, 372, 19, 112]                                                       |  | trying linear partial model with 13 points | trying quadratic partial model with 25 points | trying quadratic partial model with 37 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 49 points FAILED TO GET X_HAT, using additional batch call | trying quadratic partial model with 62 points | trying quadratic partial model with 74 points | trying quadratic partial model with 86 points | trying quadratic partial model with 98 points FAILED TO GET X_HAT, using additional batch call | trying quadratic partial model with 111 points | trying quadratic partial model with 123 points | exploitation failed, decreasing delta | actual_k=4
      17|[-34.05443058907986, -17.77264839410782, 13.006774892099202, 28.592486321926117, 32.798603646457195, 62.05099343508482, -12.782006166875362, -13.011248206719756, 25.32032223790884, 15.67540829256177, -14.541522391140461, -24.892693728208542, 12.887045547366142, -15.36081376671791, 42.8989980686456, -11.667325474321842, -42.97318186610937, 19.36033560265787, 9.689058050513268, 34.70826679468155, -19.071173176169395, 48.944679737091064]| 12.0552225112915039|    128.00000000|[1209, 396, 20, 119]                                                       |  | trying linear partial model with 13 points | trying quadratic partial model with 25 points | trying quadratic partial model with 37 points FAILED TO GET X_HAT, using additional batch call | trying quadratic partial model with 50 points | trying quadratic partial model with 62 points| GPS sucess | actual_k=4
      18|[-75.49151097238064, -11.100810587406158, -7.294776926748455, 64.19227880239487, -11.036242850124836, 49.92265271395445, -18.72232999652624, 0.1542848590761423, 28.708087645471096, 55.123906064778566, 14.95099126547575, -11.940695017576218, 42.80723063647747, 10.77485403418541, 62.82200984843075, 4.220453761518002, -62.31931032985449, 29.34455610741861, -1.242893472313881, -23.02051967382431, -49.100706562399864, 80.64694452285767]| 11.9606599807739258|    256.00000000|[1257, 412, 20, 123]                                                       |  | trying linear partial model with 13 points | trying quadratic partial model with 25 points | trying quadratic partial model with 37 points| GPS sucess | actual_k=4
      19|[-75.49151097238064, -11.100810587406158, -7.294776926748455, 64.19227880239487, -11.036242850124836, 49.92265271395445, -18.72232999652624, 0.1542848590761423, 28.708087645471096, 55.123906064778566, 14.95099126547575, -11.940695017576218, 42.80723063647747, 10.77485403418541, 62.82200984843075, 4.220453761518002, -62.31931032985449, 29.34455610741861, -1.242893472313881, -23.02051967382431, -49.100706562399864, 80.64694452285767]| 11.9606599807739258|    128.00000000|[1392, 456, 23, 137]                                                       |  | trying linear partial model with 13 points | trying quadratic partial model with 25 points | trying quadratic partial model with 37 points FAILED TO GET X_HAT, using additional batch call | trying quadratic partial model with 50 points | trying quadratic partial model with 62 points | trying quadratic partial model with 74 points | trying quadratic partial model with 86 points | trying quadratic partial model with 98 points FAILED TO GET X_HAT, using additional batch call | trying quadratic partial model with 111 points FAILED TO GET X_HAT, using additional batch call | trying quadratic partial model with 124 points | exploitation failed, decreasing delta | actual_k=4
      20|[-72.52665482461452, -61.51513248682022, 24.60775183606893, 59.8763889670372, 29.495239846408367, 81.16884564608335, 5.909826375544071, -28.708025550469756, 32.35289331525564, 89.46992580965161, -11.984992392361164, 0.6297042667865753, 62.795630142092705, -27.0039202272892, 95.40289668925107, -17.648223377764225, -100.23813357204199, 53.387181534664705, 10.951361402869225, -10.070428311824799, -38.195284351706505, 109.69970941543579]| 11.9247941970825195|    256.00000000|[1500, 492, 24, 147]                                                       |  | trying linear partial model with 13 points | trying quadratic partial model with 25 points | trying quadratic partial model with 37 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 49 points | trying quadratic partial model with 61 points | trying quadratic partial model with 73 points | trying quadratic partial model with 85 points | trying quadratic partial model with 97 points FAILED TO GET X_HAT, using additional batch call| GPS sucess | actual_k=4
      21|[-72.52665482461452, -61.51513248682022, 24.60775183606893, 59.8763889670372, 29.495239846408367, 81.16884564608335, 5.909826375544071, -28.708025550469756, 32.35289331525564, 89.46992580965161, -11.984992392361164, 0.6297042667865753, 62.795630142092705, -27.0039202272892, 95.40289668925107, -17.648223377764225, -100.23813357204199, 53.387181534664705, 10.951361402869225, -10.070428311824799, -38.195284351706505, 109.69970941543579]| 11.9247941970825195|    128.00000000|[1634, 536, 25, 159]                                                       |  | trying linear partial model with 13 points | trying quadratic partial model with 25 points | trying quadratic partial model with 37 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 49 points FAILED TO GET X_HAT, using additional batch call | trying quadratic partial model with 62 points | trying quadratic partial model with 74 points | trying quadratic partial model with 86 points | trying quadratic partial model with 98 points | trying quadratic partial model with 110 points | trying quadratic partial model with 122 points | exploitation failed, decreasing delta | actual_k=4
      22|[-72.52665482461452, -61.51513248682022, 24.60775183606893, 59.8763889670372, 29.495239846408367, 81.16884564608335, 5.909826375544071, -28.708025550469756, 32.35289331525564, 89.46992580965161, -11.984992392361164, 0.6297042667865753, 62.795630142092705, -27.0039202272892, 95.40289668925107, -17.648223377764225, -100.23813357204199, 53.387181534664705, 10.951361402869225, -10.070428311824799, -38.195284351706505, 109.69970941543579]| 11.9247941970825195|     64.00000000|[1766, 580, 26, 171]                                                       |  | trying linear partial model with 13 points | trying quadratic partial model with 25 points | trying quadratic partial model with 37 points | trying quadratic partial model with 49 points | trying quadratic partial model with 61 points | trying quadratic partial model with 73 points | trying quadratic partial model with 85 points | trying quadratic partial model with 97 points | trying quadratic partial model with 109 points | trying quadratic partial model with 121 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=4
      23|[-72.52665482461452, -61.51513248682022, 24.60775183606893, 59.8763889670372, 29.495239846408367, 81.16884564608335, 5.909826375544071, -28.708025550469756, 32.35289331525564, 89.46992580965161, -11.984992392361164, 0.6297042667865753, 62.795630142092705, -27.0039202272892, 95.40289668925107, -17.648223377764225, -100.23813357204199, 53.387181534664705, 10.951361402869225, -10.070428311824799, -38.195284351706505, 109.69970941543579]| 11.9247941970825195|     32.00000000|[1903, 624, 30, 186]                                                       |  | trying linear partial model with 13 points | trying quadratic partial model with 25 points FAILED TO GET X_HAT, using additional batch call | trying quadratic partial model with 38 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 50 points | trying quadratic partial model with 62 points FAILED TO GET X_HAT, using additional batch call | trying quadratic partial model with 75 points FAILED TO GET X_HAT, using additional batch call | trying quadratic partial model with 88 points FAILED TO GET X_HAT, using additional batch call | trying quadratic partial model with 101 points | trying quadratic partial model with 113 points | trying quadratic partial model with 125 points | exploitation failed, decreasing delta | actual_k=4
      24|[-79.95406590402126, -58.621435701847076, 25.87981461454183, 65.31186193227768, 27.29605519026518, 84.53010677546263, 17.44062338024378, -33.71913299523294, 26.923636876046658, 95.01904432848096, -1.8641809299588203, 1.5453989803791046, 78.40890662372112, -26.958628084510565, 94.81510107405484, -16.03194985538721, -103.24209394305944, 61.87149073113687, 4.920909151434898, 2.3463874459266663, -42.664649948477745, 102.39948320388794]| 11.9105024337768555|     64.00000000|[1963, 644, 30, 191]                                                       |  | trying linear partial model with 13 points | trying quadratic partial model with 25 points | trying quadratic partial model with 37 points | trying quadratic partial model with 49 points| GPS sucess | actual_k=4
      25|[-87.90027962625027, -45.294956743717194, 28.660098780877888, 69.9929661154747, 33.02511774748564, 98.01777290552855, 40.119353391230106, -36.43982777558267, 15.430237255990505, 81.1412681825459, -0.7964887693524361, -25.25248882174492, 74.88949911296368, -25.041768696159124, 99.98753349669278, -21.61625847965479, -90.27612962573767, 87.21418024529703, 13.12289546430111, 16.700911104679108, -53.87779711186886, 74.7992959022522]| 11.9022235870361328|    128.00000000|[2073, 680, 32, 202]                                                       |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | trying quadratic partial model with 26 points FAILED TO GET X_HAT, using additional batch call | trying quadratic partial model with 39 points | trying quadratic partial model with 51 points | trying quadratic partial model with 63 points | trying quadratic partial model with 75 points | trying quadratic partial model with 87 points | trying quadratic partial model with 99 points| GPS sucess | actual_k=4
      26|[-87.90027962625027, -45.294956743717194, 28.660098780877888, 69.9929661154747, 33.02511774748564, 98.01777290552855, 40.119353391230106, -36.43982777558267, 15.430237255990505, 81.1412681825459, -0.7964887693524361, -25.25248882174492, 74.88949911296368, -25.041768696159124, 99.98753349669278, -21.61625847965479, -90.27612962573767, 87.21418024529703, 13.12289546430111, 16.700911104679108, -53.87779711186886, 74.7992959022522]| 11.9022235870361328|     64.00000000|[2209, 724, 36, 217]                                                       |  | trying linear partial model with 13 points | trying quadratic partial model with 25 points FAILED TO GET X_HAT, using additional batch call | trying quadratic partial model with 38 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 51 points FAILED TO GET X_HAT, using additional batch call | trying quadratic partial model with 64 points | trying quadratic partial model with 76 points | trying quadratic partial model with 88 points FAILED TO GET X_HAT, using additional batch call | trying quadratic partial model with 101 points | trying quadratic partial model with 113 points | trying quadratic partial model with 125 points | exploitation failed, decreasing delta | actual_k=4
      27|[-111.16142807900906, -50.65847212076187, 26.993332852609456, 89.2461456656456, 29.319783084094524, 103.62618421763182, 51.97040281444788, -35.50314334593713, 24.65310426801443, 58.237942148, -1.4369995668530464, -47.81658145785332, 88.3315872400999, -13.792947437614202, 89.88228504545987, -23.93672428280115, -98.45575609058142, 87.11158391018398, 39.2893173545599, 35.257013857364655, -66.71987818181515, 61.70594072341919]| 11.8662300109863281|    128.00000000|[2221, 728, 36, 218]                                                       | | GPS sucess | actual_k=4
      28|[-117.51498948037624, -31.665473997592926, 63.361863126046956, 86.21083897352219, 39.60195719450712, 107.01060628145933, 20.7242289558053, 0.6194381359964609, 13.064089260995388, 55.99251000955701, -16.417975671589375, -80.81922885775566, 78.8496183604002, 5.663690898567438, 82.57295648939908, -21.25401196628809, -96.14925970882177, 32.774666032986715, 57.387818560004234, 34.02025347948074, -4.140036568045616, 6.320999622344971]| 11.8424549102783203|    256.00000000|[2281, 748, 36, 223]                                                       |  | trying linear partial model with 13 points | trying quadratic partial model with 25 points | trying quadratic partial model with 37 points | trying quadratic partial model with 49 points| GPS sucess | actual_k=4
