k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1703815907239914, 0.340261310338974, -0.2918848991394043, 0.2596587538719177, -0.0531272292137146, 0.2253860980272293, -0.0945106595754623, 0.0251506362110376, -0.0826609134674072, 0.0144698210060596, -0.1295367926359177, -0.2830583453178406, -0.2213968485593796, -0.2909031808376312, 0.0203376580029726, -0.0806582421064377, 0.1025073155760765, -0.1063051819801331, 0.1745223999023438, 0.3602338433265686, -0.1755805164575577, 0.4266362190246582]| 14.3782787322998047|      2.00000000|[15, 2, 0, 1]                                                              | | GPS sucess | actual_k=2
       2|[0.4017368704080582, 0.7368647456169128, -0.307356963865459, 1.1179901957511902, 0.2256766259670258, 0.2755560353398323, 0.2883624881505966, 0.2314246837049723, -0.1944978013634682, 0.4060554094612598, 0.993653729557991, -0.0836738646030426, 0.1040187925100327, -0.555913507938385, -0.249057961627841, 0.0078218206763268, 0.1699910089373589, 0.3477712571620941, 0.4236556738615036, -0.3429346680641174, 0.0193436741828918, -0.0772340297698975]| 13.0015897750854492|      4.00000000|[29, 4, 0, 2]                                                              | | GPS sucess | actual_k=2
       3|[0.5479229241609573, 1.4730808734893799, -1.4214760167524219, 2.3045700192451477, 0.2886678650975227, -0.3592452928423882, 1.4154900163412094, -0.1018196102231741, -1.2351628318428993, -1.2883347682654858, 1.3834091573953629, -0.8766596019268036, 0.7422547787427902, 0.3000537753105164, -1.6121694575995207, -0.5439863577485085, -0.0552404746413231, 0.3358321152627468, 1.3632378429174423, -0.8695681691169739, -0.223907932639122, 1.2233442068099976]| 12.2384777069091797|      8.00000000|[43, 6, 0, 3]                                                              | | GPS sucess | actual_k=2
       4|[3.3128975182771683, 2.2807340025901794, -1.153184781782329, 0.3938297629356384, 1.4020275548100471, -0.777556411921978, 0.9855334013700485, 1.6257027629762888, -1.4843721762299538, 0.3793203420937061, 1.5085323750972748, -1.4703106582164764, -1.2786500006914139, -1.3785657286643982, -3.329584551975131, -3.2503300085663795, 3.1850072517991066, 1.7775452099740505, 1.0538338273763657, 0.4043499827384949, -1.47357939183712, 4.562662243843079]| 12.1645765304565430|     16.00000000|[57, 8, 0, 4]                                                              | | GPS sucess | actual_k=2
       5|[4.577923610806465, 5.760695159435272, -0.9711080892011523, -0.5680162310600281, 8.400433011353016, -2.3711996003985405, -3.450951412320137, 6.4545687679201365, -0.730476476252079, -0.2794238738715649, -1.09659543633461, -2.9706866443157196, -2.2641393691301346, -1.5430082380771637, 4.811704205349088, -6.0259340181946754, 9.171968139708042, 1.9820557497441769, -1.7194775491952896, -0.7229738831520081, -4.433798059821129, 1.70256507396698]| 12.1577777862548828|     32.00000000|[71, 10, 0, 5]                                                             | | GPS sucess | actual_k=2
      16|[-27.700349435210228, -0.2921529412269592, 7.006157387979329, 23.629012525081635, 19.97004472464323, 39.35818337649107, -30.314877413213253, -31.519106483086944, 2.992241106927395, 37.26445858553052, -2.7385619953274727, -6.524689882993698, 27.226748153567314, 3.6721414029598236, 44.552546786144376, -19.044407345354557, -37.305885933339596, 16.619037642376497, 15.831993326544762, 27.794889509677887, -9.903631672263145, 39.759384632110596]| 12.0740137100219727|     64.00000000|[1175, 186, 0, 93]                                                         |  | trying linear partial model with 15 points | trying quadratic partial model with 27 points | trying quadratic partial model with 40 points | trying quadratic partial model with 52 points | trying quadratic partial model with 64 points | trying quadratic partial model with 76 points | trying quadratic partial model with 88 points | trying quadratic partial model with 100 points | trying quadratic partial model with 112 points | trying quadratic partial model with 124 points | exploitation failed, decreasing delta | actual_k=2
      17|[-34.05443058907986, -17.77264839410782, 13.006774892099202, 28.592486321926117, 32.798603646457195, 62.05099343508482, -12.782006166875362, -13.011248206719756, 25.32032223790884, 15.67540829256177, -14.541522391140461, -24.892693728208542, 12.887045547366142, -15.36081376671791, 42.8989980686456, -11.667325474321842, -42.97318186610937, 19.36033560265787, 9.689058050513268, 34.70826679468155, -19.071173176169395, 48.944679737091064]| 12.0552225112915039|    128.00000000|[1251, 198, 0, 99]                                                         |  | trying linear partial model with 15 points | trying quadratic partial model with 27 points | trying quadratic partial model with 40 points | trying quadratic partial model with 52 points | trying quadratic partial model with 64 points| GPS sucess | actual_k=2
      18|[-35.00750478269899, -10.527449965258775, 16.74072394682526, 28.53397965544464, 21.244463294490693, 85.18780137553351, 2.6860827040291486, -33.7169353820308, -2.3472241984697284, -13.294062242160877, -44.5319797564853, -33.605471324705704, 25.32343311384409, 18.57152167852047, 5.427150156173795, 3.2750156567787503, -62.1032904763157, 23.75802008652137, -62.71836597123436, 10.164425126487487, -68.54342728297777, 77.02086863227456]| 12.0536909103393555|    256.00000000|[1290, 204, 0, 102]                                                        |  | trying linear partial model with 15 points | trying quadratic partial model with 28 points| GPS sucess | actual_k=2
      19|[-117.88166554930055, 2.8162256481445453, -23.862379690870053, 99.73356461638214, -66.42522969867338, 60.93111993327277, -9.19456495527261, -7.385869250439001, 4.428306616654783, 65.60293330227272, 14.453047556747123, -7.701473903441055, 85.16380329206675, 70.84285728032711, 45.27317371574411, 35.050574128458436, -100.79554740380593, 43.726461096042854, -84.58226901688866, -105.29314781052423, -128.6024940554387, 140.42539820380776]| 11.8917665481567383|    512.00000000|[1304, 206, 0, 103]                                                        | | GPS sucess | actual_k=2
      20|[-117.88166554930055, 2.8162256481445453, -23.862379690870053, 99.73356461638214, -66.42522969867338, 60.93111993327277, -9.19456495527261, -7.385869250439001, 4.428306616654783, 65.60293330227272, 14.453047556747123, -7.701473903441055, 85.16380329206675, 70.84285728032711, 45.27317371574411, 35.050574128458436, -100.79554740380593, 43.726461096042854, -84.58226901688866, -105.29314781052423, -128.6024940554387, 140.42539820380776]| 11.8917665481567383|    256.00000000|[1441, 228, 0, 114]                                                        |  | trying linear partial model with 15 points | trying quadratic partial model with 27 points | trying quadratic partial model with 39 points | trying quadratic partial model with 52 points | trying quadratic partial model with 64 points | trying quadratic partial model with 76 points | trying quadratic partial model with 88 points | trying quadratic partial model with 100 points | trying quadratic partial model with 113 points | trying quadratic partial model with 126 points | exploitation failed, decreasing delta | actual_k=2
      21|[-117.88166554930055, 2.8162256481445453, -23.862379690870053, 99.73356461638214, -66.42522969867338, 60.93111993327277, -9.19456495527261, -7.385869250439001, 4.428306616654783, 65.60293330227272, 14.453047556747123, -7.701473903441055, 85.16380329206675, 70.84285728032711, 45.27317371574411, 35.050574128458436, -100.79554740380593, 43.726461096042854, -84.58226901688866, -105.29314781052423, -128.6024940554387, 140.42539820380776]| 11.8917665481567383|    128.00000000|[1577, 250, 0, 125]                                                        |  | trying linear partial model with 15 points | trying quadratic partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 40 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 52 points | trying quadratic partial model with 64 points | trying quadratic partial model with 76 points | trying quadratic partial model with 88 points | trying quadratic partial model with 100 points | trying quadratic partial model with 113 points | trying quadratic partial model with 125 points | exploitation failed, decreasing delta | actual_k=2
      22|[-138.01999410154664, -28.46355569340819, -63.64179482148529, 124.31188988798858, -60.52766433383573, 60.680377378608156, 14.463748795948094, -13.52517293467362, 54.431900061479, 76.34827364956276, 9.486022276748344, -10.645006370329483, 102.68798847273081, 67.18060246999386, 102.23353901115426, 5.502550904581483, -54.989971079343036, 46.094253463978035, -125.28070956864647, -115.7164800248797, -99.64112167995043, 160.08533892341225]| 11.8121509552001953|    256.00000000|[1702, 270, 0, 135]                                                        |  | trying linear partial model with 15 points | trying quadratic partial model with 27 points | trying quadratic partial model with 39 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 51 points | trying quadratic partial model with 63 points | trying quadratic partial model with 75 points | trying quadratic partial model with 88 points | trying quadratic partial model with 100 points | trying quadratic partial model with 113 points| GPS sucess | actual_k=2
      23|[-180.05470403196657, -106.08917367436521, -51.680506369336854, 159.62796807402373, -159.93269363071073, 19.925101652289797, -10.300398008861476, 45.768017067767786, 120.25122074018994, 32.377074613918225, -85.9845435191501, 76.56765537283458, 87.84839172437876, 86.36012021596554, 44.623080637130826, 45.05590707523578, -95.59583655785866, 68.98673240684913, -68.39038974442772, -92.50407577378107, -20.630173498798086, 154.34367928214638]| 11.7965068817138672|    512.00000000|[1741, 276, 0, 138]                                                        |  | trying linear partial model with 15 points | trying quadratic partial model with 27 points| GPS sucess | actual_k=2
      24|[-180.05470403196657, -106.08917367436521, -51.680506369336854, 159.62796807402373, -159.93269363071073, 19.925101652289797, -10.300398008861476, 45.768017067767786, 120.25122074018994, 32.377074613918225, -85.9845435191501, 76.56765537283458, 87.84839172437876, 86.36012021596554, 44.623080637130826, 45.05590707523578, -95.59583655785866, 68.98673240684913, -68.39038974442772, -92.50407577378107, -20.630173498798086, 154.34367928214638]| 11.7965068817138672|    256.00000000|[1880, 298, 0, 149]                                                        |  | trying linear partial model with 15 points | trying quadratic partial model with 28 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 40 points | trying quadratic partial model with 53 points | trying quadratic partial model with 65 points | trying quadratic partial model with 77 points | trying quadratic partial model with 89 points | trying quadratic partial model with 102 points | trying quadratic partial model with 115 points | trying quadratic partial model with 127 points | exploitation failed, decreasing delta | actual_k=2
      25|[-180.05470403196657, -106.08917367436521, -51.680506369336854, 159.62796807402373, -159.93269363071073, 19.925101652289797, -10.300398008861476, 45.768017067767786, 120.25122074018994, 32.377074613918225, -85.9845435191501, 76.56765537283458, 87.84839172437876, 86.36012021596554, 44.623080637130826, 45.05590707523578, -95.59583655785866, 68.98673240684913, -68.39038974442772, -92.50407577378107, -20.630173498798086, 154.34367928214638]| 11.7965068817138672|    128.00000000|[2018, 320, 0, 160]                                                        |  | trying linear partial model with 15 points | trying quadratic partial model with 28 points | trying quadratic partial model with 40 points | trying quadratic partial model with 52 points | trying quadratic partial model with 64 points | trying quadratic partial model with 77 points | trying quadratic partial model with 89 points | trying quadratic partial model with 102 points | trying quadratic partial model with 114 points | trying quadratic partial model with 127 points | exploitation failed, decreasing delta | actual_k=2
      26|[-209.76434834959352, -94.51438653447264, -46.59225525544525, 181.36985993498564, -168.72943225528348, 33.37014616980689, 35.82279000993735, 25.723587288715052, 98.534194983354, 54.57354868923561, -45.50129766954072, 80.2304342272047, 150.30149765089243, 86.54128878708008, 42.271898176345914, 51.521001164743836, -107.61167804192849, 102.9239691927378, -92.51219875016503, -42.83681274277521, -38.50763588588305, 125.14277443595498]| 11.6952524185180664|    256.00000000|[2032, 322, 0, 161]                                                        | | GPS sucess | actual_k=2
      27|[-177.9794934606775, -147.82030236699217, -57.71339192078949, 162.64544320219755, -191.64568248416532, -20.580518350456785, -54.89213003400796, 36.60636641011398, 144.5077934635786, 110.08465327297584, -49.772066311966256, 187.42198543570078, 164.37912769392221, 78.87385123367432, 21.582168485794156, 73.85823566181415, -159.4755353112156, 1.5532111360971754, -125.32014400162987, -100.25490737778497, 6.344952767681406, 235.54352364249795]| 11.6493778228759766|    512.00000000|[2143, 340, 0, 170]                                                        |  | trying linear partial model with 15 points | trying quadratic partial model with 27 points | trying quadratic partial model with 40 points | trying quadratic partial model with 52 points | trying quadratic partial model with 64 points | trying quadratic partial model with 76 points | trying quadratic partial model with 88 points | trying quadratic partial model with 100 points| GPS sucess | actual_k=2
      28|[-177.9794934606775, -147.82030236699217, -57.71339192078949, 162.64544320219755, -191.64568248416532, -20.580518350456785, -54.89213003400796, 36.60636641011398, 144.5077934635786, 110.08465327297584, -49.772066311966256, 187.42198543570078, 164.37912769392221, 78.87385123367432, 21.582168485794156, 73.85823566181415, -159.4755353112156, 1.5532111360971754, -125.32014400162987, -100.25490737778497, 6.344952767681406, 235.54352364249795]| 11.6493778228759766|    256.00000000|[2280, 362, 0, 181]                                                        |  | trying linear partial model with 15 points | trying quadratic partial model with 27 points | trying quadratic partial model with 39 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 53 points | trying quadratic partial model with 66 points | trying quadratic partial model with 78 points | trying quadratic partial model with 90 points | trying quadratic partial model with 102 points | trying quadratic partial model with 114 points | trying quadratic partial model with 126 points | exploitation failed, decreasing delta | actual_k=2
      29|[-177.9794934606775, -147.82030236699217, -57.71339192078949, 162.64544320219755, -191.64568248416532, -20.580518350456785, -54.89213003400796, 36.60636641011398, 144.5077934635786, 110.08465327297584, -49.772066311966256, 187.42198543570078, 164.37912769392221, 78.87385123367432, 21.582168485794156, 73.85823566181415, -159.4755353112156, 1.5532111360971754, -125.32014400162987, -100.25490737778497, 6.344952767681406, 235.54352364249795]| 11.6493778228759766|    128.00000000|[2417, 384, 0, 192]                                                        |  | trying linear partial model with 15 points | trying quadratic partial model with 27 points | trying quadratic partial model with 39 points | trying quadratic partial model with 51 points | trying quadratic partial model with 64 points | trying quadratic partial model with 76 points | trying quadratic partial model with 88 points | trying quadratic partial model with 101 points | trying quadratic partial model with 113 points | trying quadratic partial model with 126 points | exploitation failed, decreasing delta | actual_k=2
      30|[-197.68539556028688, -130.7337907550537, -99.04580082581879, 183.961956263721, -170.76349177981962, -42.956521615837644, -70.35533918622964, 22.538363709308314, 111.10305789839305, 94.40355814968483, -82.82606335176118, 152.9105070116285, 150.6778728492567, 49.15934508438232, 53.380086805496305, 25.653085057566102, -137.20135203790016, -18.109741286998528, -120.40962106385521, -46.6970651231463, -5.4711511675602935, 221.35380158134072]| 11.6194114685058594|    256.00000000|[2455, 390, 0, 195]                                                        |  | trying linear partial model with 15 points | trying quadratic partial model with 27 points| GPS sucess | actual_k=2
      31|[-197.68539556028688, -130.7337907550537, -99.04580082581879, 183.961956263721, -170.76349177981962, -42.956521615837644, -70.35533918622964, 22.538363709308314, 111.10305789839305, 94.40355814968483, -82.82606335176118, 152.9105070116285, 150.6778728492567, 49.15934508438232, 53.380086805496305, 25.653085057566102, -137.20135203790016, -18.109741286998528, -120.40962106385521, -46.6970651231463, -5.4711511675602935, 221.35380158134072]| 11.6194114685058594|    128.00000000|[2594, 412, 0, 206]                                                        |  | trying linear partial model with 15 points | trying quadratic partial model with 28 points | trying quadratic partial model with 41 points | trying quadratic partial model with 54 points | trying quadratic partial model with 66 points | trying quadratic partial model with 79 points | trying quadratic partial model with 92 points | trying quadratic partial model with 104 points | trying quadratic partial model with 116 points | trying quadratic partial model with 128 points | exploitation failed, decreasing delta | actual_k=2
      32|[-191.5107344007715, -164.46761262395017, -100.08232297585846, 181.45536875838042, -186.8101512494241, 1.2654441739572775, -66.4308270383262, 3.492606415607142, 74.84529117476023, 90.55383671795265, -40.77550716889985, 141.92998199484384, 151.8573445804426, 33.697788649750976, 32.35920896736154, -17.092791254689757, -125.62536422204323, -34.97012908912255, -158.5210941473513, -27.547122725075013, -66.89746266048022, 191.8437040776786]| 11.6166410446166992|    256.00000000|[2645, 420, 0, 210]                                                        |  | trying linear partial model with 15 points | trying quadratic partial model with 27 points | trying quadratic partial model with 40 points| GPS sucess | actual_k=2
      33|[-218.79662688734376, -195.8328489062988, -126.61596860574127, 209.55453753584624, -194.39327254916776, 116.48319472327368, -33.76439179662698, -34.72516702189286, 38.49384693037547, 95.32186211620704, -19.38690968049653, 157.19205455801523, 188.60401053503244, 4.6802238761914055, 3.5737914105988438, -137.12720745342023, -83.96032134484597, -28.26708181357934, -246.18934518494896, -81.1777722917254, 45.63515300114088, 147.30668625541298]| 11.5418872833251953|    512.00000000|[2748, 436, 0, 218]                                                        |  | trying linear partial model with 15 points | trying quadratic partial model with 29 points | trying quadratic partial model with 42 points | trying quadratic partial model with 54 points | trying quadratic partial model with 66 points | trying quadratic partial model with 79 points | trying quadratic partial model with 91 points| GPS sucess | actual_k=2
      34|[-218.79662688734376, -195.8328489062988, -126.61596860574127, 209.55453753584624, -194.39327254916776, 116.48319472327368, -33.76439179662698, -34.72516702189286, 38.49384693037547, 95.32186211620704, -19.38690968049653, 157.19205455801523, 188.60401053503244, 4.6802238761914055, 3.5737914105988438, -137.12720745342023, -83.96032134484597, -28.26708181357934, -246.18934518494896, -81.1777722917254, 45.63515300114088, 147.30668625541298]| 11.5418872833251953|    256.00000000|[2887, 458, 0, 229]                                                        |  | trying linear partial model with 15 points | trying quadratic partial model with 27 points | trying quadratic partial model with 39 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 52 points | trying quadratic partial model with 64 points | trying quadratic partial model with 77 points | trying quadratic partial model with 90 points | trying quadratic partial model with 102 points | trying quadratic partial model with 115 points | trying quadratic partial model with 128 points | exploitation failed, decreasing delta | actual_k=2
