k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.8118204474449158, -0.4303163886070251, 0.1366981267929077, -0.1241499334573746, 0.0500223077833652, 0.5973958969116211, -0.0665309205651283, 0.1957527548074722, 0.2100601643323898, -0.1360933184623718, -0.7493019700050354, 0.3265085816383362, 0.8066514730453491, 0.3345632553100586, -0.5580964684486389, 0.3450148403644562, -0.0915606692433357, -0.5874519944190979, -0.5630953311920166, 0.3294865190982819, 0.1242650523781776, 0.033902995288372]| 14.1588020324707031|      2.00000000|[49, 16, 0, 1]                                                             | | GPS sucess | actual_k=16
      12|[1.3959439352620393, -1.6737512424588203, 2.41930890083313, 1.7649434064514935, 1.3928230069577694, 4.464826852083206, 5.300517521798611, 2.0156711414456367, 6.95778859872371, 3.0703301951289177, -0.3051325976848602, 4.0046506524086, 6.037270005792379, -2.7942336350679398, 4.388492047786713, 4.001586176455021, -3.8704980239272118, 1.315970204770565, 2.907242212444544, -1.9769527614116669, -1.5499251410365105, -0.2015556469559669]| 12.1427717208862305|      4.00000000|[635, 214, 0, 17]                                                          |  | used linear model with 65 points | actual_k=16
      13|[1.3668176282662898, -4.003698714077473, 2.6610076129436493, 1.932366714347154, 1.7067159377038479, 4.91362202167511, 5.530612029135227, 2.386078752577305, 6.499589663930237, 3.4970258101820946, -0.9613750874996185, 4.539935946464539, 6.205492835491896, -2.5149121433496475, 5.0780404806137085, 4.632423974573612, -4.422564886510372, 0.4025313481688499, 2.75520733371377, -0.9792602956295013, -0.0865445658564568, 1.6973566636443138]| 12.1413469314575195|      8.00000000|[683, 230, 0, 18]                                                          | | GPS sucess | actual_k=16
      14|[1.3668176282662898, -4.003698714077473, 2.6610076129436493, 1.932366714347154, 1.7067159377038479, 4.91362202167511, 5.530612029135227, 2.386078752577305, 6.499589663930237, 3.4970258101820946, -0.9613750874996185, 4.539935946464539, 6.205492835491896, -2.5149121433496475, 5.0780404806137085, 4.632423974573612, -4.422564886510372, 0.4025313481688499, 2.75520733371377, -0.9792602956295013, -0.0865445658564568, 1.6973566636443138]| 12.1413469314575195|      4.00000000|[744, 249, 0, 20]                                                          |  | used linear model with 65 points | actual_k=16
      15|[1.3601253118831664, -4.154446147382259, 3.235647290945053, 1.7799098794348538, 1.820434708148241, 4.824548222124577, 5.688926912844181, 2.657176859676838, 7.133980852551758, 3.559465639293194, -2.9440697133541107, 5.39485889673233, 4.348450880497694, -3.3132058531045914, 6.175287365913391, 4.499081574380398, -4.498929150402546, -0.4632644429802895, 3.549760077148676, -2.043991059064865, -1.6007035300135612, 2.2589103803038597]| 12.1411342620849609|      8.00000000|[792, 265, 0, 21]                                                          | | GPS sucess | actual_k=16
      16|[1.3601253118831664, -4.154446147382259, 3.235647290945053, 1.7799098794348538, 1.820434708148241, 4.824548222124577, 5.688926912844181, 2.657176859676838, 7.133980852551758, 3.559465639293194, -2.9440697133541107, 5.39485889673233, 4.348450880497694, -3.3132058531045914, 6.175287365913391, 4.499081574380398, -4.498929150402546, -0.4632644429802895, 3.549760077148676, -2.043991059064865, -1.6007035300135612, 2.2589103803038597]| 12.1411342620849609|      4.00000000|[854, 283, 0, 23]                                                          |  | used linear model with 65 points | actual_k=16
      17|[1.353432995500043, -4.305193580687046, 4.470631331205368, 1.6274530445225537, 1.9341534785926342, 4.735474422574043, 5.847241796553135, 2.928274966776371, 7.768372041173279, 3.621905468404293, -4.926764339208603, 6.249781847000122, 2.4914089255034924, -4.111499562859535, 7.272534251213074, 4.365739174187183, -4.57529341429472, -1.4958096519112587, 4.344312820583582, -3.108721822500229, -0.7168736979365349, 2.8204640969634056]| 12.1405344009399414|      8.00000000|[902, 299, 0, 24]                                                          | | GPS sucess | actual_k=16
      18|[1.353432995500043, -4.305193580687046, 4.470631331205368, 1.6274530445225537, 1.9341534785926342, 4.735474422574043, 5.847241796553135, 2.928274966776371, 7.768372041173279, 3.621905468404293, -4.926764339208603, 6.249781847000122, 2.4914089255034924, -4.111499562859535, 7.272534251213074, 4.365739174187183, -4.57529341429472, -1.4958096519112587, 4.344312820583582, -3.108721822500229, -0.7168736979365349, 2.8204640969634056]| 12.1405344009399414|      4.00000000|[962, 319, 0, 26]                                                          |  | used linear model with 65 points | actual_k=16
      19|[1.088275981368497, -4.36635947227478, 5.348388820886612, 1.680448152590543, 1.67199270054698, 4.771898038685322, 5.714902155101299, 3.37950349599123, 7.801651486195624, 3.2272819206118584, -4.80389080196619, 5.836115211248398, 2.1589332036674023, -3.970159336924553, 6.946523457765579, 3.9400510266423225, -4.39340328425169, -2.065858580172062, 3.8627726770937443, -2.563403218984604, -1.0002487823367119, 3.884818159043789]| 12.1396846771240234|      8.00000000|[1010, 335, 0, 27]                                                         | | GPS sucess | actual_k=16
      20|[1.088275981368497, -4.36635947227478, 5.348388820886612, 1.680448152590543, 1.67199270054698, 4.771898038685322, 5.714902155101299, 3.37950349599123, 7.801651486195624, 3.2272819206118584, -4.80389080196619, 5.836115211248398, 2.1589332036674023, -3.970159336924553, 6.946523457765579, 3.9400510266423225, -4.39340328425169, -2.065858580172062, 3.8627726770937443, -2.563403218984604, -1.0002487823367119, 3.884818159043789]| 12.1396846771240234|      4.00000000|[1068, 357, 0, 29]                                                         |  | used linear model with 65 points | actual_k=16
      21|[1.0807544046547264, -4.535817593336105, 5.479884386062622, 1.6477925037033856, 1.8001473359763622, 4.874294191598892, 5.816176168620586, 3.5752338990569115, 7.77847305405885, 3.4597093537449837, -4.220127917826176, 5.989282846450806, 4.164589684456587, -4.0586098954081535, 7.317745894193649, 5.55566818267107, -5.115670673549175, -1.368823267519474, 5.398489091545343, -4.8494997918605804, -0.7399409040808678, 3.742905743420124]| 12.1396455764770508|      8.00000000|[1116, 373, 0, 30]                                                         | | GPS sucess | actual_k=16
      22|[0.3419541770126671, -5.26704666018486, 5.451542250812054, 2.3746095751412213, 2.261800032109022, 3.760267525911331, 5.31142245978117, 4.32834180444479, 8.166756217367947, 3.0433637872338295, -4.630331791937351, 4.489729404449463, 4.943916719406843, -3.90952555090189, 7.220272034406662, 5.317048065364361, -5.127201492898166, 0.038220189511776, 3.8000719286501408, -5.534015268087387, -0.5175868347287178, 5.646688349545002]| 12.1387472152709961|     16.00000000|[1164, 389, 0, 31]                                                         | | GPS sucess | actual_k=16
      23|[-8.007659966358915, -5.418962970376015, -1.2611042335629463, 10.139125928748399, -1.6470217891037464, 1.1839719116687775, 0.5431562587618828, 1.778858982026577, 0.1296306299045682, -3.563751958310604, 2.917968951165676, 4.326324641704559, 3.84669391438365, -5.582940496504307, 11.12311789393425, 21.911284439265728, -6.741746599785984, 11.16372086852789, 4.44895938411355, -6.43598136305809, 13.602411143481731, 8.949812300503254]| 12.1223573684692383|     32.00000000|[1212, 405, 0, 32]                                                         | | GPS sucess | actual_k=16
      24|[-8.06783258006908, -6.774627938866615, -0.2091397121548653, 9.87788073765114, -0.6217847056686878, 2.023205667734146, 1.3533483669161797, 3.3447022065520287, 0.1629213029518723, -1.7043324932456017, 7.588072024285793, 5.551665723323822, 19.891945760697126, -6.290544964373112, 14.09289738535881, 34.83622168749571, 2.0566447423771024, 16.740003369748592, 16.734690699726343, -23.478704065084457, 15.684874169528484, 7.814512975513935]| 12.1195030212402344|     64.00000000|[1260, 421, 0, 33]                                                         | | GPS sucess | actual_k=16
      25|[-8.06783258006908, -6.774627938866615, -0.2091397121548653, 9.87788073765114, -0.6217847056686878, 2.023205667734146, 1.3533483669161797, 3.3447022065520287, 0.1629213029518723, -1.7043324932456017, 7.588072024285793, 5.551665723323822, 19.891945760697126, -6.290544964373112, 14.09289738535881, 34.83622168749571, 2.0566447423771024, 16.740003369748592, 16.734690699726343, -23.478704065084457, 15.684874169528484, 7.814512975513935]| 12.1195030212402344|     32.00000000|[1320, 441, 0, 35]                                                         |  | used linear model with 65 points | actual_k=16
      26|[-8.06783258006908, -6.774627938866615, -0.2091397121548653, 9.87788073765114, -0.6217847056686878, 2.023205667734146, 1.3533483669161797, 3.3447022065520287, 0.1629213029518723, -1.7043324932456017, 7.588072024285793, 5.551665723323822, 19.891945760697126, -6.290544964373112, 14.09289738535881, 34.83622168749571, 2.0566447423771024, 16.740003369748592, 16.734690699726343, -23.478704065084457, 15.684874169528484, 7.814512975513935]| 12.1195030212402344|     16.00000000|[1381, 460, 0, 37]                                                         |  | used linear model with 65 points | actual_k=16
      27|[-8.06783258006908, -6.774627938866615, -0.2091397121548653, 9.87788073765114, -0.6217847056686878, 2.023205667734146, 1.3533483669161797, 3.3447022065520287, 0.1629213029518723, -1.7043324932456017, 7.588072024285793, 5.551665723323822, 19.891945760697126, -6.290544964373112, 14.09289738535881, 34.83622168749571, 2.0566447423771024, 16.740003369748592, 16.734690699726343, -23.478704065084457, 15.684874169528484, 7.814512975513935]| 12.1195030212402344|      8.00000000|[1443, 478, 0, 39]                                                         |  | used linear model with 65 points | actual_k=16
      28|[-8.196306547382846, -9.153780713677406, -0.700261302292347, 10.20097602950409, -0.3028377182781696, 1.9251218736171722, 2.1969372555613518, 3.5032276585698128, -0.6461091702803969, -3.0994277223944664, 7.965220354497433, -0.9853683114051819, 18.888388197869062, -6.702270098030567, 13.87057450413704, 35.23143648356199, -0.4592334581539035, 18.548400901257992, 16.49315806105733, -22.955857068300247, 15.361550770699978, 8.29936320334673]| 12.1189622879028320|     16.00000000|[1491, 494, 0, 40]                                                         | | GPS sucess | actual_k=16
      29|[-8.238516191253439, -10.104495838284492, -1.515394575893879, 10.551762745250016, 0.4176113121211529, 3.569248765707016, 2.338606871664524, 4.506852813065052, -1.6558999484404922, -1.7739529833197594, 7.525546871125698, 0.1874733567237854, 20.299480121582747, -4.399931021034718, 12.548399597406387, 37.91158842295408, -2.782599384896457, 18.07973825186491, 21.490000922232866, -10.971995145082474, 18.908237896859646, 1.7640310004353523]| 12.1143550872802734|     32.00000000|[1539, 510, 0, 41]                                                         | | GPS sucess | actual_k=16
      30|[-8.238516191253439, -10.104495838284492, -1.515394575893879, 10.551762745250016, 0.4176113121211529, 3.569248765707016, 2.338606871664524, 4.506852813065052, -1.6558999484404922, -1.7739529833197594, 7.525546871125698, 0.1874733567237854, 20.299480121582747, -4.399931021034718, 12.548399597406387, 37.91158842295408, -2.782599384896457, 18.07973825186491, 21.490000922232866, -10.971995145082474, 18.908237896859646, 1.7640310004353523]| 12.1143550872802734|     16.00000000|[1598, 531, 0, 43]                                                         |  | used linear model with 65 points | actual_k=16
      31|[-8.238516191253439, -10.104495838284492, -1.515394575893879, 10.551762745250016, 0.4176113121211529, 3.569248765707016, 2.338606871664524, 4.506852813065052, -1.6558999484404922, -1.7739529833197594, 7.525546871125698, 0.1874733567237854, 20.299480121582747, -4.399931021034718, 12.548399597406387, 37.91158842295408, -2.782599384896457, 18.07973825186491, 21.490000922232866, -10.971995145082474, 18.908237896859646, 1.7640310004353523]| 12.1143550872802734|      8.00000000|[1662, 547, 0, 45]                                                         |  | used linear model with 65 points | actual_k=16
      32|[-8.238516191253439, -10.104495838284492, -1.515394575893879, 10.551762745250016, 0.4176113121211529, 3.569248765707016, 2.338606871664524, 4.506852813065052, -1.6558999484404922, -1.7739529833197594, 7.525546871125698, 0.1874733567237854, 20.299480121582747, -4.399931021034718, 12.548399597406387, 37.91158842295408, -2.782599384896457, 18.07973825186491, 21.490000922232866, -10.971995145082474, 18.908237896859646, 1.7640310004353523]| 12.1143550872802734|      4.00000000|[1720, 569, 0, 47]                                                         |  | used linear model with 65 points | actual_k=16
      33|[-8.238516191253439, -10.104495838284492, -1.515394575893879, 10.551762745250016, 0.4176113121211529, 3.569248765707016, 2.338606871664524, 4.506852813065052, -1.6558999484404922, -1.7739529833197594, 7.525546871125698, 0.1874733567237854, 20.299480121582747, -4.399931021034718, 12.548399597406387, 37.91158842295408, -2.782599384896457, 18.07973825186491, 21.490000922232866, -10.971995145082474, 18.908237896859646, 1.7640310004353523]| 12.1143550872802734|      2.00000000|[1779, 590, 0, 49]                                                         |  | used linear model with 65 points | actual_k=16
      34|[-8.265159066999331, -10.215528577566147, -1.1855728402733803, 10.55050085647963, 0.7787292711436749, 4.055374175310135, 2.7574477568268776, 4.29777567833662, -1.332300460897386, -1.2466123327612877, 7.896402589976788, 0.7573261857032776, 20.171133290976286, -3.969604767858982, 12.406982868909836, 37.8537651412189, -3.0229623867198825, 18.824637047946453, 20.572484750300646, -11.39219680428505, 18.171744011342525, 1.5431941524147987]| 12.1142969131469727|      4.00000000|[1827, 606, 0, 50]                                                         | | GPS sucess | actual_k=16
      35|[-8.265159066999331, -10.215528577566147, -1.1855728402733803, 10.55050085647963, 0.7787292711436749, 4.055374175310135, 2.7574477568268776, 4.29777567833662, -1.332300460897386, -1.2466123327612877, 7.896402589976788, 0.7573261857032776, 20.171133290976286, -3.969604767858982, 12.406982868909836, 37.8537651412189, -3.0229623867198825, 18.824637047946453, 20.572484750300646, -11.39219680428505, 18.171744011342525, 1.5431941524147987]| 12.1142969131469727|      2.00000000|[1886, 627, 0, 52]                                                         |  | used linear model with 65 points | actual_k=16
      36|[-8.87604957469739, -10.143982902169228, -0.6359469071030617, 10.861091183265671, 0.0087952129542828, 3.9900564774870872, 3.079951412975788, 4.644868217408657, -1.138201049529016, -0.9745805785059929, 8.289503775537014, -0.1006499528884888, 19.754640828818083, -3.837387926876545, 11.822751849889755, 37.91967325285077, -2.634079451672733, 18.800777630880475, 20.95157476142049, -11.196636512875557, 18.882545493543148, 1.3893857225775719]| 12.1132535934448242|      4.00000000|[1934, 643, 0, 53]                                                         | | GPS sucess | actual_k=16
      37|[-9.175086464965716, -10.7666404992342, -0.4628666415810585, 11.121472732862458, -0.1325186975300312, 3.686298184096813, 0.9422324970364571, 2.1275487765669823, -0.7785757696256042, 0.7122455313801765, 8.045260079205036, 1.0754311084747314, 20.070311527699232, 0.2474991008639336, 10.482497066259384, 34.33846573904157, -0.1572067691013217, 20.416439848020673, 21.66486432030797, -12.505875185132027, 19.306431762874126, 3.7203715071082115]| 12.1117601394653320|      8.00000000|[1982, 659, 0, 54]                                                         | | GPS sucess | actual_k=16
      38|[-9.18213580804877, -10.92541740834713, -0.3395671024918556, 11.179767971625552, -0.0123789645731449, 0.7397361323237419, 2.5577091053128242, 2.3235746398568153, 3.853164323605597, 0.9617481902241707, 8.593171425163746, -0.7371201515197754, 20.977599781006575, -2.580690748989582, 13.278105586767197, 36.064277935773134, -1.0383409215137362, 20.239006193354726, 22.652761060744524, -10.50431640446186, 20.602526418864727, 4.3721951469779015]| 12.1116352081298828|     16.00000000|[2030, 675, 0, 55]                                                         | | GPS sucess | actual_k=16
      39|[-9.18213580804877, -10.92541740834713, -0.3395671024918556, 11.179767971625552, -0.0123789645731449, 0.7397361323237419, 2.5577091053128242, 2.3235746398568153, 3.853164323605597, 0.9617481902241707, 8.593171425163746, -0.7371201515197754, 20.977599781006575, -2.580690748989582, 13.278105586767197, 36.064277935773134, -1.0383409215137362, 20.239006193354726, 22.652761060744524, -10.50431640446186, 20.602526418864727, 4.3721951469779015]| 12.1116352081298828|      8.00000000|[2089, 696, 0, 57]                                                         |  | used linear model with 65 points | actual_k=16
      40|[-9.18213580804877, -10.92541740834713, -0.3395671024918556, 11.179767971625552, -0.0123789645731449, 0.7397361323237419, 2.5577091053128242, 2.3235746398568153, 3.853164323605597, 0.9617481902241707, 8.593171425163746, -0.7371201515197754, 20.977599781006575, -2.580690748989582, 13.278105586767197, 36.064277935773134, -1.0383409215137362, 20.239006193354726, 22.652761060744524, -10.50431640446186, 20.602526418864727, 4.3721951469779015]| 12.1116352081298828|      4.00000000|[2152, 713, 0, 59]                                                         |  | used linear model with 65 points | actual_k=16
      41|[-10.238879072247073, -10.351354643702507, 0.1254525110125542, 11.81611687480472, 0.5899161361157894, 0.4511167034506798, 3.621563918888569, 2.714886762201786, 3.2457760656252503, 2.1534562781453133, 7.6235585287213326, 0.1186521649360657, 21.130401711910963, -1.8867879584431648, 13.879027992486954, 33.605264235287905, -1.2643812401220202, 19.793060274794698, 23.2739104218781, -10.255093410611153, 21.43450766056776, 3.7109790667891502]| 12.1096010208129883|      8.00000000|[2200, 729, 0, 60]                                                         | | GPS sucess | actual_k=16
      42|[-10.245928415330127, -10.510131552815437, 0.248752050101757, 11.874412113567814, 0.7100558690726757, -2.4954453483223915, 5.237040527164936, 2.2492260113358498, 7.8775161588564515, 2.4029589369893074, 6.467489369213581, -1.3203193545341492, 22.037689965218306, -4.7149778082966805, 16.674636512994766, 35.33107643201947, -2.145515392534435, 19.61562662012875, 24.261807162314653, -8.253534629940987, 22.73060231655836, 4.36280270665884]| 12.1091556549072266|     16.00000000|[2248, 745, 0, 61]                                                         | | GPS sucess | actual_k=16
      43|[-11.517664679558948, -10.201302483677864, -1.0928482487797737, 12.980508500477299, 2.0102045945823193, 0.6109949573874474, 3.231690891087055, 0.2842581644654274, 7.774998129345477, 5.335460014641285, 5.399539835751057, -2.792569100856781, 23.8748174123466, -6.21991390734911, 16.5310879945755, 36.807062435895205, -2.7882803780958056, 22.170119332149625, 27.726608712226152, -9.0414087921381, 22.46964793652296, 5.170080207288265]| 12.1081571578979492|     32.00000000|[2296, 761, 0, 62]                                                         | | GPS sucess | actual_k=16
      44|[-11.517664679558948, -10.201302483677864, -1.0928482487797737, 12.980508500477299, 2.0102045945823193, 0.6109949573874474, 3.231690891087055, 0.2842581644654274, 7.774998129345477, 5.335460014641285, 5.399539835751057, -2.792569100856781, 23.8748174123466, -6.21991390734911, 16.5310879945755, 36.807062435895205, -2.7882803780958056, 22.170119332149625, 27.726608712226152, -9.0414087921381, 22.46964793652296, 5.170080207288265]| 12.1081571578979492|     16.00000000|[2357, 780, 0, 64]                                                         |  | used linear model with 65 points | actual_k=16
      45|[-11.828780570300296, -13.243334725499153, 1.5036063715815544, 13.142018282553181, 5.349475424736738, 4.297769449651241, 5.796010740101337, 5.057981766760349, 10.934405983425677, 5.601796634495258, 1.8249412849545479, -3.1054514348506927, 26.207485239952803, -13.182035870850086, 14.662602066993713, 37.325763035565615, 7.179746736772358, 23.510321902111173, 27.22923155501485, -10.56986953318119, 23.300030283629894, 6.031677268445492]| 12.1052017211914062|     32.00000000|[2405, 796, 0, 65]                                                         | | GPS sucess | actual_k=16
      46|[-11.828780570300296, -13.243334725499153, 1.5036063715815544, 13.142018282553181, 5.349475424736738, 4.297769449651241, 5.796010740101337, 5.057981766760349, 10.934405983425677, 5.601796634495258, 1.8249412849545479, -3.1054514348506927, 26.207485239952803, -13.182035870850086, 14.662602066993713, 37.325763035565615, 7.179746736772358, 23.510321902111173, 27.22923155501485, -10.56986953318119, 23.300030283629894, 6.031677268445492]| 12.1052017211914062|     16.00000000|[2468, 813, 0, 67]                                                         |  | used linear model with 65 points | actual_k=16
      47|[-11.858866877155378, -13.921167209744453, 2.029588632285595, 13.011395687004551, 5.8620939664542675, 4.717386327683926, 6.201106794178486, 5.840903379023075, 10.951051319949329, 6.5315063670277596, 4.1599928215146065, -2.4927808940410614, 34.23011116310954, -13.535838104784489, 16.500627160072327, 43.788231659680605, 4.501448024995625, 26.298463152721524, 33.372097212821245, -19.714255824685097, 24.34126179665327, 5.464027605950832]| 12.1026344299316406|     32.00000000|[2516, 829, 0, 68]                                                         | | GPS sucess | actual_k=16
      48|[-11.858866877155378, -13.921167209744453, 2.029588632285595, 13.011395687004551, 5.8620939664542675, 4.717386327683926, 6.201106794178486, 5.840903379023075, 10.951051319949329, 6.5315063670277596, 4.1599928215146065, -2.4927808940410614, 34.23011116310954, -13.535838104784489, 16.500627160072327, 43.788231659680605, 4.501448024995625, 26.298463152721524, 33.372097212821245, -19.714255824685097, 24.34126179665327, 5.464027605950832]| 12.1026344299316406|     16.00000000|[2573, 852, 0, 70]                                                         |  | used linear model with 65 points | actual_k=16
      49|[-11.858866877155378, -13.921167209744453, 2.029588632285595, 13.011395687004551, 5.8620939664542675, 4.717386327683926, 6.201106794178486, 5.840903379023075, 10.951051319949329, 6.5315063670277596, 4.1599928215146065, -2.4927808940410614, 34.23011116310954, -13.535838104784489, 16.500627160072327, 43.788231659680605, 4.501448024995625, 26.298463152721524, 33.372097212821245, -19.714255824685097, 24.34126179665327, 5.464027605950832]| 12.1026344299316406|      8.00000000|[2637, 868, 0, 72]                                                         |  | used linear model with 65 points | actual_k=16
      50|[-11.858866877155378, -13.921167209744453, 2.029588632285595, 13.011395687004551, 5.8620939664542675, 4.717386327683926, 6.201106794178486, 5.840903379023075, 10.951051319949329, 6.5315063670277596, 4.1599928215146065, -2.4927808940410614, 34.23011116310954, -13.535838104784489, 16.500627160072327, 43.788231659680605, 4.501448024995625, 26.298463152721524, 33.372097212821245, -19.714255824685097, 24.34126179665327, 5.464027605950832]| 12.1026344299316406|      4.00000000|[2696, 889, 0, 74]                                                         |  | used linear model with 65 points | actual_k=16
