k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5497876405715942, -0.244534894824028, 0.2888571619987488, 0.4061757922172546, 0.1622055619955063, -0.0786757841706276, 0.4947263598442078, -0.3398726582527161, 0.1648346930742264, 0.111181415617466, 0.3789696991443634, 0.7334103584289551, 0.5300133228302002, -0.4165365695953369, 0.610404372215271, -0.1837950199842453, 0.020204147323966, 0.0893655717372894, -0.6836167573928833, -0.5332403779029846, 0.8012765645980835, 0.1131535917520523]| 13.6435556411743164|      2.00000000|[49, 16, 0, 1]                                                             | | GPS sucess | actual_k=16
      13|[-2.0105439396575093, -3.5201834845356643, 0.1562309432774782, 4.996249154210091, 0.2576176086440682, 0.8455958049744368, 1.4256527051329613, -1.3261491116136312, -0.4836157858371735, -4.422377087175846, 0.2472360320389271, -0.0161586347967386, -0.1876409836113453, -0.2591568529605865, 0.97255465015769, 2.3403754718601704, -2.1427736170589924, 0.0454753935337067, -0.8985477685928345, -1.4678479209542274, 1.2658168971538544, 2.0332195945084095]| 12.1343479156494141|      8.00000000|[689, 224, 0, 18]                                                          | | GPS sucess | actual_k=16
      14|[-3.1240061493590474, -1.8468196797184646, 1.85921479947865, 5.45664270222187, 0.4771723905578256, 1.920155731961131, 1.5439001768827438, -1.5494902040809393, -0.7152639031410217, -4.922323144972324, -0.374829214066267, -0.3407602552324533, -0.5471823401749134, -0.8341608941555023, 1.051869247108698, 3.2483272440731525, -2.7741048224270344, 1.7333402931690216, -1.231886863708496, -0.1669519916176796, 0.6040425002574921, 2.1095689348876476]| 12.1324787139892578|     16.00000000|[737, 240, 0, 19]                                                          | | GPS sucess | actual_k=16
      15|[-4.11211955267936, 0.4776439261622727, 0.1638455558568239, 6.282448306679726, 1.0590532580390573, 2.0166964512318373, -3.0908873826265335, -1.018962075933814, -0.2581961154937744, -3.8328733816742897, -1.0777155570685863, -0.7848281506448984, -0.9379200823605061, 0.1301393806934357, 2.3733101822435856, 1.0315120108425617, -1.8407187946140766, -0.588328093290329, 0.4303935766220093, -3.175784684717655, 2.1054414212703705, 3.448135357350111]| 12.1318893432617188|     32.00000000|[785, 256, 0, 20]                                                          | | GPS sucess | actual_k=16
      16|[-4.11211955267936, 0.4776439261622727, 0.1638455558568239, 6.282448306679726, 1.0590532580390573, 2.0166964512318373, -3.0908873826265335, -1.018962075933814, -0.2581961154937744, -3.8328733816742897, -1.0777155570685863, -0.7848281506448984, -0.9379200823605061, 0.1301393806934357, 2.3733101822435856, 1.0315120108425617, -1.8407187946140766, -0.588328093290329, 0.4303935766220093, -3.175784684717655, 2.1054414212703705, 3.448135357350111]| 12.1318893432617188|     16.00000000|[844, 277, 0, 22]                                                          |  | used linear model with 65 points | actual_k=16
      17|[-4.11211955267936, 0.4776439261622727, 0.1638455558568239, 6.282448306679726, 1.0590532580390573, 2.0166964512318373, -3.0908873826265335, -1.018962075933814, -0.2581961154937744, -3.8328733816742897, -1.0777155570685863, -0.7848281506448984, -0.9379200823605061, 0.1301393806934357, 2.3733101822435856, 1.0315120108425617, -1.8407187946140766, -0.588328093290329, 0.4303935766220093, -3.175784684717655, 2.1054414212703705, 3.448135357350111]| 12.1318893432617188|      8.00000000|[906, 295, 0, 24]                                                          |  | used linear model with 65 points | actual_k=16
      18|[-7.929446336813271, 1.2654985380358994, -1.5403336118906736, 9.388617053627968, -0.6209198674187064, 4.402686117216945, -1.6107428818941116, 0.0288012716919184, -4.914358854293823, -8.706862963736057, -3.61726538464427, 3.52395442686975, 4.352712165564299, 2.958595782518387, 0.477853748947382, -5.659670602530241, -4.745222140103579, -3.3524355590343475, -4.560427784919739, -0.1574779525399208, 1.8416492938995361, 6.836384277790785]| 12.1311616897583008|     16.00000000|[954, 311, 0, 25]                                                          | | GPS sucess | actual_k=16
      19|[-8.497866150923073, -0.0950560378842056, -0.6453573536127806, 10.05461086332798, -2.4093504389747977, 5.127503274008632, -2.4373096972703934, -2.5602070596069098, -8.975157976150513, -8.13985762745142, -4.185480754822493, 0.4646122809499502, 4.668185751885176, -0.0160865485668182, 0.0041013695299625, -6.507880222052336, -5.1166096813976765, -4.20881775021553, -6.961559176445007, -2.3376008048653603, 0.9224129319190979, 7.758538704365492]| 12.1245164871215820|     32.00000000|[1002, 327, 0, 26]                                                         | | GPS sucess | actual_k=16
      20|[-8.497866150923073, -0.0950560378842056, -0.6453573536127806, 10.05461086332798, -2.4093504389747977, 5.127503274008632, -2.4373096972703934, -2.5602070596069098, -8.975157976150513, -8.13985762745142, -4.185480754822493, 0.4646122809499502, 4.668185751885176, -0.0160865485668182, 0.0041013695299625, -6.507880222052336, -5.1166096813976765, -4.20881775021553, -6.961559176445007, -2.3376008048653603, 0.9224129319190979, 7.758538704365492]| 12.1245164871215820|     16.00000000|[1060, 349, 0, 28]                                                         |  | used linear model with 65 points | actual_k=16
      21|[-11.404116627760231, -2.508567552547902, -0.6948419455438852, 12.212950602173805, -0.0223744353279471, 16.329770920798182, -1.6019219309091568, -0.6973174121230841, -5.348689317703247, -3.1111567988991737, 1.977341491729021, -3.947431767359376, 11.89610580727458, -0.5415102541446686, -1.94167485460639, -4.518481146544218, -5.648450780659914, -24.256795197725296, -4.643050312995911, -17.93357191234827, -6.7201427817344666, 9.84183881804347]| 12.1204833984375000|     32.00000000|[1108, 365, 0, 29]                                                         | | GPS sucess | actual_k=16
      22|[-11.404116627760231, -2.508567552547902, -0.6948419455438852, 12.212950602173805, -0.0223744353279471, 16.329770920798182, -1.6019219309091568, -0.6973174121230841, -5.348689317703247, -3.1111567988991737, 1.977341491729021, -3.947431767359376, 11.89610580727458, -0.5415102541446686, -1.94167485460639, -4.518481146544218, -5.648450780659914, -24.256795197725296, -4.643050312995911, -17.93357191234827, -6.7201427817344666, 9.84183881804347]| 12.1204833984375000|     16.00000000|[1168, 385, 0, 31]                                                         |  | used linear model with 65 points | actual_k=16
      23|[-10.12268376071006, -9.169055204372853, -1.8095589522272348, 12.202059880830348, 2.0474202195182443, 22.097520707175136, -1.9824311584234238, 13.186736771836877, -1.325103521347046, 4.988079689443111, 6.677164871245623, -9.637460911646485, 20.67639259621501, 20.381945937871933, -2.8555100820958614, -4.759642597287893, -11.551125932484865, -19.503526479005814, 1.2780107259750366, -17.330420471727848, -6.119758129119873, 8.820710401982069]| 12.1198711395263672|     32.00000000|[1216, 401, 0, 32]                                                         | | GPS sucess | actual_k=16
      24|[-12.274273392744362, -15.285063486080617, -6.5678988341242075, 14.939160720445216, 2.448683396913111, 22.16184645704925, -6.877448782324791, 6.6049181912094355, 1.224130392074585, 3.1445043310523033, 3.6972945518791676, -9.819261843338609, 23.75315598770976, 17.236065238714218, -2.402893867343664, -10.600046630948782, -9.323754001408815, -15.571367770433426, -0.7245055437088013, -14.015711285173893, -6.8748819231987, 6.008948069065809]| 12.1018600463867188|     64.00000000|[1264, 417, 0, 33]                                                         | | GPS sucess | actual_k=16
      25|[-12.274273392744362, -15.285063486080617, -6.5678988341242075, 14.939160720445216, 2.448683396913111, 22.16184645704925, -6.877448782324791, 6.6049181912094355, 1.224130392074585, 3.1445043310523033, 3.6972945518791676, -9.819261843338609, 23.75315598770976, 17.236065238714218, -2.402893867343664, -10.600046630948782, -9.323754001408815, -15.571367770433426, -0.7245055437088013, -14.015711285173893, -6.8748819231987, 6.008948069065809]| 12.1018600463867188|     32.00000000|[1324, 437, 0, 35]                                                         |  | used linear model with 65 points | actual_k=16
      26|[-12.274273392744362, -15.285063486080617, -6.5678988341242075, 14.939160720445216, 2.448683396913111, 22.16184645704925, -6.877448782324791, 6.6049181912094355, 1.224130392074585, 3.1445043310523033, 3.6972945518791676, -9.819261843338609, 23.75315598770976, 17.236065238714218, -2.402893867343664, -10.600046630948782, -9.323754001408815, -15.571367770433426, -0.7245055437088013, -14.015711285173893, -6.8748819231987, 6.008948069065809]| 12.1018600463867188|     16.00000000|[1385, 456, 0, 37]                                                         |  | used linear model with 65 points | actual_k=16
      27|[-12.274273392744362, -15.285063486080617, -6.5678988341242075, 14.939160720445216, 2.448683396913111, 22.16184645704925, -6.877448782324791, 6.6049181912094355, 1.224130392074585, 3.1445043310523033, 3.6972945518791676, -9.819261843338609, 23.75315598770976, 17.236065238714218, -2.402893867343664, -10.600046630948782, -9.323754001408815, -15.571367770433426, -0.7245055437088013, -14.015711285173893, -6.8748819231987, 6.008948069065809]| 12.1018600463867188|      8.00000000|[1447, 474, 0, 39]                                                         |  | used linear model with 65 points | actual_k=16
      28|[-12.274273392744362, -15.285063486080617, -6.5678988341242075, 14.939160720445216, 2.448683396913111, 22.16184645704925, -6.877448782324791, 6.6049181912094355, 1.224130392074585, 3.1445043310523033, 3.6972945518791676, -9.819261843338609, 23.75315598770976, 17.236065238714218, -2.402893867343664, -10.600046630948782, -9.323754001408815, -15.571367770433426, -0.7245055437088013, -14.015711285173893, -6.8748819231987, 6.008948069065809]| 12.1018600463867188|      4.00000000|[1509, 492, 0, 41]                                                         |  | used linear model with 65 points | actual_k=16
      29|[-12.294606572948396, -15.315563259180635, -6.506471885368228, 14.960712325759232, 2.387683850713074, 22.0906803291291, -6.958781503140926, 6.513418870046735, 1.1224644854664803, 7.089841149747372, 3.5752954594790936, -9.951427528634667, 23.61082373186946, 17.08356638252735, -2.565559308975935, -10.772878672927618, -9.506752643734217, -15.76453298330307, -0.9278373569250107, -14.229209683835506, -7.098546922206879, 5.7751164846122265]| 12.1018085479736328|      8.00000000|[1557, 508, 0, 42]                                                         | | GPS sucess | actual_k=16
      30|[-12.294606572948396, -15.315563259180635, -6.506471885368228, 14.960712325759232, 2.387683850713074, 22.0906803291291, -6.958781503140926, 6.513418870046735, 1.1224644854664803, 7.089841149747372, 3.5752954594790936, -9.951427528634667, 23.61082373186946, 17.08356638252735, -2.565559308975935, -10.772878672927618, -9.506752643734217, -15.76453298330307, -0.9278373569250107, -14.229209683835506, -7.098546922206879, 5.7751164846122265]| 12.1018085479736328|      4.00000000|[1619, 526, 0, 44]                                                         |  | used linear model with 65 points | actual_k=16
      31|[-12.294606572948396, -15.315563259180635, -6.506471885368228, 14.960712325759232, 2.387683850713074, 22.0906803291291, -6.958781503140926, 6.513418870046735, 1.1224644854664803, 7.089841149747372, 3.5752954594790936, -9.951427528634667, 23.61082373186946, 17.08356638252735, -2.565559308975935, -10.772878672927618, -9.506752643734217, -15.76453298330307, -0.9278373569250107, -14.229209683835506, -7.098546922206879, 5.7751164846122265]| 12.1018085479736328|      2.00000000|[1678, 547, 0, 46]                                                         |  | used linear model with 65 points | actual_k=16
      32|[-12.556347108446062, -15.157958967145532, -6.539379192516208, 15.137261358089745, 2.091720980592072, 21.978093495592475, -7.223292820155621, 6.199623601511121, 1.3457414135336876, 7.330384962260723, 3.7055619321763515, -10.074211636558175, 23.246037017554045, 17.346209451556206, -2.7432260774075985, -10.800427228212357, -9.395931605249643, -15.834966614842415, -0.5364539474248886, -14.299649074673653, -7.263282209634781, 5.604705538600683]| 12.1013174057006836|      4.00000000|[1726, 563, 0, 47]                                                         | | GPS sucess | actual_k=16
      33|[-13.601326919160783, -15.573993695434183, -5.676568342372775, 15.818177965469658, 0.9046136559918523, 21.118651976808906, -7.64359774440527, 6.097180748358369, 2.8063514456152916, 8.138423673808575, 6.562490042299032, -8.873415866866708, 18.624933253973722, 16.318764373660088, -5.214251067489386, -11.015144780278206, -11.242955688387156, -16.750097766518593, -3.8105997890233994, -15.821682289242744, -7.1430778875947, 4.6355653665959835]| 12.0985965728759766|      8.00000000|[1774, 579, 0, 48]                                                         | | GPS sucess | actual_k=16
      34|[-13.601326919160783, -15.573993695434183, -5.676568342372775, 15.818177965469658, 0.9046136559918523, 21.118651976808906, -7.64359774440527, 6.097180748358369, 2.8063514456152916, 8.138423673808575, 6.562490042299032, -8.873415866866708, 18.624933253973722, 16.318764373660088, -5.214251067489386, -11.015144780278206, -11.242955688387156, -16.750097766518593, -3.8105997890233994, -15.821682289242744, -7.1430778875947, 4.6355653665959835]| 12.0985965728759766|      4.00000000|[1834, 599, 0, 50]                                                         |  | used linear model with 65 points | actual_k=16
      35|[-13.601326919160783, -15.573993695434183, -5.676568342372775, 15.818177965469658, 0.9046136559918523, 21.118651976808906, -7.64359774440527, 6.097180748358369, 2.8063514456152916, 8.138423673808575, 6.562490042299032, -8.873415866866708, 18.624933253973722, 16.318764373660088, -5.214251067489386, -11.015144780278206, -11.242955688387156, -16.750097766518593, -3.8105997890233994, -15.821682289242744, -7.1430778875947, 4.6355653665959835]| 12.0985965728759766|      2.00000000|[1893, 620, 0, 52]                                                         |  | used linear model with 65 points | actual_k=16
      36|[-13.601326919160783, -15.573993695434183, -5.676568342372775, 15.818177965469658, 0.9046136559918523, 21.118651976808906, -7.64359774440527, 6.097180748358369, 2.8063514456152916, 8.138423673808575, 6.562490042299032, -8.873415866866708, 18.624933253973722, 16.318764373660088, -5.214251067489386, -11.015144780278206, -11.242955688387156, -16.750097766518593, -3.8105997890233994, -15.821682289242744, -7.1430778875947, 4.6355653665959835]| 12.0985965728759766|      1.00000000|[1952, 641, 0, 54]                                                         |  | used linear model with 65 points | actual_k=16
      37|[-13.70663448330015, -15.622979158069938, -5.769787659868598, 15.923805174417794, 1.0022822292521596, 21.13100475911051, -7.690440382808447, 6.1065703285858035, 2.7846146505326033, 8.039292499423027, 6.62187160924077, -8.698866659775376, 18.534445855766535, 16.155838638544083, -5.306003171950579, -10.930384159088135, -11.398159239441156, -16.77913842909038, -3.984628841280937, -15.829819113016129, -7.3710422441363335, 4.6885694824159145]| 12.0982685089111328|      2.00000000|[2000, 657, 0, 55]                                                         | | GPS sucess | actual_k=16
      38|[-15.046943626366556, -17.01371013512835, -5.756802945397794, 17.173505363054574, 0.6135898502543569, 20.408642479218543, -7.65031747892499, 5.999979819171131, 2.5311877708882093, 7.097649559378624, 7.073838550597429, -9.727903420105577, 16.642504069954157, 16.683286041021347, -6.878723222762346, -10.429716229438782, -12.268531892448664, -16.591282276436687, -3.60188190639019, -15.901429399847984, -7.894636504352093, 4.6038488410413265]| 12.0959005355834961|      4.00000000|[2048, 673, 0, 56]                                                         | | GPS sucess | actual_k=16
      39|[-15.052416597958654, -18.057619804050773, -5.767748888581991, 17.159822934307158, 0.5971709368750453, 20.38948707934469, -7.672209365293384, 5.975351448170841, 2.5038229133933783, 7.067548215389252, 7.041000723838806, -9.76347773335874, 16.60419327020645, 12.825873464345932, -6.922506995499134, -10.47623648867011, -12.317788634449244, -16.643275504931808, -3.6566116213798523, -15.958895601332188, -7.954839192330837, 4.540909666568041]| 12.0931892395019531|      8.00000000|[2096, 689, 0, 57]                                                         | | GPS sucess | actual_k=16
      40|[-14.626646702643484, -23.286246532108635, -6.065458949655294, 17.26294829789549, -5.331916701979935, 22.571092656813562, -10.255267960950732, 9.688542718999088, 2.309081083163619, 5.741748869419098, 12.81202495098114, -8.682621052488685, 20.939652502536774, 6.568199723958969, -8.684887118637562, -11.307768370956182, -15.08730510249734, -11.527686363086104, -5.421293795108795, -17.891185201704502, -8.277099274098873, 9.944197077304125]| 12.0907983779907227|     16.00000000|[2144, 705, 0, 58]                                                         | | GPS sucess | actual_k=16
      41|[-15.631940787192434, -24.283237987663597, -3.7738055549561977, 17.703968697227538, -3.9306788565590978, 21.744169584475458, -10.184420196339488, 5.014152402989566, 3.2056157644838095, 3.9872626662254333, 13.27621603012085, -12.358171513304114, 20.334583461284637, 7.37941113114357, -6.403770871460438, -10.27331342920661, -14.24328026548028, -12.369099026545882, -6.83143812417984, -17.875365398824215, -6.831006310880184, 8.662868399173021]| 12.0871820449829102|     32.00000000|[2192, 721, 0, 59]                                                         | | GPS sucess | actual_k=16
      42|[-15.631940787192434, -24.283237987663597, -3.7738055549561977, 17.703968697227538, -3.9306788565590978, 21.744169584475458, -10.184420196339488, 5.014152402989566, 3.2056157644838095, 3.9872626662254333, 13.27621603012085, -12.358171513304114, 20.334583461284637, 7.37941113114357, -6.403770871460438, -10.27331342920661, -14.24328026548028, -12.369099026545882, -6.83143812417984, -17.875365398824215, -6.831006310880184, 8.662868399173021]| 12.0871820449829102|     16.00000000|[2252, 741, 0, 61]                                                         |  | used linear model with 65 points | actual_k=16
      43|[-15.631940787192434, -24.283237987663597, -3.7738055549561977, 17.703968697227538, -3.9306788565590978, 21.744169584475458, -10.184420196339488, 5.014152402989566, 3.2056157644838095, 3.9872626662254333, 13.27621603012085, -12.358171513304114, 20.334583461284637, 7.37941113114357, -6.403770871460438, -10.27331342920661, -14.24328026548028, -12.369099026545882, -6.83143812417984, -17.875365398824215, -6.831006310880184, 8.662868399173021]| 12.0871820449829102|      8.00000000|[2313, 760, 0, 63]                                                         |  | used linear model with 65 points | actual_k=16
      44|[-15.631940787192434, -24.283237987663597, -3.7738055549561977, 17.703968697227538, -3.9306788565590978, 21.744169584475458, -10.184420196339488, 5.014152402989566, 3.2056157644838095, 3.9872626662254333, 13.27621603012085, -12.358171513304114, 20.334583461284637, 7.37941113114357, -6.403770871460438, -10.27331342920661, -14.24328026548028, -12.369099026545882, -6.83143812417984, -17.875365398824215, -6.831006310880184, 8.662868399173021]| 12.0871820449829102|      4.00000000|[2373, 780, 0, 65]                                                         |  | used linear model with 65 points | actual_k=16
      45|[-16.664945190306753, -24.462263965513557, -3.9957252256572247, 18.620155923999846, -4.17416634876281, 21.8365321373567, -10.40700506977737, 5.025857444852591, 2.7848829682916403, 3.8920820206403732, 13.453972935676575, -12.156334465369582, 19.720572531223297, 7.268394209444523, -7.109849818050861, -9.85182436928153, -14.177118431776762, -11.643383687362075, -6.732701629400253, -17.990226231515408, -6.703254915773869, 8.641470732167363]| 12.0859308242797852|      8.00000000|[2421, 796, 0, 66]                                                         | | GPS sucess | actual_k=16
      46|[-16.69060493214056, -24.50075357919559, -4.047044709324837, 18.556006566621363, -4.2511455761268735, 29.79244043584913, -10.549678845331073, 4.910388600081205, 2.6565842535346746, 3.750953435897827, 13.300014480948448, -12.32312279008329, 19.54095432162285, 7.433364547789097, -7.31512775272131, -10.06993218883872, -14.408056121319532, -11.887151246890426, -6.989299058914185, -18.25965356081724, -6.985512085258961, 8.34638369269669]| 12.0847311019897461|     16.00000000|[2469, 812, 0, 67]                                                         | | GPS sucess | actual_k=16
      47|[-18.256553776096553, -25.725790915545076, -3.6762340515851974, 19.884497658349574, -2.7299064146354795, 28.848818919621408, -11.399885339662433, 4.751341070979834, 2.750993935391307, 4.964741110801697, 13.111702218651772, -10.700867583975196, 17.500196665525436, 8.179910339415073, -9.705256126821041, -11.460863914340734, -8.842179160565138, -11.767646281048656, -8.543038129806519, -19.200370781123638, -8.18140060454607, 6.949712278321385]| 12.0807981491088867|     32.00000000|[2517, 828, 0, 68]                                                         | | GPS sucess | actual_k=16
      48|[-18.256553776096553, -25.725790915545076, -3.6762340515851974, 19.884497658349574, -2.7299064146354795, 28.848818919621408, -11.399885339662433, 4.751341070979834, 2.750993935391307, 4.964741110801697, 13.111702218651772, -10.700867583975196, 17.500196665525436, 8.179910339415073, -9.705256126821041, -11.460863914340734, -8.842179160565138, -11.767646281048656, -8.543038129806519, -19.200370781123638, -8.18140060454607, 6.949712278321385]| 12.0807981491088867|     16.00000000|[2574, 851, 0, 70]                                                         |  | used linear model with 65 points | actual_k=16
      49|[-18.361004277598113, -25.882466671522707, -3.885135054588318, 19.9480169871822, -3.0432579265907407, 28.483242145739496, -11.817687345668674, 4.281313803046942, 2.2287414353340864, 4.390263378620148, 12.484999194741249, -11.379795840010047, 33.14448282122612, 7.396531619131565, -10.540860138833523, -12.384115245193243, -9.782233696430922, -12.759926049038768, -9.58754312992096, -20.297101132571697, -9.330356068909168, 5.748531581833959]| 12.0795831680297852|     32.00000000|[2622, 867, 0, 71]                                                         | | GPS sucess | actual_k=16
      50|[-18.361004277598113, -25.882466671522707, -3.885135054588318, 19.9480169871822, -3.0432579265907407, 28.483242145739496, -11.817687345668674, 4.281313803046942, 2.2287414353340864, 4.390263378620148, 12.484999194741249, -11.379795840010047, 33.14448282122612, 7.396531619131565, -10.540860138833523, -12.384115245193243, -9.782233696430922, -12.759926049038768, -9.58754312992096, -20.297101132571697, -9.330356068909168, 5.748531581833959]| 12.0795831680297852|     16.00000000|[2680, 889, 0, 73]                                                         |  | used linear model with 65 points | actual_k=16
