k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[4.1365481575, 0.02, 0.17712896, 0.02, 1.6563998369, 0.02, 1.1912670842, 0.02, 0.29540308, 0.02, 0.33044829, 0.02, 0.081689693, 0.02, 0.25366977, 0.02, 1.3979474874, 0.02, 1.1726179747, 0.02, 0.09020114, 0.02, 0.12924843, 0.02, 0.30391686, 0.02, 0.1048141, 0.02, 0.1179912, 0.02, 0.54496913, 0.02, 0.007783709, 0.02, 0.089054003, 0.02, 0.11016803, 0.02, 0.039888624, 0.02, 0.098350298, 0.02, 0.28456638, 0.02, 0.4217993, 0.02, 0.16224077, 0.02, 0.071969874, 0.02, 0.31414176, 0.02, 0.14023746, 0.02, 0.28639923, 0.02, 0.062871838, 0.02, 0.15213167, 0.02, 0.19259894, 0.02, 0.15142465, 0.02, 0.39070068, 0.02]|263050.2304652961902320|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[4.286498125361176, 0.3585297358036041, 0.1402778556511021, -0.1449813205003739, 1.4693617281935256, -0.1810734379291535, 0.9843734166213027, -0.1847142088413239, 0.1003173011675644, -0.1588247376680374, 0.1735006325340652, -0.1106108087301254, -0.0193644836881943, -0.0495511102676392, 0.2163069150722218, 0.0143013065494597, 1.4222659813026832, 0.0716812317073345, 1.2481389967813752, 0.1151265692710877, 0.2001579036847496, 0.1396486726403236, 0.2532690362793731, 0.1430705827474594, 0.4208873320377922, 0.1260560718178749, 0.1956275877681732, 0.0918621835112572, 0.1679262503087044, 0.0458559845387936, 0.5558503546471644, -0.0051560993492603, -0.0424309057191525, -0.0537312361598015, -0.0057658556702347, -0.0926647815108299, -0.0163793065783691, -0.1158709037303925, -0.1002952122216949, -0.1191997039318085, -0.0344639603370209, -0.1011183965206146, 0.1801595016478348, -0.0631817239522934, 0.3636491650193214, -0.0102160046994686, 0.1617760713800923, 0.0498596974462271, 0.1313549613410702, 0.1066506919264793, 0.4242972157681084, 0.1484162849187851, 0.2802737002200699, 0.1637837183475494, 0.4250819530453491, 0.1441148561239242, 0.1628052014972572, 0.0865899515151978, 0.1774060771185589, 0.0390496779978275, 0.12070763961977, -0.1002250346541405, -0.0096974634662628, -0.1671276646852493, 0.2017817467276383, -0.1350657451152802]|29414.8828125000000000|      2.00000000|[16, 1, 0, 1]                                                              | | GPS sucess | actual_k=1
       2|[4.419297974275322, 0.7238475573062897, 0.3792854925558186, 0.4940366190671921, 0.762777274610762, -0.5640462446212768, 1.7921372315474502, -0.2093217442929745, 0.2076566386357117, 0.4390125316381455, 0.8340241663551712, -0.2213177490234375, 0.5550784989854507, -0.1571774888038635, 0.5999519727504444, -0.3630772466026246, 1.5441920058588432, 0.125492364615202, 1.4740121243610642, 0.1849811342358589, 0.4723337819711113, 0.0278986808657646, 0.8549705939156341, -0.0951804029941559, 0.4575747769332981, 1.2714155879616738, 0.2932655167904854, 1.2935663279891014, -0.496817351967144, -0.1683772648870945, 0.1498856224770594, 0.5030937199294567, -0.3607591074899349, 0.8397554424405098, 0.3727247711417465, -0.3109725150465965, -0.0374885001418304, -0.9148672926425934, 0.4772298670286407, -0.1232204493321478, 0.2747438665157776, -0.1407393771409988, 0.6812271400450516, 0.3452158313989639, 0.5508030557482719, 0.6741253067553044, 0.0385374854907528, -0.5302466801553964, 0.1599547376686802, 0.2477606800198555, 0.9402144573414422, -0.9421493965387344, 0.2103453298039055, 0.5322800767421723, 0.5380009856190491, 0.6372945946455002, 0.4924177248145943, 1.0301469159126282, -0.5204660251420308, -0.2411820064485073, 0.2756564106196785, 0.7945881453156471, 0.1285480148061752, -0.6094738501310348, -0.4830669790681076, -0.1434668102487922]|10089.6035156250000000|      4.00000000|[31, 2, 0, 2]                                                              | | GPS sucess | actual_k=1
       3|[5.4300095249879075, 1.3771681678295136, 1.027407922403536, 0.1373807829618454, 4.418117469312911, -0.9195337998867035, 1.4531613847800247, -0.5239912639558315, -0.0771130454405975, 0.1876328331232071, 0.6176121883488083, -0.4028433221578598, 0.4069885089656524, -0.2743476885557175, 0.5104228905713749, -0.4287204975448549, 1.4984628343741344, 0.0957159683853388, 1.4564265990718863, 0.1761726862564683, 0.4693447110154474, 0.0282958327839151, 0.8568768102930265, -0.0930882531870157, 0.459052767465592, 1.2719473312422633, 0.2929131866338834, 1.2926994052063674, -0.4976167671345651, -0.1684115763568843, 0.1513349183787528, 0.5066785006597638, -0.3545301110491667, 0.8489320366457105, 0.352940911069253, -0.296019743680954, -0.0202684966114473, -0.8961598104983568, 0.4964061043137779, -0.1047832798399031, 0.2797176254591565, -0.1278212419897318, 0.6893597942872691, 0.3473575522471219, 0.5459711777455389, 0.6616460033506155, 0.018121601979448, -0.5584432031214237, 0.1246185784990063, 0.2064257790148258, 0.8945072203660107, -0.9901640112698078, 0.1624451485402203, 0.4871555683016777, 0.4984004531171131, 0.6058686454594135, 0.471507076185525, 1.0215501910820604, -0.5157340678070057, -0.2231280519813299, 0.3057883299291754, 0.8341440413892269, 0.1733608468338489, -0.5650865319371223, -0.4461679488595199, -0.1221838896349073]|6657.4921875000000000|      8.00000000|[46, 3, 0, 3]                                                              | | GPS sucess | actual_k=1
      44|[2.353673275278778, 7.389657531380653, -1.382751535071411, -0.8328014328330755, 3.328860763480243, 1.5572426705434919, 2.6406328639574994, -6.374526910968125, 0.1043559023499656, 3.9748744019120927, 0.7956875789838667, -3.566478098062799, -1.3638999024743028, -2.9092226852849126, -3.13078424773788, 11.843831452522426, -4.995510916246946, 25.802903214450925, -6.0367575129405004, 8.238089039437472, -6.229234032947124, -8.769649558602833, -1.2451047294518567, 7.642979385545477, -9.971605047722576, -6.631776518207044, -10.251634024744929, -6.230317401485518, -7.4808685194664175, -4.976931926962134, 53.16162061998145, -5.894360742084682, -2.6486650929794227, -2.1989509561285376, -1.897603719853124, -4.680400993227959, 0.1171405124279548, -0.4087548568099737, -0.1764055878011415, -0.303332714382559, 0.7257881363532166, -2.70009214758873, -0.2633282701389146, 0.7013253478612751, -0.4996605978869617, 20.19420772369951, -1.6997376885607705, -3.5481750774383545, -3.6591614077037105, -6.234834529012442, -8.928185978553286, 10.530250132530927, -9.230433820659735, -6.110171874538064, 11.869804498378556, 33.800114220455285, -3.5743392901380053, -3.701187689341605, -5.7456037808824645, -5.413908190578223, -2.2617477633654453, 2.255877476632595, -1.6142557377325728, 2.3343127453513444, 0.9568995673034717, 1.288136078491807]|412.3780517578125000|     16.00000000|[2389, 175, 0, 175]                                                        |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=1
      45|[2.353673275278778, 7.389657531380653, -1.382751535071411, -0.8328014328330755, 3.328860763480243, 1.5572426705434919, 2.6406328639574994, -6.374526910968125, 0.1043559023499656, 3.9748744019120927, 0.7956875789838667, -3.566478098062799, -1.3638999024743028, -2.9092226852849126, -3.13078424773788, 11.843831452522426, -4.995510916246946, 25.802903214450925, -6.0367575129405004, 8.238089039437472, -6.229234032947124, -8.769649558602833, -1.2451047294518567, 7.642979385545477, -9.971605047722576, -6.631776518207044, -10.251634024744929, -6.230317401485518, -7.4808685194664175, -4.976931926962134, 53.16162061998145, -5.894360742084682, -2.6486650929794227, -2.1989509561285376, -1.897603719853124, -4.680400993227959, 0.1171405124279548, -0.4087548568099737, -0.1764055878011415, -0.303332714382559, 0.7257881363532166, -2.70009214758873, -0.2633282701389146, 0.7013253478612751, -0.4996605978869617, 20.19420772369951, -1.6997376885607705, -3.5481750774383545, -3.6591614077037105, -6.234834529012442, -8.928185978553286, 10.530250132530927, -9.230433820659735, -6.110171874538064, 11.869804498378556, 33.800114220455285, -3.5743392901380053, -3.701187689341605, -5.7456037808824645, -5.413908190578223, -2.2617477633654453, 2.255877476632595, -1.6142557377325728, 2.3343127453513444, 0.9568995673034717, 1.288136078491807]|412.3780517578125000|      8.00000000|[2469, 181, 0, 181]                                                        |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 55 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 68 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      46|[2.353673275278778, 7.389657531380653, -1.382751535071411, -0.8328014328330755, 3.328860763480243, 1.5572426705434919, 2.6406328639574994, -6.374526910968125, 0.1043559023499656, 3.9748744019120927, 0.7956875789838667, -3.566478098062799, -1.3638999024743028, -2.9092226852849126, -3.13078424773788, 11.843831452522426, -4.995510916246946, 25.802903214450925, -6.0367575129405004, 8.238089039437472, -6.229234032947124, -8.769649558602833, -1.2451047294518567, 7.642979385545477, -9.971605047722576, -6.631776518207044, -10.251634024744929, -6.230317401485518, -7.4808685194664175, -4.976931926962134, 53.16162061998145, -5.894360742084682, -2.6486650929794227, -2.1989509561285376, -1.897603719853124, -4.680400993227959, 0.1171405124279548, -0.4087548568099737, -0.1764055878011415, -0.303332714382559, 0.7257881363532166, -2.70009214758873, -0.2633282701389146, 0.7013253478612751, -0.4996605978869617, 20.19420772369951, -1.6997376885607705, -3.5481750774383545, -3.6591614077037105, -6.234834529012442, -8.928185978553286, 10.530250132530927, -9.230433820659735, -6.110171874538064, 11.869804498378556, 33.800114220455285, -3.5743392901380053, -3.701187689341605, -5.7456037808824645, -5.413908190578223, -2.2617477633654453, 2.255877476632595, -1.6142557377325728, 2.3343127453513444, 0.9568995673034717, 1.288136078491807]|412.3780517578125000|      4.00000000|[2549, 187, 0, 187]                                                        |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 55 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 68 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      47|[3.385048564242096, 7.342980865836143, -0.972829203499832, -1.1141147627681494, 3.0043161250849337, 1.1987236528471112, 2.2585545739718427, -2.7166551877930765, 0.3141156294703651, 3.5874266573041673, 0.426670663424098, -3.9087085074465726, -1.672456846606154, -3.178848587460816, -3.357932408076282, 11.660989615116268, -5.133876721396025, 25.707641916330903, -6.091660539610718, 8.219628665111959, -6.216102854962946, -8.730461240648292, -1.1858166598460294, 7.716245750179514, -9.890397362550019, -6.548349908571691, -10.171191752618254, -6.1573705475497995, -7.419099123399752, -4.929095876570937, 53.19374900990621, -5.878719818331302, -2.6493257513277744, -2.2148302146419883, -1.9268265155928939, -4.720437082946301, 0.0693134437116671, -0.4610412023216486, -0.2297048360196778, -0.3542824592627585, 0.6802724500796418, -2.7375474195182323, -0.2907129070625853, 0.6852783711906523, -0.5039343240261793, 20.20126890808344, -1.6826449502602085, -3.52315485060215, -3.628996905142618, -6.20280989587307, -8.897855082175722, 10.555340880975127, -9.213810137385943, -6.104591303989292, 11.862746875372153, 33.78010680198669, -3.606082213099717, -3.7417830531671648, -5.7905034009982215, -5.4571041944623, -2.2962439627050735, 2.237254336923361, -1.6108909479672446, 2.36296670043841, 1.2971377808425952, 1.3533559054881334]|403.6625061035156250|      8.00000000|[2590, 190, 0, 190]                                                        |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=1
      48|[3.385048564242096, 7.342980865836143, -0.972829203499832, -1.1141147627681494, 3.0043161250849337, 1.1987236528471112, 2.2585545739718427, -2.7166551877930765, 0.3141156294703651, 3.5874266573041673, 0.426670663424098, -3.9087085074465726, -1.672456846606154, -3.178848587460816, -3.357932408076282, 11.660989615116268, -5.133876721396025, 25.707641916330903, -6.091660539610718, 8.219628665111959, -6.216102854962946, -8.730461240648292, -1.1858166598460294, 7.716245750179514, -9.890397362550019, -6.548349908571691, -10.171191752618254, -6.1573705475497995, -7.419099123399752, -4.929095876570937, 53.19374900990621, -5.878719818331302, -2.6493257513277744, -2.2148302146419883, -1.9268265155928939, -4.720437082946301, 0.0693134437116671, -0.4610412023216486, -0.2297048360196778, -0.3542824592627585, 0.6802724500796418, -2.7375474195182323, -0.2907129070625853, 0.6852783711906523, -0.5039343240261793, 20.20126890808344, -1.6826449502602085, -3.52315485060215, -3.628996905142618, -6.20280989587307, -8.897855082175722, 10.555340880975127, -9.213810137385943, -6.104591303989292, 11.862746875372153, 33.78010680198669, -3.606082213099717, -3.7417830531671648, -5.7905034009982215, -5.4571041944623, -2.2962439627050735, 2.237254336923361, -1.6108909479672446, 2.36296670043841, 1.2971377808425952, 1.3533559054881334]|403.6625061035156250|      4.00000000|[2671, 196, 0, 196]                                                        |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 43 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 56 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 69 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      49|[3.385048564242096, 7.342980865836143, -0.972829203499832, -1.1141147627681494, 3.0043161250849337, 1.1987236528471112, 2.2585545739718427, -2.7166551877930765, 0.3141156294703651, 3.5874266573041673, 0.426670663424098, -3.9087085074465726, -1.672456846606154, -3.178848587460816, -3.357932408076282, 11.660989615116268, -5.133876721396025, 25.707641916330903, -6.091660539610718, 8.219628665111959, -6.216102854962946, -8.730461240648292, -1.1858166598460294, 7.716245750179514, -9.890397362550019, -6.548349908571691, -10.171191752618254, -6.1573705475497995, -7.419099123399752, -4.929095876570937, 53.19374900990621, -5.878719818331302, -2.6493257513277744, -2.2148302146419883, -1.9268265155928939, -4.720437082946301, 0.0693134437116671, -0.4610412023216486, -0.2297048360196778, -0.3542824592627585, 0.6802724500796418, -2.7375474195182323, -0.2907129070625853, 0.6852783711906523, -0.5039343240261793, 20.20126890808344, -1.6826449502602085, -3.52315485060215, -3.628996905142618, -6.20280989587307, -8.897855082175722, 10.555340880975127, -9.213810137385943, -6.104591303989292, 11.862746875372153, 33.78010680198669, -3.606082213099717, -3.7417830531671648, -5.7905034009982215, -5.4571041944623, -2.2962439627050735, 2.237254336923361, -1.6108909479672446, 2.36296670043841, 1.2971377808425952, 1.3533559054881334]|403.6625061035156250|      2.00000000|[2751, 202, 0, 202]                                                        |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 55 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 68 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      50|[3.2202042599188996, 7.238681894242763, -1.1433645444050216, -1.0694478801637888, 3.0397467203636737, 1.2203261530771852, 2.262704801615392, -2.7325070672854785, 0.2768163615226913, 3.5283084348589178, 0.3463575396614904, -4.0087099543493245, -1.7898949692362733, -3.310879000015557, -3.501277227622028, 11.509882363472133, -5.289074103369291, 27.626909689959138, -6.244243661864136, 8.073331269882619, -6.353244336004854, -8.856011361717247, -1.297828986563406, 7.619194770446047, -9.971600525220154, -6.6133513739518826, -10.220148526793421, -6.190913392947987, -7.4382820438556845, -4.935334487054643, 53.198747784173946, -5.864405453689397, -2.6501531527967703, -2.188108543418348, -1.8970414822774737, -4.6895727473497395, 0.0994431297096301, -0.4332292615622282, -0.2055124040780494, -0.3346913624741137, 0.6946257114088754, -2.7287119222059846, -0.2873220586587888, 0.6836322577251122, -0.5099083285369694, 20.191930274926126, -1.6941907666966185, -3.535627344176173, -3.641072512807501, -6.213208088204265, -8.905427190124085, 10.551524047954008, -9.213243841863212, -6.099386313017458, 11.872419582318884, 33.793618543520566, -3.5898188343156567, -3.7242773403599863, -5.773603578718411, -5.442859304621816, -2.2726687629371263, 2.2403281859401614, -1.6154097553672626, 2.3508363421820104, 1.279052237776332, 1.3333396040648222]|402.1728515625000000|      4.00000000|[2766, 203, 0, 203]                                                        | | GPS sucess | actual_k=1
      51|[3.4388326366412354, 7.152428482174873, -1.1597485220119141, -1.0772906285896897, 3.0289480807458133, 1.207686063349247, 2.249591990243708, -2.7446371098235254, 0.2670540166407991, 3.522092387527227, 0.3445534915824244, -4.005622162269429, -1.781859056126494, -3.298265319801867, -3.484853741448875, 11.529007214102894, -5.26861669777232, 27.647167669590562, -6.225772327734564, 8.08848563812673, -6.3427704569506655, -8.851313162031584, -1.299645772690571, 7.610548252454027, -9.986921229538737, -6.63470072394237, -10.246399325048626, -6.2204940549749885, -7.469242484491366, -4.9654391428270905, 53.171902483603816, -5.8855579258129005, -2.663303285057987, -2.1912344950437546, -1.8885759435447662, -4.668565481454134, 0.133175037315755, -0.3874867721647024, -0.1494709882972667, -0.2711235899664461, 0.7618681028163652, -2.6626918283477425, -0.0839662098695737, 0.7288596624089405, -0.4856274805553973, 20.187746515013277, -1.7342995256528124, -3.618656249269843, -3.773094983043326, -6.398883947655559, -9.14749342447429, 10.25275624285452, -9.566131382918892, -6.500523307379336, 11.432471947383505, 37.571169717684384, -4.064455240022062, -4.188062392659486, -6.204311033399807, -5.817138267233968, -2.5678634781985856, 2.212151684546843, -1.7005809184493854, 2.3793013430945575, 1.4071323226962615, 1.524162473604083]|398.7147827148437500|      8.00000000|[2821, 207, 0, 207]                                                        |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=1
      52|[3.4388326366412354, 7.152428482174873, -1.1597485220119141, -1.0772906285896897, 3.0289480807458133, 1.207686063349247, 2.249591990243708, -2.7446371098235254, 0.2670540166407991, 3.522092387527227, 0.3445534915824244, -4.005622162269429, -1.781859056126494, -3.298265319801867, -3.484853741448875, 11.529007214102894, -5.26861669777232, 27.647167669590562, -6.225772327734564, 8.08848563812673, -6.3427704569506655, -8.851313162031584, -1.299645772690571, 7.610548252454027, -9.986921229538737, -6.63470072394237, -10.246399325048626, -6.2204940549749885, -7.469242484491366, -4.9654391428270905, 53.171902483603816, -5.8855579258129005, -2.663303285057987, -2.1912344950437546, -1.8885759435447662, -4.668565481454134, 0.133175037315755, -0.3874867721647024, -0.1494709882972667, -0.2711235899664461, 0.7618681028163652, -2.6626918283477425, -0.0839662098695737, 0.7288596624089405, -0.4856274805553973, 20.187746515013277, -1.7342995256528124, -3.618656249269843, -3.773094983043326, -6.398883947655559, -9.14749342447429, 10.25275624285452, -9.566131382918892, -6.500523307379336, 11.432471947383505, 37.571169717684384, -4.064455240022062, -4.188062392659486, -6.204311033399807, -5.817138267233968, -2.5678634781985856, 2.212151684546843, -1.7005809184493854, 2.3793013430945575, 1.4071323226962615, 1.524162473604083]|398.7147827148437500|      4.00000000|[2901, 213, 0, 213]                                                        |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 55 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 68 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      53|[3.4388326366412354, 7.152428482174873, -1.1597485220119141, -1.0772906285896897, 3.0289480807458133, 1.207686063349247, 2.249591990243708, -2.7446371098235254, 0.2670540166407991, 3.522092387527227, 0.3445534915824244, -4.005622162269429, -1.781859056126494, -3.298265319801867, -3.484853741448875, 11.529007214102894, -5.26861669777232, 27.647167669590562, -6.225772327734564, 8.08848563812673, -6.3427704569506655, -8.851313162031584, -1.299645772690571, 7.610548252454027, -9.986921229538737, -6.63470072394237, -10.246399325048626, -6.2204940549749885, -7.469242484491366, -4.9654391428270905, 53.171902483603816, -5.8855579258129005, -2.663303285057987, -2.1912344950437546, -1.8885759435447662, -4.668565481454134, 0.133175037315755, -0.3874867721647024, -0.1494709882972667, -0.2711235899664461, 0.7618681028163652, -2.6626918283477425, -0.0839662098695737, 0.7288596624089405, -0.4856274805553973, 20.187746515013277, -1.7342995256528124, -3.618656249269843, -3.773094983043326, -6.398883947655559, -9.14749342447429, 10.25275624285452, -9.566131382918892, -6.500523307379336, 11.432471947383505, 37.571169717684384, -4.064455240022062, -4.188062392659486, -6.204311033399807, -5.817138267233968, -2.5678634781985856, 2.212151684546843, -1.7005809184493854, 2.3793013430945575, 1.4071323226962615, 1.524162473604083]|398.7147827148437500|      2.00000000|[2982, 219, 0, 219]                                                        |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 56 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 69 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      54|[3.308248590396614, 7.29798755466938, -1.031155896751561, -1.097175388149917, 3.0159389376838774, 1.2024915106408298, 2.252140501849418, -2.7352862707525496, 0.2815881324321199, 3.539728587940335, 0.3629702110935757, -3.988775002555922, -1.7687698072159477, -3.290800422914326, -3.4844330593457347, 11.521496626064181, -5.284365742488678, 27.623461863007396, -6.256590704424713, 8.05190347738564, -6.383347619007827, -8.893802351686173, -1.3417708971748716, 7.571126235863193, -10.02137130605918, -6.66211038177833, -10.265021939491929, -6.22901259993203, -7.4668590053413535, -4.951942159030732, 53.19609559168563, -5.85173021119088, -2.621533672477449, -2.143805488497019, -1.8382908649596184, -4.618653613626957, 0.0715439761790324, -0.3491037204116583, -0.1224319893954227, -0.259009832534939, 0.7557865976034324, -2.6897630659118295, -0.1341906034757596, 0.6540894576860592, -0.5854483253844798, 20.063345646001398, -1.8817823827609286, -3.7866850509494543, -3.9581311952492126, -6.596471691057086, -9.352396326719811, 12.13688481341116, -9.76782797250801, -6.691277467664332, 11.25865437240563, 37.41967750944197, -4.189202844153761, -4.282974921651185, -6.267958027930962, -5.85002450786531, -2.5726145211271323, 2.230733378538862, -1.6655262310387924, 2.4222608692757785, 1.4113055256020655, 1.553950300887227]|397.0836791992187500|      4.00000000|[3011, 221, 0, 221]                                                        |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=1
      55|[3.308248590396614, 7.29798755466938, -1.031155896751561, -1.097175388149917, 3.0159389376838774, 1.2024915106408298, 2.252140501849418, -2.7352862707525496, 0.2815881324321199, 3.539728587940335, 0.3629702110935757, -3.988775002555922, -1.7687698072159477, -3.290800422914326, -3.4844330593457347, 11.521496626064181, -5.284365742488678, 27.623461863007396, -6.256590704424713, 8.05190347738564, -6.383347619007827, -8.893802351686173, -1.3417708971748716, 7.571126235863193, -10.02137130605918, -6.66211038177833, -10.265021939491929, -6.22901259993203, -7.4668590053413535, -4.951942159030732, 53.19609559168563, -5.85173021119088, -2.621533672477449, -2.143805488497019, -1.8382908649596184, -4.618653613626957, 0.0715439761790324, -0.3491037204116583, -0.1224319893954227, -0.259009832534939, 0.7557865976034324, -2.6897630659118295, -0.1341906034757596, 0.6540894576860592, -0.5854483253844798, 20.063345646001398, -1.8817823827609286, -3.7866850509494543, -3.9581311952492126, -6.596471691057086, -9.352396326719811, 12.13688481341116, -9.76782797250801, -6.691277467664332, 11.25865437240563, 37.41967750944197, -4.189202844153761, -4.282974921651185, -6.267958027930962, -5.85002450786531, -2.5726145211271323, 2.230733378538862, -1.6655262310387924, 2.4222608692757785, 1.4113055256020655, 1.553950300887227]|397.0836791992187500|      2.00000000|[3093, 227, 0, 227]                                                        |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 43 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 70 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      56|[3.308248590396614, 7.29798755466938, -1.031155896751561, -1.097175388149917, 3.0159389376838774, 1.2024915106408298, 2.252140501849418, -2.7352862707525496, 0.2815881324321199, 3.539728587940335, 0.3629702110935757, -3.988775002555922, -1.7687698072159477, -3.290800422914326, -3.4844330593457347, 11.521496626064181, -5.284365742488678, 27.623461863007396, -6.256590704424713, 8.05190347738564, -6.383347619007827, -8.893802351686173, -1.3417708971748716, 7.571126235863193, -10.02137130605918, -6.66211038177833, -10.265021939491929, -6.22901259993203, -7.4668590053413535, -4.951942159030732, 53.19609559168563, -5.85173021119088, -2.621533672477449, -2.143805488497019, -1.8382908649596184, -4.618653613626957, 0.0715439761790324, -0.3491037204116583, -0.1224319893954227, -0.259009832534939, 0.7557865976034324, -2.6897630659118295, -0.1341906034757596, 0.6540894576860592, -0.5854483253844798, 20.063345646001398, -1.8817823827609286, -3.7866850509494543, -3.9581311952492126, -6.596471691057086, -9.352396326719811, 12.13688481341116, -9.76782797250801, -6.691277467664332, 11.25865437240563, 37.41967750944197, -4.189202844153761, -4.282974921651185, -6.267958027930962, -5.85002450786531, -2.5726145211271323, 2.230733378538862, -1.6655262310387924, 2.4222608692757785, 1.4113055256020655, 1.553950300887227]|397.0836791992187500|      1.00000000|[3174, 233, 0, 233]                                                        |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 30 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 43 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 56 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 69 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      57|[3.526372696922989, 7.1988878142833705, -1.0072769982799672, -1.141341561935842, 2.9575948566396804, 1.1309611461870372, 2.169191869311099, -2.82727461822331, 0.183366890004294, 4.459640091732144, 0.261496320848615, -4.0873026128578935, -1.8615757217967697, -3.3754659001901746, -3.558985073815835, 11.458524750992655, -5.334829851074989, 27.585888015087694, -6.281418680204485, 8.039189816899597, -6.385007903710493, -8.88582744020503, -1.3258536053101189, 7.593107544099912, -9.995298211601792, -6.633921080287546, -10.236609463309945, -6.202109313355759, -7.442968975702348, -4.932286262679991, 53.21062008132682, -5.842886036746204, -2.618561862654383, -2.1465490265004337, -1.8462671957763641, -4.631092784479261, 0.0556482276680756, -0.3672753549367189, -0.1415944412438104, -0.2778488993830979, 0.7385371605544011, -2.704280030466616, -0.1450257686336738, 0.6476307831285522, -0.5871390096201345, 20.0664785695076, -1.8741200100973114, -3.775129895210266, -3.943632367270244, -6.612272398099304, -9.33581610268264, 12.152336782990023, -9.75494562622064, -6.682243887353689, 11.262858160876107, 37.41850141503848, -4.195760047517388, -4.294277206547559, -6.282691022070156, -5.8662228933721785, -2.587782834995476, 2.219377557495609, -1.6703991747791305, 2.417095477208495, 1.423759380617403, 1.5730614741146565]|396.4736938476562500|      2.00000000|[3202, 235, 0, 235]                                                        |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=1
