k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[20.721861839294434, 1.5313697457313538, 2.0582194067537785, 1.6774395406246185, 0.5897005021572113]|5798.6899414062500000|      2.00000000|[17, 0, 0, 1]                                                              | | GPS sucess | actual_k=0
       2|[19.89513248205185, 2.5104073882102966, 3.4271163679659367, 2.3727371394634247, 0.6158998448401689]|3676.1386718750000000|      4.00000000|[33, 0, 0, 2]                                                              | | GPS sucess | actual_k=0
       3|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      8.00000000|[49, 0, 0, 3]                                                              | | GPS sucess | actual_k=0
       4|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      4.00000000|[79, 0, 0, 5]                                                              |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      2.00000000|[109, 0, 0, 7]                                                             |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      1.00000000|[139, 0, 0, 9]                                                             |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.50000000|[168, 0, 0, 11]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      18|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.00024414|[487, 0, 0, 33]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      19|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.00012207|[516, 0, 0, 35]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      20|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.00006104|[545, 0, 0, 37]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      21|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.00003052|[574, 0, 0, 39]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      22|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.00001526|[603, 0, 0, 41]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      23|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.00000763|[632, 0, 0, 43]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      24|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.00000381|[661, 0, 0, 45]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      25|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.00000191|[690, 0, 0, 47]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      26|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.00000095|[719, 0, 0, 49]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
      27|[17.886959493160248, -0.5367529988288879, 2.9091234542429447, 2.7397266030311584, 2.125554843619466]|-100000002004087734272.0000000000000000|      0.00000048|[748, 0, 0, 51]                                                            |  | trying linear partial model with 17 points | exploitation failed, decreasing delta | actual_k=0
