k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]                              | 51.0855557048649089|      1.00000000|[0, 0, 0, 0]                                                               | 
      11|[-0.2568834910303004, 0.8350820575136751, -0.238688385325459, -0.8340283861460134, 0.2397817579528298, 0.1897597723704511, 1.041642340438448, 2.069919456504202, 1.6175095730768054, 1.8405562391727357]| 13.4839916229248047|      0.50000000|[106, 50, 0, 50]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 10 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[-0.2568834910303004, 0.8350820575136751, -0.238688385325459, -0.8340283861460134, 0.2397817579528298, 0.1897597723704511, 1.041642340438448, 2.069919456504202, 1.6175095730768054, 1.8405562391727357]| 13.4839916229248047|      0.25000000|[119, 57, 0, 57]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 12 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[-0.2568834910303004, 0.8350820575136751, -0.238688385325459, -0.8340283861460134, 0.2397817579528298, 0.1897597723704511, 1.041642340438448, 2.069919456504202, 1.6175095730768054, 1.8405562391727357]| 13.4839916229248047|      0.12500000|[131, 63, 0, 63]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[-0.2734072825073846, 0.8289242252934784, -0.2541412042705092, -0.8474143227638646, 0.2291781773289647, 0.3110989593964749, 1.0378335284330027, 2.0696648731920035, 1.6206083256592512, 1.8465783432348757]| 13.0736742019653320|      0.25000000|[141, 68, 0, 68]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=1
      15|[-0.2734072825073846, 0.8289242252934784, -0.2541412042705092, -0.8474143227638646, 0.2291781773289647, 0.3110989593964749, 1.0378335284330027, 2.0696648731920035, 1.6206083256592512, 1.8465783432348757]| 13.0736742019653320|      0.12500000|[153, 74, 0, 74]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      16|[-0.2734072825073846, 0.8289242252934784, -0.2541412042705092, -0.8474143227638646, 0.2291781773289647, 0.3110989593964749, 1.0378335284330027, 2.0696648731920035, 1.6206083256592512, 1.8465783432348757]| 13.0736742019653320|      0.06250000|[165, 80, 0, 80]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      17|[-0.2546089522396543, 0.8361330426708758, -0.2255586764658949, -0.8619926125351696, 0.2694138135458245, 0.322229011244754, 1.0217024410893587, 2.054683726444424, 1.6358283524259487, 1.8500908744228295]| 12.7659616470336914|      0.12500000|[175, 85, 0, 85]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=1
      18|[-0.2546089522396543, 0.8361330426708758, -0.2255586764658949, -0.8619926125351696, 0.2694138135458245, 0.322229011244754, 1.0217024410893587, 2.054683726444424, 1.6358283524259487, 1.8500908744228295]| 12.7659616470336914|      0.06250000|[187, 91, 0, 91]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      19|[-0.2546089522396543, 0.8361330426708758, -0.2255586764658949, -0.8619926125351696, 0.2694138135458245, 0.322229011244754, 1.0217024410893587, 2.054683726444424, 1.6358283524259487, 1.8500908744228295]| 12.7659616470336914|      0.03125000|[199, 97, 0, 97]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 10 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 12 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      20|[-0.2546089522396543, 0.8361330426708758, -0.2255586764658949, -0.8619926125351696, 0.2694138135458245, 0.322229011244754, 1.0217024410893587, 2.054683726444424, 1.6358283524259487, 1.8500908744228295]| 12.7659616470336914|      0.01562500|[211, 103, 0, 103]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
