k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1703815907239914, 0.340261310338974, -0.2918848991394043, 0.2596587538719177, -0.0531272292137146, 0.2253860980272293, -0.0945106595754623, 0.0251506362110376, -0.0826609134674072, 0.0144698210060596, -0.1295367926359177, -0.2830583453178406, -0.2213968485593796, -0.2909031808376312, 0.0203376580029726, -0.0806582421064377, 0.1025073155760765, -0.1063051819801331, 0.1745223999023438, 0.3602338433265686, -0.1755805164575577, 0.4266362190246582]| 14.3782787322998047|      2.00000000|[13, 4, 0, 1]                                                              | | GPS sucess | actual_k=4
       2|[0.4017368704080582, 0.7368647456169128, -0.307356963865459, 1.1179901957511902, 0.2256766259670258, 0.2755560353398323, 0.2883624881505966, 0.2314246837049723, -0.1944978013634682, 0.4060554094612598, 0.993653729557991, -0.0836738646030426, 0.1040187925100327, -0.555913507938385, -0.249057961627841, 0.0078218206763268, 0.1699910089373589, 0.3477712571620941, 0.4236556738615036, -0.3429346680641174, 0.0193436741828918, -0.0772340297698975]| 13.0015897750854492|      4.00000000|[25, 8, 0, 2]                                                              | | GPS sucess | actual_k=4
       3|[0.5479229241609573, 1.4730808734893799, -1.4214760167524219, 2.3045700192451477, 0.2886678650975227, -0.3592452928423882, 1.4154900163412094, -0.1018196102231741, -1.2351628318428993, -1.2883347682654858, 1.3834091573953629, -0.8766596019268036, 0.7422547787427902, 0.3000537753105164, -1.6121694575995207, -0.5439863577485085, -0.0552404746413231, 0.3358321152627468, 1.3632378429174423, -0.8695681691169739, -0.223907932639122, 1.2233442068099976]| 12.2384777069091797|      8.00000000|[37, 12, 0, 3]                                                             | | GPS sucess | actual_k=4
       4|[3.3128975182771683, 2.2807340025901794, -1.153184781782329, 0.3938297629356384, 1.4020275548100471, -0.777556411921978, 0.9855334013700485, 1.6257027629762888, -1.4843721762299538, 0.3793203420937061, 1.5085323750972748, -1.4703106582164764, -1.2786500006914139, -1.3785657286643982, -3.329584551975131, -3.2503300085663795, 3.1850072517991066, 1.7775452099740505, 1.0538338273763657, 0.4043499827384949, -1.47357939183712, 4.562662243843079]| 12.1645765304565430|     16.00000000|[49, 16, 0, 4]                                                             | | GPS sucess | actual_k=4
       5|[4.577923610806465, 5.760695159435272, -0.9711080892011523, -0.5680162310600281, 8.400433011353016, -2.3711996003985405, -3.450951412320137, 6.4545687679201365, -0.730476476252079, -0.2794238738715649, -1.09659543633461, -2.9706866443157196, -2.2641393691301346, -1.5430082380771637, 4.811704205349088, -6.0259340181946754, 9.171968139708042, 1.9820557497441769, -1.7194775491952896, -0.7229738831520081, -4.433798059821129, 1.70256507396698]| 12.1577777862548828|     32.00000000|[61, 20, 0, 5]                                                             | | GPS sucess | actual_k=4
      16|[-77.7634879797697, -16.00746089220047, 44.664539207704365, 57.16008239984512, 38.525083906948566, 97.80937922745943, -31.358344867825508, -10.921675300225616, 35.98873069137335, 1.9662447161972523, -60.91994908452034, -55.95464727282524, 13.417633101344109, -45.61769473552704, 76.67610244639218, -11.219466842710972, -63.09753616899252, 30.265112104360014, -23.003220334649086, 32.2388419508934, -48.3030359596014, 54.43696117401123]| 11.9577827453613281|    256.00000000|[1088, 396, 0, 99]                                                         |  | trying linear partial model with 13 points | trying linear partial model with 24 points | trying quadratic partial model with 34 points| GPS sucess | actual_k=4
      17|[-160.63764874637127, -2.6637852787971497, 4.061435570009053, 128.35966736078262, -49.144609086215496, 73.55269778519869, -43.238992527127266, 15.409390831366181, 42.76426150649786, 80.86324026063085, -1.934921771287918, -30.050649851560593, 73.25800327956676, 6.653640866279602, 116.52212600596249, 20.556091628968716, -101.78979309648275, 50.2335531138815, -44.86712338030338, -83.21873098611832, -108.36210273206234, 117.84149074554443]| 11.7719135284423828|    512.00000000|[1132, 412, 0, 103]                                                        |  | trying linear partial model with 13 points | trying linear partial model with 24 points | trying quadratic partial model with 34 points| GPS sucess | actual_k=4
      18|[-160.63764874637127, -2.6637852787971497, 4.061435570009053, 128.35966736078262, -49.144609086215496, 73.55269778519869, -43.238992527127266, 15.409390831366181, 42.76426150649786, 80.86324026063085, -1.934921771287918, -30.050649851560593, 73.25800327956676, 6.653640866279602, 116.52212600596249, 20.556091628968716, -101.78979309648275, 50.2335531138815, -44.86712338030338, -83.21873098611832, -108.36210273206234, 117.84149074554443]| 11.7719135284423828|    256.00000000|[1272, 464, 0, 116]                                                        |  | trying linear partial model with 13 points | trying linear partial model with 23 points | trying quadratic partial model with 34 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 46 points | trying quadratic partial model with 56 points | trying quadratic partial model with 66 points | trying quadratic partial model with 76 points | trying quadratic partial model with 86 points | trying quadratic partial model with 98 points | trying quadratic partial model with 109 points | trying quadratic partial model with 120 points | trying quadratic partial model with 130 points | exploitation failed, decreasing delta | actual_k=4
      19|[-154.70793645083904, -103.49242907762527, 67.86649309564382, 119.72788769006729, 31.91835630685091, 136.0450836494565, 6.025320217013359, -42.315229987725616, 50.05387284606695, 149.55527975037694, -55.806889086961746, -4.909851282835007, 113.23480229079723, -68.90390765666962, 181.68389968760312, -23.181262649595737, -177.62743958085775, 98.31880396837369, -20.478613629937172, -57.31854826211929, -86.55125831067562, 175.94702053070068]| 11.7174329757690430|    512.00000000|[1348, 492, 1, 124]                                                        |  | trying linear partial model with 13 points | trying linear partial model with 23 points | trying quadratic partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 43 points | trying quadratic partial model with 54 points | trying quadratic partial model with 65 points FAILED TO GET X_HAT, using additional batch call| GPS sucess | actual_k=4
      20|[-154.70793645083904, -103.49242907762527, 67.86649309564382, 119.72788769006729, 31.91835630685091, 136.0450836494565, 6.025320217013359, -42.315229987725616, 50.05387284606695, 149.55527975037694, -55.806889086961746, -4.909851282835007, 113.23480229079723, -68.90390765666962, 181.68389968760312, -23.181262649595737, -177.62743958085775, 98.31880396837369, -20.478613629937172, -57.31854826211929, -86.55125831067562, 175.94702053070068]| 11.7174329757690430|    256.00000000|[1487, 544, 1, 137]                                                        |  | trying linear partial model with 13 points | trying linear partial model with 23 points | trying quadratic partial model with 33 points | trying quadratic partial model with 43 points | trying quadratic partial model with 55 points | trying quadratic partial model with 65 points | trying quadratic partial model with 76 points | trying quadratic partial model with 86 points | trying quadratic partial model with 97 points | trying quadratic partial model with 107 points | trying quadratic partial model with 118 points | trying quadratic partial model with 129 points | exploitation failed, decreasing delta | actual_k=4
      21|[-154.70793645083904, -103.49242907762527, 67.86649309564382, 119.72788769006729, 31.91835630685091, 136.0450836494565, 6.025320217013359, -42.315229987725616, 50.05387284606695, 149.55527975037694, -55.806889086961746, -4.909851282835007, 113.23480229079723, -68.90390765666962, 181.68389968760312, -23.181262649595737, -177.62743958085775, 98.31880396837369, -20.478613629937172, -57.31854826211929, -86.55125831067562, 175.94702053070068]| 11.7174329757690430|    128.00000000|[1619, 592, 1, 149]                                                        |  | trying linear partial model with 13 points | trying linear partial model with 24 points | trying quadratic partial model with 35 points | trying quadratic partial model with 46 points | trying quadratic partial model with 56 points | trying quadratic partial model with 67 points | trying quadratic partial model with 77 points | trying quadratic partial model with 87 points | trying quadratic partial model with 99 points | trying quadratic partial model with 110 points | trying quadratic partial model with 122 points | exploitation failed, decreasing delta | actual_k=4
      22|[-154.70793645083904, -103.49242907762527, 67.86649309564382, 119.72788769006729, 31.91835630685091, 136.0450836494565, 6.025320217013359, -42.315229987725616, 50.05387284606695, 149.55527975037694, -55.806889086961746, -4.909851282835007, 113.23480229079723, -68.90390765666962, 181.68389968760312, -23.181262649595737, -177.62743958085775, 98.31880396837369, -20.478613629937172, -57.31854826211929, -86.55125831067562, 175.94702053070068]| 11.7174329757690430|     64.00000000|[1753, 640, 1, 161]                                                        |  | trying linear partial model with 13 points | trying linear partial model with 24 points | trying quadratic partial model with 36 points | trying quadratic partial model with 47 points | trying quadratic partial model with 58 points | trying quadratic partial model with 68 points | trying quadratic partial model with 79 points | trying quadratic partial model with 90 points | trying quadratic partial model with 102 points | trying quadratic partial model with 113 points | trying quadratic partial model with 124 points | exploitation failed, decreasing delta | actual_k=4
      23|[-169.56275860965252, -97.70503550767899, 70.41061865258962, 130.59883362054825, 27.519986994564533, 142.76760590821505, 29.086914226412773, -52.33744487725198, 39.19535996764898, 160.65351678803563, -35.56526616215706, -3.078461855649948, 144.46135525405407, -68.81332337111235, 180.50830845721066, -19.94871560484171, -183.63536032289267, 115.28742236131802, -32.539518132805824, -32.48491674661636, -95.4899895042181, 161.34656810760498]| 11.6966476440429688|    128.00000000|[1765, 644, 1, 162]                                                        | | GPS sucess | actual_k=4
      24|[-206.52838595293062, -81.83011285496302, 151.04729548588085, 144.60072687586708, 26.513322658379202, 112.50531715135916, -1.3417246520729194, -27.120916811006023, 33.181589646762085, 181.60563381982294, -13.813703911653707, -8.810867956259866, 197.1221739765283, -90.0081420287494, 192.31740071207767, -16.380347213942258, -199.4758652213625, 101.85654051760936, -15.10191369408069, -50.94983349036413, -102.12562737077161, 171.95434744876735]| 11.6332159042358398|    256.00000000|[1841, 672, 1, 169]                                                        |  | trying linear partial model with 13 points | trying linear partial model with 24 points | trying quadratic partial model with 36 points | trying quadratic partial model with 46 points | trying quadratic partial model with 56 points | trying quadratic partial model with 67 points| GPS sucess | actual_k=4
      25|[-238.31324084184664, -28.524197022443488, 162.1684321512251, 163.32514360865517, 49.42957288726104, 166.45598167162285, 89.3731953918724, -38.00369593240495, -12.792008833462525, 126.0945292360827, -9.54293526922817, -116.00241916475596, 183.04454393349852, -82.34070447534364, 213.00713040262943, -38.71758171101257, -147.6120079520754, 203.22729857424997, 17.706031557384154, 6.468261144645638, -146.97821602433606, 61.55359824222438]| 11.5895824432373047|    512.00000000|[1864, 680, 1, 171]                                                        |  | trying linear partial model with 13 points| GPS sucess | actual_k=4
      26|[-238.31324084184664, -28.524197022443488, 162.1684321512251, 163.32514360865517, 49.42957288726104, 166.45598167162285, 89.3731953918724, -38.00369593240495, -12.792008833462525, 126.0945292360827, -9.54293526922817, -116.00241916475596, 183.04454393349852, -82.34070447534364, 213.00713040262943, -38.71758171101257, -147.6120079520754, 203.22729857424997, 17.706031557384154, 6.468261144645638, -146.97821602433606, 61.55359824222438]| 11.5895824432373047|    256.00000000|[1997, 728, 2, 184]                                                        |  | trying linear partial model with 13 points | trying linear partial model with 23 points | trying quadratic partial model with 34 points FAILED TO GET X_HAT, using additional batch call | trying quadratic partial model with 47 points | trying quadratic partial model with 58 points | trying quadratic partial model with 69 points | trying quadratic partial model with 79 points | trying quadratic partial model with 91 points | trying quadratic partial model with 101 points | trying quadratic partial model with 112 points | trying quadratic partial model with 123 points | exploitation failed, decreasing delta | actual_k=4
      27|[-238.31324084184664, -28.524197022443488, 162.1684321512251, 163.32514360865517, 49.42957288726104, 166.45598167162285, 89.3731953918724, -38.00369593240495, -12.792008833462525, 126.0945292360827, -9.54293526922817, -116.00241916475596, 183.04454393349852, -82.34070447534364, 213.00713040262943, -38.71758171101257, -147.6120079520754, 203.22729857424997, 17.706031557384154, 6.468261144645638, -146.97821602433606, 61.55359824222438]| 11.5895824432373047|    128.00000000|[2138, 780, 2, 197]                                                        |  | trying linear partial model with 13 points | trying linear partial model with 23 points | trying quadratic partial model with 33 points | trying quadratic partial model with 44 points | trying quadratic partial model with 54 points | trying quadratic partial model with 64 points | trying quadratic partial model with 75 points | trying quadratic partial model with 86 points | trying quadratic partial model with 98 points | trying quadratic partial model with 108 points | trying quadratic partial model with 119 points | trying quadratic partial model with 131 points | exploitation failed, decreasing delta | actual_k=4
      28|[-265.6454776851293, -34.01268875539339, 149.8350046473466, 187.1634930589267, 100.02289150011875, 178.85989738338162, 76.41384517370642, -45.96412178227592, 33.19584709292441, 160.27821924712535, -63.70421110450917, -108.80614742904017, 155.8274126406934, -69.39418323649812, 163.41966238679618, -33.42919251477775, -178.2131220088799, 221.0296462843942, 46.04842123440784, 1.4083536439736895, -138.78251032720294, 50.22799233314751]| 11.5474557876586914|    256.00000000|[2172, 792, 2, 200]                                                        |  | trying linear partial model with 13 points | trying linear partial model with 24 points| GPS sucess | actual_k=4
      29|[-273.5799259273168, -91.46981918752229, 232.0233057337724, 183.95948066497527, 86.61145541918613, 188.933475264241, 29.742630116333373, -23.703471147510292, -42.1727594744584, 218.4246883633363, -67.47732912361317, -166.75337109237023, 98.20938590729497, 47.205700796705, 227.8318022793743, -31.668524117827985, -216.7937990413506, 291.21562803488246, 69.88227781704944, -13.383552712837833, -201.16561274419513, -38.41437216880561]| 11.5392541885375977|    512.00000000|[2278, 832, 2, 210]                                                        |  | trying linear partial model with 13 points | trying linear partial model with 23 points | trying quadratic partial model with 34 points | trying quadratic partial model with 46 points | trying quadratic partial model with 56 points | trying quadratic partial model with 66 points | trying quadratic partial model with 76 points | trying quadratic partial model with 87 points | trying quadratic partial model with 97 points| GPS sucess | actual_k=4
      30|[-248.8812812892553, -226.40510666310823, 227.8772171336137, 173.93313064361297, 22.42481754076816, 365.8213384234207, 45.44067870794714, -99.88650032231499, -187.20382636898967, 203.02580263640758, 100.72489560783214, -210.6754711595089, 102.92727283203862, -14.640524941820388, 143.74829092683524, -202.65202936685142, -170.48984777792288, 223.77407682638636, -82.56361451693493, 63.21621687944732, -446.8708587158748, -156.45476218345405]| 11.4162883758544922|   1024.00000000|[2301, 840, 2, 212]                                                        |  | trying linear partial model with 13 points| GPS sucess | actual_k=4
      31|[-358.02485123554436, -351.86605179250273, 121.74263461408245, 286.32980575347625, -7.907667658206449, 826.6923406206863, 176.10641967474402, -252.757594072315, -332.60960334652873, 222.09790422942515, 186.27928556144542, -149.62718090682336, 249.913936650398, -130.71078403605867, 28.606620699784457, -682.7896941617732, -3.829676269133813, 250.58626592855921, -433.23661866732556, -151.30638138715423, 3.2596039306095577, -334.6028334725165]| 11.1518383026123047|   2048.00000000|[2389, 872, 3, 221]                                                        |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | trying linear partial model with 26 points | trying quadratic partial model with 37 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 47 points | trying quadratic partial model with 57 points | trying quadratic partial model with 68 points | trying quadratic partial model with 78 points| GPS sucess | actual_k=4
