k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[11.0, 3.0, 0.5, 40.0, -0.7, -1.3, 25.0, -0.3, 1.4]                             |1153.9439484858455671|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.47644471745155, 2.937420951339704, 0.7217984747399475, 39.92653112787422, -1.069291633820555, -1.5202670813782564, 25.397357797505027, -0.3428600205717103, 0.831882589893796]|1012.3925350372099956|      2.00000000|[17, 0, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=0
      25|[10.658109008221562, 3.0259786396352846, 0.4723127689186764, 40.08791123568947, -0.3746954483015027, -1.3596824613809384, 26.472910585812166, -0.3152526019276792, 1.3235958972366675]|847.1888670881302232|      0.12500000|[425, 0, 25, 50]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      26|[10.668430683028008, 3.0843717406436433, 0.5002030597576261, 40.14876297355217, -0.4246603831521022, -1.3599196905508504, 26.412562290605216, -0.3050734349717819, 1.3608225448593136]|846.7631473628653112|      0.25000000|[442, 0, 26, 52]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      27|[10.668430683028008, 3.0843717406436433, 0.5002030597576261, 40.14876297355217, -0.4246603831521022, -1.3599196905508504, 26.412562290605216, -0.3050734349717819, 1.3608225448593136]|846.7631473628653112|      0.12500000|[459, 0, 27, 54]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      28|[10.619985087870665, 3.116854451783088, 0.5399598540401783, 40.19736718988807, -0.4392773188480558, -1.4363472081130484, 26.451584370411883, -0.2846578044679281, 1.3777217850334347]|845.6134405059090113|      0.25000000|[476, 0, 28, 56]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      29|[10.619985087870665, 3.116854451783088, 0.5399598540401783, 40.19736718988807, -0.4392773188480558, -1.4363472081130484, 26.451584370411883, -0.2846578044679281, 1.3777217850334347]|845.6134405059090113|      0.12500000|[493, 0, 29, 58]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      30|[10.619985087870665, 3.116854451783088, 0.5399598540401783, 40.19736718988807, -0.4392773188480558, -1.4363472081130484, 26.451584370411883, -0.2846578044679281, 1.3777217850334347]|845.6134405059090113|      0.06250000|[510, 0, 30, 60]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      31|[10.602201971344906, 3.0943830073942453, 0.5338467997025146, 40.20588537324943, -0.4310244041453165, -1.4005898071524636, 26.484959200267188, -0.2930959472492095, 1.3566663290520773]|844.9080808801320472|      0.12500000|[527, 0, 31, 62]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      32|[10.602201971344906, 3.0943830073942453, 0.5338467997025146, 40.20588537324943, -0.4310244041453165, -1.4005898071524636, 26.484959200267188, -0.2930959472492095, 1.3566663290520773]|844.9080808801320472|      0.06250000|[544, 0, 32, 64]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      33|[10.62674005801531, 3.09434383388013, 0.5286106876713205, 40.24020525656861, -0.4607239189751568, -1.3974391383036404, 26.51577063849719, -0.3088101770904172, 1.3599205366545188]|844.0134452562588194|      0.12500000|[561, 0, 33, 66]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      34|[10.642966426896011, 3.0244710016667145, 0.5104717650386046, 40.28738169907848, -0.521954802174466, -1.44506649400516, 26.47523510049909, -0.2966478233976464, 1.3707009017981648]|843.1934758112254258|      0.25000000|[578, 0, 34, 68]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      35|[10.642966426896011, 3.0244710016667145, 0.5104717650386046, 40.28738169907848, -0.521954802174466, -1.44506649400516, 26.47523510049909, -0.2966478233976464, 1.3707009017981648]|843.1934758112254258|      0.12500000|[595, 0, 35, 70]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      36|[10.642966426896011, 3.0244710016667145, 0.5104717650386046, 40.28738169907848, -0.521954802174466, -1.44506649400516, 26.47523510049909, -0.2966478233976464, 1.3707009017981648]|843.1934758112254258|      0.06250000|[612, 0, 36, 72]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      37|[10.640353126662319, 3.0281712842787236, 0.5142337590373154, 40.3244628109017, -0.5309340943946259, -1.4269173513263518, 26.510335897757795, -0.3193952841663537, 1.3523423858119554]|842.4578785852265810|      0.12500000|[629, 0, 37, 74]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      38|[10.640353126662319, 3.0281712842787236, 0.5142337590373154, 40.3244628109017, -0.5309340943946259, -1.4269173513263518, 26.510335897757795, -0.3193952841663537, 1.3523423858119554]|842.4578785852265810|      0.06250000|[646, 0, 38, 76]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      39|[10.647618726354477, 3.0435882751928833, 0.5171168129029194, 40.36301108338496, -0.537147644743438, -1.3946167323762897, 26.485691733426094, -0.3246195058527891, 1.3724652737980023]|841.4455411207950419|      0.12500000|[663, 0, 39, 78]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      40|[10.647618726354477, 3.0435882751928833, 0.5171168129029194, 40.36301108338496, -0.537147644743438, -1.3946167323762897, 26.485691733426094, -0.3246195058527891, 1.3724652737980023]|841.4455411207950419|      0.06250000|[680, 0, 40, 80]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      41|[10.666501132672307, 3.0638510230997236, 0.4868362274954515, 40.40838846468615, -0.5357135901908032, -1.3938818167343576, 26.495139649770632, -0.3273022338749529, 1.380468299862263]|841.0542272065762290|      0.12500000|[697, 0, 41, 82]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      42|[10.666501132672307, 3.0638510230997236, 0.4868362274954515, 40.40838846468615, -0.5357135901908032, -1.3938818167343576, 26.495139649770632, -0.3273022338749529, 1.380468299862263]|841.0542272065762290|      0.06250000|[714, 0, 42, 84]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      43|[10.638526708386305, 3.03500520985542, 0.4908166108344691, 40.44348503864566, -0.565794267316484, -1.3904223503149766, 26.49231186041165, -0.3247974016102893, 1.3698427614127944]|840.1122728727858657|      0.12500000|[731, 0, 43, 86]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      44|[10.638526708386305, 3.03500520985542, 0.4908166108344691, 40.44348503864566, -0.565794267316484, -1.3904223503149766, 26.49231186041165, -0.3247974016102893, 1.3698427614127944]|840.1122728727858657|      0.06250000|[748, 0, 44, 88]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      45|[10.63118061798442, 3.0616389391519103, 0.4852119804792343, 40.458052002859475, -0.6173041160304087, -1.3892113935663075, 26.505824022081732, -0.3172391794195782, 1.3720529481203045]|839.4472206725225760|      0.12500000|[765, 0, 45, 90]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
