k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.3224529261484266, 0.0861652542473443, -0.030673083087374, 0.1609729552736005, 0.7621552521322501, -0.0197631936737459, 0.4215598220270318, -0.3175060928184436, -0.0441872642505679]|53089.8023475358058931|      2.00000000|[15, 2, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
      12|[-0.2619501107748493, 0.0448410323799335, -0.0017223308925371, 0.022345340289557, 0.8658263470626479, 0.0317324073394847, 0.3816538249508641, -0.2164042347835765, 0.0276183716001479]|1208.0954525431118327|      0.06250000|[180, 24, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      13|[-0.2619501107748493, 0.0448410323799335, -0.0017223308925371, 0.022345340289557, 0.8658263470626479, 0.0317324073394847, 0.3816538249508641, -0.2164042347835765, 0.0276183716001479]|1208.0954525431118327|      0.03125000|[195, 26, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      14|[-0.2604396181840372, 0.04696560232804, 0.0075703373104219, 0.0188016797983872, 0.8655220317994997, 0.0051309291409194, 0.3800355509738554, -0.2050599564073288, 0.0219780533475002]|362.1255026076942727|      0.06250000|[210, 28, 14, 28]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      15|[-0.2604396181840372, 0.04696560232804, 0.0075703373104219, 0.0188016797983872, 0.8655220317994997, 0.0051309291409194, 0.3800355509738554, -0.2050599564073288, 0.0219780533475002]|362.1255026076942727|      0.03125000|[225, 30, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      16|[-0.2604396181840372, 0.04696560232804, 0.0075703373104219, 0.0188016797983872, 0.8655220317994997, 0.0051309291409194, 0.3800355509738554, -0.2050599564073288, 0.0219780533475002]|362.1255026076942727|      0.01562500|[240, 32, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      17|[-0.2604396181840372, 0.04696560232804, 0.0075703373104219, 0.0188016797983872, 0.8655220317994997, 0.0051309291409194, 0.3800355509738554, -0.2050599564073288, 0.0219780533475002]|362.1255026076942727|      0.00781250|[255, 34, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      18|[-0.2604396181840372, 0.04696560232804, 0.0075703373104219, 0.0188016797983872, 0.8655220317994997, 0.0051309291409194, 0.3800355509738554, -0.2050599564073288, 0.0219780533475002]|362.1255026076942727|      0.00390625|[270, 36, 18, 36]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      19|[-0.2606381721667573, 0.0474473655885071, 0.0072630150404713, 0.0171941067958408, 0.8690138402017398, 0.0048248043148236, 0.380176000872004, -0.2051086090690297, 0.0219781972201278]|320.0198784533213257|      0.00781250|[285, 38, 19, 38]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      20|[-0.2606381721667573, 0.0474473655885071, 0.0072630150404713, 0.0171941067958408, 0.8690138402017398, 0.0048248043148236, 0.380176000872004, -0.2051086090690297, 0.0219781972201278]|320.0198784533213257|      0.00390625|[300, 40, 20, 40]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      21|[-0.2600232817180255, 0.0468025916454545, 0.0067131825790016, 0.0156706215231249, 0.8723348854885413, 0.0044178350758864, 0.3807872841439686, -0.205401408178995, 0.0215454410148086]|289.8826646763180861|      0.00781250|[315, 42, 21, 42]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      22|[-0.2604853336001133, 0.0471038400868597, 0.0040371870477575, 0.0150557530082815, 0.8784202317318816, 0.0045282639225794, 0.3842439044879053, -0.2069237215283844, 0.0201733613000461]|247.1404628921155791|      0.01562500|[330, 44, 22, 44]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      23|[-0.2604853336001133, 0.0471038400868597, 0.0040371870477575, 0.0150557530082815, 0.8784202317318816, 0.0045282639225794, 0.3842439044879053, -0.2069237215283844, 0.0201733613000461]|247.1404628921155791|      0.00781250|[345, 46, 23, 46]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      24|[-0.2604853336001133, 0.0471038400868597, 0.0040371870477575, 0.0150557530082815, 0.8784202317318816, 0.0045282639225794, 0.3842439044879053, -0.2069237215283844, 0.0201733613000461]|247.1404628921155791|      0.00390625|[360, 48, 24, 48]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      25|[-0.2599397682821893, 0.0463971693505782, 0.0034422246127991, 0.0156917072405526, 0.8813943140499505, 0.0025443644565591, 0.3837323812994537, -0.2061895957552264, 0.0198244679306027]|221.5441303015580843|      0.00781250|[375, 50, 25, 50]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      26|[-0.2599397682821893, 0.0463971693505782, 0.0034422246127991, 0.0156917072405526, 0.8813943140499505, 0.0025443644565591, 0.3837323812994537, -0.2061895957552264, 0.0198244679306027]|221.5441303015580843|      0.00390625|[390, 52, 26, 52]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      27|[-0.2601535609578903, 0.0463282250000039, 0.0029080704060691, 0.0142826344684472, 0.8847369370152349, 0.0027585592647947, 0.3844075186542861, -0.2065609702262433, 0.02088502650402]|205.2761049793274992|      0.00781250|[405, 54, 27, 54]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      28|[-0.2611827765593825, 0.0414624774463043, 0.0038485869185086, 0.0163918303974775, 0.8871563624051173, 0.0027416968495661, 0.3839476916836591, -0.2015782359783191, 0.0206127977849337]|186.6821250720945500|      0.01562500|[420, 56, 28, 56]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      29|[-0.2611827765593825, 0.0414624774463043, 0.0038485869185086, 0.0163918303974775, 0.8871563624051173, 0.0027416968495661, 0.3839476916836591, -0.2015782359783191, 0.0206127977849337]|186.6821250720945500|      0.00781250|[435, 58, 29, 58]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      30|[-0.2611827765593825, 0.0414624774463043, 0.0038485869185086, 0.0163918303974775, 0.8871563624051173, 0.0027416968495661, 0.3839476916836591, -0.2015782359783191, 0.0206127977849337]|186.6821250720945500|      0.00390625|[450, 60, 30, 60]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      31|[-0.2596523145901888, 0.0404505267078108, 0.0026306470104594, 0.0152803588350483, 0.8894043925926418, 0.0035413461483587, 0.3835612766068645, -0.1997901110937623, 0.020246876573359]|176.9924222358557415|      0.00781250|[465, 62, 31, 62]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      32|[-0.2596523145901888, 0.0404505267078108, 0.0026306470104594, 0.0152803588350483, 0.8894043925926418, 0.0035413461483587, 0.3835612766068645, -0.1997901110937623, 0.020246876573359]|176.9924222358557415|      0.00390625|[480, 64, 32, 64]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      33|[-0.2596523145901888, 0.0404505267078108, 0.0026306470104594, 0.0152803588350483, 0.8894043925926418, 0.0035413461483587, 0.3835612766068645, -0.1997901110937623, 0.020246876573359]|176.9924222358557415|      0.00195312|[495, 66, 33, 66]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      34|[-0.2601670282789537, 0.0410188289421195, 0.0028175235410646, 0.0168280234617227, 0.8899397298635398, 0.003094407645199, 0.3836004272006188, -0.1994162564602392, 0.0206579373293734]|172.0498230987544446|      0.00390625|[510, 68, 34, 68]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      35|[-0.2599017695959949, 0.0405932340934629, 0.0010136780387414, 0.0151954733880108, 0.892063522906729, 0.0013744789654295, 0.3838139738311167, -0.1984480101365472, 0.0214557235905052]|162.6214905836156106|      0.00781250|[525, 70, 35, 70]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      36|[-0.2580545879589117, 0.0418046897454147, 0.0039602696076676, 0.0155489689930622, 0.8968181490377016, 0.0026956127269122, 0.3856466242900208, -0.1950028481366893, 0.018668524734077]|138.7988052279252997|      0.01562500|[540, 72, 36, 72]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      37|[-0.2580545879589117, 0.0418046897454147, 0.0039602696076676, 0.0155489689930622, 0.8968181490377016, 0.0026956127269122, 0.3856466242900208, -0.1950028481366893, 0.018668524734077]|138.7988052279252997|      0.00781250|[555, 74, 37, 74]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      38|[-0.2580545879589117, 0.0418046897454147, 0.0039602696076676, 0.0155489689930622, 0.8968181490377016, 0.0026956127269122, 0.3856466242900208, -0.1950028481366893, 0.018668524734077]|138.7988052279252997|      0.00390625|[570, 76, 38, 76]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      39|[-0.2580545879589117, 0.0418046897454147, 0.0039602696076676, 0.0155489689930622, 0.8968181490377016, 0.0026956127269122, 0.3856466242900208, -0.1950028481366893, 0.018668524734077]|138.7988052279252997|      0.00195312|[585, 78, 39, 78]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      40|[-0.2581826990578929, 0.0419616161348584, 0.003815580652227, 0.0159971128677821, 0.8985280947017702, 0.0019372161222711, 0.3856361404432764, -0.1952118920797375, 0.0185736446582044]|130.0907126730971299|      0.00390625|[600, 80, 40, 80]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      41|[-0.2592413351059329, 0.041080626819841, 0.0036016297352742, 0.0173197524168347, 0.901202909879195, 0.0004483344818879, 0.3850876487530625, -0.1953338629656904, 0.017202637206793]|125.6095149495503023|      0.00781250|[615, 82, 41, 82]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      42|[-0.2585623489202147, 0.0424977153347154, 0.0028972828871773, 0.0130665626181879, 0.9065938433122973, 0.0021260193576739, 0.382629410113882, -0.1964681343827654, 0.0180823914494897]|114.1187653060923282|      0.01562500|[630, 84, 42, 84]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      43|[-0.2585623489202147, 0.0424977153347154, 0.0028972828871773, 0.0130665626181879, 0.9065938433122973, 0.0021260193576739, 0.382629410113882, -0.1964681343827654, 0.0180823914494897]|114.1187653060923282|      0.00781250|[645, 86, 43, 86]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      44|[-0.2585623489202147, 0.0424977153347154, 0.0028972828871773, 0.0130665626181879, 0.9065938433122973, 0.0021260193576739, 0.382629410113882, -0.1964681343827654, 0.0180823914494897]|114.1187653060923282|      0.00390625|[660, 88, 44, 88]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      45|[-0.2580527984804366, 0.0426915781310347, 0.0031838946582231, 0.0164804294892307, 0.9071378400403557, 0.0015023872966056, 0.3822606539026542, -0.19738785923983, 0.0193306730538434]| 96.6569134820392435|      0.00781250|[675, 90, 45, 90]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
