k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.1602125842299361, 0.040299890283379, -0.4157046728973621, -0.3433635255390404, 0.7512186051903106, -0.0099400961997023, 0.0336815302825165, 0.2633412124661648, 0.2169970575753368]|239323.0777151221118402|      2.00000000|[15, 2, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
      12|[0.0096700741730031, 0.1102464199462482, -0.2340713770716909, -0.0424991398925633, 1.0411435297479221, 0.0229968530464441, 0.0094353635819644, 0.1446429729351086, 0.0762015195879573]|1590.4839562673710134|      0.25000000|[180, 24, 12, 24]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      13|[0.0096700741730031, 0.1102464199462482, -0.2340713770716909, -0.0424991398925633, 1.0411435297479221, 0.0229968530464441, 0.0094353635819644, 0.1446429729351086, 0.0762015195879573]|1590.4839562673710134|      0.12500000|[195, 26, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      14|[0.0096700741730031, 0.1102464199462482, -0.2340713770716909, -0.0424991398925633, 1.0411435297479221, 0.0229968530464441, 0.0094353635819644, 0.1446429729351086, 0.0762015195879573]|1590.4839562673710134|      0.06250000|[210, 28, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      15|[0.0005753219140254, 0.1097649155655227, -0.2251426544002986, 0.0142994414771498, 1.0607812264342447, 0.0157120275747308, 0.0089085603193512, 0.1357820709051759, 0.0762437210774125]|356.2798703147024071|      0.12500000|[225, 30, 15, 30]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      16|[0.0005753219140254, 0.1097649155655227, -0.2251426544002986, 0.0142994414771498, 1.0607812264342447, 0.0157120275747308, 0.0089085603193512, 0.1357820709051759, 0.0762437210774125]|356.2798703147024071|      0.06250000|[240, 32, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      17|[0.0005753219140254, 0.1097649155655227, -0.2251426544002986, 0.0142994414771498, 1.0607812264342447, 0.0157120275747308, 0.0089085603193512, 0.1357820709051759, 0.0762437210774125]|356.2798703147024071|      0.03125000|[255, 34, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      18|[-0.0067489095710848, 0.0976641324243597, -0.2266947567223597, -0.0058818526621545, 1.0605208472225358, -0.0017015093760786, 0.0055475186664519, 0.1322748514955158, 0.0699271341575098]| 69.5612165574802219|      0.06250000|[270, 36, 18, 36]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      19|[-0.0067489095710848, 0.0976641324243597, -0.2266947567223597, -0.0058818526621545, 1.0605208472225358, -0.0017015093760786, 0.0055475186664519, 0.1322748514955158, 0.0699271341575098]| 69.5612165574802219|      0.03125000|[285, 38, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      20|[-0.0067489095710848, 0.0976641324243597, -0.2266947567223597, -0.0058818526621545, 1.0605208472225358, -0.0017015093760786, 0.0055475186664519, 0.1322748514955158, 0.0699271341575098]| 69.5612165574802219|      0.01562500|[300, 40, 20, 40]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      21|[-0.0067489095710848, 0.0976641324243597, -0.2266947567223597, -0.0058818526621545, 1.0605208472225358, -0.0017015093760786, 0.0055475186664519, 0.1322748514955158, 0.0699271341575098]| 69.5612165574802219|      0.00781250|[315, 42, 21, 42]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      22|[-0.0069131482558479, 0.0964587118335563, -0.2262641022819335, 0.0007109978003154, 1.0600112481920723, 0.002221468251281, 0.0054423911115169, 0.132707138023924, 0.0696891540027002]| 12.9047696126457812|      0.01562500|[330, 44, 22, 44]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      23|[-0.0069131482558479, 0.0964587118335563, -0.2262641022819335, 0.0007109978003154, 1.0600112481920723, 0.002221468251281, 0.0054423911115169, 0.132707138023924, 0.0696891540027002]| 12.9047696126457812|      0.00781250|[345, 46, 23, 46]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      24|[-0.0069131482558479, 0.0964587118335563, -0.2262641022819335, 0.0007109978003154, 1.0600112481920723, 0.002221468251281, 0.0054423911115169, 0.132707138023924, 0.0696891540027002]| 12.9047696126457812|      0.00390625|[360, 48, 24, 48]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      25|[-0.0069131482558479, 0.0964587118335563, -0.2262641022819335, 0.0007109978003154, 1.0600112481920723, 0.002221468251281, 0.0054423911115169, 0.132707138023924, 0.0696891540027002]| 12.9047696126457812|      0.00195312|[375, 50, 25, 50]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      26|[-0.0067225449218054, 0.0965019065828725, -0.2261226661531043, -0.000443529364002, 1.058876387487668, 0.0032474411197241, 0.0057158339095454, 0.132628836515836, 0.0697353434114266]| 11.8066985914489813|      0.00390625|[390, 52, 26, 52]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      27|[-0.0067225449218054, 0.0965019065828725, -0.2261226661531043, -0.000443529364002, 1.058876387487668, 0.0032474411197241, 0.0057158339095454, 0.132628836515836, 0.0697353434114266]| 11.8066985914489813|      0.00195312|[405, 54, 27, 54]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      28|[-0.006595328597759, 0.096786185602319, -0.2262556626190955, 0.0008198805329894, 1.057519828073519, 0.0032555512250855, 0.0052454081299613, 0.1324278664973712, 0.0697777403865161]| 11.1658474393980143|      0.00390625|[420, 56, 28, 56]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      29|[-0.006595328597759, 0.096786185602319, -0.2262556626190955, 0.0008198805329894, 1.057519828073519, 0.0032555512250855, 0.0052454081299613, 0.1324278664973712, 0.0697777403865161]| 11.1658474393980143|      0.00195312|[435, 58, 29, 58]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      30|[-0.006595328597759, 0.096786185602319, -0.2262556626190955, 0.0008198805329894, 1.057519828073519, 0.0032555512250855, 0.0052454081299613, 0.1324278664973712, 0.0697777403865161]| 11.1658474393980143|      0.00097656|[450, 60, 30, 60]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      31|[-0.0067586923528346, 0.0967486129784737, -0.2260766119981771, 4.60100780232e-05, 1.057443603154567, 0.0030514775115073, 0.0056298562848907, 0.1323492860692049, 0.0694724393783485]| 10.5448390802538370|      0.00195312|[465, 62, 31, 62]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      32|[-0.0072822968560795, 0.0972560750742189, -0.2262762931596672, 0.0004757053674381, 1.0559435074902295, 0.002220654558832, 0.0057843499329926, 0.132296371625448, 0.0697745737800152]|  9.9937348205868641|      0.00390625|[480, 64, 32, 64]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      33|[-0.0072822968560795, 0.0972560750742189, -0.2262762931596672, 0.0004757053674381, 1.0559435074902295, 0.002220654558832, 0.0057843499329926, 0.132296371625448, 0.0697745737800152]|  9.9937348205868641|      0.00195312|[495, 66, 33, 66]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      34|[-0.0072251153665382, 0.0971211138542638, -0.2263163304167388, -2.17271960239e-05, 1.0548854657665074, 0.0037695509643536, 0.0058807529441357, 0.132423541791682, 0.0697877160374004]|  9.3047169987265956|      0.00390625|[510, 68, 34, 68]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      35|[-0.0072251153665382, 0.0971211138542638, -0.2263163304167388, -2.17271960239e-05, 1.0548854657665074, 0.0037695509643536, 0.0058807529441357, 0.132423541791682, 0.0697877160374004]|  9.3047169987265956|      0.00195312|[525, 70, 35, 70]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      36|[-0.0078113949005749, 0.0969394854470951, -0.2266565525254473, -0.0002202221496445, 1.053666374273847, 0.0026892278071372, 0.0051361689047374, 0.1325986572967878, 0.0699986196696285]|  8.4246944945118027|      0.00390625|[540, 72, 36, 72]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      37|[-0.0078113949005749, 0.0969394854470951, -0.2266565525254473, -0.0002202221496445, 1.053666374273847, 0.0026892278071372, 0.0051361689047374, 0.1325986572967878, 0.0699986196696285]|  8.4246944945118027|      0.00195312|[555, 74, 37, 74]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      38|[-0.0078113949005749, 0.0969394854470951, -0.2266565525254473, -0.0002202221496445, 1.053666374273847, 0.0026892278071372, 0.0051361689047374, 0.1325986572967878, 0.0699986196696285]|  8.4246944945118027|      0.00097656|[570, 76, 38, 76]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      39|[-0.0080636062329905, 0.0966883841649072, -0.2265932077892069, 0.0004173359526665, 1.0534522658836951, 0.003156316088261, 0.0049886948187075, 0.1329533509149979, 0.0700689686775336]|  8.1718502991606723|      0.00195312|[585, 78, 39, 78]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      40|[-0.0085534842160462, 0.096383302203393, -0.2258962471016548, 0.000385601325591, 1.0522874658058812, 0.0022507012406868, 0.0053129934129031, 0.1335372464470142, 0.0706787879078175]|  7.8909224925187891|      0.00390625|[600, 80, 40, 80]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      41|[-0.0085534842160462, 0.096383302203393, -0.2258962471016548, 0.000385601325591, 1.0522874658058812, 0.0022507012406868, 0.0053129934129031, 0.1335372464470142, 0.0706787879078175]|  7.8909224925187891|      0.00195312|[615, 82, 41, 82]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      42|[-0.0085311554666953, 0.095990987532413, -0.2262259513897002, -2.27393943813e-05, 1.0515685432300022, 0.0038407557793592, 0.0057175732483079, 0.1331410610626077, 0.0705406936564037]|  7.4678793626536102|      0.00390625|[630, 84, 42, 84]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      43|[-0.0085311554666953, 0.095990987532413, -0.2262259513897002, -2.27393943813e-05, 1.0515685432300022, 0.0038407557793592, 0.0057175732483079, 0.1331410610626077, 0.0705406936564037]|  7.4678793626536102|      0.00195312|[645, 86, 43, 86]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      44|[-0.0085311554666953, 0.095990987532413, -0.2262259513897002, -2.27393943813e-05, 1.0515685432300022, 0.0038407557793592, 0.0057175732483079, 0.1331410610626077, 0.0705406936564037]|  7.4678793626536102|      0.00097656|[660, 88, 44, 88]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      45|[-0.0084671219858232, 0.096005068650358, -0.2261306356036908, -0.0001023821401562, 1.0513508525878599, 0.0029244241932186, 0.005765327633748, 0.1330484836499422, 0.0703508415146355]|  7.0462064734819130|      0.00195312|[675, 90, 45, 90]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
