k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.372587172607863, -0.8307207980059179, -0.4256231788155665, 0.6401738903034828, -0.4271280773925255, -0.2261397183746664, -0.0515033351751522]|171116.9753536301723216|      2.00000000|[8, 0, 1, 2]                                                               |  | used linear model with 8 points | iterate success | actual_k=4
      16|[9.925890075816953, 0.2240942108203715, 2.40375816148312, 2.6604290895820557, -4.210648874916018, -0.5650539281354178, 0.1919413468044985]|9969.0368809951960429|      0.06250000|[101, 27, 16, 32]                                                          |  | used linear model with 8 points | iterate failure | actual_k=4
      17|[9.925890075816953, 0.2240942108203715, 2.40375816148312, 2.6604290895820557, -4.210648874916018, -0.5650539281354178, 0.1919413468044985]|9969.0368809951960429|      0.03125000|[108, 28, 17, 34]                                                          |  | used linear model with 8 points | iterate failure | actual_k=4
      18|[9.939569247953562, 0.2214026965437925, 2.389542176765232, 2.6719789260672253, -4.222286440377463, -0.5554926896255779, 0.2067688666413139]|9794.7240628972722334|      0.06250000|[114, 30, 18, 36]                                                          |  | used linear model with 8 points | iterate success | actual_k=4
      19|[9.939569247953562, 0.2214026965437925, 2.389542176765232, 2.6719789260672253, -4.222286440377463, -0.5554926896255779, 0.2067688666413139]|9794.7240628972722334|      0.03125000|[121, 31, 19, 38]                                                          |  | used linear model with 8 points | iterate failure | actual_k=4
      20|[9.95577253812713, 0.2136562521894352, 2.3664756232159543, 2.6740585800261925, -4.223914236354127, -0.5449990633443463, 0.2045662041811426]|9750.7886333671267494|      0.06250000|[127, 33, 20, 40]                                                          |  | used linear model with 8 points | iterate success | actual_k=4
      21|[9.95577253812713, 0.2136562521894352, 2.3664756232159543, 2.6740585800261925, -4.223914236354127, -0.5449990633443463, 0.2045662041811426]|9750.7886333671267494|      0.03125000|[135, 33, 21, 42]                                                          |  | used linear model with 8 points | iterate failure | actual_k=4
      22|[9.95577253812713, 0.2136562521894352, 2.3664756232159543, 2.6740585800261925, -4.223914236354127, -0.5449990633443463, 0.2045662041811426]|9750.7886333671267494|      0.01562500|[141, 35, 22, 44]                                                          |  | used linear model with 8 points | iterate failure | actual_k=4
      23|[9.95577253812713, 0.2136562521894352, 2.3664756232159543, 2.6740585800261925, -4.223914236354127, -0.5449990633443463, 0.2045662041811426]|9750.7886333671267494|      0.00781250|[148, 36, 23, 46]                                                          |  | used linear model with 8 points | iterate failure | actual_k=4
      24|[9.95193062059795, 0.2127567246267291, 2.362635312749349, 2.678858569933459, -4.223582605730427, -0.5422489931145831, 0.2044960373518031]|9738.2208078683397616|      0.01562500|[153, 39, 24, 48]                                                          |  | used linear model with 8 points | iterate success | actual_k=4
      25|[9.95193062059795, 0.2127567246267291, 2.362635312749349, 2.678858569933459, -4.223582605730427, -0.5422489931145831, 0.2044960373518031]|9738.2208078683397616|      0.00781250|[160, 40, 25, 50]                                                          |  | used linear model with 8 points | iterate failure | actual_k=4
      26|[9.95193062059795, 0.2127567246267291, 2.362635312749349, 2.678858569933459, -4.223582605730427, -0.5422489931145831, 0.2044960373518031]|9738.2208078683397616|      0.00390625|[165, 43, 26, 52]                                                          |  | used linear model with 8 points | iterate failure | actual_k=4
      27|[9.954303000116164, 0.2109439808725952, 2.3620377105437673, 2.6779463387033324, -4.2222002620773, -0.540547794713281, 0.2039041586677453]|9733.3869444937481603|      0.00781250|[170, 46, 27, 54]                                                          |  | used linear model with 8 points | iterate success | actual_k=4
      28|[9.954303000116164, 0.2109439808725952, 2.3620377105437673, 2.6779463387033324, -4.2222002620773, -0.540547794713281, 0.2039041586677453]|9733.3869444937481603|      0.00390625|[176, 48, 28, 56]                                                          |  | used linear model with 8 points | iterate failure | actual_k=4
      29|[9.955527403153974, 0.2105586229854542, 2.360079488873338, 2.677908555192409, -4.223383781190319, -0.538696037399846, 0.2016803459014935]|9730.8610994846712856|      0.00781250|[182, 50, 29, 58]                                                          |  | used linear model with 8 points | iterate success | actual_k=4
      30|[9.955527403153974, 0.2105586229854542, 2.360079488873338, 2.677908555192409, -4.223383781190319, -0.538696037399846, 0.2016803459014935]|9730.8610994846712856|      0.00390625|[188, 52, 30, 60]                                                          |  | used linear model with 8 points | iterate failure | actual_k=4
      31|[9.955527403153974, 0.2105586229854542, 2.360079488873338, 2.677908555192409, -4.223383781190319, -0.538696037399846, 0.2016803459014935]|9730.8610994846712856|      0.00195312|[194, 54, 31, 62]                                                          |  | used linear model with 8 points | iterate failure | actual_k=4
      32|[9.955210084251396, 0.2098154170757038, 2.3602256773469095, 2.67709942602257, -4.2225219213418645, -0.5373839150190483, 0.2018256811399812]|9727.3408088040450821|      0.00390625|[199, 57, 32, 64]                                                          |  | used linear model with 8 points | iterate success | actual_k=4
      33|[9.953912423573538, 0.2077654364782489, 2.358895191520503, 2.676561875074305, -4.222633382855644, -0.5350293096380071, 0.2031510873614732]|9719.6210628639892093|      0.00781250|[204, 60, 33, 66]                                                          |  | used linear model with 8 points | iterate success | actual_k=4
      34|[9.953912423573538, 0.2077654364782489, 2.358895191520503, 2.676561875074305, -4.222633382855644, -0.5350293096380071, 0.2031510873614732]|9719.6210628639892093|      0.00390625|[211, 61, 34, 68]                                                          |  | used linear model with 8 points | iterate failure | actual_k=4
      35|[9.953912423573538, 0.2077654364782489, 2.358895191520503, 2.676561875074305, -4.222633382855644, -0.5350293096380071, 0.2031510873614732]|9719.6210628639892093|      0.00195312|[216, 64, 35, 70]                                                          |  | used linear model with 8 points | iterate failure | actual_k=4
