k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[11.0, 3.0, 0.5, 40.0, -0.7, -1.3, 25.0, -0.3, 1.4]                             |1153.9439484858455671|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.937786201893223, 3.060050654853318, 0.3450426635000138, 40.19834444027548, -0.4150987370788743, -0.9228110626562568, 25.586374271547257, -0.4321033242871787, 0.8131058269461172]|947.7911950944582031|      2.00000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
      25|[10.55563806737727, 3.0129779063006166, 0.5080475453686862, 40.492530478437075, -0.6292164310967465, -1.4063913297882473, 26.287102558451483, -0.4961511367789331, 1.2796320787334377]|842.8552405030274031|      0.50000000|[400, 25, 25, 50]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      26|[10.55563806737727, 3.0129779063006166, 0.5080475453686862, 40.492530478437075, -0.6292164310967465, -1.4063913297882473, 26.287102558451483, -0.4961511367789331, 1.2796320787334377]|842.8552405030274031|      0.25000000|[416, 26, 26, 52]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      27|[10.55563806737727, 3.0129779063006166, 0.5080475453686862, 40.492530478437075, -0.6292164310967465, -1.4063913297882473, 26.287102558451483, -0.4961511367789331, 1.2796320787334377]|842.8552405030274031|      0.12500000|[432, 27, 27, 54]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      28|[10.61318936146787, 3.018385566318473, 0.4925829671466561, 40.51148276376934, -0.6945489917009294, -1.3502267304843236, 26.34824876219032, -0.5074770471899643, 1.2995148173362692]|840.2504581359290796|      0.25000000|[448, 28, 28, 56]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      29|[10.61318936146787, 3.018385566318473, 0.4925829671466561, 40.51148276376934, -0.6945489917009294, -1.3502267304843236, 26.34824876219032, -0.5074770471899643, 1.2995148173362692]|840.2504581359290796|      0.12500000|[464, 29, 29, 58]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      30|[10.61318936146787, 3.018385566318473, 0.4925829671466561, 40.51148276376934, -0.6945489917009294, -1.3502267304843236, 26.34824876219032, -0.5074770471899643, 1.2995148173362692]|840.2504581359290796|      0.06250000|[480, 30, 30, 60]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      31|[10.650582750536195, 3.025992147995018, 0.5104717018970685, 40.53740365984385, -0.6838634746931106, -1.3376245937794098, 26.36780269500681, -0.4859466978326187, 1.3179354125929914]|839.2724465548543549|      0.12500000|[496, 31, 31, 62]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      32|[10.650582750536195, 3.025992147995018, 0.5104717018970685, 40.53740365984385, -0.6838634746931106, -1.3376245937794098, 26.36780269500681, -0.4859466978326187, 1.3179354125929914]|839.2724465548543549|      0.06250000|[512, 32, 32, 64]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      33|[10.616795129011663, 3.040615652877217, 0.5165354981030988, 40.56725622984507, -0.680087129647661, -1.332342183480318, 26.39388077234659, -0.4581179941406874, 1.329168696582364]|838.2971108234580697|      0.12500000|[528, 33, 33, 66]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      34|[10.616795129011663, 3.040615652877217, 0.5165354981030988, 40.56725622984507, -0.680087129647661, -1.332342183480318, 26.39388077234659, -0.4581179941406874, 1.329168696582364]|838.2971108234580697|      0.06250000|[544, 34, 34, 68]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      35|[10.634431018538406, 3.0543457705021497, 0.5537329058342925, 40.60321950624095, -0.6955560057596903, -1.329727384865808, 26.412247456686714, -0.4666399723194402, 1.3205883484620093]|837.8950326181746959|      0.12500000|[560, 35, 35, 70]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      36|[10.634431018538406, 3.0543457705021497, 0.5537329058342925, 40.60321950624095, -0.6955560057596903, -1.329727384865808, 26.412247456686714, -0.4666399723194402, 1.3205883484620093]|837.8950326181746959|      0.06250000|[576, 36, 36, 72]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      37|[10.657781518443775, 3.051797313781906, 0.5362194160675267, 40.647295878778905, -0.7090185534031106, -1.3566633887388009, 26.405835029540224, -0.4748594433972879, 1.3300537149204863]|837.3996508950136786|      0.12500000|[592, 37, 37, 74]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      38|[10.657781518443775, 3.051797313781906, 0.5362194160675267, 40.647295878778905, -0.7090185534031106, -1.3566633887388009, 26.405835029540224, -0.4748594433972879, 1.3300537149204863]|837.3996508950136786|      0.06250000|[608, 38, 38, 76]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      39|[10.644755624804997, 3.0496778525047787, 0.5254969289593183, 40.649441823544834, -0.7217008328056704, -1.360269112464255, 26.444617410721246, -0.4387320005039178, 1.3551415704599534]|836.8217718511990597|      0.12500000|[624, 39, 39, 78]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      40|[10.644755624804997, 3.0496778525047787, 0.5254969289593183, 40.649441823544834, -0.7217008328056704, -1.360269112464255, 26.444617410721246, -0.4387320005039178, 1.3551415704599534]|836.8217718511990597|      0.06250000|[640, 40, 40, 80]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      41|[10.655935761615648, 3.076637213709006, 0.5332270643450331, 40.67592437664582, -0.7331974917410747, -1.3421714923531833, 26.445256657426103, -0.402401537700963, 1.332484152506024]|836.0049110845465066|      0.12500000|[656, 41, 41, 82]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      42|[10.655935761615648, 3.076637213709006, 0.5332270643450331, 40.67592437664582, -0.7331974917410747, -1.3421714923531833, 26.445256657426103, -0.402401537700963, 1.332484152506024]|836.0049110845465066|      0.06250000|[672, 42, 42, 84]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      43|[10.627226801650336, 3.079856783032947, 0.5472417205251966, 40.6935092312934, -0.7218574869221247, -1.3257922555098065, 26.4400659362547, -0.3681897988942653, 1.3636575469784178]|835.4333597211049209|      0.12500000|[688, 43, 43, 86]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      44|[10.627226801650336, 3.079856783032947, 0.5472417205251966, 40.6935092312934, -0.7218574869221247, -1.3257922555098065, 26.4400659362547, -0.3681897988942653, 1.3636575469784178]|835.4333597211049209|      0.06250000|[704, 44, 44, 88]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      45|[10.6233374311803, 3.101945579656593, 0.5186599229284815, 40.72203400524264, -0.758761494321302, -1.3078995168744012, 26.449302865967702, -0.3676344644584188, 1.365880350050894]|834.5843539149072967|      0.12500000|[720, 45, 45, 90]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
