k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.3, 0.65, 0.65, 0.7, 0.6, 3.0, 5.0, 7.0, 2.0, 4.5, 5.5]                       |  3.1657058167640839|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.4199560534815883, -0.0648737105362587, 0.7816687738876774, 0.4949497995023406, 0.3708646862452373, 3.1629709510855983, 4.777120265386068, 6.642243130724734, 1.8433926665221794, 4.696054652715071, 5.809018951204152]|  1.2035445545637911|      2.00000000|[10, 3, 1, 4]                                                              |  | used linear model with 13 points | iterate success | actual_k=1
      16|[1.3928069069834115, -0.0652610038566396, 0.6360351892713524, 0.59042120627206, 0.3569645359693653, 3.1261223261639683, 4.767333044781345, 6.671718539033307, 1.7781863223849106, 4.792105227642485, 5.815671788205924]|  0.6816643011765225|      0.06250000|[160, 48, 16, 64]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      17|[1.3692527084637094, -0.0780669825540774, 0.615830581057057, 0.5840842934070126, 0.3774321328930013, 3.157262185862437, 4.7727876872894655, 6.658929522275244, 1.7544464450633912, 4.788071881251442, 5.791644743751938]|  0.6159122903691373|      0.12500000|[170, 51, 17, 68]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      18|[1.3692527084637094, -0.0780669825540774, 0.615830581057057, 0.5840842934070126, 0.3774321328930013, 3.157262185862437, 4.7727876872894655, 6.658929522275244, 1.7544464450633912, 4.788071881251442, 5.791644743751938]|  0.6159122903691373|      0.06250000|[180, 54, 18, 72]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      19|[1.3586883678292976, -0.1059756948826696, 0.6172973286653188, 0.603112049051056, 0.3420334713000285, 3.1476391812339157, 4.772901956874147, 6.6486109466680965, 1.7579267689981877, 4.762425448870312, 5.768633094953981]|  0.5803726622179483|      0.12500000|[190, 57, 19, 76]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      20|[1.2772682164040974, -0.0844438024497159, 0.6170256899302602, 0.6103050002053757, 0.3389177891578593, 3.198534657577343, 4.788052805385455, 6.666450993885329, 1.691774952344489, 4.771590535397953, 5.798169345153314]|  0.4788134980664965|      0.25000000|[200, 60, 20, 80]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      21|[1.2772682164040974, -0.0844438024497159, 0.6170256899302602, 0.6103050002053757, 0.3389177891578593, 3.198534657577343, 4.788052805385455, 6.666450993885329, 1.691774952344489, 4.771590535397953, 5.798169345153314]|  0.4788134980664965|      0.12500000|[210, 63, 21, 84]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      22|[1.2772682164040974, -0.0844438024497159, 0.6170256899302602, 0.6103050002053757, 0.3389177891578593, 3.198534657577343, 4.788052805385455, 6.666450993885329, 1.691774952344489, 4.771590535397953, 5.798169345153314]|  0.4788134980664965|      0.06250000|[220, 66, 22, 88]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      23|[1.2820785132481405, -0.0856939590357518, 0.5790880065996112, 0.5864096373444126, 0.3172829243801157, 3.2124848914832866, 4.790210706986621, 6.6809569217513145, 1.7085055893013084, 4.7617772102022, 5.823015301023336]|  0.4672996731334347|      0.12500000|[230, 69, 23, 92]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      24|[1.2820785132481405, -0.0856939590357518, 0.5790880065996112, 0.5864096373444126, 0.3172829243801157, 3.2124848914832866, 4.790210706986621, 6.6809569217513145, 1.7085055893013084, 4.7617772102022, 5.823015301023336]|  0.4672996731334347|      0.06250000|[240, 72, 24, 96]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      25|[1.2820785132481405, -0.0856939590357518, 0.5790880065996112, 0.5864096373444126, 0.3172829243801157, 3.2124848914832866, 4.790210706986621, 6.6809569217513145, 1.7085055893013084, 4.7617772102022, 5.823015301023336]|  0.4672996731334347|      0.03125000|[250, 75, 25, 100]                                                         |  | used linear model with 13 points | iterate failure | actual_k=1
      26|[1.268761813211476, -0.0814569892482727, 0.5794617212732566, 0.5922326535316176, 0.3262552469810149, 3.215263125163048, 4.78255148889646, 6.679963148504062, 1.6867100276267386, 4.772785132101922, 5.824786089397422]|  0.4408889994156988|      0.06250000|[260, 78, 26, 104]                                                         |  | used linear model with 13 points | iterate success | actual_k=1
      27|[1.268761813211476, -0.0814569892482727, 0.5794617212732566, 0.5922326535316176, 0.3262552469810149, 3.215263125163048, 4.78255148889646, 6.679963148504062, 1.6867100276267386, 4.772785132101922, 5.824786089397422]|  0.4408889994156988|      0.03125000|[270, 81, 27, 108]                                                         |  | used linear model with 13 points | iterate failure | actual_k=1
      28|[1.2627010111694479, -0.0792909781328139, 0.5658509593575455, 0.5824878300484435, 0.3236131454227497, 3.215107076178838, 4.787928470512575, 6.6834535603148595, 1.6707439473300665, 4.776428316079296, 5.806384060095216]|  0.4120055583540512|      0.06250000|[280, 84, 28, 112]                                                         |  | used linear model with 13 points | iterate success | actual_k=1
