k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[11.0, 3.0, 0.5, 40.0, -0.7, -1.3, 25.0, -0.3, 1.4]                             |1153.9439484858455671|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.548841073355787, 2.964207578197303, 0.2301277888537241, 40.02537977926888, -0.871452441831158, -1.5000615702334286, 25.498655852694892, -0.3725612024947381, 0.7688454843086856]|959.0138699017307999|      2.00000000|[13, 4, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=4
      26|[10.647790757151808, 3.079790789086178, 0.5050392407070894, 40.430757112309074, -0.607789627156853, -1.3658333896852155, 26.476090244707798, -0.3298757374757836, 1.325287315522561]|839.9479102514292208|      0.06250000|[338, 104, 26, 52]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      27|[10.62228757764658, 3.048574565991255, 0.4994385173508734, 40.44506899465926, -0.613027413662848, -1.3907388880719391, 26.473433976939653, -0.3285002928506965, 1.3625501832134335]|839.6946972677626491|      0.12500000|[351, 108, 27, 54]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      28|[10.62228757764658, 3.048574565991255, 0.4994385173508734, 40.44506899465926, -0.613027413662848, -1.3907388880719391, 26.473433976939653, -0.3285002928506965, 1.3625501832134335]|839.6946972677626491|      0.06250000|[364, 112, 28, 56]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      29|[10.62228757764658, 3.048574565991255, 0.4994385173508734, 40.44506899465926, -0.613027413662848, -1.3907388880719391, 26.473433976939653, -0.3285002928506965, 1.3625501832134335]|839.6946972677626491|      0.03125000|[377, 116, 29, 58]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      30|[10.626762182234303, 3.048901850446376, 0.5035397047482963, 40.47247576576311, -0.6146762420610385, -1.3849401223579418, 26.477076051418074, -0.3169609168631186, 1.360159318374094]|839.1720768183225800|      0.06250000|[390, 120, 30, 60]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      31|[10.626762182234303, 3.048901850446376, 0.5035397047482963, 40.47247576576311, -0.6146762420610385, -1.3849401223579418, 26.477076051418074, -0.3169609168631186, 1.360159318374094]|839.1720768183225800|      0.03125000|[403, 124, 31, 62]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      32|[10.640317756920755, 3.0462562049338904, 0.4982547445629256, 40.49374988528957, -0.6241189279587451, -1.3824936737355724, 26.490152681436324, -0.3114607225990389, 1.363141041291097]|838.7558211559219217|      0.06250000|[416, 128, 32, 64]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      33|[10.637932685269679, 3.0355280765217496, 0.4909846274258031, 40.533283857689625, -0.618837693145609, -1.3471664485082349, 26.499584682079686, -0.3037981748742268, 1.3358262548213118]|838.2231026317242595|      0.12500000|[429, 132, 33, 66]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      34|[10.595504781170318, 3.0692438381977025, 0.527999753092756, 40.61401363999042, -0.6783813042931439, -1.346887213341587, 26.47696609474364, -0.3097795596380653, 1.3624308790872914]|836.7162269229538651|      0.25000000|[442, 136, 34, 68]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      35|[10.595504781170318, 3.0692438381977025, 0.527999753092756, 40.61401363999042, -0.6783813042931439, -1.346887213341587, 26.47696609474364, -0.3097795596380653, 1.3624308790872914]|836.7162269229538651|      0.12500000|[455, 140, 35, 70]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      36|[10.595504781170318, 3.0692438381977025, 0.527999753092756, 40.61401363999042, -0.6783813042931439, -1.346887213341587, 26.47696609474364, -0.3097795596380653, 1.3624308790872914]|836.7162269229538651|      0.06250000|[468, 144, 36, 72]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      37|[10.625587914333748, 3.069753780004636, 0.5339040184205758, 40.648472120228625, -0.7037328202333369, -1.3460783659332523, 26.473481679635075, -0.2776851527197453, 1.3527767530080863]|836.0359081733068933|      0.12500000|[481, 148, 37, 74]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      38|[10.625587914333748, 3.069753780004636, 0.5339040184205758, 40.648472120228625, -0.7037328202333369, -1.3460783659332523, 26.473481679635075, -0.2776851527197453, 1.3527767530080863]|836.0359081733068933|      0.06250000|[494, 152, 38, 76]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      39|[10.598909277452048, 3.076357247072171, 0.508135617061938, 40.64619939489182, -0.719722449110239, -1.315847321982101, 26.504908135003408, -0.2954613027796351, 1.3498576932589579]|835.7020425486477961|      0.12500000|[507, 156, 39, 78]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      40|[10.598909277452048, 3.076357247072171, 0.508135617061938, 40.64619939489182, -0.719722449110239, -1.315847321982101, 26.504908135003408, -0.2954613027796351, 1.3498576932589579]|835.7020425486477961|      0.06250000|[520, 160, 40, 80]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      41|[10.63744381684793, 3.072683063235706, 0.5218695511816832, 40.66993045031052, -0.7378415660144498, -1.3091353931556067, 26.47235716861041, -0.282874533472464, 1.3579020172406182]|835.2264701436389487|      0.12500000|[533, 164, 41, 82]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      42|[10.63744381684793, 3.072683063235706, 0.5218695511816832, 40.66993045031052, -0.7378415660144498, -1.3091353931556067, 26.47235716861041, -0.282874533472464, 1.3579020172406182]|835.2264701436389487|      0.06250000|[546, 168, 42, 84]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      43|[10.633396381551265, 3.08474352342344, 0.518265564602603, 40.717344294712476, -0.7583857291757354, -1.3074589543518358, 26.494563025214823, -0.3029051143753176, 1.3450897230884227]|834.3009083623943525|      0.12500000|[559, 172, 43, 86]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      44|[10.633396381551265, 3.08474352342344, 0.518265564602603, 40.717344294712476, -0.7583857291757354, -1.3074589543518358, 26.494563025214823, -0.3029051143753176, 1.3450897230884227]|834.3009083623943525|      0.06250000|[572, 176, 44, 88]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      45|[10.63192426166531, 3.08809063303193, 0.5254332399664406, 40.72700232719099, -0.791458288909359, -1.2951718768142249, 26.481383761300393, -0.3321377235034833, 1.3834983372695815]|833.9800779666962853|      0.12500000|[585, 180, 45, 90]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
