k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, 10.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0]                                    |1607.3529257951240652|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.303640721139066, 9.874208838138085, 9.732558963127813, 9.547572755332087, 0.127626824248359, -0.1059265808887906, -0.3718775032206058, -0.2392557088400118]|1573.5056554381765181|      2.00000000|[17, 0, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=0
      15|[0.2095316560476177, 1.6474712962427709, -1.7704855286806718, 1.9224940288166186, 2.410416608815584, -3.3468937172656115, 1.3240963422037995, -1.0605164167315408]|  9.0065090935792504|      2.00000000|[255, 0, 15, 30]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      16|[0.2095316560476177, 1.6474712962427709, -1.7704855286806718, 1.9224940288166186, 2.410416608815584, -3.3468937172656115, 1.3240963422037995, -1.0605164167315408]|  9.0065090935792504|      1.00000000|[272, 0, 16, 32]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      17|[0.2095316560476177, 1.6474712962427709, -1.7704855286806718, 1.9224940288166186, 2.410416608815584, -3.3468937172656115, 1.3240963422037995, -1.0605164167315408]|  9.0065090935792504|      0.50000000|[289, 0, 17, 34]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      18|[-0.2315128303879926, 1.5783916255576436, -1.7544254045751222, 1.7957604419031465, 2.529567090462872, -3.2151173013010417, 1.2831703301003803, -1.0265807290767206]|  5.8023254261378971|      1.00000000|[306, 0, 18, 36]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      19|[-0.2315128303879926, 1.5783916255576436, -1.7544254045751222, 1.7957604419031465, 2.529567090462872, -3.2151173013010417, 1.2831703301003803, -1.0265807290767206]|  5.8023254261378971|      0.50000000|[323, 0, 19, 38]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      20|[-0.2315128303879926, 1.5783916255576436, -1.7544254045751222, 1.7957604419031465, 2.529567090462872, -3.2151173013010417, 1.2831703301003803, -1.0265807290767206]|  5.8023254261378971|      0.25000000|[340, 0, 20, 40]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      21|[-0.3796909165736621, 1.6023613496891875, -1.592587076113915, 1.7305970137540363, 2.4626181260601334, -3.2585863107764554, 1.2457165227035132, -0.9846726885086647]|  5.4984311566835053|      0.50000000|[357, 0, 21, 42]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      22|[-0.3796909165736621, 1.6023613496891875, -1.592587076113915, 1.7305970137540363, 2.4626181260601334, -3.2585863107764554, 1.2457165227035132, -0.9846726885086647]|  5.4984311566835053|      0.25000000|[374, 0, 22, 44]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      23|[-0.3178726872592482, 1.6931549180515078, -1.5436628674377204, 1.5903453612673317, 2.3462277548954615, -3.3321400438283857, 1.201873651572236, -1.07122823572469]|  5.2254414191144667|      0.50000000|[391, 0, 23, 46]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      24|[-0.3027434572925651, 2.032200827525776, -1.4153401425452556, 1.516509088030853, 2.5980303876646937, -3.137552001118419, 1.2554155814059575, -1.164847946333999]|  4.7987881734268649|      1.00000000|[408, 0, 24, 48]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      25|[-0.3027434572925651, 2.032200827525776, -1.4153401425452556, 1.516509088030853, 2.5980303876646937, -3.137552001118419, 1.2554155814059575, -1.164847946333999]|  4.7987881734268649|      0.50000000|[425, 0, 25, 50]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      26|[-0.5069214375986091, 2.2451578940038, -1.4037258761887912, 1.503298706016359, 2.6742438544062077, -3.4232121574386047, 1.4883643103251276, -1.0200173311569536]|  4.2463918947529677|      1.00000000|[442, 0, 26, 52]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      27|[-0.5069214375986091, 2.2451578940038, -1.4037258761887912, 1.503298706016359, 2.6742438544062077, -3.4232121574386047, 1.4883643103251276, -1.0200173311569536]|  4.2463918947529677|      0.50000000|[459, 0, 27, 54]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      28|[-0.5069214375986091, 2.2451578940038, -1.4037258761887912, 1.503298706016359, 2.6742438544062077, -3.4232121574386047, 1.4883643103251276, -1.0200173311569536]|  4.2463918947529677|      0.25000000|[476, 0, 28, 56]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      29|[-0.5779414611744429, 2.401845531902307, -1.3288936430778582, 1.4803129312095984, 2.6378473499628776, -3.438115282260991, 1.4342588236607114, -1.1693582802395146]|  3.3711289820886172|      0.50000000|[493, 0, 29, 58]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      30|[-0.7417355580674676, 2.6357882900655287, -1.237589403165949, 1.3006733110380875, 2.4787944183929924, -3.5458918904433925, 1.134105809045361, -1.1405492908478978]|  2.6699876403376148|      1.00000000|[510, 0, 30, 60]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      31|[-0.7417355580674676, 2.6357882900655287, -1.237589403165949, 1.3006733110380875, 2.4787944183929924, -3.5458918904433925, 1.134105809045361, -1.1405492908478978]|  2.6699876403376148|      0.50000000|[527, 0, 31, 62]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      32|[-0.7417355580674676, 2.6357882900655287, -1.237589403165949, 1.3006733110380875, 2.4787944183929924, -3.5458918904433925, 1.134105809045361, -1.1405492908478978]|  2.6699876403376148|      0.25000000|[544, 0, 32, 64]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      33|[-0.7090351025205848, 2.7887665813669464, -1.1585054934743044, 1.283520098321493, 2.5282553038248126, -3.3920272690392252, 1.1859326759568916, -1.1922513225052247]|  1.9656938551603071|      0.50000000|[561, 0, 33, 66]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      34|[-0.7090351025205848, 2.7887665813669464, -1.1585054934743044, 1.283520098321493, 2.5282553038248126, -3.3920272690392252, 1.1859326759568916, -1.1922513225052247]|  1.9656938551603071|      0.25000000|[578, 0, 34, 68]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      35|[-0.7234755924784092, 2.917368068955365, -1.0963958821337303, 1.3078349897088408, 2.333163469076758, -3.3832504588086025, 1.2314267697804957, -1.1591342133356322]|  1.5030708080570048|      0.50000000|[595, 0, 35, 70]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      36|[-0.7234755924784092, 2.917368068955365, -1.0963958821337303, 1.3078349897088408, 2.333163469076758, -3.3832504588086025, 1.2314267697804957, -1.1591342133356322]|  1.5030708080570048|      0.25000000|[612, 0, 36, 72]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      37|[-0.8701257307312156, 2.976587170110222, -0.9686459488798601, 1.400483678132121, 2.2499460920900023, -3.3351345580741203, 1.1945549763635321, -1.203667450474781]|  1.2197862730779270|      0.50000000|[629, 0, 37, 74]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      38|[-0.8701257307312156, 2.976587170110222, -0.9686459488798601, 1.400483678132121, 2.2499460920900023, -3.3351345580741203, 1.1945549763635321, -1.203667450474781]|  1.2197862730779270|      0.25000000|[646, 0, 38, 76]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      39|[-0.7825672630187431, 3.1915549110957926, -0.9961358260848475, 1.3654839462225938, 2.2710915456829794, -3.3095180599371443, 1.2688036964155731, -1.2087174872171818]|  0.8707689836658852|      0.50000000|[663, 0, 39, 78]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      40|[-0.7825672630187431, 3.1915549110957926, -0.9961358260848475, 1.3654839462225938, 2.2710915456829794, -3.3095180599371443, 1.2688036964155731, -1.2087174872171818]|  0.8707689836658852|      0.25000000|[680, 0, 40, 80]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
