k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]                                                  |564.8131740000001173|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.037883885306359, -0.0097306162923077, 1.0878324622580793, 0.2572646923930501, 0.8251696316843169, 0.3608332063827459]|478.3136733219603229|      2.00000000|[15, 2, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
      12|[1.0139884688208005, 0.8244669204836406, 1.9675400966181753, -0.0266757785568158, 1.314923175093071, 0.399003931056675]|155.9533618688135448|      0.25000000|[180, 24, 12, 24]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      13|[1.0139884688208005, 0.8244669204836406, 1.9675400966181753, -0.0266757785568158, 1.314923175093071, 0.399003931056675]|155.9533618688135448|      0.12500000|[195, 26, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      14|[0.9729451298539036, 0.7771699638149822, 2.031182891192994, 0.0408468401458275, 1.2628631807330766, 0.3794210337783434]|150.3615304527049830|      0.25000000|[210, 28, 14, 28]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      15|[0.9729451298539036, 0.7771699638149822, 2.031182891192994, 0.0408468401458275, 1.2628631807330766, 0.3794210337783434]|150.3615304527049830|      0.12500000|[225, 30, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      16|[0.8982933136602689, 0.81150385826285, 2.0359970581619145, 0.0878732219628447, 1.3442640793225664, 0.375881690696146]|146.4616362958180105|      0.25000000|[240, 32, 16, 32]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      17|[0.8982933136602689, 0.81150385826285, 2.0359970581619145, 0.0878732219628447, 1.3442640793225664, 0.375881690696146]|146.4616362958180105|      0.12500000|[255, 34, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      18|[0.8982933136602689, 0.81150385826285, 2.0359970581619145, 0.0878732219628447, 1.3442640793225664, 0.375881690696146]|146.4616362958180105|      0.06250000|[270, 36, 18, 36]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      19|[0.8898056308301261, 0.7778810796133158, 2.0654600704075907, 0.1139989611080687, 1.31047057889938, 0.3725509267095705]|142.0461212576825574|      0.12500000|[285, 38, 19, 38]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      20|[0.8402902024422738, 0.7568468333705245, 2.088098538334407, 0.2178085982750853, 1.2786477897077708, 0.3932669090857545]|137.2803480743226601|      0.25000000|[300, 40, 20, 40]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      21|[0.8402902024422738, 0.7568468333705245, 2.088098538334407, 0.2178085982750853, 1.2786477897077708, 0.3932669090857545]|137.2803480743226601|      0.12500000|[315, 42, 21, 42]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      22|[0.8182538442261345, 0.8011561190403779, 2.164033850051522, 0.2818105276922496, 1.33383383918114, 0.376891087615518]|131.7673897777370371|      0.25000000|[330, 44, 22, 44]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      23|[0.8182538442261345, 0.8011561190403779, 2.164033850051522, 0.2818105276922496, 1.33383383918114, 0.376891087615518]|131.7673897777370371|      0.12500000|[345, 46, 23, 46]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      24|[0.7675352716350005, 0.7587951116128422, 2.202716311891178, 0.3456470356785852, 1.258827339835271, 0.3846862075026228]|127.3042856203663291|      0.25000000|[360, 48, 24, 48]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      25|[0.7675352716350005, 0.7587951116128422, 2.202716311891178, 0.3456470356785852, 1.258827339835271, 0.3846862075026228]|127.3042856203663291|      0.12500000|[375, 50, 25, 50]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      26|[0.6822943834211915, 0.8030414782669013, 2.208712274497624, 0.3908522782733596, 1.32306908000549, 0.3986426865968373]|124.1740908441016700|      0.25000000|[390, 52, 26, 52]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      27|[0.6822943834211915, 0.8030414782669013, 2.208712274497624, 0.3908522782733596, 1.32306908000549, 0.3986426865968373]|124.1740908441016700|      0.12500000|[405, 54, 27, 54]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      28|[0.7144927125242555, 0.7402682230709358, 2.282481951079144, 0.433938018529161, 1.2680180433248318, 0.4164983075360634]|120.4283411550116227|      0.25000000|[420, 56, 28, 56]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      29|[0.5428755588763006, 0.8264681229563449, 2.3957624430671087, 0.4844224850723881, 1.1811180903683403, 0.4683092791780781]|110.4459931748005062|      0.50000000|[435, 58, 29, 58]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      30|[0.5428755588763006, 0.8264681229563449, 2.3957624430671087, 0.4844224850723881, 1.1811180903683403, 0.4683092791780781]|110.4459931748005062|      0.25000000|[450, 60, 30, 60]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
