k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]                                        |181.6199359999999956|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.3514753372277711, 1.0497226484841422, -0.6050095324033354, 1.1139742834263646, 1.1814136491104616, 1.6074826302219674, 1.2981463722159248, 1.0642554013013787]| 70.1204415122373632|      2.00000000|[13, 4, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=4
      27|[0.1204467466769428, 0.6770152926514931, -0.572766177124825, 0.9080542501807172, 1.1559272127113576, 1.87039503381027, 1.4416660608599194, 1.2740328507932905]| 39.5082977416907397|      0.12500000|[351, 108, 27, 54]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      28|[0.097604524189404, 0.5998271443796531, -0.484829999504989, 0.9352446833863871, 1.169508256748141, 1.8623873173128724, 1.4422793389933002, 1.2946286575314168]| 37.0493743986233284|      0.25000000|[364, 112, 28, 56]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      29|[0.097604524189404, 0.5998271443796531, -0.484829999504989, 0.9352446833863871, 1.169508256748141, 1.8623873173128724, 1.4422793389933002, 1.2946286575314168]| 37.0493743986233284|      0.12500000|[377, 116, 29, 58]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      30|[0.097604524189404, 0.5998271443796531, -0.484829999504989, 0.9352446833863871, 1.169508256748141, 1.8623873173128724, 1.4422793389933002, 1.2946286575314168]| 37.0493743986233284|      0.06250000|[390, 120, 30, 60]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      31|[0.1088303135607355, 0.6160787623506827, -0.5003355109551809, 0.9554654570025779, 1.160761355686875, 1.9148682049302288, 1.440328357517588, 1.288949060420248]| 36.2232985098642644|      0.12500000|[403, 124, 31, 62]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      32|[0.1088303135607355, 0.6160787623506827, -0.5003355109551809, 0.9554654570025779, 1.160761355686875, 1.9148682049302288, 1.440328357517588, 1.288949060420248]| 36.2232985098642644|      0.06250000|[416, 128, 32, 64]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      33|[0.0827223572607831, 0.580368879356958, -0.5196434363671143, 0.9651788207363601, 1.1921931336614087, 1.894787203657957, 1.4419998482235319, 1.2795529816764684]| 35.0247962578963694|      0.12500000|[429, 132, 33, 66]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      34|[0.0827223572607831, 0.580368879356958, -0.5196434363671143, 0.9651788207363601, 1.1921931336614087, 1.894787203657957, 1.4419998482235319, 1.2795529816764684]| 35.0247962578963694|      0.06250000|[442, 136, 34, 68]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      35|[0.0668060832838815, 0.5753102008630009, -0.5390203157257869, 0.9688008628498986, 1.2308585495878546, 1.9324345277492398, 1.4506763592506884, 1.2637058334083833]| 33.9430335388698410|      0.12500000|[455, 140, 35, 70]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      36|[0.0668060832838815, 0.5753102008630009, -0.5390203157257869, 0.9688008628498986, 1.2308585495878546, 1.9324345277492398, 1.4506763592506884, 1.2637058334083833]| 33.9430335388698410|      0.06250000|[468, 144, 36, 72]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      37|[0.0421718099637979, 0.5404579376390495, -0.5213840444091539, 0.9708082110101532, 1.2358877320030672, 1.9283329341064517, 1.46509181089837, 1.3026895969669054]| 32.8926225032360762|      0.12500000|[481, 148, 37, 74]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      38|[0.0269531843179815, 0.5348187649624363, -0.5046562025847032, 0.9299856902948618, 1.3346740366646412, 1.9886998678167385, 1.4617788291839502, 1.3038802913903549]| 31.1081298049376116|      0.25000000|[494, 152, 38, 76]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      39|[0.0269531843179815, 0.5348187649624363, -0.5046562025847032, 0.9299856902948618, 1.3346740366646412, 1.9886998678167385, 1.4617788291839502, 1.3038802913903549]| 31.1081298049376116|      0.12500000|[507, 156, 39, 78]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      40|[0.0269531843179815, 0.5348187649624363, -0.5046562025847032, 0.9299856902948618, 1.3346740366646412, 1.9886998678167385, 1.4617788291839502, 1.3038802913903549]| 31.1081298049376116|      0.06250000|[520, 160, 40, 80]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
