k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5646164307189353, -0.0594540059306736, 0.0386275893003782, 0.6278879636359469, -0.0153509528161912, 0.0963607797714703, 0.2289094485312639, -0.1114670199122151, -0.1424044383654957, -0.077666885009112, -0.0394842492868574, -0.0647227331189745, 0.1065271078469519, 0.2351392818333306, -0.0595938134479406, 0.0789389550904117, -0.1864927625725845, 0.0764368219173067, -0.07961659890136, -0.0959358280177396, 0.0520055056182281, -0.2006064461458321]| 13.3903303146362305|      2.00000000|[27, 4, 0, 2]                                                              |  | trying linear partial model with 15 points | iterate success | actual_k=2
      12|[2.101338919118085, -0.7372516437169407, 0.056796233820842, 1.5394820764906647, 0.404063343521865, -0.0824787970703309, 0.2187704856149269, 0.0023303898713053, 0.2991737787951281, -0.0277636165666717, -0.2504992123120513, -0.0876912001010905, 0.3901671738769118, 0.4306503611680935, -0.0688191156476347, -0.0969831045575936, -0.1052534658629056, 0.0740194811503528, 0.034516376880592, 0.39061153423179, 0.0613082747386872, -0.678564145853285]| 12.1455640792846680|      0.06250000|[322, 48, 0, 24]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      13|[2.101338919118085, -0.7372516437169407, 0.056796233820842, 1.5394820764906647, 0.404063343521865, -0.0824787970703309, 0.2187704856149269, 0.0023303898713053, 0.2991737787951281, -0.0277636165666717, -0.2504992123120513, -0.0876912001010905, 0.3901671738769118, 0.4306503611680935, -0.0688191156476347, -0.0969831045575936, -0.1052534658629056, 0.0740194811503528, 0.034516376880592, 0.39061153423179, 0.0613082747386872, -0.678564145853285]| 12.1455640792846680|      0.03125000|[348, 52, 0, 26]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      14|[2.101338919118085, -0.7372516437169407, 0.056796233820842, 1.5394820764906647, 0.404063343521865, -0.0824787970703309, 0.2187704856149269, 0.0023303898713053, 0.2991737787951281, -0.0277636165666717, -0.2504992123120513, -0.0876912001010905, 0.3901671738769118, 0.4306503611680935, -0.0688191156476347, -0.0969831045575936, -0.1052534658629056, 0.0740194811503528, 0.034516376880592, 0.39061153423179, 0.0613082747386872, -0.678564145853285]| 12.1455640792846680|      0.01562500|[374, 56, 0, 28]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      15|[2.101695426564991, -0.7361154826147815, 0.0581862313390618, 1.5530692740796876, 0.4028901413786999, -0.0808753363308455, 0.2166830002532581, 0.0015528726370228, 0.298217746193658, -0.0308133301840865, -0.2489495437277159, -0.0894675798488645, 0.3877619133917258, 0.4290455941813812, -0.0708052906106939, -0.0957440431655651, -0.1057146183685865, 0.074573791066466, 0.0380098269911926, 0.3924088431707414, 0.0600509124664547, -0.6789122171952435]| 12.1454925537109375|      0.03125000|[400, 60, 0, 30]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      16|[2.101695426564991, -0.7361154826147815, 0.0581862313390618, 1.5530692740796876, 0.4028901413786999, -0.0808753363308455, 0.2166830002532581, 0.0015528726370228, 0.298217746193658, -0.0308133301840865, -0.2489495437277159, -0.0894675798488645, 0.3877619133917258, 0.4290455941813812, -0.0708052906106939, -0.0957440431655651, -0.1057146183685865, 0.074573791066466, 0.0380098269911926, 0.3924088431707414, 0.0600509124664547, -0.6789122171952435]| 12.1454925537109375|      0.01562500|[426, 64, 0, 32]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      17|[2.101695426564991, -0.7361154826147815, 0.0581862313390618, 1.5530692740796876, 0.4028901413786999, -0.0808753363308455, 0.2166830002532581, 0.0015528726370228, 0.298217746193658, -0.0308133301840865, -0.2489495437277159, -0.0894675798488645, 0.3877619133917258, 0.4290455941813812, -0.0708052906106939, -0.0957440431655651, -0.1057146183685865, 0.074573791066466, 0.0380098269911926, 0.3924088431707414, 0.0600509124664547, -0.6789122171952435]| 12.1454925537109375|      0.00781250|[452, 68, 0, 34]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      18|[2.101695426564991, -0.7361154826147815, 0.0581862313390618, 1.5530692740796876, 0.4028901413786999, -0.0808753363308455, 0.2166830002532581, 0.0015528726370228, 0.298217746193658, -0.0308133301840865, -0.2489495437277159, -0.0894675798488645, 0.3877619133917258, 0.4290455941813812, -0.0708052906106939, -0.0957440431655651, -0.1057146183685865, 0.074573791066466, 0.0380098269911926, 0.3924088431707414, 0.0600509124664547, -0.6789122171952435]| 12.1454925537109375|      0.00390625|[478, 72, 0, 36]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      19|[2.101695426564991, -0.7361154826147815, 0.0581862313390618, 1.5530692740796876, 0.4028901413786999, -0.0808753363308455, 0.2166830002532581, 0.0015528726370228, 0.298217746193658, -0.0308133301840865, -0.2489495437277159, -0.0894675798488645, 0.3877619133917258, 0.4290455941813812, -0.0708052906106939, -0.0957440431655651, -0.1057146183685865, 0.074573791066466, 0.0380098269911926, 0.3924088431707414, 0.0600509124664547, -0.6789122171952435]| 12.1454925537109375|      0.00195312|[504, 76, 0, 38]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      20|[2.101416220007119, -0.7362243635439365, 0.0590197054129339, 1.5539705381474247, 0.4026931768418976, -0.0807807873954842, 0.2163051829872798, 0.0017004860416025, 0.2975951421064809, -0.0305605376444855, -0.248651991763037, -0.0896960694065951, 0.3872684772214433, 0.4291887305499439, -0.0707527276710198, -0.0958807737985549, -0.1056265862432051, 0.0749172605380799, 0.0377751930481715, 0.3927394169256082, 0.0597382416855827, -0.6780519068983504]| 12.1454916000366211|      0.00390625|[530, 80, 0, 40]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      21|[2.101416220007119, -0.7362243635439365, 0.0590197054129339, 1.5539705381474247, 0.4026931768418976, -0.0807807873954842, 0.2163051829872798, 0.0017004860416025, 0.2975951421064809, -0.0305605376444855, -0.248651991763037, -0.0896960694065951, 0.3872684772214433, 0.4291887305499439, -0.0707527276710198, -0.0958807737985549, -0.1056265862432051, 0.0749172605380799, 0.0377751930481715, 0.3927394169256082, 0.0597382416855827, -0.6780519068983504]| 12.1454916000366211|      0.00195312|[557, 84, 0, 42]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      22|[2.1004230983346837, -0.7367123309383549, 0.0596690434177245, 1.554273510905564, 0.4027086063254176, -0.0809892267727084, 0.2162379497820016, 0.0012932248692227, 0.2975308459943852, -0.030511142001889, -0.2488544770435331, -0.0897097826951936, 0.3873319970535511, 0.4296686591973252, -0.0701019762198388, -0.0959269638081642, -0.1055995419043341, 0.0751584995480898, 0.037889494653789, 0.3921208655022885, 0.0605728108616688, -0.6779890459992741]| 12.1454887390136719|      0.00390625|[583, 88, 0, 44]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      23|[2.1004230983346837, -0.7367123309383549, 0.0596690434177245, 1.554273510905564, 0.4027086063254176, -0.0809892267727084, 0.2162379497820016, 0.0012932248692227, 0.2975308459943852, -0.030511142001889, -0.2488544770435331, -0.0897097826951936, 0.3873319970535511, 0.4296686591973252, -0.0701019762198388, -0.0959269638081642, -0.1055995419043341, 0.0751584995480898, 0.037889494653789, 0.3921208655022885, 0.0605728108616688, -0.6779890459992741]| 12.1454887390136719|      0.00195312|[610, 92, 0, 46]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      24|[2.099127369514187, -0.7371014818128024, 0.0603810512100916, 1.5546990934410512, 0.4026478628799569, -0.0807215120510654, 0.2165349689299984, 0.0014266416336154, 0.2978344020382554, -0.0305439278924042, -0.248805206003692, -0.0893369374617343, 0.3874951689527762, 0.4294271625131493, -0.0704826871425916, -0.0957327186979055, -0.105119267634326, 0.0748031685674106, 0.0378803458195728, 0.3920301903708878, 0.060077803848969, -0.678037497723937]| 12.1454858779907227|      0.00390625|[636, 96, 0, 48]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      25|[2.099127369514187, -0.7371014818128024, 0.0603810512100916, 1.5546990934410512, 0.4026478628799569, -0.0807215120510654, 0.2165349689299984, 0.0014266416336154, 0.2978344020382554, -0.0305439278924042, -0.248805206003692, -0.0893369374617343, 0.3874951689527762, 0.4294271625131493, -0.0704826871425916, -0.0957327186979055, -0.105119267634326, 0.0748031685674106, 0.0378803458195728, 0.3920301903708878, 0.060077803848969, -0.678037497723937]| 12.1454858779907227|      0.00195312|[662, 100, 0, 50]                                                          |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      26|[2.0981021978197107, -0.7378207663569694, 0.0612272100769989, 1.5551551336661693, 0.4026234475781479, -0.0809375124348092, 0.2164845361647508, 0.0015267292498048, 0.2977964152843373, -0.0307396816436375, -0.2484822000989912, -0.0897389107002546, 0.3876633006211802, 0.4291658865017674, -0.0702899649873036, -0.0961637885058973, -0.1049696633743113, 0.0746795841094945, 0.0380558654925957, 0.3917504922559555, 0.0605435419806973, -0.6775142384869004]| 12.1454830169677734|      0.00390625|[689, 104, 0, 52]                                                          |  | trying linear partial model with 15 points | iterate success | actual_k=2
      27|[2.096176144972538, -0.7387506317372662, 0.0616824316372224, 1.5572568809754666, 0.4031890988000245, -0.0812309441385815, 0.2153475640986965, 0.001475327972091, 0.2981760882806786, -0.031648458982964, -0.2489906055766134, -0.0887789622573159, 0.3873996799384732, 0.4300186989322627, -0.0696113440999929, -0.0965935215481419, -0.1050182066485417, 0.0753222261788299, 0.0375817276252493, 0.3920360900162525, 0.0603450999442146, -0.677440778254265]| 12.1454763412475586|      0.00781250|[716, 108, 0, 54]                                                          |  | trying linear partial model with 15 points | iterate success | actual_k=2
      28|[2.096176144972538, -0.7387506317372662, 0.0616824316372224, 1.5572568809754666, 0.4031890988000245, -0.0812309441385815, 0.2153475640986965, 0.001475327972091, 0.2981760882806786, -0.031648458982964, -0.2489906055766134, -0.0887789622573159, 0.3873996799384732, 0.4300186989322627, -0.0696113440999929, -0.0965935215481419, -0.1050182066485417, 0.0753222261788299, 0.0375817276252493, 0.3920360900162525, 0.0603450999442146, -0.677440778254265]| 12.1454763412475586|      0.00390625|[742, 112, 0, 56]                                                          |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      29|[2.096176144972538, -0.7387506317372662, 0.0616824316372224, 1.5572568809754666, 0.4031890988000245, -0.0812309441385815, 0.2153475640986965, 0.001475327972091, 0.2981760882806786, -0.031648458982964, -0.2489906055766134, -0.0887789622573159, 0.3873996799384732, 0.4300186989322627, -0.0696113440999929, -0.0965935215481419, -0.1050182066485417, 0.0753222261788299, 0.0375817276252493, 0.3920360900162525, 0.0603450999442146, -0.677440778254265]| 12.1454763412475586|      0.00195312|[769, 116, 0, 58]                                                          |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      30|[2.094901169933186, -0.738940372764671, 0.0620379205312789, 1.558085670341751, 0.4032265725095152, -0.0810838975293554, 0.21496293858393, 0.0014622074120652, 0.297902268519405, -0.0320063680309466, -0.2485487172400307, -0.0886220078181493, 0.3874273657158618, 0.429695493053278, -0.0700450480177474, -0.0964583784136082, -0.1053382185697536, 0.0747900685949319, 0.0375975325719732, 0.3920505350990267, 0.0602423993393487, -0.6772469702792945]| 12.1454734802246094|      0.00390625|[795, 120, 0, 60]                                                          |  | trying linear partial model with 15 points | iterate success | actual_k=2
      31|[2.094901169933186, -0.738940372764671, 0.0620379205312789, 1.558085670341751, 0.4032265725095152, -0.0810838975293554, 0.21496293858393, 0.0014622074120652, 0.297902268519405, -0.0320063680309466, -0.2485487172400307, -0.0886220078181493, 0.3874273657158618, 0.429695493053278, -0.0700450480177474, -0.0964583784136082, -0.1053382185697536, 0.0747900685949319, 0.0375975325719732, 0.3920505350990267, 0.0602423993393487, -0.6772469702792945]| 12.1454734802246094|      0.00195312|[821, 124, 0, 62]                                                          |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      32|[2.0938499364359218, -0.7391356894619012, 0.0620333364146981, 1.5587332157099707, 0.4028884387205271, -0.0806016179824945, 0.2146530774800643, 0.0017829895596861, 0.2982937184789345, -0.0322064174666732, -0.2485700332643974, -0.0886597426779426, 0.3875864371269338, 0.4296552833784255, -0.0703444806864991, -0.0965540984492159, -0.1057100505131216, 0.0755203277778396, 0.0373538829659894, 0.3920245816088179, 0.059799304352847, -0.6765705869638753]| 12.1454715728759766|      0.00390625|[848, 128, 0, 64]                                                          |  | trying linear partial model with 15 points | iterate success | actual_k=2
      33|[2.0938499364359218, -0.7391356894619012, 0.0620333364146981, 1.5587332157099707, 0.4028884387205271, -0.0806016179824945, 0.2146530774800643, 0.0017829895596861, 0.2982937184789345, -0.0322064174666732, -0.2485700332643974, -0.0886597426779426, 0.3875864371269338, 0.4296552833784255, -0.0703444806864991, -0.0965540984492159, -0.1057100505131216, 0.0755203277778396, 0.0373538829659894, 0.3920245816088179, 0.059799304352847, -0.6765705869638753]| 12.1454715728759766|      0.00195312|[874, 132, 0, 66]                                                          |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      34|[2.092913566033106, -0.7395713820560273, 0.0619385493878272, 1.5595478085196899, 0.4026316588964052, -0.0810774880781777, 0.21407324982663, 0.0016571087891784, 0.2983680631754194, -0.0321970039298469, -0.2485438638242626, -0.0886103916613727, 0.3875642255447314, 0.4296911994971451, -0.0701852935599806, -0.0963068661670658, -0.1059266342717237, 0.0749688566572177, 0.0372841460505526, 0.39189010956822, 0.0597181738533322, -0.6775470901884475]| 12.1454687118530273|      0.00390625|[901, 136, 0, 68]                                                          |  | trying linear partial model with 15 points | iterate success | actual_k=2
      35|[2.092913566033106, -0.7395713820560273, 0.0619385493878272, 1.5595478085196899, 0.4026316588964052, -0.0810774880781777, 0.21407324982663, 0.0016571087891784, 0.2983680631754194, -0.0321970039298469, -0.2485438638242626, -0.0886103916613727, 0.3875642255447314, 0.4296911994971451, -0.0701852935599806, -0.0963068661670658, -0.1059266342717237, 0.0749688566572177, 0.0372841460505526, 0.39189010956822, 0.0597181738533322, -0.6775470901884475]| 12.1454687118530273|      0.00195312|[927, 140, 0, 70]                                                          |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      36|[2.092374782095732, -0.7401280202646012, 0.0620068311700057, 1.5604906931996638, 0.4027818780772448, -0.0804352768369511, 0.214232159226779, 0.0017200721279352, 0.2983117115220951, -0.0319640139594547, -0.2480531549613089, -0.0893172244833654, 0.3874433557147526, 0.429872459001678, -0.0706852087462274, -0.0960688821057449, -0.1061481456955895, 0.0754429186174565, 0.0375331825331842, 0.391400521163922, 0.0593664014196144, -0.6774728891651216]| 12.1454668045043945|      0.00390625|[953, 144, 0, 72]                                                          |  | trying linear partial model with 15 points | iterate success | actual_k=2
      37|[2.092374782095732, -0.7401280202646012, 0.0620068311700057, 1.5604906931996638, 0.4027818780772448, -0.0804352768369511, 0.214232159226779, 0.0017200721279352, 0.2983117115220951, -0.0319640139594547, -0.2480531549613089, -0.0893172244833654, 0.3874433557147526, 0.429872459001678, -0.0706852087462274, -0.0960688821057449, -0.1061481456955895, 0.0754429186174565, 0.0375331825331842, 0.391400521163922, 0.0593664014196144, -0.6774728891651216]| 12.1454668045043945|      0.00195312|[980, 148, 0, 74]                                                          |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      38|[2.091936037018525, -0.740441541819838, 0.0620700051516562, 1.5614000575697156, 0.4030866798138072, -0.0808715370411189, 0.2141827036585836, 0.0015622227751231, 0.2985746207635372, -0.0317956567165474, -0.2477897379470145, -0.089564149203169, 0.3875053545271424, 0.4299179826245061, -0.0701381290058172, -0.0963111050123888, -0.1060987738055538, 0.0753736308643809, 0.0373515699025759, 0.3915109063036842, 0.0598080269800744, -0.6787151575219781]| 12.1454648971557617|      0.00390625|[1006, 152, 0, 76]                                                         |  | trying linear partial model with 15 points | iterate success | actual_k=2
      39|[2.091936037018525, -0.740441541819838, 0.0620700051516562, 1.5614000575697156, 0.4030866798138072, -0.0808715370411189, 0.2141827036585836, 0.0015622227751231, 0.2985746207635372, -0.0317956567165474, -0.2477897379470145, -0.089564149203169, 0.3875053545271424, 0.4299179826245061, -0.0701381290058172, -0.0963111050123888, -0.1060987738055538, 0.0753736308643809, 0.0373515699025759, 0.3915109063036842, 0.0598080269800744, -0.6787151575219781]| 12.1454648971557617|      0.00195312|[1032, 156, 0, 78]                                                         |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      40|[2.090871945855573, -0.7409050152790565, 0.0620247233236811, 1.5610189486577326, 0.4031916893885512, -0.0812214661473027, 0.214329858266195, 0.0009082634181005, 0.2983434247721279, -0.031606680688448, -0.2483386474658536, -0.0897127621550084, 0.3871336562910647, 0.4304638155456153, -0.0699176723025534, -0.0965178939766706, -0.1057925512775848, 0.0751407500810406, 0.0373802345246491, 0.3921711218601869, 0.060234833271541, -0.6785401491622722]| 12.1454629898071289|      0.00390625|[1059, 160, 0, 80]                                                         |  | trying linear partial model with 15 points | iterate success | actual_k=2
      41|[2.08903761065917, -0.7411473419554642, 0.0626635213103761, 1.5634666415470087, 0.4029574120312054, -0.0817028479405557, 0.2131719801237232, 0.0010709607167588, 0.2979950850709099, -0.0323645257362735, -0.2472454652206477, -0.0896915124158271, 0.3879448568487361, 0.4301114912694747, -0.0696656968051095, -0.0963088553137757, -0.1055097248802875, 0.074805881404586, 0.0376831477423686, 0.3915207005108056, 0.060001474052684, -0.6790303802325277]| 12.1454572677612305|      0.00781250|[1085, 164, 0, 82]                                                         |  | trying linear partial model with 15 points | iterate success | actual_k=2
      42|[2.08903761065917, -0.7411473419554642, 0.0626635213103761, 1.5634666415470087, 0.4029574120312054, -0.0817028479405557, 0.2131719801237232, 0.0010709607167588, 0.2979950850709099, -0.0323645257362735, -0.2472454652206477, -0.0896915124158271, 0.3879448568487361, 0.4301114912694747, -0.0696656968051095, -0.0963088553137757, -0.1055097248802875, 0.074805881404586, 0.0376831477423686, 0.3915207005108056, 0.060001474052684, -0.6790303802325277]| 12.1454572677612305|      0.00390625|[1111, 168, 0, 84]                                                         |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      43|[2.08903761065917, -0.7411473419554642, 0.0626635213103761, 1.5634666415470087, 0.4029574120312054, -0.0817028479405557, 0.2131719801237232, 0.0010709607167588, 0.2979950850709099, -0.0323645257362735, -0.2472454652206477, -0.0896915124158271, 0.3879448568487361, 0.4301114912694747, -0.0696656968051095, -0.0963088553137757, -0.1055097248802875, 0.074805881404586, 0.0376831477423686, 0.3915207005108056, 0.060001474052684, -0.6790303802325277]| 12.1454572677612305|      0.00195312|[1137, 172, 0, 86]                                                         |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      44|[2.0877292614676075, -0.7414733302483211, 0.0629861613905061, 1.5636292169804502, 0.402394366768398, -0.0812679059871481, 0.2130881662332197, 0.0010280436079954, 0.2980450635206805, -0.0323427382411845, -0.247410358664531, -0.0899930759169207, 0.3882382563985445, 0.4298850986924442, -0.0694457525009541, -0.0965342548541638, -0.1060694011540936, 0.0754338171201897, 0.0376992902579286, 0.391304535856505, 0.0602005876039901, -0.6785839860522865]| 12.1454544067382812|      0.00390625|[1163, 176, 0, 88]                                                         |  | trying linear partial model with 15 points | iterate success | actual_k=2
      45|[2.084787245274022, -0.7432101582824698, 0.0635818260988337, 1.564062208483014, 0.4026204459182771, -0.0814357683224049, 0.2131933752879505, 0.0010709381925979, 0.2989842543341426, -0.0325687030789013, -0.2476971087519812, -0.0902457903190831, 0.3878941875879834, 0.4300156769318697, -0.0695851618729025, -0.0973905448422978, -0.1060229860516502, 0.0754885903298746, 0.0368997330525691, 0.3911955861658788, 0.0596374582679039, -0.6784767501061126]| 12.1454486846923828|      0.00781250|[1190, 180, 0, 90]                                                         |  | trying linear partial model with 15 points | iterate success | actual_k=2
      46|[2.084787245274022, -0.7432101582824698, 0.0635818260988337, 1.564062208483014, 0.4026204459182771, -0.0814357683224049, 0.2131933752879505, 0.0010709381925979, 0.2989842543341426, -0.0325687030789013, -0.2476971087519812, -0.0902457903190831, 0.3878941875879834, 0.4300156769318697, -0.0695851618729025, -0.0973905448422978, -0.1060229860516502, 0.0754885903298746, 0.0368997330525691, 0.3911955861658788, 0.0596374582679039, -0.6784767501061126]| 12.1454486846923828|      0.00390625|[1216, 184, 0, 92]                                                         |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
