k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]                                                  |564.8131740000001173|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.3826590859552633, -0.0013116173705472, 0.6932713393827766, 0.1618024806031712, 0.9633323110621872, 0.7642708515760461]|494.1904065906178971|      2.00000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
      12|[-0.2108608871267631, 1.2889626039469635, -1.1958829058075846, -0.0107101834706007, 1.879790891459991, 0.5769522510776905]|227.9654471884203986|      0.25000000|[192, 12, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      13|[-0.3168545893890022, 1.2955220459586148, -1.4126685999863153, -0.0355851777204188, 1.8197536290231735, 0.5786939114491861]|183.1031069505942810|      0.50000000|[208, 13, 13, 26]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      14|[-0.3168545893890022, 1.2955220459586148, -1.4126685999863153, -0.0355851777204188, 1.8197536290231735, 0.5786939114491861]|183.1031069505942810|      0.25000000|[224, 14, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      15|[-0.3168545893890022, 1.2955220459586148, -1.4126685999863153, -0.0355851777204188, 1.8197536290231735, 0.5786939114491861]|183.1031069505942810|      0.12500000|[240, 15, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      16|[-0.3168545893890022, 1.2955220459586148, -1.4126685999863153, -0.0355851777204188, 1.8197536290231735, 0.5786939114491861]|183.1031069505942810|      0.06250000|[256, 16, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      17|[-0.3253488906631641, 1.2676299293947104, -1.4251740673913518, -0.0802516596756882, 1.8497020069138985, 0.5759118230456951]|180.1432139235975853|      0.12500000|[272, 17, 17, 34]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      18|[-0.3253488906631641, 1.2676299293947104, -1.4251740673913518, -0.0802516596756882, 1.8497020069138985, 0.5759118230456951]|180.1432139235975853|      0.06250000|[288, 18, 18, 36]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      19|[-0.2899485954466484, 1.24108813607261, -1.4405441241992225, -0.1022760150063916, 1.8688429762327263, 0.5465704746554818]|177.6237504424830149|      0.12500000|[304, 19, 19, 38]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      20|[-0.2899485954466484, 1.24108813607261, -1.4405441241992225, -0.1022760150063916, 1.8688429762327263, 0.5465704746554818]|177.6237504424830149|      0.06250000|[320, 20, 20, 40]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      21|[-0.2921129249486848, 1.1976255378232927, -1.4716066789295086, -0.1319609085890769, 1.8597295024971066, 0.5374360554452712]|174.7512014007231471|      0.12500000|[336, 21, 21, 42]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      22|[-0.263779285251162, 1.1556387669154258, -1.457797356137349, -0.2008776444053386, 1.928104616604873, 0.478750913974668]|171.5956572661013411|      0.25000000|[352, 22, 22, 44]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      23|[-0.263779285251162, 1.1556387669154258, -1.457797356137349, -0.2008776444053386, 1.928104616604873, 0.478750913974668]|171.5956572661013411|      0.12500000|[368, 23, 23, 46]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      24|[-0.3195061441494534, 1.096690921558142, -1.5458107792810551, -0.2216252124594507, 1.9021012942499644, 0.4925954695087872]|170.1664724940675626|      0.25000000|[384, 24, 24, 48]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      25|[-0.1087414171480094, 1.0810964386033892, -1.548860427833012, -0.254892753119479, 1.9005937203163497, 0.3633022386095699]|166.1207546559656976|      0.50000000|[400, 25, 25, 50]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      26|[-0.1087414171480094, 1.0810964386033892, -1.548860427833012, -0.254892753119479, 1.9005937203163497, 0.3633022386095699]|166.1207546559656976|      0.25000000|[416, 26, 26, 52]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      27|[-0.1087414171480094, 1.0810964386033892, -1.548860427833012, -0.254892753119479, 1.9005937203163497, 0.3633022386095699]|166.1207546559656976|      0.12500000|[432, 27, 27, 54]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      28|[-0.1601176196845046, 1.0844520514546614, -1.6523152357556867, -0.2942190830322702, 1.9235732667872436, 0.3773275233691117]|160.0292077350438547|      0.25000000|[448, 28, 28, 56]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      29|[-0.1601176196845046, 1.0844520514546614, -1.6523152357556867, -0.2942190830322702, 1.9235732667872436, 0.3773275233691117]|160.0292077350438547|      0.12500000|[464, 29, 29, 58]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      30|[-0.1104745890993627, 0.9911677763653931, -1.6354825259351324, -0.3582727023944323, 1.9282012672582733, 0.3844681727609244]|157.2710057204726866|      0.25000000|[480, 30, 30, 60]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
