k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 1.0, 0.05, 597.076, 22.9096, 24027.5]                                |119.8849549730657742|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 1.0, 0.05, 597.076, 22.9096, 24027.5]                                |119.8849549730657742|      0.50000000|[10, 3, 0, 3]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[0.0, 0.0, 1.0, 0.05, 597.076, 22.9096, 24027.5]                                |119.8849549730657742|      0.00024414|[110, 36, 1, 37]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[0.0, 0.0, 1.0, 0.05, 597.076, 22.9096, 24027.5]                                |119.8849549730657742|      0.00012207|[119, 39, 1, 40]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[0.0, 0.0, 1.0, 0.05, 597.076, 22.9096, 24027.5]                                |119.8849549730657742|      0.00006104|[128, 42, 1, 43]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[0.0, 0.0, 1.0, 0.05, 597.076, 22.9096, 24027.5]                                |119.8849549730657742|      0.00003052|[137, 45, 2, 47]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      16|[-5.4019788536e-06, 2.07868077117e-05, 0.9999877250715162, 0.0500016240080522, 597.0760039832458, 22.909582678843474, 24027.500000921867]|112.9674301147460938|      0.00006104|[144, 47, 2, 49]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      17|[-5.4019788536e-06, 2.07868077117e-05, 0.9999877250715162, 0.0500016240080522, 597.0760039832458, 22.909582678843474, 24027.500000921867]|112.9674301147460938|      0.00003052|[153, 50, 2, 52]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      18|[-5.4019788536e-06, 2.07868077117e-05, 0.9999877250715162, 0.0500016240080522, 597.0760039832458, 22.909582678843474, 24027.500000921867]|112.9674301147460938|      0.00001526|[162, 53, 3, 56]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      19|[-5.4019788536e-06, 2.07868077117e-05, 0.9999877250715162, 0.0500016240080522, 597.0760039832458, 22.909582678843474, 24027.500000921867]|112.9674301147460938|      0.00000763|[172, 56, 3, 59]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      20|[-5.4019788536e-06, 2.07868077117e-05, 0.9999877250715162, 0.0500016240080522, 597.0760039832458, 22.909582678843474, 24027.500000921867]|112.9674301147460938|      0.00000381|[181, 59, 3, 62]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      21|[-5.4019788536e-06, 2.07868077117e-05, 0.9999877250715162, 0.0500016240080522, 597.0760039832458, 22.909582678843474, 24027.500000921867]|112.9674301147460938|      0.00000191|[190, 62, 4, 66]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      22|[-5.4019788536e-06, 2.07868077117e-05, 0.9999877250715162, 0.0500016240080522, 597.0760039832458, 22.909582678843474, 24027.500000921867]|112.9674301147460938|      0.00000095|[201, 65, 6, 71]                                                           |  | trying linear partial model with 4 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
