k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.6097251833969555, 0.0558315056027614, 0.1382545042180122, 0.7776698349430159, 0.012966158885366, 0.0078876023519517, 0.0028127720669654, 0.0024764077706043, 0.0019470420526074, -0.002269206053214, -0.0034454049802391, -0.0060089385611868, -0.0082663993340286, 0.0067811108705918, -0.0014128861224247, -0.0114808864346093, -0.0123760465450052, 0.0080899859897018, 0.0100749911699939, 0.0091429697797514, 0.0163793513349716, -0.0034560993122014]| 13.1520748138427734|      2.00000000|[126, 0, 0, 2]                                                             |  | trying linear partial model with 65 points | iterate success | actual_k=0
      12|[1.5448199336706996, 0.1014374034795834, 0.3666944303893129, 1.869271706937715, 0.0065110257760893, 0.050724465465846, -0.0456094272015695, -0.013620250466847, 0.0061935727390569, -0.1352313599954327, -0.0791477371632622, 0.0390490586038772, -0.0086453896300488, -0.0420503032278735, -0.0426469604180466, -0.0148816589449167, -0.0798513412676144, -0.0244293772239833, -0.0967913850948094, 0.0463990759575852, 0.0630967126533948, -0.04266286399861]| 12.1447401046752930|      0.06250000|[1501, 0, 0, 24]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      13|[1.5448199336706996, 0.1014374034795834, 0.3666944303893129, 1.869271706937715, 0.0065110257760893, 0.050724465465846, -0.0456094272015695, -0.013620250466847, 0.0061935727390569, -0.1352313599954327, -0.0791477371632622, 0.0390490586038772, -0.0086453896300488, -0.0420503032278735, -0.0426469604180466, -0.0148816589449167, -0.0798513412676144, -0.0244293772239833, -0.0967913850948094, 0.0463990759575852, 0.0630967126533948, -0.04266286399861]| 12.1447401046752930|      0.03125000|[1626, 0, 0, 26]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      14|[1.5448199336706996, 0.1014374034795834, 0.3666944303893129, 1.869271706937715, 0.0065110257760893, 0.050724465465846, -0.0456094272015695, -0.013620250466847, 0.0061935727390569, -0.1352313599954327, -0.0791477371632622, 0.0390490586038772, -0.0086453896300488, -0.0420503032278735, -0.0426469604180466, -0.0148816589449167, -0.0798513412676144, -0.0244293772239833, -0.0967913850948094, 0.0463990759575852, 0.0630967126533948, -0.04266286399861]| 12.1447401046752930|      0.01562500|[1751, 0, 0, 28]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      15|[1.5510963929950268, 0.1015322010158552, 0.3702835532277162, 1.8824661099337419, 0.0048902541489277, 0.0508327292741098, -0.045931487537578, -0.0123198060983523, 0.0054342442092609, -0.1351389555927332, -0.0797216141204881, 0.0399685768547516, -0.0104815901713164, -0.0428998241812856, -0.0423584171563422, -0.01388369412859, -0.0805422308608773, -0.0250035416808035, -0.0978550895951466, 0.0454782844298067, 0.0648014105567266, -0.0418230219048873]| 12.1447238922119141|      0.03125000|[1876, 0, 0, 30]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      16|[1.5510963929950268, 0.1015322010158552, 0.3702835532277162, 1.8824661099337419, 0.0048902541489277, 0.0508327292741098, -0.045931487537578, -0.0123198060983523, 0.0054342442092609, -0.1351389555927332, -0.0797216141204881, 0.0399685768547516, -0.0104815901713164, -0.0428998241812856, -0.0423584171563422, -0.01388369412859, -0.0805422308608773, -0.0250035416808035, -0.0978550895951466, 0.0454782844298067, 0.0648014105567266, -0.0418230219048873]| 12.1447238922119141|      0.01562500|[2001, 0, 0, 32]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      17|[1.5510963929950268, 0.1015322010158552, 0.3702835532277162, 1.8824661099337419, 0.0048902541489277, 0.0508327292741098, -0.045931487537578, -0.0123198060983523, 0.0054342442092609, -0.1351389555927332, -0.0797216141204881, 0.0399685768547516, -0.0104815901713164, -0.0428998241812856, -0.0423584171563422, -0.01388369412859, -0.0805422308608773, -0.0250035416808035, -0.0978550895951466, 0.0454782844298067, 0.0648014105567266, -0.0418230219048873]| 12.1447238922119141|      0.00781250|[2126, 0, 0, 34]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      18|[1.5446077865830652, 0.1003671965951352, 0.3696380520158963, 1.8783936834648705, 0.0047500204569874, 0.0510079293778516, -0.0458240637652374, -0.0126602842143347, 0.0054314489356222, -0.1351880509148956, -0.0796319650444868, 0.0398240794477937, -0.0104222600617074, -0.0428828326115088, -0.042372541070949, -0.0135706621150084, -0.0802541092681688, -0.0250084796872501, -0.0981072243779824, 0.0453619364212683, 0.0644806529547469, -0.0418427256068626]| 12.1446981430053711|      0.01562500|[2251, 0, 0, 36]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      19|[1.5446077865830652, 0.1003671965951352, 0.3696380520158963, 1.8783936834648705, 0.0047500204569874, 0.0510079293778516, -0.0458240637652374, -0.0126602842143347, 0.0054314489356222, -0.1351880509148956, -0.0796319650444868, 0.0398240794477937, -0.0104222600617074, -0.0428828326115088, -0.042372541070949, -0.0135706621150084, -0.0802541092681688, -0.0250084796872501, -0.0981072243779824, 0.0453619364212683, 0.0644806529547469, -0.0418427256068626]| 12.1446981430053711|      0.00781250|[2376, 0, 0, 38]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      20|[1.5446077865830652, 0.1003671965951352, 0.3696380520158963, 1.8783936834648705, 0.0047500204569874, 0.0510079293778516, -0.0458240637652374, -0.0126602842143347, 0.0054314489356222, -0.1351880509148956, -0.0796319650444868, 0.0398240794477937, -0.0104222600617074, -0.0428828326115088, -0.042372541070949, -0.0135706621150084, -0.0802541092681688, -0.0250084796872501, -0.0981072243779824, 0.0453619364212683, 0.0644806529547469, -0.0418427256068626]| 12.1446981430053711|      0.00390625|[2501, 0, 0, 40]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      21|[1.5426994962250962, 0.0995082752697354, 0.3704588724215815, 1.8814927359811782, 0.0045890989349237, 0.0508363557314332, -0.0460090922169106, -0.0127166516834609, 0.0057287712778313, -0.1353499021714979, -0.0795764842610204, 0.0398000227335359, -0.0104983573683012, -0.0432211020542941, -0.0426982726478317, -0.0132719466486929, -0.0800097394333253, -0.0250790133599014, -0.0980568877284823, 0.0453773450031376, 0.0644027118367395, -0.041803834337345]| 12.1446905136108398|      0.00781250|[2626, 0, 0, 42]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      22|[1.5426994962250962, 0.0995082752697354, 0.3704588724215815, 1.8814927359811782, 0.0045890989349237, 0.0508363557314332, -0.0460090922169106, -0.0127166516834609, 0.0057287712778313, -0.1353499021714979, -0.0795764842610204, 0.0398000227335359, -0.0104983573683012, -0.0432211020542941, -0.0426982726478317, -0.0132719466486929, -0.0800097394333253, -0.0250790133599014, -0.0980568877284823, 0.0453773450031376, 0.0644027118367395, -0.041803834337345]| 12.1446905136108398|      0.00390625|[2751, 0, 0, 44]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      23|[1.539177069942314, 0.0984926909893861, 0.371144056297031, 1.8825409277829956, 0.0046144237919626, 0.0507453556591938, -0.0459443713447366, -0.0126242154391596, 0.0056390803627625, -0.1353025943072649, -0.0797425225268876, 0.0397442092118419, -0.0105823443651141, -0.0430544858753901, -0.0424905685143426, -0.0130256677163135, -0.0798431536572981, -0.0250627857373003, -0.0980034656247852, 0.0454658290242288, 0.0643469705586475, -0.041896958343158]| 12.1446828842163086|      0.00781250|[2876, 0, 0, 46]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      24|[1.539177069942314, 0.0984926909893861, 0.371144056297031, 1.8825409277829956, 0.0046144237919626, 0.0507453556591938, -0.0459443713447366, -0.0126242154391596, 0.0056390803627625, -0.1353025943072649, -0.0797425225268876, 0.0397442092118419, -0.0105823443651141, -0.0430544858753901, -0.0424905685143426, -0.0130256677163135, -0.0798431536572981, -0.0250627857373003, -0.0980034656247852, 0.0454658290242288, 0.0643469705586475, -0.041896958343158]| 12.1446828842163086|      0.00390625|[3001, 0, 0, 48]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      25|[1.53729352391284, 0.0974882204567837, 0.3718200988041751, 1.8854991480826198, 0.0049531046478316, 0.0511540863322226, -0.045952579032851, -0.012566457022841, 0.0061400689837119, -0.1352558212724041, -0.0794890914437489, 0.0401853619347149, -0.0100872971580765, -0.0429686361057382, -0.0424334047140539, -0.0130151873189958, -0.0797407567848138, -0.0249217321627739, -0.0976943466073199, 0.0453991458559656, 0.0644355596640346, -0.0424471786473968]| 12.1446762084960938|      0.00781250|[3126, 0, 0, 50]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      26|[1.53729352391284, 0.0974882204567837, 0.3718200988041751, 1.8854991480826198, 0.0049531046478316, 0.0511540863322226, -0.045952579032851, -0.012566457022841, 0.0061400689837119, -0.1352558212724041, -0.0794890914437489, 0.0401853619347149, -0.0100872971580765, -0.0429686361057382, -0.0424334047140539, -0.0130151873189958, -0.0797407567848138, -0.0249217321627739, -0.0976943466073199, 0.0453991458559656, 0.0644355596640346, -0.0424471786473968]| 12.1446762084960938|      0.00390625|[3251, 0, 0, 52]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      27|[1.5340151073583992, 0.0961538869205088, 0.3725503129189486, 1.8869013107996782, 0.0047769137445427, 0.0513074127047184, -0.0458879872798609, -0.012793729268701, 0.0061799014117104, -0.1354486581403894, -0.0795076902261204, 0.0403261926212478, -0.0101496528662835, -0.0429889958676743, -0.0425387469786793, -0.0129605308248688, -0.0796169430823274, -0.0248150964051382, -0.0975827532906837, 0.0453806529504397, 0.0644625943667902, -0.0423913920065603]| 12.1446685791015625|      0.00781250|[3376, 0, 0, 54]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      28|[1.5340151073583992, 0.0961538869205088, 0.3725503129189486, 1.8869013107996782, 0.0047769137445427, 0.0513074127047184, -0.0458879872798609, -0.012793729268701, 0.0061799014117104, -0.1354486581403894, -0.0795076902261204, 0.0403261926212478, -0.0101496528662835, -0.0429889958676743, -0.0425387469786793, -0.0129605308248688, -0.0796169430823274, -0.0248150964051382, -0.0975827532906837, 0.0453806529504397, 0.0644625943667902, -0.0423913920065603]| 12.1446685791015625|      0.00390625|[3501, 0, 0, 56]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      29|[1.5315469658664804, 0.0951164637477435, 0.3733514956308488, 1.8895397723178482, 0.0047696539533433, 0.0509722559758459, -0.0455775829890958, -0.0125894323657053, 0.0061074191104402, -0.1355712202509558, -0.0796685542290742, 0.0402929115586035, -0.0102586789793052, -0.0432430281970416, -0.0426518513105723, -0.0131256982952086, -0.0796418546311819, -0.0248494900653888, -0.0974096896321264, 0.0454056425113014, 0.0646396726485457, -0.0424888001431192]| 12.1446609497070312|      0.00781250|[3626, 0, 0, 58]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      30|[1.5315469658664804, 0.0951164637477435, 0.3733514956308488, 1.8895397723178482, 0.0047696539533433, 0.0509722559758459, -0.0455775829890958, -0.0125894323657053, 0.0061074191104402, -0.1355712202509558, -0.0796685542290742, 0.0402929115586035, -0.0102586789793052, -0.0432430281970416, -0.0426518513105723, -0.0131256982952086, -0.0796418546311819, -0.0248494900653888, -0.0974096896321264, 0.0454056425113014, 0.0646396726485457, -0.0424888001431192]| 12.1446609497070312|      0.00390625|[3751, 0, 0, 60]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      31|[1.5315469658664804, 0.0951164637477435, 0.3733514956308488, 1.8895397723178482, 0.0047696539533433, 0.0509722559758459, -0.0455775829890958, -0.0125894323657053, 0.0061074191104402, -0.1355712202509558, -0.0796685542290742, 0.0402929115586035, -0.0102586789793052, -0.0432430281970416, -0.0426518513105723, -0.0131256982952086, -0.0796418546311819, -0.0248494900653888, -0.0974096896321264, 0.0454056425113014, 0.0646396726485457, -0.0424888001431192]| 12.1446609497070312|      0.00195312|[3876, 0, 0, 62]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      32|[1.5301516175781136, 0.0942910181312527, 0.3731599203186434, 1.8904249193194662, 0.0049644831775559, 0.0507041499767456, -0.0458017374365959, -0.012683126899285, 0.0062088558664313, -0.1356313918489972, -0.0794913151763526, 0.04009394899136, -0.0102381707145815, -0.0433695686641101, -0.0426995538596895, -0.012875905674368, -0.079630697117656, -0.0248633669988771, -0.0975082837180104, 0.0455083031976754, 0.0647231994419249, -0.0424277925857464]| 12.1446571350097656|      0.00390625|[4001, 0, 0, 64]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      33|[1.527150426628133, 0.0933915236452822, 0.3738250476552617, 1.892601663409435, 0.0049390623277, 0.0506797073438198, -0.0457740893879771, -0.0129115346066718, 0.0060542588326139, -0.1357048797741611, -0.0795766807376735, 0.0400291351759344, -0.0100708796042974, -0.0434387476858661, -0.0424680994992787, -0.0130241590672395, -0.0795078606796443, -0.0249633041799597, -0.0975779670754454, 0.0453923072204631, 0.0646179302449359, -0.0423631048111749]| 12.1446495056152344|      0.00781250|[4126, 0, 0, 66]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      34|[1.527150426628133, 0.0933915236452822, 0.3738250476552617, 1.892601663409435, 0.0049390623277, 0.0506797073438198, -0.0457740893879771, -0.0129115346066718, 0.0060542588326139, -0.1357048797741611, -0.0795766807376735, 0.0400291351759344, -0.0100708796042974, -0.0434387476858661, -0.0424680994992787, -0.0130241590672395, -0.0795078606796443, -0.0249633041799597, -0.0975779670754454, 0.0453923072204631, 0.0646179302449359, -0.0423631048111749]| 12.1446495056152344|      0.00390625|[4251, 0, 0, 68]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      35|[1.527150426628133, 0.0933915236452822, 0.3738250476552617, 1.892601663409435, 0.0049390623277, 0.0506797073438198, -0.0457740893879771, -0.0129115346066718, 0.0060542588326139, -0.1357048797741611, -0.0795766807376735, 0.0400291351759344, -0.0100708796042974, -0.0434387476858661, -0.0424680994992787, -0.0130241590672395, -0.0795078606796443, -0.0249633041799597, -0.0975779670754454, 0.0453923072204631, 0.0646179302449359, -0.0423631048111749]| 12.1446495056152344|      0.00195312|[4376, 0, 0, 70]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      36|[1.5258189631284058, 0.0926807794096389, 0.374056722261528, 1.8936788906114639, 0.0049283671734872, 0.0505775179386177, -0.0459752294718235, -0.0128553911208938, 0.0062727464677191, -0.1356233513197293, -0.0796418147124846, 0.0399936766476357, -0.0101791863897867, -0.0437200965507455, -0.0423762338824392, -0.0129915743742924, -0.0792652523783497, -0.0250465653145668, -0.0976447413084997, 0.0452945181947713, 0.064536684580887, -0.0422154526388705]| 12.1446456909179688|      0.00390625|[4501, 0, 0, 72]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      37|[1.5231341401267733, 0.0917872633586273, 0.3741971230708065, 1.8961785825143105, 0.0054107497547465, 0.0507137071941719, -0.0461358636071756, -0.0125468732214993, 0.0063281481459875, -0.1356571476387378, -0.0790955540969176, 0.0399886168696927, -0.0102546546399679, -0.0439180116756625, -0.0421253325387005, -0.0133259429222831, -0.0791564925260358, -0.0251103338834508, -0.0975630204066179, 0.045161605416366, 0.0645422901137994, -0.0424373002494299]| 12.1446380615234375|      0.00781250|[4626, 0, 0, 74]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      38|[1.5231341401267733, 0.0917872633586273, 0.3741971230708065, 1.8961785825143105, 0.0054107497547465, 0.0507137071941719, -0.0461358636071756, -0.0125468732214993, 0.0063281481459875, -0.1356571476387378, -0.0790955540969176, 0.0399886168696927, -0.0102546546399679, -0.0439180116756625, -0.0421253325387005, -0.0133259429222831, -0.0791564925260358, -0.0251103338834508, -0.0975630204066179, 0.045161605416366, 0.0645422901137994, -0.0424373002494299]| 12.1446380615234375|      0.00390625|[4751, 0, 0, 76]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      39|[1.520052829391488, 0.0907526029364336, 0.3745570976340853, 1.8982315865207042, 0.0053390529794947, 0.0505361568889387, -0.0463126620801312, -0.0127185543829027, 0.0063655479318573, -0.1357915813305065, -0.0792359089810888, 0.0401637534969743, -0.0102170903965038, -0.0439003185975782, -0.0419747854247079, -0.013088376191734, -0.0790407072156018, -0.0253482553290241, -0.0977304626069728, 0.0451055880814544, 0.0645388772616747, -0.0424481585136795]| 12.1446304321289062|      0.00781250|[4876, 0, 0, 78]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      40|[1.520052829391488, 0.0907526029364336, 0.3745570976340853, 1.8982315865207042, 0.0053390529794947, 0.0505361568889387, -0.0463126620801312, -0.0127185543829027, 0.0063655479318573, -0.1357915813305065, -0.0792359089810888, 0.0401637534969743, -0.0102170903965038, -0.0439003185975782, -0.0419747854247079, -0.013088376191734, -0.0790407072156018, -0.0253482553290241, -0.0977304626069728, 0.0451055880814544, 0.0645388772616747, -0.0424481585136795]| 12.1446304321289062|      0.00390625|[5001, 0, 0, 80]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      41|[1.51740878242729, 0.0894291185532634, 0.3751288943792767, 1.9005975197223914, 0.0057181724735707, 0.0505866294634676, -0.0462390453109078, -0.0130157645676694, 0.0063719867226108, -0.1356634020968819, -0.0792378579110418, 0.0402256015800375, -0.010522949737964, -0.044084602460022, -0.0419517226300279, -0.0129052122390738, -0.0790550855760197, -0.0255435727016184, -0.0979255604655423, 0.0450912696196474, 0.0645192989492598, -0.0421437392379235]| 12.1446218490600586|      0.00781250|[5126, 0, 0, 82]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      42|[1.51740878242729, 0.0894291185532634, 0.3751288943792767, 1.9005975197223914, 0.0057181724735707, 0.0505866294634676, -0.0462390453109078, -0.0130157645676694, 0.0063719867226108, -0.1356634020968819, -0.0792378579110418, 0.0402256015800375, -0.010522949737964, -0.044084602460022, -0.0419517226300279, -0.0129052122390738, -0.0790550855760197, -0.0255435727016184, -0.0979255604655423, 0.0450912696196474, 0.0645192989492598, -0.0421437392379235]| 12.1446218490600586|      0.00390625|[5251, 0, 0, 84]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      43|[1.5148085513881466, 0.088304706429249, 0.3758197212240858, 1.9027006563136495, 0.0058116287591427, 0.0511652801918139, -0.0457101069084821, -0.0127569837266101, 0.0062340715960647, -0.1358522206935387, -0.0791441076061654, 0.0402565714763076, -0.0110495626410953, -0.043737705466566, -0.0422436681593737, -0.01296664347438, -0.0785997300622754, -0.0256002536642936, -0.0974554224328529, 0.0453239893158431, 0.0641163547627605, -0.0414778968774377]| 12.1446151733398438|      0.00781250|[5376, 0, 0, 86]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      44|[1.5148085513881466, 0.088304706429249, 0.3758197212240858, 1.9027006563136495, 0.0058116287591427, 0.0511652801918139, -0.0457101069084821, -0.0127569837266101, 0.0062340715960647, -0.1358522206935387, -0.0791441076061654, 0.0402565714763076, -0.0110495626410953, -0.043737705466566, -0.0422436681593737, -0.01296664347438, -0.0785997300622754, -0.0256002536642936, -0.0974554224328529, 0.0453239893158431, 0.0641163547627605, -0.0414778968774377]| 12.1446151733398438|      0.00390625|[5501, 0, 0, 88]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      45|[1.511988398395228, 0.0869593254444583, 0.3763537850181084, 1.904884152310966, 0.00580975812073, 0.0514642996666366, -0.0456063348479856, -0.0125419078609434, 0.0062035724358994, -0.1359099966667509, -0.0791730351884968, 0.0399649316802229, -0.0112313188694358, -0.0436571769692578, -0.0423577977883044, -0.0126449746503889, -0.0786740737028442, -0.0254709489906559, -0.0973680555293868, 0.0454523965761199, 0.0641107145926635, -0.0414180675414694]| 12.1446075439453125|      0.00781250|[5626, 0, 0, 90]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      46|[1.511988398395228, 0.0869593254444583, 0.3763537850181084, 1.904884152310966, 0.00580975812073, 0.0514642996666366, -0.0456063348479856, -0.0125419078609434, 0.0062035724358994, -0.1359099966667509, -0.0791730351884968, 0.0399649316802229, -0.0112313188694358, -0.0436571769692578, -0.0423577977883044, -0.0126449746503889, -0.0786740737028442, -0.0254709489906559, -0.0973680555293868, 0.0454523965761199, 0.0641107145926635, -0.0414180675414694]| 12.1446075439453125|      0.00390625|[5751, 0, 0, 92]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
