k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]                              | 51.0855557048649089|      1.00000000|[0, 0, 0, 0]                                                               | 
      11|[-0.0530468004032145, -0.2266939395180017, 0.1929538720279232, 0.7020822289039765, -0.2535481327332464, 1.8576365085500637, 1.5296488774413532, 1.0537884684608678, 1.5593096666954207, 1.6389044929134713]| 16.2957973480224609|      0.03125000|[125, 0, 0, 51]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      12|[-0.0423016279604993, -0.2227015328856333, 0.2118644170541257, 0.6954033837417001, -0.2473472494562796, 1.842724092458857, 1.5351597768454126, 1.0416126911587797, 1.5604621640621645, 1.6403775340346014]| 15.1187486648559570|      0.06250000|[135, 0, 0, 55]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | iterate success | actual_k=0
      13|[-0.0423016279604993, -0.2227015328856333, 0.2118644170541257, 0.6954033837417001, -0.2473472494562796, 1.842724092458857, 1.5351597768454126, 1.0416126911587797, 1.5604621640621645, 1.6403775340346014]| 15.1187486648559570|      0.03125000|[147, 0, 0, 60]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      14|[-0.0423016279604993, -0.2227015328856333, 0.2118644170541257, 0.6954033837417001, -0.2473472494562796, 1.842724092458857, 1.5351597768454126, 1.0416126911587797, 1.5604621640621645, 1.6403775340346014]| 15.1187486648559570|      0.01562500|[159, 0, 0, 65]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      15|[-0.0424425907865136, -0.2128052805462036, 0.2187997400436314, 0.703201094170606, -0.2436923374040974, 1.8444414602064934, 1.5363380813346081, 1.0437345163878393, 1.563464923873728, 1.6379143842489612]| 14.1737918853759766|      0.03125000|[165, 0, 0, 67]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      16|[-0.052700596452754, -0.2098340314856814, 0.2083018369150136, 0.7241271817255424, -0.2532116660612047, 1.8374015360927023, 1.5340536146854502, 1.0362823593760222, 1.5646721116734637, 1.6484979330074512]| 13.2175378799438477|      0.06250000|[171, 0, 0, 69]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      17|[-0.052700596452754, -0.2098340314856814, 0.2083018369150136, 0.7241271817255424, -0.2532116660612047, 1.8374015360927023, 1.5340536146854502, 1.0362823593760222, 1.5646721116734637, 1.6484979330074512]| 13.2175378799438477|      0.03125000|[183, 0, 0, 74]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      18|[-0.0473791126375545, -0.2080201426174173, 0.1839127932827737, 0.7226649900443965, -0.2552361200258301, 1.842718091633806, 1.5405911765863924, 1.0375757327815978, 1.5776661744296279, 1.6586156545596527]| 12.3211565017700195|      0.06250000|[191, 0, 0, 77]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | iterate success | actual_k=0
      19|[-0.0473791126375545, -0.2080201426174173, 0.1839127932827737, 0.7226649900443965, -0.2552361200258301, 1.842718091633806, 1.5405911765863924, 1.0375757327815978, 1.5776661744296279, 1.6586156545596527]| 12.3211565017700195|      0.03125000|[203, 0, 0, 82]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      20|[-0.0473791126375545, -0.2080201426174173, 0.1839127932827737, 0.7226649900443965, -0.2552361200258301, 1.842718091633806, 1.5405911765863924, 1.0375757327815978, 1.5776661744296279, 1.6586156545596527]| 12.3211565017700195|      0.01562500|[215, 0, 0, 87]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      21|[-0.0412666177832802, -0.2047881084488158, 0.1804025111519114, 0.7226452992269912, -0.2543239010263275, 1.8455606265962936, 1.5397262867323989, 1.0272239573329525, 1.569686788739778, 1.6604916834828853]| 12.1512317657470703|      0.03125000|[221, 0, 0, 89]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      22|[-0.0412666177832802, -0.2047881084488158, 0.1804025111519114, 0.7226452992269912, -0.2543239010263275, 1.8455606265962936, 1.5397262867323989, 1.0272239573329525, 1.569686788739778, 1.6604916834828853]| 12.1512317657470703|      0.01562500|[233, 0, 0, 94]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      23|[-0.0412666177832802, -0.2047881084488158, 0.1804025111519114, 0.7226452992269912, -0.2543239010263275, 1.8455606265962936, 1.5397262867323989, 1.0272239573329525, 1.569686788739778, 1.6604916834828853]| 12.1512317657470703|      0.00781250|[245, 0, 0, 99]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      24|[-0.0401472164161445, -0.2050874713340419, 0.1783605694961645, 0.7250252617926493, -0.2523606172427597, 1.8490546792378844, 1.5423407481819527, 1.0222617823573485, 1.5685701508967465, 1.6615358936358553]| 12.0505533218383789|      0.01562500|[251, 0, 0, 101]                                                           |  | trying linear partial model with 5 points | iterate success | actual_k=0
