k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[11.0, 3.0, 0.5, 40.0, -0.7, -1.3, 25.0, -0.3, 1.4]                             |1153.9439484858455671|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[11.125583462060133, 3.036332067899407, 0.773976525903843, 39.85511867444691, -0.4308237740136894, -1.2963269426531168, 25.31540755458681, -0.7017266204580181, 0.6560110857027317]|973.3709031495980071|      2.00000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
      12|[10.695485665757337, 3.025267086028739, 0.5445247796463241, 39.99728407885203, -0.3844275682834945, -1.3641877654697236, 25.865777725207817, -0.9060542379163141, 0.7732033774155906]|870.5880417837281584|      0.06250000|[192, 12, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      13|[10.682118538534077, 3.0384379217036583, 0.533858519120983, 40.02459983337374, -0.3708785190224347, -1.3729959473041173, 25.89553228067492, -0.8955257392648904, 0.8111089941594503]|867.7788810524853034|      0.12500000|[208, 13, 13, 26]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      14|[10.64795758106672, 3.089178853658718, 0.5495029950351632, 40.058193424661965, -0.3667690099220749, -1.3963751536899731, 25.8962165273316, -0.853915405420835, 0.9017442211663743]|864.9366850488509044|      0.25000000|[224, 14, 14, 28]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      15|[10.64795758106672, 3.089178853658718, 0.5495029950351632, 40.058193424661965, -0.3667690099220749, -1.3963751536899731, 25.8962165273316, -0.853915405420835, 0.9017442211663743]|864.9366850488509044|      0.12500000|[240, 15, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      16|[10.636015253210594, 3.0532151034946815, 0.5038119624844477, 40.08680234687943, -0.3994405103546564, -1.437768368179561, 25.987295556940428, -0.8443831674477793, 0.8909845626233539]|861.7743155743281704|      0.25000000|[256, 16, 16, 32]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      17|[10.73693395501057, 3.0491319192859825, 0.5701629227922692, 40.205852296434784, -0.4269219269303807, -1.371416381480149, 26.039695523425742, -0.799411502435263, 1.045248561252958]|857.6355933839217869|      0.50000000|[272, 17, 17, 34]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      18|[10.73693395501057, 3.0491319192859825, 0.5701629227922692, 40.205852296434784, -0.4269219269303807, -1.371416381480149, 26.039695523425742, -0.799411502435263, 1.045248561252958]|857.6355933839217869|      0.25000000|[288, 18, 18, 36]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      19|[10.73693395501057, 3.0491319192859825, 0.5701629227922692, 40.205852296434784, -0.4269219269303807, -1.371416381480149, 26.039695523425742, -0.799411502435263, 1.045248561252958]|857.6355933839217869|      0.12500000|[304, 19, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      20|[10.637397041347668, 3.049366490245117, 0.5797949455697189, 40.17051968231002, -0.3908079956795545, -1.3863483136787877, 26.077363437686294, -0.7949824825449101, 1.0828053409305425]|855.4169206802107510|      0.25000000|[320, 20, 20, 40]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      21|[10.637397041347668, 3.049366490245117, 0.5797949455697189, 40.17051968231002, -0.3908079956795545, -1.3863483136787877, 26.077363437686294, -0.7949824825449101, 1.0828053409305425]|855.4169206802107510|      0.12500000|[336, 21, 21, 42]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      22|[10.637397041347668, 3.049366490245117, 0.5797949455697189, 40.17051968231002, -0.3908079956795545, -1.3863483136787877, 26.077363437686294, -0.7949824825449101, 1.0828053409305425]|855.4169206802107510|      0.06250000|[352, 22, 22, 44]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      23|[10.662701268520477, 3.0236179400218184, 0.5519875672562741, 40.167268896377884, -0.4091704696582591, -1.3807298288802061, 26.11249205557634, -0.7803192139638967, 1.0839720835530358]|854.3880579897454481|      0.12500000|[368, 23, 23, 46]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      24|[10.677922701949495, 2.984700646887812, 0.5546632338132467, 40.18999151798891, -0.4169303405708518, -1.4062753367365035, 26.17250925236098, -0.6967285260511319, 1.1292823467530442]|852.0320044367429091|      0.25000000|[384, 24, 24, 48]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      25|[10.677922701949495, 2.984700646887812, 0.5546632338132467, 40.18999151798891, -0.4169303405708518, -1.4062753367365035, 26.17250925236098, -0.6967285260511319, 1.1292823467530442]|852.0320044367429091|      0.12500000|[400, 25, 25, 50]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      26|[10.65695690308862, 3.041998314738051, 0.5233983779766085, 40.222803318382255, -0.4681730885054161, -1.4178601745567767, 26.20320647433808, -0.6217756250888842, 1.1522610890714435]|849.1022013068812839|      0.25000000|[416, 26, 26, 52]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      27|[10.65695690308862, 3.041998314738051, 0.5233983779766085, 40.222803318382255, -0.4681730885054161, -1.4178601745567767, 26.20320647433808, -0.6217756250888842, 1.1522610890714435]|849.1022013068812839|      0.12500000|[432, 27, 27, 54]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      28|[10.65695690308862, 3.041998314738051, 0.5233983779766085, 40.222803318382255, -0.4681730885054161, -1.4178601745567767, 26.20320647433808, -0.6217756250888842, 1.1522610890714435]|849.1022013068812839|      0.06250000|[448, 28, 28, 56]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      29|[10.653354280484795, 3.050191984317017, 0.5093082500957493, 40.24009005743696, -0.4740323958260731, -1.4148597965702228, 26.2520711295895, -0.6312201993216593, 1.1806949346211075]|847.9762870674201167|      0.12500000|[464, 29, 29, 58]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      30|[10.653354280484795, 3.050191984317017, 0.5093082500957493, 40.24009005743696, -0.4740323958260731, -1.4148597965702228, 26.2520711295895, -0.6312201993216593, 1.1806949346211075]|847.9762870674201167|      0.06250000|[480, 30, 30, 60]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      31|[10.622731188840772, 3.0491414647240282, 0.5035058518612892, 40.25816718842846, -0.4838251047053445, -1.407343942143028, 26.29125987169543, -0.6091818476915574, 1.2015057613997178]|847.0760765304620463|      0.12500000|[496, 31, 31, 62]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      32|[10.57185521566759, 3.068119205224394, 0.5040206205844074, 40.3175357213097, -0.5115462856857961, -1.3472249102727814, 26.328957384956684, -0.5986992103436939, 1.2584078086041621]|846.2162412416323605|      0.25000000|[512, 32, 32, 64]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      33|[10.57185521566759, 3.068119205224394, 0.5040206205844074, 40.3175357213097, -0.5115462856857961, -1.3472249102727814, 26.328957384956684, -0.5986992103436939, 1.2584078086041621]|846.2162412416323605|      0.12500000|[528, 33, 33, 66]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      34|[10.620408302316932, 3.0495784578502376, 0.4667464113259238, 40.35585994292722, -0.5549332652253504, -1.2633637602687358, 26.29800479107135, -0.5880733823896735, 1.2673314885451976]|845.6159559230994773|      0.25000000|[544, 34, 34, 68]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      35|[10.730940211039691, 2.9859201956645824, 0.4975367245241408, 40.54706518587184, -0.6412636038676699, -1.2821646195134941, 26.3158479926429, -0.5642961682427624, 1.2616131793631216]|843.0728955100652229|      0.50000000|[560, 35, 35, 70]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      36|[10.730940211039691, 2.9859201956645824, 0.4975367245241408, 40.54706518587184, -0.6412636038676699, -1.2821646195134941, 26.3158479926429, -0.5642961682427624, 1.2616131793631216]|843.0728955100652229|      0.25000000|[576, 36, 36, 72]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      37|[10.58928056772186, 3.093119049970596, 0.5643348041623751, 40.57119337822176, -0.7797350487173316, -1.3416711944201531, 26.353529702247926, -0.5265412105249402, 1.2432807923334508]|840.8261284069897101|      0.50000000|[592, 37, 37, 74]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      38|[10.58928056772186, 3.093119049970596, 0.5643348041623751, 40.57119337822176, -0.7797350487173316, -1.3416711944201531, 26.353529702247926, -0.5265412105249402, 1.2432807923334508]|840.8261284069897101|      0.25000000|[608, 38, 38, 76]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      39|[10.58928056772186, 3.093119049970596, 0.5643348041623751, 40.57119337822176, -0.7797350487173316, -1.3416711944201531, 26.353529702247926, -0.5265412105249402, 1.2432807923334508]|840.8261284069897101|      0.12500000|[624, 39, 39, 78]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      40|[10.58928056772186, 3.093119049970596, 0.5643348041623751, 40.57119337822176, -0.7797350487173316, -1.3416711944201531, 26.353529702247926, -0.5265412105249402, 1.2432807923334508]|840.8261284069897101|      0.06250000|[640, 40, 40, 80]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      41|[10.622286337682446, 3.0922830567947908, 0.5643169274371829, 40.60574852127967, -0.7572090029062009, -1.339041073247149, 26.34740986850527, -0.5114147042793983, 1.2722895530771352]|838.8867408231706122|      0.12500000|[656, 41, 41, 82]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      42|[10.647285535662455, 3.0420138151672775, 0.5400769541332464, 40.66157873200671, -0.8008550061277852, -1.3634979779636447, 26.385190279899152, -0.5108679511832045, 1.3418430037563103]|837.5494994659854910|      0.25000000|[672, 42, 42, 84]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      43|[10.647285535662455, 3.0420138151672775, 0.5400769541332464, 40.66157873200671, -0.8008550061277852, -1.3634979779636447, 26.385190279899152, -0.5108679511832045, 1.3418430037563103]|837.5494994659854910|      0.12500000|[688, 43, 43, 86]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      44|[10.647285535662455, 3.0420138151672775, 0.5400769541332464, 40.66157873200671, -0.8008550061277852, -1.3634979779636447, 26.385190279899152, -0.5108679511832045, 1.3418430037563103]|837.5494994659854910|      0.06250000|[704, 44, 44, 88]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      45|[10.647307875529073, 3.033884220614838, 0.5161885751877595, 40.68580459696314, -0.793408174337761, -1.3257443447361539, 26.39453474939677, -0.4782519024943398, 1.3347230217365378]|836.3337979345717486|      0.12500000|[720, 45, 45, 90]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
