k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.3865888319236482, -0.1263079181919243, 0.2343829028368462, 0.7008506337383252, 0.0657709626816765, -0.0578331420455108, 0.2219601445280479, 0.0736634578488721, -0.1773206199599237, 0.0460854961673746, -0.2776422174752127, -0.0011549850561469, -0.1308359923979095, -0.1091616014076538, -0.0845551931305401, 0.0844793125313792, 0.0781272852829251, -0.0685266112245403, 0.1876731192218992, -0.0197589791682681, 0.1298527521388161, -0.0941198476814531]| 13.4344577789306641|      2.00000000|[29, 2, 0, 2]                                                              |  | trying linear partial model with 16 points | iterate success | actual_k=1
      12|[1.5442631953278525, -0.04114012645847, 0.4206560358554685, 1.9901072282140329, 0.0896282672709402, 0.0780486966486724, -0.1501245049428767, 0.4173554864018498, -0.3412318675194803, -0.3278327815487973, -0.8409629076776277, 0.3460004620760712, -0.19855605624429, -0.4869547960870097, -0.1807749528750938, 0.0533385139697663, -0.1990259391728586, -0.0043862652582375, 0.5206998274897764, 0.1010587574354637, 0.2066689932465883, 0.0311640617733761]| 12.1479167938232422|      0.06250000|[342, 24, 0, 24]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      13|[1.5103824318352492, -0.042096920317355, 0.405852066117447, 1.9616457779938776, 0.0822955650245282, 0.0749370350427213, -0.1487891465137441, 0.4398498416575981, -0.3371474951682797, -0.3300999569440503, -0.8447630589720313, 0.360997501555674, -0.203575367112884, -0.4705428024230609, -0.1930271947717503, 0.0524657715578743, -0.1886714409110112, -0.0024581785287724, 0.5074976755486015, 0.1099098085483743, 0.21412862587894, 0.0367469583994027]| 12.1452293395996094|      0.12500000|[370, 26, 0, 26]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      14|[1.5103824318352492, -0.042096920317355, 0.405852066117447, 1.9616457779938776, 0.0822955650245282, 0.0749370350427213, -0.1487891465137441, 0.4398498416575981, -0.3371474951682797, -0.3300999569440503, -0.8447630589720313, 0.360997501555674, -0.203575367112884, -0.4705428024230609, -0.1930271947717503, 0.0524657715578743, -0.1886714409110112, -0.0024581785287724, 0.5074976755486015, 0.1099098085483743, 0.21412862587894, 0.0367469583994027]| 12.1452293395996094|      0.06250000|[398, 28, 0, 28]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[1.4912098917537477, -0.0469206238026738, 0.4034439597817432, 1.916471271982151, 0.0709519132147842, 0.0679440348794981, -0.1480699148416402, 0.4320759089229298, -0.3588795144874423, -0.3286552962939326, -0.8343542568806696, 0.361487320176282, -0.1993104339093331, -0.4675493132245515, -0.1820226802939531, 0.0664477963816456, -0.1873945248126126, -0.0141098336602216, 0.5080375749120168, 0.1216331370004611, 0.218587711877574, 0.0396843173241782]| 12.1444902420043945|      0.12500000|[426, 30, 0, 30]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      16|[1.4912098917537477, -0.0469206238026738, 0.4034439597817432, 1.916471271982151, 0.0709519132147842, 0.0679440348794981, -0.1480699148416402, 0.4320759089229298, -0.3588795144874423, -0.3286552962939326, -0.8343542568806696, 0.361487320176282, -0.1993104339093331, -0.4675493132245515, -0.1820226802939531, 0.0664477963816456, -0.1873945248126126, -0.0141098336602216, 0.5080375749120168, 0.1216331370004611, 0.218587711877574, 0.0396843173241782]| 12.1444902420043945|      0.06250000|[454, 32, 0, 32]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      17|[1.4912098917537477, -0.0469206238026738, 0.4034439597817432, 1.916471271982151, 0.0709519132147842, 0.0679440348794981, -0.1480699148416402, 0.4320759089229298, -0.3588795144874423, -0.3286552962939326, -0.8343542568806696, 0.361487320176282, -0.1993104339093331, -0.4675493132245515, -0.1820226802939531, 0.0664477963816456, -0.1873945248126126, -0.0141098336602216, 0.5080375749120168, 0.1216331370004611, 0.218587711877574, 0.0396843173241782]| 12.1444902420043945|      0.03125000|[482, 34, 0, 34]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      18|[1.4912098917537477, -0.0469206238026738, 0.4034439597817432, 1.916471271982151, 0.0709519132147842, 0.0679440348794981, -0.1480699148416402, 0.4320759089229298, -0.3588795144874423, -0.3286552962939326, -0.8343542568806696, 0.361487320176282, -0.1993104339093331, -0.4675493132245515, -0.1820226802939531, 0.0664477963816456, -0.1873945248126126, -0.0141098336602216, 0.5080375749120168, 0.1216331370004611, 0.218587711877574, 0.0396843173241782]| 12.1444902420043945|      0.01562500|[510, 36, 0, 36]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      19|[1.4912098917537477, -0.0469206238026738, 0.4034439597817432, 1.916471271982151, 0.0709519132147842, 0.0679440348794981, -0.1480699148416402, 0.4320759089229298, -0.3588795144874423, -0.3286552962939326, -0.8343542568806696, 0.361487320176282, -0.1993104339093331, -0.4675493132245515, -0.1820226802939531, 0.0664477963816456, -0.1873945248126126, -0.0141098336602216, 0.5080375749120168, 0.1216331370004611, 0.218587711877574, 0.0396843173241782]| 12.1444902420043945|      0.00781250|[538, 38, 0, 38]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      20|[1.492223428706265, -0.0480620820634752, 0.4038598232203619, 1.9228794813566152, 0.0699410342809372, 0.0682397260172141, -0.1490687544054491, 0.4309905557375496, -0.358750212620359, -0.3282811366865085, -0.8356003285867072, 0.3619064426210016, -0.1996038546870418, -0.4666483033994833, -0.1816716231881356, 0.0688297540114475, -0.1868350944694057, -0.0135105282013456, 0.5079113331802457, 0.1221309455010942, 0.2192114623786216, 0.0417524097198859]| 12.1444625854492188|      0.01562500|[566, 40, 0, 40]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      21|[1.492223428706265, -0.0480620820634752, 0.4038598232203619, 1.9228794813566152, 0.0699410342809372, 0.0682397260172141, -0.1490687544054491, 0.4309905557375496, -0.358750212620359, -0.3282811366865085, -0.8356003285867072, 0.3619064426210016, -0.1996038546870418, -0.4666483033994833, -0.1816716231881356, 0.0688297540114475, -0.1868350944694057, -0.0135105282013456, 0.5079113331802457, 0.1221309455010942, 0.2192114623786216, 0.0417524097198859]| 12.1444625854492188|      0.00781250|[594, 42, 0, 42]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      22|[1.492223428706265, -0.0480620820634752, 0.4038598232203619, 1.9228794813566152, 0.0699410342809372, 0.0682397260172141, -0.1490687544054491, 0.4309905557375496, -0.358750212620359, -0.3282811366865085, -0.8356003285867072, 0.3619064426210016, -0.1996038546870418, -0.4666483033994833, -0.1816716231881356, 0.0688297540114475, -0.1868350944694057, -0.0135105282013456, 0.5079113331802457, 0.1221309455010942, 0.2192114623786216, 0.0417524097198859]| 12.1444625854492188|      0.00390625|[622, 44, 0, 44]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      23|[1.490104240841807, -0.048227354078806, 0.4045469857617549, 1.9249317842326836, 0.0697770178858311, 0.0681179658947764, -0.1480498559382924, 0.4302793310116836, -0.3599342534188245, -0.3281214331100592, -0.8351365804326902, 0.3616408436754779, -0.2001525836105498, -0.4675962918960477, -0.181892092080169, 0.0688866423091115, -0.1872535286638694, -0.0142412141287327, 0.5082643146689564, 0.1225826767555888, 0.2185915472048056, 0.0414625415498317]| 12.1444568634033203|      0.00781250|[651, 46, 0, 46]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      24|[1.490104240841807, -0.048227354078806, 0.4045469857617549, 1.9249317842326836, 0.0697770178858311, 0.0681179658947764, -0.1480498559382924, 0.4302793310116836, -0.3599342534188245, -0.3281214331100592, -0.8351365804326902, 0.3616408436754779, -0.2001525836105498, -0.4675962918960477, -0.181892092080169, 0.0688866423091115, -0.1872535286638694, -0.0142412141287327, 0.5082643146689564, 0.1225826767555888, 0.2185915472048056, 0.0414625415498317]| 12.1444568634033203|      0.00390625|[679, 48, 0, 48]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      25|[1.488926150376381, -0.0484050720846072, 0.4052578678651077, 1.9280079658661984, 0.0693376929986998, 0.0690518903472227, -0.1480789682617409, 0.4306270432643902, -0.3602665633143277, -0.3282826452294326, -0.8349873172502825, 0.3621572019421302, -0.2002438936399557, -0.4678662425457041, -0.1819386918742654, 0.0681557275082526, -0.1868182806604764, -0.0142954883588476, 0.5090578412708572, 0.1226585434668161, 0.2176981099018615, 0.0413397064812753]| 12.1444511413574219|      0.00781250|[707, 50, 0, 50]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      26|[1.488926150376381, -0.0484050720846072, 0.4052578678651077, 1.9280079658661984, 0.0693376929986998, 0.0690518903472227, -0.1480789682617409, 0.4306270432643902, -0.3602665633143277, -0.3282826452294326, -0.8349873172502825, 0.3621572019421302, -0.2002438936399557, -0.4678662425457041, -0.1819386918742654, 0.0681557275082526, -0.1868182806604764, -0.0142954883588476, 0.5090578412708572, 0.1226585434668161, 0.2176981099018615, 0.0413397064812753]| 12.1444511413574219|      0.00390625|[735, 52, 0, 52]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      27|[1.485796957672404, -0.0477846176424077, 0.4055745864893789, 1.9276734170466818, 0.0695156991593527, 0.0689995692199787, -0.1473444731039258, 0.4303577351329059, -0.3609398658875231, -0.329094491601212, -0.8353105674871609, 0.36267460881699, -0.2001968207467451, -0.4672080986569281, -0.1814656179920981, 0.0669855408677349, -0.1869542710747752, -0.0141297476246391, 0.5084583833175378, 0.1226171413243101, 0.2173085938905724, 0.0417288396253499]| 12.1444473266601562|      0.00781250|[764, 54, 0, 54]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      28|[1.485796957672404, -0.0477846176424077, 0.4055745864893789, 1.9276734170466818, 0.0695156991593527, 0.0689995692199787, -0.1473444731039258, 0.4303577351329059, -0.3609398658875231, -0.329094491601212, -0.8353105674871609, 0.36267460881699, -0.2001968207467451, -0.4672080986569281, -0.1814656179920981, 0.0669855408677349, -0.1869542710747752, -0.0141297476246391, 0.5084583833175378, 0.1226171413243101, 0.2173085938905724, 0.0417288396253499]| 12.1444473266601562|      0.00390625|[792, 56, 0, 56]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      29|[1.4850015522457218, -0.0490141776019075, 0.4059973736693238, 1.9310635221795334, 0.0696432941305565, 0.0690251342778664, -0.1474181435713789, 0.4307275688646358, -0.3608068660071721, -0.3291489823720262, -0.8349574082951755, 0.3620265564200197, -0.2001225386758456, -0.4676896647907193, -0.1818798209700275, 0.067167278354751, -0.1871934265762848, -0.0138832257645502, 0.5086995960019335, 0.122451751987457, 0.2174061575085744, 0.0414774251646648]| 12.1444406509399414|      0.00781250|[820, 58, 0, 58]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      30|[1.4850015522457218, -0.0490141776019075, 0.4059973736693238, 1.9310635221795334, 0.0696432941305565, 0.0690251342778664, -0.1474181435713789, 0.4307275688646358, -0.3608068660071721, -0.3291489823720262, -0.8349574082951755, 0.3620265564200197, -0.2001225386758456, -0.4676896647907193, -0.1818798209700275, 0.067167278354751, -0.1871934265762848, -0.0138832257645502, 0.5086995960019335, 0.122451751987457, 0.2174061575085744, 0.0414774251646648]| 12.1444406509399414|      0.00390625|[848, 60, 0, 60]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      31|[1.4830282319186254, -0.0491753925708556, 0.405679107164179, 1.9327823551738517, 0.0696569732780441, 0.0692206301211877, -0.1481969816703874, 0.4317102029671516, -0.360168718157139, -0.329271149374874, -0.8335777466507869, 0.3617470702946123, -0.1993640913918323, -0.4676057620562493, -0.1816600530522434, 0.0673754819780903, -0.187327645054373, -0.0151834532351201, 0.5092795619250077, 0.1236233995481243, 0.2171498615395233, 0.0418113172536342]| 12.1444358825683594|      0.00781250|[876, 62, 0, 62]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      32|[1.4830282319186254, -0.0491753925708556, 0.405679107164179, 1.9327823551738517, 0.0696569732780441, 0.0692206301211877, -0.1481969816703874, 0.4317102029671516, -0.360168718157139, -0.329271149374874, -0.8335777466507869, 0.3617470702946123, -0.1993640913918323, -0.4676057620562493, -0.1816600530522434, 0.0673754819780903, -0.187327645054373, -0.0151834532351201, 0.5092795619250077, 0.1236233995481243, 0.2171498615395233, 0.0418113172536342]| 12.1444358825683594|      0.00390625|[905, 64, 0, 64]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      33|[1.4810572038084175, -0.0493610696470111, 0.4056896164455847, 1.9330837070145965, 0.0699571702458171, 0.069367699113032, -0.1462922182806856, 0.4319006370829482, -0.3611073513567149, -0.3292015717225103, -0.8335902218814635, 0.3625020006189525, -0.1998446154591299, -0.4693997917876997, -0.1814926572639467, 0.0683149556424747, -0.1867075803896432, -0.0153501099673908, 0.5094155987285656, 0.1236918334286625, 0.2160617327111287, 0.0416194669862093]| 12.1444320678710938|      0.00781250|[933, 66, 0, 66]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      34|[1.4810572038084175, -0.0493610696470111, 0.4056896164455847, 1.9330837070145965, 0.0699571702458171, 0.069367699113032, -0.1462922182806856, 0.4319006370829482, -0.3611073513567149, -0.3292015717225103, -0.8335902218814635, 0.3625020006189525, -0.1998446154591299, -0.4693997917876997, -0.1814926572639467, 0.0683149556424747, -0.1867075803896432, -0.0153501099673908, 0.5094155987285656, 0.1236918334286625, 0.2160617327111287, 0.0416194669862093]| 12.1444320678710938|      0.00390625|[961, 68, 0, 68]                                                           |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      35|[1.4781043355787735, -0.0499379606996473, 0.4068329957073534, 1.9338942029432213, 0.0698872963483986, 0.069773090394165, -0.1468462533168131, 0.4321291051918814, -0.3608776823907927, -0.3300697017486043, -0.8341900107302973, 0.3617047551938547, -0.1996625490842701, -0.4703249078190604, -0.1815387099770157, 0.0686832001908025, -0.186143328846941, -0.0152145580154784, 0.5100137294732389, 0.124123287252448, 0.2160257025559945, 0.0415600034085085]| 12.1444263458251953|      0.00781250|[989, 70, 0, 70]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      36|[1.4781043355787735, -0.0499379606996473, 0.4068329957073534, 1.9338942029432213, 0.0698872963483986, 0.069773090394165, -0.1468462533168131, 0.4321291051918814, -0.3608776823907927, -0.3300697017486043, -0.8341900107302973, 0.3617047551938547, -0.1996625490842701, -0.4703249078190604, -0.1815387099770157, 0.0686832001908025, -0.186143328846941, -0.0152145580154784, 0.5100137294732389, 0.124123287252448, 0.2160257025559945, 0.0415600034085085]| 12.1444263458251953|      0.00390625|[1017, 72, 0, 72]                                                          |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      37|[1.4781043355787735, -0.0499379606996473, 0.4068329957073534, 1.9338942029432213, 0.0698872963483986, 0.069773090394165, -0.1468462533168131, 0.4321291051918814, -0.3608776823907927, -0.3300697017486043, -0.8341900107302973, 0.3617047551938547, -0.1996625490842701, -0.4703249078190604, -0.1815387099770157, 0.0686832001908025, -0.186143328846941, -0.0152145580154784, 0.5100137294732389, 0.124123287252448, 0.2160257025559945, 0.0415600034085085]| 12.1444263458251953|      0.00195312|[1045, 74, 0, 74]                                                          |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      38|[1.4776325796000234, -0.0503872439235401, 0.4068511180489591, 1.9351769776885497, 0.0697263600291267, 0.0698497920340237, -0.147076273353606, 0.4320781704477747, -0.3611935009386094, -0.3301478599452407, -0.8339809735977572, 0.3622027671218336, -0.1990666248688241, -0.470125656441489, -0.181035180655667, 0.0684640397196124, -0.1862921993518425, -0.0155362941002891, 0.510289881937445, 0.1235608565671688, 0.2160287542107044, 0.0417719581996235]| 12.1444234848022461|      0.00390625|[1073, 76, 0, 76]                                                          |  | trying linear partial model with 16 points | iterate success | actual_k=1
      39|[1.4776325796000234, -0.0503872439235401, 0.4068511180489591, 1.9351769776885497, 0.0697263600291267, 0.0698497920340237, -0.147076273353606, 0.4320781704477747, -0.3611935009386094, -0.3301478599452407, -0.8339809735977572, 0.3622027671218336, -0.1990666248688241, -0.470125656441489, -0.181035180655667, 0.0684640397196124, -0.1862921993518425, -0.0155362941002891, 0.510289881937445, 0.1235608565671688, 0.2160287542107044, 0.0417719581996235]| 12.1444234848022461|      0.00195312|[1101, 78, 0, 78]                                                          |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      40|[1.4768485225538321, -0.0508681913336866, 0.407057168861153, 1.9364139564907281, 0.069608763601936, 0.0699752718695314, -0.1470468446456411, 0.4320064985984502, -0.3612761270394457, -0.3297638329027923, -0.833998996543177, 0.3619974846530468, -0.1987738766637333, -0.4700930052565241, -0.1807880153658549, 0.0682216492696141, -0.1856020085175776, -0.0154891459055534, 0.5101621692569052, 0.123065344126305, 0.2163809168998368, 0.0420763623827294]| 12.1444206237792969|      0.00390625|[1129, 80, 0, 80]                                                          |  | trying linear partial model with 16 points | iterate success | actual_k=1
      41|[1.4742209490583131, -0.0516656948652137, 0.4072794382085742, 1.9370695486003564, 0.0693284427332741, 0.0701890157640147, -0.1473271491047599, 0.4319972847432597, -0.3623017664491093, -0.3297983710415885, -0.8329662812220566, 0.3622690314817356, -0.199416904123189, -0.4705763430729187, -0.1803800179594933, 0.0690199922840352, -0.1872351050413388, -0.0157074556474896, 0.5100096091569775, 0.1238204204801467, 0.2164625315779282, 0.0423547293264359]| 12.1444158554077148|      0.00781250|[1157, 82, 0, 82]                                                          |  | trying linear partial model with 16 points | iterate success | actual_k=1
      42|[1.4742209490583131, -0.0516656948652137, 0.4072794382085742, 1.9370695486003564, 0.0693284427332741, 0.0701890157640147, -0.1473271491047599, 0.4319972847432597, -0.3623017664491093, -0.3297983710415885, -0.8329662812220566, 0.3622690314817356, -0.199416904123189, -0.4705763430729187, -0.1803800179594933, 0.0690199922840352, -0.1872351050413388, -0.0157074556474896, 0.5100096091569775, 0.1238204204801467, 0.2164625315779282, 0.0423547293264359]| 12.1444158554077148|      0.00390625|[1185, 84, 0, 84]                                                          |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      43|[1.4742209490583131, -0.0516656948652137, 0.4072794382085742, 1.9370695486003564, 0.0693284427332741, 0.0701890157640147, -0.1473271491047599, 0.4319972847432597, -0.3623017664491093, -0.3297983710415885, -0.8329662812220566, 0.3622690314817356, -0.199416904123189, -0.4705763430729187, -0.1803800179594933, 0.0690199922840352, -0.1872351050413388, -0.0157074556474896, 0.5100096091569775, 0.1238204204801467, 0.2164625315779282, 0.0423547293264359]| 12.1444158554077148|      0.00195312|[1213, 86, 0, 86]                                                          |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      44|[1.4741138768471684, -0.0519910561540832, 0.4077768489504736, 1.937839708488999, 0.0697504924127921, 0.0703006275962649, -0.1466877529640351, 0.4323168759891862, -0.3617948187085933, -0.3298933922074676, -0.8329519183192151, 0.3622012809950892, -0.1992922645334608, -0.4708583346563595, -0.1799089662758382, 0.0690920112622735, -0.1867169023396348, -0.0151995853310043, 0.5101288123384091, 0.122987504401418, 0.2168790404710956, 0.0419617874607102]| 12.1444139480590820|      0.00390625|[1241, 88, 0, 88]                                                          |  | trying linear partial model with 16 points | iterate success | actual_k=1
      45|[1.4741138768471684, -0.0519910561540832, 0.4077768489504736, 1.937839708488999, 0.0697504924127921, 0.0703006275962649, -0.1466877529640351, 0.4323168759891862, -0.3617948187085933, -0.3298933922074676, -0.8329519183192151, 0.3622012809950892, -0.1992922645334608, -0.4708583346563595, -0.1799089662758382, 0.0690920112622735, -0.1867169023396348, -0.0151995853310043, 0.5101288123384091, 0.122987504401418, 0.2168790404710956, 0.0419617874607102]| 12.1444139480590820|      0.00195312|[1270, 90, 0, 90]                                                          |  | trying linear partial model with 16 points | exploitation failed, decreasing delta | actual_k=1
      46|[1.473028173293484, -0.0527123926631348, 0.4081122149989632, 1.9389056299116993, 0.0696888068424893, 0.0703530308744562, -0.1468888209295537, 0.4322209303874909, -0.3616921032682008, -0.3295521241346414, -0.8330326922332258, 0.3622061008868855, -0.1994310729385609, -0.4704708757221777, -0.1804597258238296, 0.0691674927773774, -0.1868081203766825, -0.0153748790135878, 0.5102298918862578, 0.1230688384346388, 0.2171175098123311, 0.0422551105759138]| 12.1444101333618164|      0.00390625|[1298, 92, 0, 92]                                                          |  | trying linear partial model with 16 points | iterate success | actual_k=1
