k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.2440353253183474, -0.0402198018380588, -0.2679142142081252, -0.1946080935805532, 0.7607383022614789, 0.2869535718427024, 0.0184065127924983, 0.1532163359395687, 0.3798679099926338]|120982.7109260954312049|      2.00000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
      26|[-0.2022614229706525, 0.1365122398489569, -0.1825505235976733, 0.0024711382203498, 1.118126090978839, 0.0514604626398254, 0.0976708374465226, -0.0492162078381092, 0.5843967442623187]|197.6141080889944703|      0.01562500|[416, 26, 26, 52]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      27|[-0.2022614229706525, 0.1365122398489569, -0.1825505235976733, 0.0024711382203498, 1.118126090978839, 0.0514604626398254, 0.0976708374465226, -0.0492162078381092, 0.5843967442623187]|197.6141080889944703|      0.00781250|[432, 27, 27, 54]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      28|[-0.202136127092848, 0.1368162860580985, -0.1825596600564236, 0.0080236628645859, 1.1134783485257793, 0.0487838698978859, 0.0966511244657479, -0.0497268290589016, 0.5845705041124686]|173.2096604218469338|      0.01562500|[448, 28, 28, 56]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      29|[-0.202136127092848, 0.1368162860580985, -0.1825596600564236, 0.0080236628645859, 1.1134783485257793, 0.0487838698978859, 0.0966511244657479, -0.0497268290589016, 0.5845705041124686]|173.2096604218469338|      0.00781250|[464, 29, 29, 58]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      30|[-0.202136127092848, 0.1368162860580985, -0.1825596600564236, 0.0080236628645859, 1.1134783485257793, 0.0487838698978859, 0.0966511244657479, -0.0497268290589016, 0.5845705041124686]|173.2096604218469338|      0.00390625|[480, 30, 30, 60]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      31|[-0.2029372139004492, 0.1365551356036836, -0.1821706127158809, 0.0050095041211092, 1.1120990111967564, 0.0491661925820309, 0.0980616940795624, -0.0502631006558918, 0.5835773763754262]|157.3958785255767623|      0.00781250|[496, 31, 31, 62]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      32|[-0.2031751568345918, 0.1366924550818631, -0.1822939624131888, 0.0053048585941417, 1.1053680081590502, 0.0453035230350326, 0.0980140323990233, -0.050761578152977, 0.5841937074428161]|123.2714749201347644|      0.01562500|[512, 32, 32, 64]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      33|[-0.2031751568345918, 0.1366924550818631, -0.1822939624131888, 0.0053048585941417, 1.1053680081590502, 0.0453035230350326, 0.0980140323990233, -0.050761578152977, 0.5841937074428161]|123.2714749201347644|      0.00781250|[528, 33, 33, 66]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      34|[-0.2030729622613025, 0.1364493213455168, -0.1824333583962906, 0.0038356810495017, 1.0983617981980407, 0.0422503842497863, 0.0980720859385397, -0.0510289057159196, 0.5847452651538284]| 96.2655964776169810|      0.01562500|[544, 34, 34, 68]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      35|[-0.2030729622613025, 0.1364493213455168, -0.1824333583962906, 0.0038356810495017, 1.0983617981980407, 0.0422503842497863, 0.0980720859385397, -0.0510289057159196, 0.5847452651538284]| 96.2655964776169810|      0.00781250|[560, 35, 35, 70]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      36|[-0.2059158389296212, 0.1357268324736066, -0.1839021485048043, 0.0051097605342369, 1.0918923966667113, 0.0399190416092664, 0.0970340694872837, -0.0515532055149236, 0.5846457046244121]| 74.0661597505171017|      0.01562500|[576, 36, 36, 72]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      37|[-0.210443255253276, 0.1401038920641799, -0.184424565044676, 0.0058536906520853, 1.080098227273813, 0.0352363978075, 0.0980970882804854, -0.0488360530585119, 0.5904865618939246]| 46.0046917990771291|      0.03125000|[592, 37, 37, 74]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      38|[-0.210443255253276, 0.1401038920641799, -0.184424565044676, 0.0058536906520853, 1.080098227273813, 0.0352363978075, 0.0980970882804854, -0.0488360530585119, 0.5904865618939246]| 46.0046917990771291|      0.01562500|[608, 38, 38, 76]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      39|[-0.2080004785206301, 0.1365870463124674, -0.1778944617417181, 0.003853393924606, 1.0739750447453418, 0.0287549714841369, 0.0952129147619619, -0.0398626371699739, 0.5871973483721138]| 35.5774806649331907|      0.03125000|[624, 39, 39, 78]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      40|[-0.2080004785206301, 0.1365870463124674, -0.1778944617417181, 0.003853393924606, 1.0739750447453418, 0.0287549714841369, 0.0952129147619619, -0.0398626371699739, 0.5871973483721138]| 35.5774806649331907|      0.01562500|[640, 40, 40, 80]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      41|[-0.2080004785206301, 0.1365870463124674, -0.1778944617417181, 0.003853393924606, 1.0739750447453418, 0.0287549714841369, 0.0952129147619619, -0.0398626371699739, 0.5871973483721138]| 35.5774806649331907|      0.00781250|[656, 41, 41, 82]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      42|[-0.2080004785206301, 0.1365870463124674, -0.1778944617417181, 0.003853393924606, 1.0739750447453418, 0.0287549714841369, 0.0952129147619619, -0.0398626371699739, 0.5871973483721138]| 35.5774806649331907|      0.00390625|[672, 42, 42, 84]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      43|[-0.2080004785206301, 0.1365870463124674, -0.1778944617417181, 0.003853393924606, 1.0739750447453418, 0.0287549714841369, 0.0952129147619619, -0.0398626371699739, 0.5871973483721138]| 35.5774806649331907|      0.00195312|[688, 43, 43, 86]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      44|[-0.2080980378499566, 0.1364102730765355, -0.177535176216948, 0.004813561627841, 1.0724916845313748, 0.0293756298879075, 0.0955725236530148, -0.0399421205540991, 0.5872387249098132]| 32.5669819400217975|      0.00390625|[704, 44, 44, 88]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      45|[-0.2080980378499566, 0.1364102730765355, -0.177535176216948, 0.004813561627841, 1.0724916845313748, 0.0293756298879075, 0.0955725236530148, -0.0399421205540991, 0.5872387249098132]| 32.5669819400217975|      0.00195312|[720, 45, 45, 90]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
