k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.6086585485476752, 0.050599473707634, 0.1384813977418705, 0.7794992754388204, -0.0047327376407361, 0.0009223873009766, -0.0040463495215168, 0.0039738893039355, 0.0032375379429151, 0.0004216718425405, -0.0012149941420723, -0.0014573707017666, -0.0010809541638961, -0.0027838741981676, 0.0010316381100019, 0.0031647868917324, 0.0079071868142221, 0.00114406518138, -0.0003495236642305, 0.0036037853978884, 0.0029761956023178, 0.0016656623243788]| 13.1513357162475586|      2.00000000|[119, 8, 0, 2]                                                             |  | trying linear partial model with 61 points | iterate success | actual_k=4
      12|[1.4791293707156516, 0.1398153803233901, 0.3383880054158928, 1.9007780690521383, -0.0201177549865887, 0.0157835260140599, 0.0456620406568388, -0.0110355542021805, -0.0017649825448604, -0.0011348781362662, -0.0003934984680034, -0.0146951365993075, 0.0118309320753145, -0.0090483652010636, -0.0075070705476731, -0.0024720557872255, 0.0252393409396538, 0.016099824585382, -0.0109651781510747, -0.023667273819701, 0.0119564307205072, 0.0202866919260162]| 12.1449127197265625|      0.06250000|[1410, 96, 0, 24]                                                          |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
      13|[1.4791293707156516, 0.1398153803233901, 0.3383880054158928, 1.9007780690521383, -0.0201177549865887, 0.0157835260140599, 0.0456620406568388, -0.0110355542021805, -0.0017649825448604, -0.0011348781362662, -0.0003934984680034, -0.0146951365993075, 0.0118309320753145, -0.0090483652010636, -0.0075070705476731, -0.0024720557872255, 0.0252393409396538, 0.016099824585382, -0.0109651781510747, -0.023667273819701, 0.0119564307205072, 0.0202866919260162]| 12.1449127197265625|      0.03125000|[1527, 104, 0, 26]                                                         |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
      14|[1.4954397279136267, 0.1404011327468761, 0.3427429558431572, 1.926961828948321, -0.0206619823856194, 0.0162905539344545, 0.0458266692364255, -0.009871089366345, -0.0028474670399303, -0.0006125604101905, -0.0001843132912548, -0.0141947105431331, 0.0109943504789646, -0.0086652376924011, -0.0073545256518546, -0.0019913331927374, 0.0252901186656846, 0.0159824508066205, -0.0111978889080825, -0.0235756736569356, 0.0116217211901233, 0.0211050450498662]| 12.1446170806884766|      0.06250000|[1644, 112, 0, 28]                                                         |  | trying linear partial model with 61 points | iterate success | actual_k=4
      15|[1.4954397279136267, 0.1404011327468761, 0.3427429558431572, 1.926961828948321, -0.0206619823856194, 0.0162905539344545, 0.0458266692364255, -0.009871089366345, -0.0028474670399303, -0.0006125604101905, -0.0001843132912548, -0.0141947105431331, 0.0109943504789646, -0.0086652376924011, -0.0073545256518546, -0.0019913331927374, 0.0252901186656846, 0.0159824508066205, -0.0111978889080825, -0.0235756736569356, 0.0116217211901233, 0.0211050450498662]| 12.1446170806884766|      0.03125000|[1761, 120, 0, 30]                                                         |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
      16|[1.4954397279136267, 0.1404011327468761, 0.3427429558431572, 1.926961828948321, -0.0206619823856194, 0.0162905539344545, 0.0458266692364255, -0.009871089366345, -0.0028474670399303, -0.0006125604101905, -0.0001843132912548, -0.0141947105431331, 0.0109943504789646, -0.0086652376924011, -0.0073545256518546, -0.0019913331927374, 0.0252901186656846, 0.0159824508066205, -0.0111978889080825, -0.0235756736569356, 0.0116217211901233, 0.0211050450498662]| 12.1446170806884766|      0.01562500|[1878, 128, 0, 32]                                                         |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
      17|[1.4954397279136267, 0.1404011327468761, 0.3427429558431572, 1.926961828948321, -0.0206619823856194, 0.0162905539344545, 0.0458266692364255, -0.009871089366345, -0.0028474670399303, -0.0006125604101905, -0.0001843132912548, -0.0141947105431331, 0.0109943504789646, -0.0086652376924011, -0.0073545256518546, -0.0019913331927374, 0.0252901186656846, 0.0159824508066205, -0.0111978889080825, -0.0235756736569356, 0.0116217211901233, 0.0211050450498662]| 12.1446170806884766|      0.00781250|[1995, 136, 0, 34]                                                         |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
      18|[1.4889523494883592, 0.1391590869468696, 0.3423550723138422, 1.9228178069799946, -0.0206809001007578, 0.0163609685630431, 0.0458058063038432, -0.0097844665463192, -0.0028298971516893, -0.0006765690878358, -0.0001346297753987, -0.0142310485761389, 0.0111066979646156, -0.0087458849858511, -0.0073792037204029, -0.0019932283642615, 0.0251275702012499, 0.0160327297591775, -0.0111431579861825, -0.023536509130411, 0.0115953078194923, 0.0211925826540888]| 12.1445980072021484|      0.01562500|[2112, 144, 0, 36]                                                         |  | trying linear partial model with 61 points | iterate success | actual_k=4
      19|[1.4889523494883592, 0.1391590869468696, 0.3423550723138422, 1.9228178069799946, -0.0206809001007578, 0.0163609685630431, 0.0458058063038432, -0.0097844665463192, -0.0028298971516893, -0.0006765690878358, -0.0001346297753987, -0.0142310485761389, 0.0111066979646156, -0.0087458849858511, -0.0073792037204029, -0.0019932283642615, 0.0251275702012499, 0.0160327297591775, -0.0111431579861825, -0.023536509130411, 0.0115953078194923, 0.0211925826540888]| 12.1445980072021484|      0.00781250|[2229, 152, 0, 38]                                                         |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
      20|[1.4889523494883592, 0.1391590869468696, 0.3423550723138422, 1.9228178069799946, -0.0206809001007578, 0.0163609685630431, 0.0458058063038432, -0.0097844665463192, -0.0028298971516893, -0.0006765690878358, -0.0001346297753987, -0.0142310485761389, 0.0111066979646156, -0.0087458849858511, -0.0073792037204029, -0.0019932283642615, 0.0251275702012499, 0.0160327297591775, -0.0111431579861825, -0.023536509130411, 0.0115953078194923, 0.0211925826540888]| 12.1445980072021484|      0.00390625|[2346, 160, 0, 40]                                                         |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
      21|[1.487797815607952, 0.1382341132244094, 0.3430253175825492, 1.9263285409671305, -0.0207927828217813, 0.016328526238361, 0.0458509384512961, -0.0097727082430176, -0.0028796251081047, -0.0007452342820667, -0.0003125948478514, -0.0142250089090529, 0.0109826882121624, -0.008758550149071, -0.0074336615464276, -0.001957958538935, 0.0250244611209285, 0.0162043403345891, -0.0109583169618, -0.0238956787725405, 0.0117299998968426, 0.0211926275324117]| 12.1445903778076172|      0.00781250|[2463, 168, 0, 42]                                                         |  | trying linear partial model with 61 points | iterate success | actual_k=4
      22|[1.487797815607952, 0.1382341132244094, 0.3430253175825492, 1.9263285409671305, -0.0207927828217813, 0.016328526238361, 0.0458509384512961, -0.0097727082430176, -0.0028796251081047, -0.0007452342820667, -0.0003125948478514, -0.0142250089090529, 0.0109826882121624, -0.008758550149071, -0.0074336615464276, -0.001957958538935, 0.0250244611209285, 0.0162043403345891, -0.0109583169618, -0.0238956787725405, 0.0117299998968426, 0.0211926275324117]| 12.1445903778076172|      0.00390625|[2580, 176, 0, 44]                                                         |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
      23|[1.4845865709444077, 0.1370593187541881, 0.3437492374481727, 1.9279987451312819, -0.0208798740230853, 0.0164249708257835, 0.0459563499640806, -0.0096590130065318, -0.0029601599385459, -0.0007674306257074, -9.50752631539e-05, -0.0141326363925055, 0.0110622333505113, -0.008795635110079, -0.0074141565872315, -0.002025529934933, 0.0250528050545678, 0.0164595780427529, -0.0110685172496287, -0.024068252744896, 0.0115828210456296, 0.0211091052818152]| 12.1445827484130859|      0.00781250|[2699, 184, 0, 46]                                                         |  | trying linear partial model with 61 points | iterate success | actual_k=4
      24|[1.4845865709444077, 0.1370593187541881, 0.3437492374481727, 1.9279987451312819, -0.0208798740230853, 0.0164249708257835, 0.0459563499640806, -0.0096590130065318, -0.0029601599385459, -0.0007674306257074, -9.50752631539e-05, -0.0141326363925055, 0.0110622333505113, -0.008795635110079, -0.0074141565872315, -0.002025529934933, 0.0250528050545678, 0.0164595780427529, -0.0110685172496287, -0.024068252744896, 0.0115828210456296, 0.0211091052818152]| 12.1445827484130859|      0.00390625|[2816, 192, 0, 48]                                                         |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
      25|[1.4819523721080874, 0.1359180569643259, 0.3446158015616062, 1.9304717398726263, -0.0208772470450533, 0.0163411273862059, 0.0458987103014142, -0.009648909228377, -0.0029832780520289, -0.0008622659513775, -8.7104983846e-06, -0.0141633533131212, 0.010971041504374, -0.0088423025288346, -0.0074049426763658, -0.0019260345061014, 0.0248733150637596, 0.0164812451478597, -0.0108446264231065, -0.0241908248790515, 0.0116351081132194, 0.0211441762554242]| 12.1445751190185547|      0.00781250|[2933, 200, 0, 50]                                                         |  | trying linear partial model with 61 points | iterate success | actual_k=4
      26|[1.4819523721080874, 0.1359180569643259, 0.3446158015616062, 1.9304717398726263, -0.0208772470450533, 0.0163411273862059, 0.0458987103014142, -0.009648909228377, -0.0029832780520289, -0.0008622659513775, -8.7104983846e-06, -0.0141633533131212, 0.010971041504374, -0.0088423025288346, -0.0074049426763658, -0.0019260345061014, 0.0248733150637596, 0.0164812451478597, -0.0108446264231065, -0.0241908248790515, 0.0116351081132194, 0.0211441762554242]| 12.1445751190185547|      0.00390625|[3050, 208, 0, 52]                                                         |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
      27|[1.478907543225745, 0.1346832641957021, 0.3451126900418571, 1.9324741433383388, -0.0210111186271512, 0.0165025882172997, 0.0457964581925547, -0.0097237618019106, -0.0030064712450725, -0.0007910734773881, 0.0001339094425083, -0.0140758209665593, 0.010880007266473, -0.0089716888126887, -0.0074448432341957, -0.0019869084695887, 0.024727675257268, 0.0166376036878359, -0.0109640887807194, -0.0240483824692038, 0.0116722534879337, 0.0211756619063791]| 12.1445665359497070|      0.00781250|[3167, 216, 0, 54]                                                         |  | trying linear partial model with 61 points | iterate success | actual_k=4
      28|[1.478907543225745, 0.1346832641957021, 0.3451126900418571, 1.9324741433383388, -0.0210111186271512, 0.0165025882172997, 0.0457964581925547, -0.0097237618019106, -0.0030064712450725, -0.0007910734773881, 0.0001339094425083, -0.0140758209665593, 0.010880007266473, -0.0089716888126887, -0.0074448432341957, -0.0019869084695887, 0.024727675257268, 0.0166376036878359, -0.0109640887807194, -0.0240483824692038, 0.0116722534879337, 0.0211756619063791]| 12.1445665359497070|      0.00390625|[3284, 224, 0, 56]                                                         |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
      29|[1.4764552246872515, 0.1335086820236898, 0.346093114073545, 1.9350250311838548, -0.0210566893670931, 0.0162190448969848, 0.0456497874450452, -0.0098121854037179, -0.0029605994749398, -0.0008481240352919, 0.0002705455338775, -0.0142535505507211, 0.0108208564755018, -0.0087801536865204, -0.0075203019041162, -0.0017938123470037, 0.0247380773257601, 0.0165748353533655, -0.0108635720080759, -0.02436908071937, 0.0118354662682692, 0.0211227788753551]| 12.1445589065551758|      0.00781250|[3402, 232, 0, 58]                                                         |  | trying linear partial model with 61 points | iterate success | actual_k=4
      30|[1.4764552246872515, 0.1335086820236898, 0.346093114073545, 1.9350250311838548, -0.0210566893670931, 0.0162190448969848, 0.0456497874450452, -0.0098121854037179, -0.0029605994749398, -0.0008481240352919, 0.0002705455338775, -0.0142535505507211, 0.0108208564755018, -0.0087801536865204, -0.0075203019041162, -0.0017938123470037, 0.0247380773257601, 0.0165748353533655, -0.0108635720080759, -0.02436908071937, 0.0118354662682692, 0.0211227788753551]| 12.1445589065551758|      0.00390625|[3519, 240, 0, 60]                                                         |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
      31|[1.4731937070077508, 0.1323557147650205, 0.3462906434440406, 1.9366709518876015, -0.0209450889205234, 0.0165775540458392, 0.0455869717245542, -0.0101142474975901, -0.0028937048594185, -0.0008503120585144, -4.63338282511e-05, -0.0141854787822668, 0.0110485256279517, -0.0085008147744778, -0.007593951194631, -0.001832073598922, 0.0248030171068144, 0.016603224054211, -0.0107973347323378, -0.0245754103840241, 0.0119326967541353, 0.0211219863166708]| 12.1445512771606445|      0.00781250|[3636, 248, 0, 62]                                                         |  | trying linear partial model with 61 points | iterate success | actual_k=4
      32|[1.4731937070077508, 0.1323557147650205, 0.3462906434440406, 1.9366709518876015, -0.0209450889205234, 0.0165775540458392, 0.0455869717245542, -0.0101142474975901, -0.0028937048594185, -0.0008503120585144, -4.63338282511e-05, -0.0141854787822668, 0.0110485256279517, -0.0085008147744778, -0.007593951194631, -0.001832073598922, 0.0248030171068144, 0.016603224054211, -0.0107973347323378, -0.0245754103840241, 0.0119326967541353, 0.0211219863166708]| 12.1445512771606445|      0.00390625|[3754, 256, 0, 64]                                                         |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
      33|[1.4705493173220594, 0.1311367323631431, 0.3469857419422127, 1.9391165227007683, -0.0207375385494087, 0.0164711175841919, 0.0458555330196001, -0.0100777003625129, -0.0028506359466146, -0.0008472479192785, 9.99038739671e-05, -0.0141138372487477, 0.0111276317221041, -0.0085768879422964, -0.0075180883219191, -0.0016845069652665, 0.0246146042202994, 0.016677706485639, -0.0107184989932555, -0.0245374539087412, 0.0120311419571999, 0.0208732367719799]| 12.1445436477661133|      0.00781250|[3872, 264, 0, 66]                                                         |  | trying linear partial model with 61 points | iterate success | actual_k=4
      34|[1.4705493173220594, 0.1311367323631431, 0.3469857419422127, 1.9391165227007683, -0.0207375385494087, 0.0164711175841919, 0.0458555330196001, -0.0100777003625129, -0.0028506359466146, -0.0008472479192785, 9.99038739671e-05, -0.0141138372487477, 0.0111276317221041, -0.0085768879422964, -0.0075180883219191, -0.0016845069652665, 0.0246146042202994, 0.016677706485639, -0.0107184989932555, -0.0245374539087412, 0.0120311419571999, 0.0208732367719799]| 12.1445436477661133|      0.00390625|[3989, 272, 0, 68]                                                         |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
      35|[1.467881164956844, 0.1298297989620506, 0.3478395861154, 1.9414612271490186, -0.0208590446587061, 0.0165480926620233, 0.0458072929719253, -0.0103244925598214, -0.0029286777312224, -0.0008752798967896, 7.1781869134e-05, -0.014226527355199, 0.0111423348583696, -0.0085567253060194, -0.0076910657495213, -0.0016953120281816, 0.0247793626061565, 0.0168392602864903, -0.0106817311867339, -0.0245968143837962, 0.0119227229289891, 0.0208604367271941]| 12.1445360183715820|      0.00781250|[4107, 280, 0, 70]                                                         |  | trying linear partial model with 61 points | iterate success | actual_k=4
      36|[1.467881164956844, 0.1298297989620506, 0.3478395861154, 1.9414612271490186, -0.0208590446587061, 0.0165480926620233, 0.0458072929719253, -0.0103244925598214, -0.0029286777312224, -0.0008752798967896, 7.1781869134e-05, -0.014226527355199, 0.0111423348583696, -0.0085567253060194, -0.0076910657495213, -0.0016953120281816, 0.0247793626061565, 0.0168392602864903, -0.0106817311867339, -0.0245968143837962, 0.0119227229289891, 0.0208604367271941]| 12.1445360183715820|      0.00390625|[4224, 288, 0, 72]                                                         |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
      37|[1.4648582644382908, 0.1285641222435639, 0.3484606489272898, 1.9434633295318038, -0.0207850615775459, 0.0164862937741461, 0.0458906644503342, -0.0102741419592718, -0.0030499082547161, -0.001069189921205, 9.82200614063e-05, -0.0142586389007991, 0.0111963465790762, -0.00857463685404, -0.0077362292570254, -0.0016003843595978, 0.0247449202639208, 0.0167651319577863, -0.0107902855786767, -0.0245128332414307, 0.0118124877747694, 0.0208554081601103]| 12.1445283889770508|      0.00781250|[4341, 296, 0, 74]                                                         |  | trying linear partial model with 61 points | iterate success | actual_k=4
      38|[1.4648582644382908, 0.1285641222435639, 0.3484606489272898, 1.9434633295318038, -0.0207850615775459, 0.0164862937741461, 0.0458906644503342, -0.0102741419592718, -0.0030499082547161, -0.001069189921205, 9.82200614063e-05, -0.0142586389007991, 0.0111963465790762, -0.00857463685404, -0.0077362292570254, -0.0016003843595978, 0.0247449202639208, 0.0167651319577863, -0.0107902855786767, -0.0245128332414307, 0.0118124877747694, 0.0208554081601103]| 12.1445283889770508|      0.00390625|[4458, 304, 0, 76]                                                         |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
      39|[1.4620409533691339, 0.1273949028862285, 0.3492317181735473, 1.945736190209886, -0.0208533319491792, 0.0165104017961449, 0.0458704922751268, -0.0099536391889044, -0.003067373756636, -0.0010832716947645, 9.98690692623e-05, -0.0141424974300516, 0.0113569290540188, -0.0087163921286895, -0.007763001409312, -0.001604347807803, 0.0247693390079555, 0.0167814926449314, -0.0107778057253767, -0.02460962289497, 0.0118033702402677, 0.0207346631308523]| 12.1445198059082031|      0.00781250|[4575, 312, 0, 78]                                                         |  | trying linear partial model with 61 points | iterate success | actual_k=4
      40|[1.4620409533691339, 0.1273949028862285, 0.3492317181735473, 1.945736190209886, -0.0208533319491792, 0.0165104017961449, 0.0458704922751268, -0.0099536391889044, -0.003067373756636, -0.0010832716947645, 9.98690692623e-05, -0.0141424974300516, 0.0113569290540188, -0.0087163921286895, -0.007763001409312, -0.001604347807803, 0.0247693390079555, 0.0167814926449314, -0.0107778057253767, -0.02460962289497, 0.0118033702402677, 0.0207346631308523]| 12.1445198059082031|      0.00390625|[4692, 320, 0, 80]                                                         |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
      41|[1.4589528752147074, 0.126307972349209, 0.3501801984305473, 1.9474949968191793, -0.0209634868365432, 0.016349748375814, 0.0459941287478582, -0.0099634131113467, -0.002680123000463, -0.0008996537451608, 6.23683700593e-05, -0.0142543414160983, 0.0115260609880781, -0.0090356112873368, -0.0076423431169704, -0.001474118318922, 0.0245741048735858, 0.0170000219456986, -0.0108031997602011, -0.0247556598351611, 0.0116380690543577, 0.0207304782119034]| 12.1445121765136719|      0.00781250|[4809, 328, 0, 82]                                                         |  | trying linear partial model with 61 points | iterate success | actual_k=4
      42|[1.4589528752147074, 0.126307972349209, 0.3501801984305473, 1.9474949968191793, -0.0209634868365432, 0.016349748375814, 0.0459941287478582, -0.0099634131113467, -0.002680123000463, -0.0008996537451608, 6.23683700593e-05, -0.0142543414160983, 0.0115260609880781, -0.0090356112873368, -0.0076423431169704, -0.001474118318922, 0.0245741048735858, 0.0170000219456986, -0.0108031997602011, -0.0247556598351611, 0.0116380690543577, 0.0207304782119034]| 12.1445121765136719|      0.00390625|[4927, 336, 0, 84]                                                         |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
      43|[1.45629626646783, 0.1253023973426339, 0.3508657637822162, 1.9499818215484057, -0.0209217746234363, 0.0166324366952226, 0.0460472192718924, -0.0099375657894987, -0.0023323137332729, -0.0006784065270353, 2.29233238456e-05, -0.0140213825370932, 0.0116641262272533, -0.0089872036558982, -0.0075729829834562, -0.0013281048274895, 0.0243565765409417, 0.0168481085009954, -0.010705110612544, -0.0244768484692335, 0.0117764989165014, 0.020750522304452]| 12.1445045471191406|      0.00781250|[5044, 344, 0, 86]                                                         |  | trying linear partial model with 61 points | iterate success | actual_k=4
      44|[1.45629626646783, 0.1253023973426339, 0.3508657637822162, 1.9499818215484057, -0.0209217746234363, 0.0166324366952226, 0.0460472192718924, -0.0099375657894987, -0.0023323137332729, -0.0006784065270353, 2.29233238456e-05, -0.0140213825370932, 0.0116641262272533, -0.0089872036558982, -0.0075729829834562, -0.0013281048274895, 0.0243565765409417, 0.0168481085009954, -0.010705110612544, -0.0244768484692335, 0.0117764989165014, 0.020750522304452]| 12.1445045471191406|      0.00390625|[5161, 352, 0, 88]                                                         |  | trying linear partial model with 61 points | exploitation failed, decreasing delta | actual_k=4
      45|[1.4534464208420008, 0.123987940530395, 0.3514920823266034, 1.9521131438818187, -0.0209552148484168, 0.0167179999204116, 0.0457860132692655, -0.0099893920393828, -0.0024436035669702, -0.0007412066995076, 1.1559618253e-05, -0.0137301121275873, 0.0115113701669124, -0.0087399972948565, -0.0073435571596775, -0.0013375717490268, 0.0245825430294004, 0.0169411829221536, -0.0107568803138669, -0.0244184714739007, 0.0118705164557614, 0.0204640096119719]| 12.1444969177246094|      0.00781250|[5278, 360, 0, 90]                                                         |  | trying linear partial model with 61 points | iterate success | actual_k=4
