k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 1.0, 0.05, 17.06794, 8.0, 13642.3]                                   | 37.1342671014830401|      1.00000000|[0, 0, 0, 0]                                                               | 
      22|[-3.5683895337e-06, 2.97739893315e-05, 1.000004266439407, 0.0500013694234168, 17.06794155379443, 8.000002962547754, 13642.29999908899]| 27.4945735931396484|      0.00000095|[503, 176, 0, 44]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      23|[-3.5683895337e-06, 2.97739893315e-05, 1.000004266439407, 0.0500013694234168, 17.06794155379443, 8.000002962547754, 13642.29999908899]| 27.4945735931396484|      0.00000048|[526, 184, 0, 46]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      24|[-3.5683895337e-06, 2.97739893315e-05, 1.000004266439407, 0.0500013694234168, 17.06794155379443, 8.000002962547754, 13642.29999908899]| 27.4945735931396484|      0.00000024|[549, 192, 0, 48]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      25|[-3.5683895337e-06, 2.97739893315e-05, 1.000004266439407, 0.0500013694234168, 17.06794155379443, 8.000002962547754, 13642.29999908899]| 27.4945735931396484|      0.00000012|[572, 200, 0, 50]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      26|[-3.5683895337e-06, 2.97739893315e-05, 1.000004266439407, 0.0500013694234168, 17.06794155379443, 8.000002962547754, 13642.29999908899]| 27.4945735931396484|      0.00000006|[596, 208, 0, 52]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      27|[-3.5683895337e-06, 2.97739893315e-05, 1.000004266439407, 0.0500013694234168, 17.06794155379443, 8.000002962547754, 13642.29999908899]| 27.4945735931396484|      0.00000003|[619, 216, 0, 54]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      28|[-3.5574214099e-06, 2.97832389119e-05, 1.0000042663305484, 0.0500013923149063, 17.067941553095686, 8.00000295733035, 13642.299999100416]| 27.4945716857910156|      0.00000006|[641, 224, 0, 56]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      29|[-3.5574214099e-06, 2.97832389119e-05, 1.0000042663305484, 0.0500013923149063, 17.067941553095686, 8.00000295733035, 13642.299999100416]| 27.4945716857910156|      0.00000003|[664, 232, 0, 58]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      30|[-3.5574214099e-06, 2.97832389119e-05, 1.0000042663305484, 0.0500013923149063, 17.067941553095686, 8.00000295733035, 13642.299999100416]| 27.4945716857910156|      0.00000001|[686, 240, 0, 60]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      31|[-3.5574214099e-06, 2.97832389119e-05, 1.0000042663305484, 0.0500013923149063, 17.067941553095686, 8.00000295733035, 13642.299999100416]| 27.4945716857910156|      0.00000001|[708, 248, 0, 62]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      32|[-3.5574214099e-06, 2.97832389119e-05, 1.0000042663305484, 0.0500013923149063, 17.067941553095686, 8.00000295733035, 13642.299999100416]| 27.4945716857910156|      0.00000000|[730, 256, 0, 64]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      33|[-3.5574214099e-06, 2.97832389119e-05, 1.0000042663305484, 0.0500013923149063, 17.067941553095686, 8.00000295733035, 13642.299999100416]| 27.4945716857910156|      0.00000000|[752, 264, 0, 66]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      34|[-3.5574214099e-06, 2.97832389119e-05, 1.0000042663305484, 0.0500013923149063, 17.067941553095686, 8.00000295733035, 13642.299999100416]| 27.4945716857910156|      0.00000000|[774, 272, 0, 68]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      35|[-3.5574214099e-06, 2.97832389119e-05, 1.0000042663305484, 0.0500013923149063, 17.067941553095686, 8.00000295733035, 13642.299999100416]| 27.4945716857910156|      0.00000000|[795, 280, 0, 70]                                                          |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
