k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.254380028530617, -0.6751010827145105, 0.1616226731213367, 0.7628437549430175, -0.1638381113464969, 0.1319838643653462, -0.4530022513526296]|67505.5934311565506505|      2.00000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
      14|[10.319531042687316, -1.5278787253009454, 0.404967125325872, 1.4755067495845886, 0.4504434365417254, 1.4132679891515063, 0.0871158233391773]|4295.3891657285175825|      0.01562500|[224, 14, 14, 28]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      15|[10.319531042687316, -1.5278787253009454, 0.404967125325872, 1.4755067495845886, 0.4504434365417254, 1.4132679891515063, 0.0871158233391773]|4295.3891657285175825|      0.00781250|[240, 15, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      16|[10.319531042687316, -1.5278787253009454, 0.404967125325872, 1.4755067495845886, 0.4504434365417254, 1.4132679891515063, 0.0871158233391773]|4295.3891657285175825|      0.00390625|[256, 16, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      17|[10.319531042687316, -1.5278787253009454, 0.404967125325872, 1.4755067495845886, 0.4504434365417254, 1.4132679891515063, 0.0871158233391773]|4295.3891657285175825|      0.00195312|[272, 17, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      18|[10.319385873025697, -1.5280663572285276, 0.4048476249407613, 1.475188194910111, 0.4505729873330662, 1.413301985796731, 0.0890196932645203]|4274.2799150745258885|      0.00390625|[288, 18, 18, 36]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      19|[10.319385873025697, -1.5280663572285276, 0.4048476249407613, 1.475188194910111, 0.4505729873330662, 1.413301985796731, 0.0890196932645203]|4274.2799150745258885|      0.00195312|[304, 19, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      20|[10.319385873025697, -1.5280663572285276, 0.4048476249407613, 1.475188194910111, 0.4505729873330662, 1.413301985796731, 0.0890196932645203]|4274.2799150745258885|      0.00097656|[320, 20, 20, 40]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      21|[10.319758240107689, -1.527912509209966, 0.4048381945294821, 1.4749839609560118, 0.4509297870234091, 1.413952952963314, 0.0885741787886851]|4273.5465521628211718|      0.00195312|[336, 21, 21, 42]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      22|[10.320044259009489, -1.5279973226476817, 0.4054009035529433, 1.47474377383651, 0.4505490803658113, 1.4156834869743524, 0.0890342660785128]|4269.4508520913832399|      0.00390625|[352, 22, 22, 44]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      23|[10.320044259009489, -1.5279973226476817, 0.4054009035529433, 1.47474377383651, 0.4505490803658113, 1.4156834869743524, 0.0890342660785128]|4269.4508520913832399|      0.00195312|[368, 23, 23, 46]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      24|[10.320044259009489, -1.5279973226476817, 0.4054009035529433, 1.47474377383651, 0.4505490803658113, 1.4156834869743524, 0.0890342660785128]|4269.4508520913832399|      0.00097656|[384, 24, 24, 48]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      25|[10.320417035140693, -1.5282581807629219, 0.4048817113816835, 1.4745970868117786, 0.4504578565740862, 1.4162683715207038, 0.0887099575688114]|4268.2371106263126421|      0.00195312|[400, 25, 25, 50]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      26|[10.319696265532356, -1.5283794272584206, 0.4049521455948639, 1.473134645659807, 0.4502264294838083, 1.4172044188182629, 0.0882549305565331]|4265.6219566027994006|      0.00390625|[416, 26, 26, 52]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      27|[10.319696265532356, -1.5283794272584206, 0.4049521455948639, 1.473134645659807, 0.4502264294838083, 1.4172044188182629, 0.0882549305565331]|4265.6219566027994006|      0.00195312|[432, 27, 27, 54]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      28|[10.319696265532356, -1.5283794272584206, 0.4049521455948639, 1.473134645659807, 0.4502264294838083, 1.4172044188182629, 0.0882549305565331]|4265.6219566027994006|      0.00097656|[448, 28, 28, 56]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      29|[10.319446599937859, -1.5282858483507507, 0.4050291787368024, 1.4729540384710516, 0.4503168414308513, 1.417266357057586, 0.089167082226007]|4264.3103404721832703|      0.00195312|[464, 29, 29, 58]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      30|[10.319823606348754, -1.5290426372642414, 0.4051654331860062, 1.4719587026597434, 0.4505573223925458, 1.418105781965328, 0.0880146456545153]|4263.1678823258116608|      0.00390625|[480, 30, 30, 60]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      31|[10.319823606348754, -1.5290426372642414, 0.4051654331860062, 1.4719587026597434, 0.4505573223925458, 1.418105781965328, 0.0880146456545153]|4263.1678823258116608|      0.00195312|[496, 31, 31, 62]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      32|[10.319823606348754, -1.5290426372642414, 0.4051654331860062, 1.4719587026597434, 0.4505573223925458, 1.418105781965328, 0.0880146456545153]|4263.1678823258116608|      0.00097656|[512, 32, 32, 64]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      33|[10.319928244919902, -1.5289130927515466, 0.4051412915445988, 1.4717289200262398, 0.4500506182017519, 1.4180811029203624, 0.0887989939415195]|4260.0854919991979841|      0.00195312|[528, 33, 33, 66]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      34|[10.320823770201294, -1.5292814414406766, 0.4046728672079778, 1.4707710238965281, 0.450127156931737, 1.4193387936102988, 0.0891894047201041]|4257.8721683120147645|      0.00390625|[544, 34, 34, 68]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      35|[10.320823770201294, -1.5292814414406766, 0.4046728672079778, 1.4707710238965281, 0.450127156931737, 1.4193387936102988, 0.0891894047201041]|4257.8721683120147645|      0.00195312|[560, 35, 35, 70]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
