k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.614944127497286, 0.0395075219406405, 0.147527283644249, 0.7729846599569771, -0.0004894004462272, -0.007815722536211, 0.0098736228282815, 0.0070226138975166, 0.0005701274179612, -0.0046629814208838, -0.0036867393821901, 0.0035133915176163, -0.0162090730521576, 0.0070069511334569, 0.0041618536420601, 0.0100459619381737, -0.0018339438523748, -0.0002087378814613, 0.0164085813119094, 0.0065244021019688, 0.0015057524172729, 0.0030983026323684]| 13.1521635055541992|      2.00000000|[126, 0, 0, 2]                                                             |  | trying linear partial model with 65 points | iterate success | actual_k=0
      12|[1.51654726172521, 0.1189312702125356, 0.2427955654600759, 1.9109241375040682, -0.2176227930118282, -0.0480915035913754, -0.0099675353658943, 0.0162245477350101, -0.1838256533474327, 0.0214316082241735, 0.0044733123157088, 0.0420816796226616, -0.1053409859637818, -0.1196872635702317, 0.039555365327642, -0.2044697549174485, -0.1157169073578359, -0.0753869844275981, 0.026812062618001, 0.0551174593100272, 0.005273496387615, -0.0264074714324916]| 12.1447095870971680|      0.01562500|[1501, 0, 0, 24]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      13|[1.5222570316731514, 0.1191741393188095, 0.2453626072238417, 1.9250010940611395, -0.2185967332817945, -0.0481733703761026, -0.0103873875895617, 0.0170307086464862, -0.183381483745771, 0.0215426525328205, 0.0034473111593938, 0.0421685228449423, -0.1057197407197806, -0.1187761158065061, 0.0392230710192345, -0.2053030468105422, -0.116150214545601, -0.0750883260253192, 0.0270767222870384, 0.0554906135017179, 0.0040868002685846, -0.0263329196619333]| 12.1446838378906250|      0.03125000|[1626, 0, 0, 26]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      14|[1.5222570316731514, 0.1191741393188095, 0.2453626072238417, 1.9250010940611395, -0.2185967332817945, -0.0481733703761026, -0.0103873875895617, 0.0170307086464862, -0.183381483745771, 0.0215426525328205, 0.0034473111593938, 0.0421685228449423, -0.1057197407197806, -0.1187761158065061, 0.0392230710192345, -0.2053030468105422, -0.116150214545601, -0.0750883260253192, 0.0270767222870384, 0.0554906135017179, 0.0040868002685846, -0.0263329196619333]| 12.1446838378906250|      0.01562500|[1751, 0, 0, 28]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      15|[1.5222570316731514, 0.1191741393188095, 0.2453626072238417, 1.9250010940611395, -0.2185967332817945, -0.0481733703761026, -0.0103873875895617, 0.0170307086464862, -0.183381483745771, 0.0215426525328205, 0.0034473111593938, 0.0421685228449423, -0.1057197407197806, -0.1187761158065061, 0.0392230710192345, -0.2053030468105422, -0.116150214545601, -0.0750883260253192, 0.0270767222870384, 0.0554906135017179, 0.0040868002685846, -0.0263329196619333]| 12.1446838378906250|      0.00781250|[1876, 0, 0, 30]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      16|[1.5162490067099277, 0.1179884531148259, 0.2451249665738471, 1.9203443700660268, -0.2182486412576159, -0.0482350995176051, -0.0105072937773661, 0.0169296305194681, -0.1834087297485598, 0.0213541292749743, 0.0044432499685899, 0.0421001581448133, -0.1053471673284113, -0.1187015936807934, 0.0392413609888497, -0.2051714841923581, -0.1161593203661637, -0.0747466235428912, 0.0267580281446331, 0.0554148272563206, 0.0043013809467926, -0.0267533473401837]| 12.1446628570556641|      0.01562500|[2001, 0, 0, 32]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      17|[1.5162490067099277, 0.1179884531148259, 0.2451249665738471, 1.9203443700660268, -0.2182486412576159, -0.0482350995176051, -0.0105072937773661, 0.0169296305194681, -0.1834087297485598, 0.0213541292749743, 0.0044432499685899, 0.0421001581448133, -0.1053471673284113, -0.1187015936807934, 0.0392413609888497, -0.2051714841923581, -0.1161593203661637, -0.0747466235428912, 0.0267580281446331, 0.0554148272563206, 0.0043013809467926, -0.0267533473401837]| 12.1446628570556641|      0.00781250|[2126, 0, 0, 34]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      18|[1.5162490067099277, 0.1179884531148259, 0.2451249665738471, 1.9203443700660268, -0.2182486412576159, -0.0482350995176051, -0.0105072937773661, 0.0169296305194681, -0.1834087297485598, 0.0213541292749743, 0.0044432499685899, 0.0421001581448133, -0.1053471673284113, -0.1187015936807934, 0.0392413609888497, -0.2051714841923581, -0.1161593203661637, -0.0747466235428912, 0.0267580281446331, 0.0554148272563206, 0.0043013809467926, -0.0267533473401837]| 12.1446628570556641|      0.00390625|[2251, 0, 0, 36]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      19|[1.5149759969840417, 0.1172072217334853, 0.2461970944633611, 1.9237431022742344, -0.2180563026270391, -0.0479770895777555, -0.0104665846467574, 0.0170042218061054, -0.1834339223085228, 0.0212105884863226, 0.0045731528516736, 0.0421353913624331, -0.1055214004410529, -0.1185113566590671, 0.0391303392371592, -0.2052443555728405, -0.1160080582853815, -0.0748907689032356, 0.0268986550556803, 0.0552698041593206, 0.0043603917019632, -0.0268226545847268]| 12.1446552276611328|      0.00781250|[2376, 0, 0, 38]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      20|[1.5149759969840417, 0.1172072217334853, 0.2461970944633611, 1.9237431022742344, -0.2180563026270391, -0.0479770895777555, -0.0104665846467574, 0.0170042218061054, -0.1834339223085228, 0.0212105884863226, 0.0045731528516736, 0.0421353913624331, -0.1055214004410529, -0.1185113566590671, 0.0391303392371592, -0.2052443555728405, -0.1160080582853815, -0.0748907689032356, 0.0268986550556803, 0.0552698041593206, 0.0043603917019632, -0.0268226545847268]| 12.1446552276611328|      0.00390625|[2501, 0, 0, 40]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      21|[1.5115546258381438, 0.1161280393760558, 0.2464796937001151, 1.9249289431622847, -0.2182738820577366, -0.0479249684912881, -0.0108884711904531, 0.0173425761382979, -0.1833312398655372, 0.0211037236775973, 0.0044463667372261, 0.042177285267605, -0.1053125159413199, -0.1183281494327075, 0.0389105282541781, -0.2050733858884206, -0.1161397980997615, -0.0749161099258861, 0.0268870769319231, 0.0550809544966753, 0.0040744586280218, -0.0263434140525944]| 12.1446475982666016|      0.00781250|[2626, 0, 0, 42]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      22|[1.5115546258381438, 0.1161280393760558, 0.2464796937001151, 1.9249289431622847, -0.2182738820577366, -0.0479249684912881, -0.0108884711904531, 0.0173425761382979, -0.1833312398655372, 0.0211037236775973, 0.0044463667372261, 0.042177285267605, -0.1053125159413199, -0.1183281494327075, 0.0389105282541781, -0.2050733858884206, -0.1161397980997615, -0.0749161099258861, 0.0268870769319231, 0.0550809544966753, 0.0040744586280218, -0.0263434140525944]| 12.1446475982666016|      0.00390625|[2751, 0, 0, 44]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      23|[1.5088307065529627, 0.1149984403087898, 0.2468956349881382, 1.927200219864314, -0.2184821811434967, -0.0477288342535051, -0.0110532919490011, 0.0172935481168725, -0.1834685749182332, 0.0209002098416648, 0.0043360592941432, 0.0420883554944302, -0.1050746373374977, -0.1179113780858823, 0.0392252583920197, -0.204931429554106, -0.1154993336035571, -0.0753825304291952, 0.0270160827751475, 0.0552635947224451, 0.0040026319282269, -0.0262586863980205]| 12.1446399688720703|      0.00781250|[2876, 0, 0, 46]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      24|[1.5088307065529627, 0.1149984403087898, 0.2468956349881382, 1.927200219864314, -0.2184821811434967, -0.0477288342535051, -0.0110532919490011, 0.0172935481168725, -0.1834685749182332, 0.0209002098416648, 0.0043360592941432, 0.0420883554944302, -0.1050746373374977, -0.1179113780858823, 0.0392252583920197, -0.204931429554106, -0.1154993336035571, -0.0753825304291952, 0.0270160827751475, 0.0552635947224451, 0.0040026319282269, -0.0262586863980205]| 12.1446399688720703|      0.00390625|[3001, 0, 0, 48]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      25|[1.506529223371868, 0.1138230042141493, 0.2477905474425013, 1.9298819939851815, -0.2185870292742139, -0.0479321966224458, -0.0110518117257876, 0.0173395220584755, -0.1837221816951737, 0.0207575572308252, 0.0046050236541748, 0.0419677761583747, -0.1050825852761741, -0.1179535508821705, 0.0389944849237659, -0.2048174532836316, -0.1154934900711337, -0.0758215237555289, 0.0270506524652805, 0.0553677716171926, 0.0041702659865726, -0.0265047227421129]| 12.1446323394775391|      0.00781250|[3126, 0, 0, 50]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      26|[1.506529223371868, 0.1138230042141493, 0.2477905474425013, 1.9298819939851815, -0.2185870292742139, -0.0479321966224458, -0.0110518117257876, 0.0173395220584755, -0.1837221816951737, 0.0207575572308252, 0.0046050236541748, 0.0419677761583747, -0.1050825852761741, -0.1179535508821705, 0.0389944849237659, -0.2048174532836316, -0.1154934900711337, -0.0758215237555289, 0.0270506524652805, 0.0553677716171926, 0.0041702659865726, -0.0265047227421129]| 12.1446323394775391|      0.00390625|[3251, 0, 0, 52]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      27|[1.5029565630434352, 0.1133045657386275, 0.2487352296100933, 1.930522032409223, -0.2185060454278479, -0.0479443928971243, -0.011694090024091, 0.0176027366669285, -0.1837016964127962, 0.0207216273622896, 0.0043977868173674, 0.0419182877935343, -0.1052078090139097, -0.1181109625193004, 0.0391924607423467, -0.2047129055352893, -0.1154288592443726, -0.0755775071728389, 0.0267678217851465, 0.0553822304705238, 0.0044564535015784, -0.0262363813988525]| 12.1446266174316406|      0.00781250|[3376, 0, 0, 54]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      28|[1.5029565630434352, 0.1133045657386275, 0.2487352296100933, 1.930522032409223, -0.2185060454278479, -0.0479443928971243, -0.011694090024091, 0.0176027366669285, -0.1837016964127962, 0.0207216273622896, 0.0043977868173674, 0.0419182877935343, -0.1052078090139097, -0.1181109625193004, 0.0391924607423467, -0.2047129055352893, -0.1154288592443726, -0.0755775071728389, 0.0267678217851465, 0.0553822304705238, 0.0044564535015784, -0.0262363813988525]| 12.1446266174316406|      0.00390625|[3501, 0, 0, 56]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      29|[1.5011457158208665, 0.1122455962224459, 0.2490329292825058, 1.9337137960814728, -0.2187785443789997, -0.0478336060566057, -0.011816451258848, 0.0174536822188571, -0.1836711233537761, 0.0208403099486054, 0.0046040734053844, 0.0421830542734302, -0.1054924130736745, -0.1178680306082685, 0.0394193361833798, -0.2046144840537285, -0.1154914597558691, -0.0758591506009849, 0.0267863913135825, 0.0551922011432349, 0.0044323901782943, -0.0261395391901899]| 12.1446189880371094|      0.00781250|[3626, 0, 0, 58]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      30|[1.5011457158208665, 0.1122455962224459, 0.2490329292825058, 1.9337137960814728, -0.2187785443789997, -0.0478336060566057, -0.011816451258848, 0.0174536822188571, -0.1836711233537761, 0.0208403099486054, 0.0046040734053844, 0.0421830542734302, -0.1054924130736745, -0.1178680306082685, 0.0394193361833798, -0.2046144840537285, -0.1154914597558691, -0.0758591506009849, 0.0267863913135825, 0.0551922011432349, 0.0044323901782943, -0.0261395391901899]| 12.1446189880371094|      0.00390625|[3751, 0, 0, 60]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      31|[1.4982091909663948, 0.1109779586849107, 0.2495684295240995, 1.9358306291859042, -0.2186446692399024, -0.0477199427674599, -0.0116215007037816, 0.0174215780245348, -0.183510656826831, 0.0209265309068482, 0.0045655963720959, 0.0422016376021684, -0.1056273102605559, -0.1178591436113537, 0.0395336625059674, -0.2046970291170155, -0.1152876194023965, -0.0758234322992021, 0.0265769532041415, 0.055016378770275, 0.0044285046983648, -0.0261567234922383]| 12.1446113586425781|      0.00781250|[3876, 0, 0, 62]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      32|[1.4982091909663948, 0.1109779586849107, 0.2495684295240995, 1.9358306291859042, -0.2186446692399024, -0.0477199427674599, -0.0116215007037816, 0.0174215780245348, -0.183510656826831, 0.0209265309068482, 0.0045655963720959, 0.0422016376021684, -0.1056273102605559, -0.1178591436113537, 0.0395336625059674, -0.2046970291170155, -0.1152876194023965, -0.0758234322992021, 0.0265769532041415, 0.055016378770275, 0.0044285046983648, -0.0261567234922383]| 12.1446113586425781|      0.00390625|[4001, 0, 0, 64]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      33|[1.4953942184676958, 0.1097669777952059, 0.2504915122667875, 1.9379481079880445, -0.2185517355072149, -0.0475412915742313, -0.0114748222760822, 0.0177302615210669, -0.1835342848077684, 0.0212513713710106, 0.0045262451851714, 0.0420039204704364, -0.1057309449445995, -0.1176812901345514, 0.039360502803836, -0.2046150946612192, -0.1152573679557891, -0.0755907137239376, 0.0266022281002538, 0.054903872837999, 0.0041617398082377, -0.026255567973821]| 12.1446027755737305|      0.00781250|[4126, 0, 0, 66]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      34|[1.4953942184676958, 0.1097669777952059, 0.2504915122667875, 1.9379481079880445, -0.2185517355072149, -0.0475412915742313, -0.0114748222760822, 0.0177302615210669, -0.1835342848077684, 0.0212513713710106, 0.0045262451851714, 0.0420039204704364, -0.1057309449445995, -0.1176812901345514, 0.039360502803836, -0.2046150946612192, -0.1152573679557891, -0.0755907137239376, 0.0266022281002538, 0.054903872837999, 0.0041617398082377, -0.026255567973821]| 12.1446027755737305|      0.00390625|[4251, 0, 0, 68]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      35|[1.4921273371278416, 0.108904396698159, 0.2507981218177779, 1.9396028372355656, -0.2187055831095438, -0.0476732873403414, -0.0117748441756264, 0.0175729459499299, -0.1838470612344412, 0.0212236113301623, 0.0049642192110558, 0.0419891119008643, -0.1060504325950982, -0.1177563432583545, 0.0394803072484984, -0.2047398780172036, -0.1153468410335141, -0.075149959590055, 0.026517105701327, 0.0544528342935634, 0.0040502648817713, -0.026279861294334]| 12.1445960998535156|      0.00781250|[4376, 0, 0, 70]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      36|[1.4921273371278416, 0.108904396698159, 0.2507981218177779, 1.9396028372355656, -0.2187055831095438, -0.0476732873403414, -0.0117748441756264, 0.0175729459499299, -0.1838470612344412, 0.0212236113301623, 0.0049642192110558, 0.0419891119008643, -0.1060504325950982, -0.1177563432583545, 0.0394803072484984, -0.2047398780172036, -0.1153468410335141, -0.075149959590055, 0.026517105701327, 0.0544528342935634, 0.0040502648817713, -0.026279861294334]| 12.1445960998535156|      0.00390625|[4501, 0, 0, 72]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      37|[1.4899510825299074, 0.1076949358327322, 0.2518967011952321, 1.9423344696527278, -0.2188816982954699, -0.047903782182559, -0.0117017975572972, 0.0174300115419502, -0.1839750784190762, 0.0212963873653247, 0.0046545941328189, 0.0419692564952119, -0.1062845607384336, -0.1177454321184789, 0.0395054126260952, -0.2046831526929922, -0.1153218340898159, -0.075050813217764, 0.0263046827007339, 0.0544789694064615, 0.004266857521446, -0.0263173119259282]| 12.1445884704589844|      0.00781250|[4626, 0, 0, 74]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      38|[1.4899510825299074, 0.1076949358327322, 0.2518967011952321, 1.9423344696527278, -0.2188816982954699, -0.047903782182559, -0.0117017975572972, 0.0174300115419502, -0.1839750784190762, 0.0212963873653247, 0.0046545941328189, 0.0419692564952119, -0.1062845607384336, -0.1177454321184789, 0.0395054126260952, -0.2046831526929922, -0.1153218340898159, -0.075050813217764, 0.0263046827007339, 0.0544789694064615, 0.004266857521446, -0.0263173119259282]| 12.1445884704589844|      0.00390625|[4751, 0, 0, 76]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      39|[1.4869445268582426, 0.1067120324265221, 0.2523797049210405, 1.9443212285550704, -0.2188673425657258, -0.0477085597102842, -0.0115619482990844, 0.0174057556954883, -0.1840343725563756, 0.0211731794553783, 0.0042728783155079, 0.0420031096557292, -0.1063250146983606, -0.1177698054247016, 0.0399193384190443, -0.2042404298108748, -0.1155764827625875, -0.0747387714702654, 0.0266325331486572, 0.0540385130605733, 0.0043339594916907, -0.0262123295844898]| 12.1445808410644531|      0.00781250|[4876, 0, 0, 78]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      40|[1.4869445268582426, 0.1067120324265221, 0.2523797049210405, 1.9443212285550704, -0.2188673425657258, -0.0477085597102842, -0.0115619482990844, 0.0174057556954883, -0.1840343725563756, 0.0211731794553783, 0.0042728783155079, 0.0420031096557292, -0.1063250146983606, -0.1177698054247016, 0.0399193384190443, -0.2042404298108748, -0.1155764827625875, -0.0747387714702654, 0.0266325331486572, 0.0540385130605733, 0.0043339594916907, -0.0262123295844898]| 12.1445808410644531|      0.00390625|[5001, 0, 0, 80]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      41|[1.483922691665905, 0.1057225560853641, 0.2531904098200872, 1.9463588010614485, -0.2188811280001761, -0.047849545417869, -0.0118850013823562, 0.0175568525750461, -0.1839260782911153, 0.0209392103383077, 0.0043616221909919, 0.0420938997255922, -0.1063609887341811, -0.1176130209213551, 0.0399211161843135, -0.2044170416119923, -0.1154907439516256, -0.0748072506118366, 0.0267941608293812, 0.0540986038619062, 0.0043039114172734, -0.0263108041408477]| 12.1445732116699219|      0.00781250|[5126, 0, 0, 82]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      42|[1.483922691665905, 0.1057225560853641, 0.2531904098200872, 1.9463588010614485, -0.2188811280001761, -0.047849545417869, -0.0118850013823562, 0.0175568525750461, -0.1839260782911153, 0.0209392103383077, 0.0043616221909919, 0.0420938997255922, -0.1063609887341811, -0.1176130209213551, 0.0399211161843135, -0.2044170416119923, -0.1154907439516256, -0.0748072506118366, 0.0267941608293812, 0.0540986038619062, 0.0043039114172734, -0.0263108041408477]| 12.1445732116699219|      0.00390625|[5251, 0, 0, 84]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      43|[1.481233554015337, 0.104569065304814, 0.2541100195954568, 1.9487591183673991, -0.2189271242216052, -0.0479907993717202, -0.0119113683997757, 0.0174438982738125, -0.1839933050778616, 0.0209580210859637, 0.004402061448469, 0.0419961582735524, -0.1064196465396063, -0.1175575336385499, 0.0399073913826967, -0.2043945049378978, -0.115445063882316, -0.0747602770660835, 0.0266734176331759, 0.0541418472162034, 0.00437417620615, -0.0263822335123181]| 12.1445646286010742|      0.00781250|[5376, 0, 0, 86]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      44|[1.481233554015337, 0.104569065304814, 0.2541100195954568, 1.9487591183673991, -0.2189271242216052, -0.0479907993717202, -0.0119113683997757, 0.0174438982738125, -0.1839933050778616, 0.0209580210859637, 0.004402061448469, 0.0419961582735524, -0.1064196465396063, -0.1175575336385499, 0.0399073913826967, -0.2043945049378978, -0.115445063882316, -0.0747602770660835, 0.0266734176331759, 0.0541418472162034, 0.00437417620615, -0.0263822335123181]| 12.1445646286010742|      0.00390625|[5501, 0, 0, 88]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      45|[1.481233554015337, 0.104569065304814, 0.2541100195954568, 1.9487591183673991, -0.2189271242216052, -0.0479907993717202, -0.0119113683997757, 0.0174438982738125, -0.1839933050778616, 0.0209580210859637, 0.004402061448469, 0.0419961582735524, -0.1064196465396063, -0.1175575336385499, 0.0399073913826967, -0.2043945049378978, -0.115445063882316, -0.0747602770660835, 0.0266734176331759, 0.0541418472162034, 0.00437417620615, -0.0263822335123181]| 12.1445646286010742|      0.00195312|[5626, 0, 0, 90]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      46|[1.4799170345336505, 0.1037271320245777, 0.2541772961943721, 1.94950441266359, -0.2191850500007957, -0.0480320681967248, -0.0120397361398312, 0.0174283670401893, -0.1840261362529147, 0.0206053730940939, 0.0047826301304214, 0.0419719463890672, -0.1066548203749756, -0.1177737712536232, 0.0400093162861139, -0.204381926097118, -0.1152313174332013, -0.0746213343080275, 0.0267847002162249, 0.0541974552953698, 0.0046254937279873, -0.0268301009469394]| 12.1445617675781250|      0.00390625|[5751, 0, 0, 92]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
