k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[11.0, 3.0, 0.5, 40.0, -0.7, -1.3, 25.0, -0.3, 1.4]                             |1153.9439484858455671|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.409626954089942, 2.798705629377717, 0.4651015725016084, 40.10544022203276, -1.0722726775374647, -1.4415528141576464, 25.5070605591604, -0.5751374892741519, 1.072632457232737]|973.1285189815151853|      2.00000000|[17, 0, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=0
      23|[10.58472616157379, 3.1516154186624927, 0.5107469598678347, 40.55350712102399, -0.6885710374085233, -1.3823733485866974, 26.342987663869028, -0.5773062436848437, 1.3211210446143176]|841.3776898495358409|      0.12500000|[391, 0, 23, 46]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      24|[10.611152274107097, 3.1145521610119147, 0.5227268430264861, 40.66078680846415, -0.6958383320309404, -1.374919489264195, 26.323664089997727, -0.5923271143054645, 1.3556626994626386]|839.5008356469705859|      0.25000000|[408, 0, 24, 48]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      25|[10.611152274107097, 3.1145521610119147, 0.5227268430264861, 40.66078680846415, -0.6958383320309404, -1.374919489264195, 26.323664089997727, -0.5923271143054645, 1.3556626994626386]|839.5008356469705859|      0.12500000|[425, 0, 25, 50]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      26|[10.641872211527122, 3.0517500576445644, 0.5061741435151687, 40.6868208688602, -0.7439319824783188, -1.4049062450464977, 26.353070024214873, -0.5323794235363927, 1.3096759865522787]|837.9695705342317069|      0.25000000|[442, 0, 26, 52]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      27|[10.641872211527122, 3.0517500576445644, 0.5061741435151687, 40.6868208688602, -0.7439319824783188, -1.4049062450464977, 26.353070024214873, -0.5323794235363927, 1.3096759865522787]|837.9695705342317069|      0.12500000|[459, 0, 27, 54]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      28|[10.641872211527122, 3.0517500576445644, 0.5061741435151687, 40.6868208688602, -0.7439319824783188, -1.4049062450464977, 26.353070024214873, -0.5323794235363927, 1.3096759865522787]|837.9695705342317069|      0.06250000|[476, 0, 28, 56]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      29|[10.641731576659616, 3.0370099903032663, 0.4928617952247758, 40.712694451258336, -0.7627557515793074, -1.373051254930092, 26.377574430456207, -0.5074375728602926, 1.3255083342814553]|836.7747105868161270|      0.12500000|[493, 0, 29, 58]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      30|[10.641731576659616, 3.0370099903032663, 0.4928617952247758, 40.712694451258336, -0.7627557515793074, -1.373051254930092, 26.377574430456207, -0.5074375728602926, 1.3255083342814553]|836.7747105868161270|      0.06250000|[510, 0, 30, 60]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      31|[10.627406358007669, 3.063560914973573, 0.5072519384649886, 40.73086687864785, -0.7847950825817629, -1.3446286246643901, 26.368892950793516, -0.4937695689617553, 1.3555585044650655]|835.8090469512909522|      0.12500000|[527, 0, 31, 62]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      32|[10.627406358007669, 3.063560914973573, 0.5072519384649886, 40.73086687864785, -0.7847950825817629, -1.3446286246643901, 26.368892950793516, -0.4937695689617553, 1.3555585044650655]|835.8090469512909522|      0.06250000|[544, 0, 32, 64]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      33|[10.621314900728647, 3.056766796856924, 0.5012901832411913, 40.76982962932283, -0.7778159932016344, -1.3489706058030204, 26.386234916230414, -0.4592216225879912, 1.3821570154963796]|835.0651176263054367|      0.12500000|[561, 0, 33, 66]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      34|[10.621314900728647, 3.056766796856924, 0.5012901832411913, 40.76982962932283, -0.7778159932016344, -1.3489706058030204, 26.386234916230414, -0.4592216225879912, 1.3821570154963796]|835.0651176263054367|      0.06250000|[578, 0, 34, 68]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      35|[10.635669369134991, 3.071621807899367, 0.5267107986536068, 40.78855971722329, -0.7661374987659594, -1.3076853916020499, 26.38386294843957, -0.4371349120683168, 1.3699833206459913]|834.5529986490282681|      0.12500000|[595, 0, 35, 70]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      36|[10.635669369134991, 3.071621807899367, 0.5267107986536068, 40.78855971722329, -0.7661374987659594, -1.3076853916020499, 26.38386294843957, -0.4371349120683168, 1.3699833206459913]|834.5529986490282681|      0.06250000|[612, 0, 36, 72]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      37|[10.62976328883889, 3.0721277922180517, 0.5192282674013842, 40.81390961730898, -0.775533816556596, -1.3015000311260803, 26.43055415205387, -0.4154739487074315, 1.3899004285233099]|833.6184763897379071|      0.12500000|[629, 0, 37, 74]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      38|[10.62976328883889, 3.0721277922180517, 0.5192282674013842, 40.81390961730898, -0.775533816556596, -1.3015000311260803, 26.43055415205387, -0.4154739487074315, 1.3899004285233099]|833.6184763897379071|      0.06250000|[646, 0, 38, 76]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      39|[10.630479152009784, 3.0540658642857146, 0.5027757298260973, 40.84188712951513, -0.7720145880486138, -1.279751865781391, 26.43102852988443, -0.374878111126219, 1.3700897650064434]|833.0861090999558201|      0.12500000|[663, 0, 39, 78]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      40|[10.630479152009784, 3.0540658642857146, 0.5027757298260973, 40.84188712951513, -0.7720145880486138, -1.279751865781391, 26.43102852988443, -0.374878111126219, 1.3700897650064434]|833.0861090999558201|      0.06250000|[680, 0, 40, 80]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      41|[10.620461965216943, 3.0593428635174993, 0.5115234086382064, 40.84586016796332, -0.8306598382515037, -1.2849198503614192, 26.43377153855896, -0.3675033075257219, 1.35752524877855]|832.3169058743143296|      0.12500000|[697, 0, 41, 82]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      42|[10.620461965216943, 3.0593428635174993, 0.5115234086382064, 40.84586016796332, -0.8306598382515037, -1.2849198503614192, 26.43377153855896, -0.3675033075257219, 1.35752524877855]|832.3169058743143296|      0.06250000|[714, 0, 42, 84]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      43|[10.625611200305325, 3.073167450913765, 0.5258356584863406, 40.888991737832825, -0.8490054106068827, -1.283011438829801, 26.460485485125307, -0.3439077961156056, 1.3611110801646162]|831.3832287700668076|      0.12500000|[731, 0, 43, 86]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      44|[10.625611200305325, 3.073167450913765, 0.5258356584863406, 40.888991737832825, -0.8490054106068827, -1.283011438829801, 26.460485485125307, -0.3439077961156056, 1.3611110801646162]|831.3832287700668076|      0.06250000|[748, 0, 44, 88]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      45|[10.635007828622134, 3.0922981174481374, 0.5152095425248668, 40.929354187702806, -0.8411011436012379, -1.2581573530749957, 26.46855787992061, -0.3395204411501975, 1.3918570362786429]|830.8098654963698664|      0.12500000|[765, 0, 45, 90]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
