k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]|1827.7085714285710765|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.3153139582005303, 0.070811278971982, 0.2676926718006808, -0.0558639316053428, 0.1132170642813083, 0.2880322540695274, 0.1198226328711579, -0.1302651416186247, 0.1209207000504, -0.0230766300417583, 0.1726805296599087, 0.1627308172650578, 0.0055131224878058, 0.1377383255307336, 0.2010211607854459, 0.133089840749009, 0.1324342687660378, 0.1201740704523116, 0.0345121327790299, 0.1623518506191423, 0.0944262094270051, -0.0329350476280941, 0.2469284605976843, 0.0642463523140003, 0.2135736314199267, 0.1096278796536011, 0.135660877870958, 0.0697265884212118, 0.131514684781712, 0.0814068557873715, 0.1379703341624633, -0.0354129944948349, 0.1372774941376312, 0.1682545494182158, -0.0185242942256021, 0.1515387697266148, 0.0747038172468084, 0.1046878333371786, 0.0679820444949969, 0.0500507966641981, 0.0646552824701091, 0.0256223427022026, -0.0477000097515355, -0.0265600394769159, 0.1502887735401976, 0.215608201763497, 0.3059431076198918, -0.0094046010071474, 0.1240853895014895, 0.072437342566998]|1750.4018014062999100|      2.00000000|[57, 8, 1, 2]                                                              |  | used linear model with 65 points | iterate success | actual_k=8
      12|[1.1585996949750301, 2.890801459467829, 2.640265963002442, 1.9916453109339016, 1.5949856212976767, 2.760476835569995, 3.630205861306265, 2.034193453644889, 4.920109536594117, 2.8524657175343977, 2.7703861130022482, 2.4009897893078347, 3.4412154459880355, 2.5087238996829013, 1.0532740867691601, 2.513418489753929, 1.2993646024079322, -0.639929037164467, 1.385169139858204, 2.7764381830453813, 3.158383763560569, 0.0826617943943752, 3.2657633029941193, 0.8225403566377609, 0.6584189393099908, 2.2561475504050654, 1.0307417615369145, 2.91963516192107, 3.4233320433664054, 3.476947977956815, 2.5238055205178784, 1.5965609865251338, 2.7016847425425463, 1.848778551327087, 2.0798870174008988, 3.2731548744056274, 1.5872953791784083, 0.4117456691101048, 3.424946151387183, 1.771261963639786, 1.851651973574641, 0.7159724121920628, -0.5659948346555959, 2.587835342737563, 2.77286817560214, 3.07728169693242, -1.3434113312846931, 1.1039654653737085, 1.4443149753406574, 3.075287545366522]|683.5442302309472780|      4.00000000|[684, 96, 12, 24]                                                          |  | used linear model with 65 points | iterate failure | actual_k=8
      13|[1.7450372647210755, 2.8128201420698775, 3.156138526230886, 2.5680445481872534, 2.226668124967846, 2.8824906030667656, 4.755422429365822, 2.579158665283512, 4.8870326276135945, 3.306763938922231, 3.207897442851147, 2.3030920670405037, 3.284474868270441, 2.39882924864188, 2.503341116233015, 3.4756832066739323, 1.792078877423779, -0.7997115537478684, 1.8610395694755841, 1.8506131940979145, 2.2395819811891426, 0.960095204714777, 3.096892251451368, 0.7802188041561053, 0.4778551474843632, 2.464384905508158, 1.1924810963502288, 2.968365654145341, 3.6984605507826505, 3.0566158709609472, 3.027051756699126, 2.229002827418725, 2.7625359554542026, 1.8200146874833303, 2.773652634324238, 3.7019746245557537, 1.3835392628933376, 0.269076141043361, 3.8547341028116033, 2.1711144182458453, 2.4673115731960564, 1.3147779570085485, -0.1757616709931771, 2.9874250071029667, 3.272968272651801, 4.021312585115209, -0.2801810452056179, 2.00314281097575, 2.063581504959628, 3.0050448759211013]|571.3759534987812003|      8.00000000|[741, 104, 13, 26]                                                         |  | used linear model with 65 points | iterate success | actual_k=8
      14|[1.7450372647210755, 2.8128201420698775, 3.156138526230886, 2.5680445481872534, 2.226668124967846, 2.8824906030667656, 4.755422429365822, 2.579158665283512, 4.8870326276135945, 3.306763938922231, 3.207897442851147, 2.3030920670405037, 3.284474868270441, 2.39882924864188, 2.503341116233015, 3.4756832066739323, 1.792078877423779, -0.7997115537478684, 1.8610395694755841, 1.8506131940979145, 2.2395819811891426, 0.960095204714777, 3.096892251451368, 0.7802188041561053, 0.4778551474843632, 2.464384905508158, 1.1924810963502288, 2.968365654145341, 3.6984605507826505, 3.0566158709609472, 3.027051756699126, 2.229002827418725, 2.7625359554542026, 1.8200146874833303, 2.773652634324238, 3.7019746245557537, 1.3835392628933376, 0.269076141043361, 3.8547341028116033, 2.1711144182458453, 2.4673115731960564, 1.3147779570085485, -0.1757616709931771, 2.9874250071029667, 3.272968272651801, 4.021312585115209, -0.2801810452056179, 2.00314281097575, 2.063581504959628, 3.0050448759211013]|571.3759534987812003|      4.00000000|[798, 112, 14, 28]                                                         |  | used linear model with 65 points | iterate failure | actual_k=8
      15|[1.7450372647210755, 2.8128201420698775, 3.156138526230886, 2.5680445481872534, 2.226668124967846, 2.8824906030667656, 4.755422429365822, 2.579158665283512, 4.8870326276135945, 3.306763938922231, 3.207897442851147, 2.3030920670405037, 3.284474868270441, 2.39882924864188, 2.503341116233015, 3.4756832066739323, 1.792078877423779, -0.7997115537478684, 1.8610395694755841, 1.8506131940979145, 2.2395819811891426, 0.960095204714777, 3.096892251451368, 0.7802188041561053, 0.4778551474843632, 2.464384905508158, 1.1924810963502288, 2.968365654145341, 3.6984605507826505, 3.0566158709609472, 3.027051756699126, 2.229002827418725, 2.7625359554542026, 1.8200146874833303, 2.773652634324238, 3.7019746245557537, 1.3835392628933376, 0.269076141043361, 3.8547341028116033, 2.1711144182458453, 2.4673115731960564, 1.3147779570085485, -0.1757616709931771, 2.9874250071029667, 3.272968272651801, 4.021312585115209, -0.2801810452056179, 2.00314281097575, 2.063581504959628, 3.0050448759211013]|571.3759534987812003|      2.00000000|[855, 120, 15, 30]                                                         |  | used linear model with 65 points | iterate failure | actual_k=8
      16|[1.7450372647210755, 2.8128201420698775, 3.156138526230886, 2.5680445481872534, 2.226668124967846, 2.8824906030667656, 4.755422429365822, 2.579158665283512, 4.8870326276135945, 3.306763938922231, 3.207897442851147, 2.3030920670405037, 3.284474868270441, 2.39882924864188, 2.503341116233015, 3.4756832066739323, 1.792078877423779, -0.7997115537478684, 1.8610395694755841, 1.8506131940979145, 2.2395819811891426, 0.960095204714777, 3.096892251451368, 0.7802188041561053, 0.4778551474843632, 2.464384905508158, 1.1924810963502288, 2.968365654145341, 3.6984605507826505, 3.0566158709609472, 3.027051756699126, 2.229002827418725, 2.7625359554542026, 1.8200146874833303, 2.773652634324238, 3.7019746245557537, 1.3835392628933376, 0.269076141043361, 3.8547341028116033, 2.1711144182458453, 2.4673115731960564, 1.3147779570085485, -0.1757616709931771, 2.9874250071029667, 3.272968272651801, 4.021312585115209, -0.2801810452056179, 2.00314281097575, 2.063581504959628, 3.0050448759211013]|571.3759534987812003|      1.00000000|[912, 128, 16, 32]                                                         |  | used linear model with 65 points | iterate failure | actual_k=8
      17|[1.8513054137868774, 2.9652752330644, 3.125219559592015, 2.786447147254869, 2.4420016204468316, 2.8831081237162772, 4.784989209025284, 2.7461837885678344, 4.9682313585101605, 3.1334456285817462, 3.3062434037449275, 2.359276956130109, 3.5350231177579716, 2.5297281575293624, 2.3172137471695544, 3.421603897683547, 1.450009015929104, -0.8960651152092948, 1.82261756052465, 1.743372234329595, 2.300464402801534, 0.8489411224063474, 3.045899340143836, 0.4786457131510387, 0.7441395186170848, 2.5698067926297035, 1.3110564185486155, 3.058981844056739, 3.7355355374149823, 3.291834132844799, 3.0706606562938443, 2.4307153341218455, 2.6442971580504038, 1.868231536392, 2.801805649287815, 3.930271912590062, 1.4551260296375252, 0.3614192261600173, 3.9841491329730165, 2.280821906958425, 2.4574432004097253, 1.4981505304598635, 0.0192104234276586, 2.9965056971816204, 3.2411091944990305, 4.08277017124784, -0.4370948853397928, 1.9346232006259345, 2.1308775817392984, 2.992628575066185]|552.6738064799084214|      2.00000000|[969, 136, 17, 34]                                                         |  | used linear model with 65 points | iterate success | actual_k=8
      18|[1.8572088562580915, 2.9946659286145088, 3.292802503752938, 3.242185190777605, 2.688549932673014, 3.160916228473985, 4.7523493047389085, 2.9994820994973113, 4.90167456076841, 3.0666175795800505, 3.2818059641048287, 2.5215647581904066, 3.6298961566430576, 2.7674324997686086, 2.4430610904234973, 3.619738066717178, 1.8620535242331275, -0.8353832777474213, 1.7672378267832456, 1.813032289023169, 2.7547587265274007, 1.0311845444025791, 3.1864093285718935, 0.8353396607240815, 1.097748516034806, 2.814944812527507, 1.6002222034022537, 3.160740574414119, 3.7987095683378778, 3.632665167849983, 3.52638211550476, 2.4006569229865553, 2.7913597235718965, 2.4781399819097283, 2.9744758470894963, 4.094325023242805, 1.8634302961416431, 0.642623020661701, 4.216999705116751, 2.407895976605017, 3.183565776953484, 1.865279974279093, 0.5132361614680516, 3.2732552797084984, 3.518227192307685, 4.132525171780728, -0.0903086223002172, 2.3554609663778354, 2.4112740868187164, 3.1457876421652364]|494.4137646342126118|      4.00000000|[1026, 144, 18, 36]                                                        |  | used linear model with 65 points | iterate success | actual_k=8
      19|[1.8572088562580915, 2.9946659286145088, 3.292802503752938, 3.242185190777605, 2.688549932673014, 3.160916228473985, 4.7523493047389085, 2.9994820994973113, 4.90167456076841, 3.0666175795800505, 3.2818059641048287, 2.5215647581904066, 3.6298961566430576, 2.7674324997686086, 2.4430610904234973, 3.619738066717178, 1.8620535242331275, -0.8353832777474213, 1.7672378267832456, 1.813032289023169, 2.7547587265274007, 1.0311845444025791, 3.1864093285718935, 0.8353396607240815, 1.097748516034806, 2.814944812527507, 1.6002222034022537, 3.160740574414119, 3.7987095683378778, 3.632665167849983, 3.52638211550476, 2.4006569229865553, 2.7913597235718965, 2.4781399819097283, 2.9744758470894963, 4.094325023242805, 1.8634302961416431, 0.642623020661701, 4.216999705116751, 2.407895976605017, 3.183565776953484, 1.865279974279093, 0.5132361614680516, 3.2732552797084984, 3.518227192307685, 4.132525171780728, -0.0903086223002172, 2.3554609663778354, 2.4112740868187164, 3.1457876421652364]|494.4137646342126118|      2.00000000|[1083, 152, 19, 38]                                                        |  | used linear model with 65 points | iterate failure | actual_k=8
      20|[1.8572088562580915, 2.9946659286145088, 3.292802503752938, 3.242185190777605, 2.688549932673014, 3.160916228473985, 4.7523493047389085, 2.9994820994973113, 4.90167456076841, 3.0666175795800505, 3.2818059641048287, 2.5215647581904066, 3.6298961566430576, 2.7674324997686086, 2.4430610904234973, 3.619738066717178, 1.8620535242331275, -0.8353832777474213, 1.7672378267832456, 1.813032289023169, 2.7547587265274007, 1.0311845444025791, 3.1864093285718935, 0.8353396607240815, 1.097748516034806, 2.814944812527507, 1.6002222034022537, 3.160740574414119, 3.7987095683378778, 3.632665167849983, 3.52638211550476, 2.4006569229865553, 2.7913597235718965, 2.4781399819097283, 2.9744758470894963, 4.094325023242805, 1.8634302961416431, 0.642623020661701, 4.216999705116751, 2.407895976605017, 3.183565776953484, 1.865279974279093, 0.5132361614680516, 3.2732552797084984, 3.518227192307685, 4.132525171780728, -0.0903086223002172, 2.3554609663778354, 2.4112740868187164, 3.1457876421652364]|494.4137646342126118|      1.00000000|[1140, 160, 20, 40]                                                        |  | used linear model with 65 points | iterate failure | actual_k=8
      21|[1.8824130711055822, 3.026878886224271, 3.279908529067358, 3.354068910988643, 2.624989905523074, 3.2773706548114814, 4.723250893718199, 2.969247888063878, 4.835083092225385, 3.0925928045728184, 3.351068237515163, 2.4206121359939856, 3.7188230806642006, 2.7514482442540222, 2.1039259834722843, 3.593170890347599, 1.602197367740212, -0.7703772203162991, 1.8128797800391157, 1.6177642267550574, 2.8738011552039096, 1.04554320715098, 3.1949559143632515, 0.6747554819241585, 1.2738612291666702, 2.406903621660536, 1.4863278278482335, 3.270629697723865, 3.9478389003131262, 3.631182815631442, 3.3852219926227685, 2.391476262642617, 2.7940038408567323, 2.3578281614250454, 3.088367680808087, 4.1744950988067036, 1.911485887767591, 0.7922112251351112, 4.146273939246423, 2.2702285490109477, 3.252706798179736, 1.7387745650104707, 0.2730836962879976, 3.4591326566163048, 3.6947261531392326, 4.277243692957787, -0.3968122356436622, 2.4969836216190084, 2.218158941183374, 3.065814444332653]|478.8407694405011625|      2.00000000|[1197, 168, 21, 42]                                                        |  | used linear model with 65 points | iterate success | actual_k=8
      22|[2.270542272903425, 3.131491480475228, 4.101290779602062, 3.6371562408829248, 2.925619458813779, 3.1233159774007238, 4.756898613166007, 3.1113917934584725, 4.9896939409358465, 3.2548673680214084, 3.9952374625774123, 2.932722375690906, 3.711315299034804, 2.816401606130553, 2.0804018052366247, 3.4170404101095406, 1.6984617009759642, -0.1270577354064015, 1.8295554285744857, 1.5923533636430027, 2.890917917281092, 0.826670072619225, 3.4277036822253866, 0.9281996163972385, 1.5317774725438664, 2.618229884807923, 1.5747178928895913, 3.692032733994664, 3.993476244719719, 3.5395715829771786, 3.4553344236785413, 2.740955837851168, 3.066826299432721, 2.3551550609972196, 3.549199392375944, 4.351419257276941, 1.8544829831709453, 1.0161003873636827, 4.0968664220403515, 2.4639450431017016, 3.403042517140737, 1.7111962288155151, 0.2656465705664564, 3.190808564209153, 3.2093249163457513, 4.246999990257833, -0.4009975252723962, 2.1786602546963088, 2.5114746460418114, 2.586932380865696]|443.9246324059948279|      4.00000000|[1254, 176, 22, 44]                                                        |  | used linear model with 65 points | iterate success | actual_k=8
      23|[2.270542272903425, 3.131491480475228, 4.101290779602062, 3.6371562408829248, 2.925619458813779, 3.1233159774007238, 4.756898613166007, 3.1113917934584725, 4.9896939409358465, 3.2548673680214084, 3.9952374625774123, 2.932722375690906, 3.711315299034804, 2.816401606130553, 2.0804018052366247, 3.4170404101095406, 1.6984617009759642, -0.1270577354064015, 1.8295554285744857, 1.5923533636430027, 2.890917917281092, 0.826670072619225, 3.4277036822253866, 0.9281996163972385, 1.5317774725438664, 2.618229884807923, 1.5747178928895913, 3.692032733994664, 3.993476244719719, 3.5395715829771786, 3.4553344236785413, 2.740955837851168, 3.066826299432721, 2.3551550609972196, 3.549199392375944, 4.351419257276941, 1.8544829831709453, 1.0161003873636827, 4.0968664220403515, 2.4639450431017016, 3.403042517140737, 1.7111962288155151, 0.2656465705664564, 3.190808564209153, 3.2093249163457513, 4.246999990257833, -0.4009975252723962, 2.1786602546963088, 2.5114746460418114, 2.586932380865696]|443.9246324059948279|      2.00000000|[1311, 184, 23, 46]                                                        |  | used linear model with 65 points | iterate failure | actual_k=8
