k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.694358621175159, -1.3732949466107365, 0.2763505847318632, 0.4100939946860782, -0.475109878329128, -0.1098681224664051, -0.5956554363024344]|60250.3783692052529659|      2.00000000|[8, 0, 1, 3]                                                               |  | used linear model with 8 points | iterate success | actual_k=0
      12|[10.45357978134405, -2.292877099068809, 0.3592865147615138, -2.1063073250031557, 0.0484612884662344, 0.578133512331668, -0.1037097975616873]|23964.7070718071045121|      0.25000000|[96, 0, 12, 36]                                                            |  | used linear model with 8 points | iterate failure | actual_k=0
      13|[10.45357978134405, -2.292877099068809, 0.3592865147615138, -2.1063073250031557, 0.0484612884662344, 0.578133512331668, -0.1037097975616873]|23964.7070718071045121|      0.12500000|[104, 0, 13, 39]                                                           |  | used linear model with 8 points | iterate failure | actual_k=0
      14|[10.45357978134405, -2.292877099068809, 0.3592865147615138, -2.1063073250031557, 0.0484612884662344, 0.578133512331668, -0.1037097975616873]|23964.7070718071045121|      0.06250000|[112, 0, 14, 42]                                                           |  | used linear model with 8 points | iterate failure | actual_k=0
      15|[10.45357978134405, -2.292877099068809, 0.3592865147615138, -2.1063073250031557, 0.0484612884662344, 0.578133512331668, -0.1037097975616873]|23964.7070718071045121|      0.03125000|[120, 0, 15, 45]                                                           |  | used linear model with 8 points | iterate failure | actual_k=0
      16|[10.465902172001172, -2.2950572516646774, 0.3486481741706202, -2.0997203537166755, 0.0564327859496303, 0.5671772226085022, -0.1256146049169118]|12682.8795389686983981|      0.06250000|[128, 0, 16, 48]                                                           |  | used linear model with 8 points | iterate success | actual_k=0
      17|[10.469697791597742, -2.276521267299627, 0.3343722825647585, -2.1186980125156807, 0.0779965494401599, 0.5426671398725722, -0.169416064815702]|9465.0581544438591663|      0.12500000|[136, 0, 17, 51]                                                           |  | used linear model with 8 points | iterate success | actual_k=0
      18|[10.469697791597742, -2.276521267299627, 0.3343722825647585, -2.1186980125156807, 0.0779965494401599, 0.5426671398725722, -0.169416064815702]|9465.0581544438591663|      0.06250000|[144, 0, 18, 54]                                                           |  | used linear model with 8 points | iterate failure | actual_k=0
      19|[10.469697791597742, -2.276521267299627, 0.3343722825647585, -2.1186980125156807, 0.0779965494401599, 0.5426671398725722, -0.169416064815702]|9465.0581544438591663|      0.03125000|[152, 0, 19, 57]                                                           |  | used linear model with 8 points | iterate failure | actual_k=0
      20|[10.469697791597742, -2.276521267299627, 0.3343722825647585, -2.1186980125156807, 0.0779965494401599, 0.5426671398725722, -0.169416064815702]|9465.0581544438591663|      0.01562500|[160, 0, 20, 60]                                                           |  | used linear model with 8 points | iterate failure | actual_k=0
      21|[10.464618680337527, -2.275577816959867, 0.3409110183367572, -2.119603295615712, 0.0755003460422866, 0.5388890522063271, -0.1570316562929608]|9254.9584916153780796|      0.03125000|[168, 0, 21, 63]                                                           |  | used linear model with 8 points | iterate success | actual_k=0
      22|[10.464618680337527, -2.275577816959867, 0.3409110183367572, -2.119603295615712, 0.0755003460422866, 0.5388890522063271, -0.1570316562929608]|9254.9584916153780796|      0.01562500|[176, 0, 22, 66]                                                           |  | used linear model with 8 points | iterate failure | actual_k=0
      23|[10.464618680337527, -2.275577816959867, 0.3409110183367572, -2.119603295615712, 0.0755003460422866, 0.5388890522063271, -0.1570316562929608]|9254.9584916153780796|      0.00781250|[184, 0, 23, 69]                                                           |  | used linear model with 8 points | iterate failure | actual_k=0
      24|[10.461927524256124, -2.274648933735125, 0.3391302840464167, -2.1197603163710297, 0.0747812060252502, 0.5320232783595958, -0.1555900155119862]|9246.4081534764954995|      0.01562500|[192, 0, 24, 72]                                                           |  | used linear model with 8 points | iterate success | actual_k=0
