k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.60955365384053, 0.0519686182417115, 0.1352852997417735, 0.7793853305530221, 1.609250672e-07, -2.422217912e-07, -5.32587174e-08, 2.27899544e-08, 3.16402345e-08, 1.762629297e-07, -1.543221612e-07, 8.62207278e-08, -1.82291335e-08, -3.8467728e-09, -6.20435433e-08, 5.87407109e-08, -2.13268219e-07, 4.22780265e-08, -6.55131027e-08, 8.23336644e-08, 1.427369123e-07, -6.57679062e-08]| 13.1512060165405273|      2.00000000|[126, 0, 0, 2]                                                             |  | trying linear partial model with 65 points | iterate success | actual_k=0
      12|[1.4805471880705299, 0.1244605107105922, 0.3310305094543617, 1.9039118578781915, -2.7397105145e-06, 3.6966653891e-06, -2.5829853475e-06, 4.9568863189e-06, -9.156470458e-06, -1.4278712563e-06, 2.76603195e-08, 4.1998680862e-06, -3.4497333371e-06, 1.7545195694e-06, -9.122821915e-07, 1.9338074396e-06, -1.2266767537e-06, -2.6744469695e-06, -1.3833559779e-06, -2.2584809528e-06, -3.921228231e-07, 2.4701113083e-06]| 12.1448688507080078|      0.06250000|[1501, 0, 0, 24]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      13|[1.4805471880705299, 0.1244605107105922, 0.3310305094543617, 1.9039118578781915, -2.7397105145e-06, 3.6966653891e-06, -2.5829853475e-06, 4.9568863189e-06, -9.156470458e-06, -1.4278712563e-06, 2.76603195e-08, 4.1998680862e-06, -3.4497333371e-06, 1.7545195694e-06, -9.122821915e-07, 1.9338074396e-06, -1.2266767537e-06, -2.6744469695e-06, -1.3833559779e-06, -2.2584809528e-06, -3.921228231e-07, 2.4701113083e-06]| 12.1448688507080078|      0.03125000|[1626, 0, 0, 26]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      14|[1.4974761292691698, 0.1252132707803616, 0.33571460526706, 1.929747208859662, 3.3121553347e-06, 5.708665569e-06, -1.00888602552e-05, 1.62725289183e-05, -1.77994450615e-05, 4.178449769e-07, 4.5498093988e-06, 1.19262133191e-05, -7.90814689e-07, 1.7337642041e-06, -6.6713496812e-06, 7.754580447e-07, 1.0743016372e-06, -1.16665850907e-05, -1.02171564979e-05, -3.4498936615e-06, -1.2198304616e-06, -7.3823202017e-06]| 12.1446199417114258|      0.06250000|[1751, 0, 0, 28]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      15|[1.4974761292691698, 0.1252132707803616, 0.33571460526706, 1.929747208859662, 3.3121553347e-06, 5.708665569e-06, -1.00888602552e-05, 1.62725289183e-05, -1.77994450615e-05, 4.178449769e-07, 4.5498093988e-06, 1.19262133191e-05, -7.90814689e-07, 1.7337642041e-06, -6.6713496812e-06, 7.754580447e-07, 1.0743016372e-06, -1.16665850907e-05, -1.02171564979e-05, -3.4498936615e-06, -1.2198304616e-06, -7.3823202017e-06]| 12.1446199417114258|      0.03125000|[1876, 0, 0, 30]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      16|[1.4974761292691698, 0.1252132707803616, 0.33571460526706, 1.929747208859662, 3.3121553347e-06, 5.708665569e-06, -1.00888602552e-05, 1.62725289183e-05, -1.77994450615e-05, 4.178449769e-07, 4.5498093988e-06, 1.19262133191e-05, -7.90814689e-07, 1.7337642041e-06, -6.6713496812e-06, 7.754580447e-07, 1.0743016372e-06, -1.16665850907e-05, -1.02171564979e-05, -3.4498936615e-06, -1.2198304616e-06, -7.3823202017e-06]| 12.1446199417114258|      0.01562500|[2001, 0, 0, 32]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      17|[1.4974761292691698, 0.1252132707803616, 0.33571460526706, 1.929747208859662, 3.3121553347e-06, 5.708665569e-06, -1.00888602552e-05, 1.62725289183e-05, -1.77994450615e-05, 4.178449769e-07, 4.5498093988e-06, 1.19262133191e-05, -7.90814689e-07, 1.7337642041e-06, -6.6713496812e-06, 7.754580447e-07, 1.0743016372e-06, -1.16665850907e-05, -1.02171564979e-05, -3.4498936615e-06, -1.2198304616e-06, -7.3823202017e-06]| 12.1446199417114258|      0.00781250|[2126, 0, 0, 34]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      18|[1.4912752888127399, 0.1241342247813172, 0.3350593589324328, 1.9251674069660702, -6.60316489719e-05, 9.4730483255e-06, -3.86579869843e-05, 3.16532474153e-05, 5.24274225428e-05, -2.7988922981e-06, 1.39178278299e-05, 1.27178090592e-05, -2.1621366229e-06, -1.34095931461e-05, -9.2188455501e-06, 3.11201800991e-05, -2.22033829003e-05, -4.7187255989e-06, -1.82776952352e-05, -3.48876466928e-05, 4.52606508438e-05, -3.17148801826e-05]| 12.1445903778076172|      0.01562500|[2251, 0, 0, 36]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      19|[1.4912752888127399, 0.1241342247813172, 0.3350593589324328, 1.9251674069660702, -6.60316489719e-05, 9.4730483255e-06, -3.86579869843e-05, 3.16532474153e-05, 5.24274225428e-05, -2.7988922981e-06, 1.39178278299e-05, 1.27178090592e-05, -2.1621366229e-06, -1.34095931461e-05, -9.2188455501e-06, 3.11201800991e-05, -2.22033829003e-05, -4.7187255989e-06, -1.82776952352e-05, -3.48876466928e-05, 4.52606508438e-05, -3.17148801826e-05]| 12.1445903778076172|      0.00781250|[2376, 0, 0, 38]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      20|[1.4912752888127399, 0.1241342247813172, 0.3350593589324328, 1.9251674069660702, -6.60316489719e-05, 9.4730483255e-06, -3.86579869843e-05, 3.16532474153e-05, 5.24274225428e-05, -2.7988922981e-06, 1.39178278299e-05, 1.27178090592e-05, -2.1621366229e-06, -1.34095931461e-05, -9.2188455501e-06, 3.11201800991e-05, -2.22033829003e-05, -4.7187255989e-06, -1.82776952352e-05, -3.48876466928e-05, 4.52606508438e-05, -3.17148801826e-05]| 12.1445903778076172|      0.00390625|[2501, 0, 0, 40]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      21|[1.4887269030142078, 0.1226514676061445, 0.3358144421924862, 1.927575219717354, -0.0001780897414429, -7.55561432772e-05, -8.24170023202e-05, -5.18590233856e-05, -4.74359451382e-05, 2.957736224e-06, 1.37006111425e-05, 0.0001695865584911, -1.2624010718e-06, -5.8895727634e-06, -3.64350050723e-05, -8.64280825157e-05, -7.7136207176e-05, 8.47383131289e-05, 0.0001214144460241, -0.0001047019876144, -0.0001772579511, 0.0001564577549836]| 12.1445827484130859|      0.00781250|[2626, 0, 0, 42]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      22|[1.4887269030142078, 0.1226514676061445, 0.3358144421924862, 1.927575219717354, -0.0001780897414429, -7.55561432772e-05, -8.24170023202e-05, -5.18590233856e-05, -4.74359451382e-05, 2.957736224e-06, 1.37006111425e-05, 0.0001695865584911, -1.2624010718e-06, -5.8895727634e-06, -3.64350050723e-05, -8.64280825157e-05, -7.7136207176e-05, 8.47383131289e-05, 0.0001214144460241, -0.0001047019876144, -0.0001772579511, 0.0001564577549836]| 12.1445827484130859|      0.00390625|[2751, 0, 0, 44]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      23|[1.4857249977895, 0.1214455645378482, 0.3364693451988437, 1.9296434541774914, -0.0001735455388381, -0.0001450335578982, -0.0001497412871545, -9.89564680975e-05, -8.61974142249e-05, -4.60273995266e-05, 3.79474470076e-05, 0.000177152146376, 6.93215705922e-05, 1.22506261232e-05, -0.0001289495537559, 4.58671391003e-05, -0.0001222381153617, -2.38540299002e-05, 0.0001479211982651, -5.0719084127e-06, -5.77547036378e-05, 0.0001766100648514]| 12.1445751190185547|      0.00781250|[2876, 0, 0, 46]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      24|[1.4857249977895, 0.1214455645378482, 0.3364693451988437, 1.9296434541774914, -0.0001735455388381, -0.0001450335578982, -0.0001497412871545, -9.89564680975e-05, -8.61974142249e-05, -4.60273995266e-05, 3.79474470076e-05, 0.000177152146376, 6.93215705922e-05, 1.22506261232e-05, -0.0001289495537559, 4.58671391003e-05, -0.0001222381153617, -2.38540299002e-05, 0.0001479211982651, -5.0719084127e-06, -5.77547036378e-05, 0.0001766100648514]| 12.1445751190185547|      0.00390625|[3001, 0, 0, 48]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      25|[1.4829869626871819, 0.1203496599933242, 0.3372190488517622, 1.9320739605393662, -0.0002326386064567, -0.0001922389916756, -0.0002559011100893, -7.47720056746e-05, -0.0001045757576773, -0.0001118825107849, 0.0001237399530404, 0.0002965089065565, 8.8217340398e-06, -2.2008284699e-06, -0.000151301645386, 0.0001450844135436, -0.0001787408983428, 4.644488359e-05, 0.0002579327624256, -7.13653495356e-05, 1.82761765905e-05, 0.0001214030067908]| 12.1445674896240234|      0.00781250|[3126, 0, 0, 50]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      26|[1.4829869626871819, 0.1203496599933242, 0.3372190488517622, 1.9320739605393662, -0.0002326386064567, -0.0001922389916756, -0.0002559011100893, -7.47720056746e-05, -0.0001045757576773, -0.0001118825107849, 0.0001237399530404, 0.0002965089065565, 8.8217340398e-06, -2.2008284699e-06, -0.000151301645386, 0.0001450844135436, -0.0001787408983428, 4.644488359e-05, 0.0002579327624256, -7.13653495356e-05, 1.82761765905e-05, 0.0001214030067908]| 12.1445674896240234|      0.00390625|[3251, 0, 0, 52]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      27|[1.4798067880215011, 0.1192403912868738, 0.33782860651748, 1.9339323683507643, -0.0003395424306379, -0.0002827456222441, -0.0002734008016653, -0.0002052278375382, -0.0001698364947724, -0.0001280199798127, 0.0001685119921644, 0.0002174295114548, 1.8108445679e-06, -2.21680542555e-05, -0.0001849572171759, 0.0001109870260788, -0.0002036979645006, 0.0001706227264138, 0.0001457902806297, 1.67381053218e-05, 4.36384728078e-05, 0.0001129721126419]| 12.1445598602294922|      0.00781250|[3376, 0, 0, 54]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      28|[1.4798067880215011, 0.1192403912868738, 0.33782860651748, 1.9339323683507643, -0.0003395424306379, -0.0002827456222441, -0.0002734008016653, -0.0002052278375382, -0.0001698364947724, -0.0001280199798127, 0.0001685119921644, 0.0002174295114548, 1.8108445679e-06, -2.21680542555e-05, -0.0001849572171759, 0.0001109870260788, -0.0002036979645006, 0.0001706227264138, 0.0001457902806297, 1.67381053218e-05, 4.36384728078e-05, 0.0001129721126419]| 12.1445598602294922|      0.00390625|[3501, 0, 0, 56]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      29|[1.4798067880215011, 0.1192403912868738, 0.33782860651748, 1.9339323683507643, -0.0003395424306379, -0.0002827456222441, -0.0002734008016653, -0.0002052278375382, -0.0001698364947724, -0.0001280199798127, 0.0001685119921644, 0.0002174295114548, 1.8108445679e-06, -2.21680542555e-05, -0.0001849572171759, 0.0001109870260788, -0.0002036979645006, 0.0001706227264138, 0.0001457902806297, 1.67381053218e-05, 4.36384728078e-05, 0.0001129721126419]| 12.1445598602294922|      0.00195312|[3626, 0, 0, 58]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      30|[1.4785455347763985, 0.1187802017555593, 0.3381122491047391, 1.9352762431742767, -0.0003801235859332, -0.0002510921905189, -0.0001537314117946, -0.0002864508730789, -0.0001079878211763, -0.0001319159875319, 4.26363615576e-05, 0.0001237749128343, 4.53108604037e-05, -0.0001348233235997, -0.0002003933750044, 0.0001909926830555, -0.0002693515897829, 6.6931412817e-05, 0.0002990415987084, -5.30968708011e-05, -1.74453062546e-05, 0.0001858308633074]| 12.1445560455322266|      0.00390625|[3751, 0, 0, 60]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      31|[1.4756417406578406, 0.117615794402413, 0.3388499940802009, 1.9374351969757482, -0.0003796483412203, -3.08678036041e-05, -3.73548919351e-05, -0.0003231970815053, -0.0002382318158637, -0.0003340507727731, 3.7139226504e-06, 7.06439590276e-05, -0.0001865159777613, 2.13655687192e-05, -9.42776206019e-05, 0.0001928356297325, -0.0002962517249233, 6.08399487312e-05, 0.0002499351713575, 0.0001196139785899, 0.0001145697045173, 0.0001996422101587]| 12.1445474624633789|      0.00781250|[3876, 0, 0, 62]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      32|[1.4756417406578406, 0.117615794402413, 0.3388499940802009, 1.9374351969757482, -0.0003796483412203, -3.08678036041e-05, -3.73548919351e-05, -0.0003231970815053, -0.0002382318158637, -0.0003340507727731, 3.7139226504e-06, 7.06439590276e-05, -0.0001865159777613, 2.13655687192e-05, -9.42776206019e-05, 0.0001928356297325, -0.0002962517249233, 6.08399487312e-05, 0.0002499351713575, 0.0001196139785899, 0.0001145697045173, 0.0001996422101587]| 12.1445474624633789|      0.00390625|[4001, 0, 0, 64]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      33|[1.4727419293930266, 0.1164840301800577, 0.3396858557269386, 1.9396262701589058, -0.0004524295049772, -3.36653767461e-05, -7.10270869233e-05, -0.0003251251005247, -0.0001601402565357, -0.0004727369442981, 4.95271019516e-05, 4.65126809801e-05, -0.0001497077573337, 6.18103482756e-05, -0.0001079989500693, 0.000189871081834, -0.0002235499169395, 5.61262337615e-05, 0.0001131551878608, 8.54610290138e-05, 3.41051745831e-05, 0.0001846059071032]| 12.1445398330688477|      0.00781250|[4126, 0, 0, 66]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      34|[1.4727419293930266, 0.1164840301800577, 0.3396858557269386, 1.9396262701589058, -0.0004524295049772, -3.36653767461e-05, -7.10270869233e-05, -0.0003251251005247, -0.0001601402565357, -0.0004727369442981, 4.95271019516e-05, 4.65126809801e-05, -0.0001497077573337, 6.18103482756e-05, -0.0001079989500693, 0.000189871081834, -0.0002235499169395, 5.61262337615e-05, 0.0001131551878608, 8.54610290138e-05, 3.41051745831e-05, 0.0001846059071032]| 12.1445398330688477|      0.00390625|[4251, 0, 0, 68]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      35|[1.469941281770333, 0.1153242854274417, 0.3403882214157541, 1.9419633803145595, -0.0004579230623948, 0.0001033746251548, -9.08555224995e-05, -0.0003508182320293, -0.0001215775423411, -0.000621323952985, -2.15351163076e-05, 6.76308572368e-05, -0.0002018820655076, 3.89855883968e-05, -2.12703469539e-05, 0.0002064787931224, -0.0001587076695713, 2.97324281324e-05, 0.0001364131807871, -0.0001204800568081, -3.64087804375e-05, 0.0002288930736613]| 12.1445322036743164|      0.00781250|[4376, 0, 0, 70]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      36|[1.469941281770333, 0.1153242854274417, 0.3403882214157541, 1.9419633803145595, -0.0004579230623948, 0.0001033746251548, -9.08555224995e-05, -0.0003508182320293, -0.0001215775423411, -0.000621323952985, -2.15351163076e-05, 6.76308572368e-05, -0.0002018820655076, 3.89855883968e-05, -2.12703469539e-05, 0.0002064787931224, -0.0001587076695713, 2.97324281324e-05, 0.0001364131807871, -0.0001204800568081, -3.64087804375e-05, 0.0002288930736613]| 12.1445322036743164|      0.00390625|[4501, 0, 0, 72]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      37|[1.4668977938525118, 0.1141610770571429, 0.3410505352961686, 1.9440009545031098, -0.0004683979345039, 0.0001334674411339, -5.02613878289e-05, -0.0003916502241732, -0.00025030565428, -0.0006460179936452, 2.60318600086e-05, 0.0001582414397508, -0.0001452167779342, 6.78559180148e-05, -1.50534351993e-05, 0.0002321791007759, -0.0002256946406469, 4.3365277873e-06, 0.0001714871715992, -0.0001827355971629, -0.0001087961689523, 0.0002103820813841]| 12.1445236206054688|      0.00781250|[4626, 0, 0, 74]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      38|[1.4668977938525118, 0.1141610770571429, 0.3410505352961686, 1.9440009545031098, -0.0004683979345039, 0.0001334674411339, -5.02613878289e-05, -0.0003916502241732, -0.00025030565428, -0.0006460179936452, 2.60318600086e-05, 0.0001582414397508, -0.0001452167779342, 6.78559180148e-05, -1.50534351993e-05, 0.0002321791007759, -0.0002256946406469, 4.3365277873e-06, 0.0001714871715992, -0.0001827355971629, -0.0001087961689523, 0.0002103820813841]| 12.1445236206054688|      0.00390625|[4751, 0, 0, 76]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      39|[1.4642256456236158, 0.1129975273388145, 0.341631243069234, 1.9464982023657602, -0.0004815294950459, 7.16630860427e-05, -5.37726465138e-05, -0.0005123322531394, -0.0003232364505429, -0.0006124198493547, -5.25507819812e-05, 0.0001087688757617, -0.0001298264421065, 0.0001994576478255, 0.0001375026698821, 9.76050487125e-05, -5.49077961041e-05, -0.0001033331939671, 0.000164874034543, -3.5678428461e-06, 2.23507642133e-05, 0.0001186613979615]| 12.1445159912109375|      0.00781250|[4876, 0, 0, 78]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      40|[1.4642256456236158, 0.1129975273388145, 0.341631243069234, 1.9464982023657602, -0.0004815294950459, 7.16630860427e-05, -5.37726465138e-05, -0.0005123322531394, -0.0003232364505429, -0.0006124198493547, -5.25507819812e-05, 0.0001087688757617, -0.0001298264421065, 0.0001994576478255, 0.0001375026698821, 9.76050487125e-05, -5.49077961041e-05, -0.0001033331939671, 0.000164874034543, -3.5678428461e-06, 2.23507642133e-05, 0.0001186613979615]| 12.1445159912109375|      0.00390625|[5001, 0, 0, 80]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      41|[1.461074416149483, 0.1118582120889995, 0.3423866215833677, 1.9483165086158634, -0.0003718119492616, -4.6504220942e-05, 6.86399807176e-05, -0.0004966535465031, -0.0003437363748097, -0.0006209367775132, -8.07096981976e-05, 0.0001878767597956, -9.13056456765e-05, 0.0001374157444853, -1.69675968573e-05, 0.0003078023947109, -0.0001603256435046, -5.92018600449e-05, 0.0002536973308092, -1.4009610281e-06, -5.49534092745e-05, 5.09511957805e-05]| 12.1445083618164062|      0.00781250|[5126, 0, 0, 82]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      42|[1.461074416149483, 0.1118582120889995, 0.3423866215833677, 1.9483165086158634, -0.0003718119492616, -4.6504220942e-05, 6.86399807176e-05, -0.0004966535465031, -0.0003437363748097, -0.0006209367775132, -8.07096981976e-05, 0.0001878767597956, -9.13056456765e-05, 0.0001374157444853, -1.69675968573e-05, 0.0003078023947109, -0.0001603256435046, -5.92018600449e-05, 0.0002536973308092, -1.4009610281e-06, -5.49534092745e-05, 5.09511957805e-05]| 12.1445083618164062|      0.00390625|[5251, 0, 0, 84]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      43|[1.4584898207358656, 0.1105856788424294, 0.3430978835594848, 1.9508396004641473, -0.0003691028250729, -1.10674744079e-05, 0.0001294934124791, -0.0004395277830332, -0.0002594741205547, -0.0006606148213359, -7.98100270483e-05, 0.0002928485975562, -1.20578096803e-05, 0.0001279808636474, -0.0001477717053098, 0.0003004072629437, -0.0001613249236175, -6.60711318982e-05, 0.0001440268306827, -9.04251229851e-05, 2.13406763919e-05, -4.97919174252e-05]| 12.1445007324218750|      0.00781250|[5376, 0, 0, 86]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      44|[1.4584898207358656, 0.1105856788424294, 0.3430978835594848, 1.9508396004641473, -0.0003691028250729, -1.10674744079e-05, 0.0001294934124791, -0.0004395277830332, -0.0002594741205547, -0.0006606148213359, -7.98100270483e-05, 0.0002928485975562, -1.20578096803e-05, 0.0001279808636474, -0.0001477717053098, 0.0003004072629437, -0.0001613249236175, -6.60711318982e-05, 0.0001440268306827, -9.04251229851e-05, 2.13406763919e-05, -4.97919174252e-05]| 12.1445007324218750|      0.00390625|[5501, 0, 0, 88]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
