k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.005465363937104, -1.4666858043094726, 0.355770364090794, 0.1634126999823493, 0.6702522826517273, -0.1816411322939228, -0.3314385681130427]|58897.6176942344172858|      2.00000000|[13, 4, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=4
      19|[9.529114423820936, -1.6287485127593206, 0.740503423311837, -1.6504083593319305, 1.6478880866158856, -0.3540581677757477, -0.0945001153779445]|8256.6225799051444483|      0.03125000|[247, 76, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      20|[9.539856400077374, -1.6374867140088956, 0.73963597385691, -1.6423878189074337, 1.6659894905377481, -0.3509413730922973, -0.1140541306875678]|6851.4898947527453856|      0.06250000|[260, 80, 20, 40]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      21|[9.539856400077374, -1.6374867140088956, 0.73963597385691, -1.6423878189074337, 1.6659894905377481, -0.3509413730922973, -0.1140541306875678]|6851.4898947527453856|      0.03125000|[273, 84, 21, 42]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      22|[9.539856400077374, -1.6374867140088956, 0.73963597385691, -1.6423878189074337, 1.6659894905377481, -0.3509413730922973, -0.1140541306875678]|6851.4898947527453856|      0.01562500|[286, 88, 22, 44]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      23|[9.539856400077374, -1.6374867140088956, 0.73963597385691, -1.6423878189074337, 1.6659894905377481, -0.3509413730922973, -0.1140541306875678]|6851.4898947527453856|      0.00781250|[299, 92, 23, 46]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      24|[9.539856400077374, -1.6374867140088956, 0.73963597385691, -1.6423878189074337, 1.6659894905377481, -0.3509413730922973, -0.1140541306875678]|6851.4898947527453856|      0.00390625|[312, 96, 24, 48]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      25|[9.539698088650688, -1.6377714280450815, 0.738893413600584, -1.6426303182021535, 1.6658027728839886, -0.3519607767826872, -0.1103841967012598]|6808.2177913122704922|      0.00781250|[325, 100, 25, 50]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      26|[9.539698088650688, -1.6377714280450815, 0.738893413600584, -1.6426303182021535, 1.6658027728839886, -0.3519607767826872, -0.1103841967012598]|6808.2177913122704922|      0.00390625|[338, 104, 26, 52]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      27|[9.539698088650688, -1.6377714280450815, 0.738893413600584, -1.6426303182021535, 1.6658027728839886, -0.3519607767826872, -0.1103841967012598]|6808.2177913122704922|      0.00195312|[351, 108, 27, 54]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      28|[9.539698088650688, -1.6377714280450815, 0.738893413600584, -1.6426303182021535, 1.6658027728839886, -0.3519607767826872, -0.1103841967012598]|6808.2177913122704922|      0.00097656|[364, 112, 28, 56]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      29|[9.539709553983759, -1.6377878215059734, 0.7389577981149202, -1.64238187011007, 1.6657349328895616, -0.3528467619951822, -0.1106969749537549]|6805.2756652143725660|      0.00195312|[377, 116, 29, 58]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      30|[9.539709553983759, -1.6377878215059734, 0.7389577981149202, -1.64238187011007, 1.6657349328895616, -0.3528467619951822, -0.1106969749537549]|6805.2756652143725660|      0.00097656|[390, 120, 30, 60]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      31|[9.539839992847014, -1.637932952476763, 0.7389952468590634, -1.6422969945350514, 1.6655384469567907, -0.3537156190067006, -0.1110338302947584]|6803.3984859979873363|      0.00195312|[403, 124, 31, 62]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      32|[9.539839992847014, -1.637932952476763, 0.7389952468590634, -1.6422969945350514, 1.6655384469567907, -0.3537156190067006, -0.1110338302947584]|6803.3984859979873363|      0.00097656|[416, 128, 32, 64]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      33|[9.539736234069814, -1.6377205701564848, 0.7387764153154966, -1.6419684868235531, 1.6653788003961345, -0.354297065189965, -0.1104186628921292]|6801.1680599220489967|      0.00195312|[429, 132, 33, 66]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      34|[9.539736234069814, -1.6377205701564848, 0.7387764153154966, -1.6419684868235531, 1.6653788003961345, -0.354297065189965, -0.1104186628921292]|6801.1680599220489967|      0.00097656|[442, 136, 34, 68]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      35|[9.539702695334228, -1.6376344405370742, 0.7386758973810204, -1.6416401559854372, 1.6653206024695402, -0.355170804897438, -0.1106644638050598]|6798.4814563295894914|      0.00195312|[455, 140, 35, 70]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
