k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]                                                  |564.8131740000001173|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.1362331979734839, 0.0318365411316315, 1.1454261366762608, 0.3316668726629139, 0.9779470694180793, 0.2843725212467814]|489.2129474201632320|      2.00000000|[13, 4, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=4
      18|[0.7617682200542351, 0.2211875374183008, 1.1198795247890305, 2.056533854039543, 0.8163714304997407, -0.628626873152958]| 82.0566200642797412|      0.06250000|[234, 72, 18, 36]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      19|[0.7461766535564213, 0.2294020805242045, 1.1163503950801774, 2.112903451565389, 0.7966731674817809, -0.6244237209961813]| 79.2270407820355018|      0.12500000|[247, 76, 19, 38]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      20|[0.7461766535564213, 0.2294020805242045, 1.1163503950801774, 2.112903451565389, 0.7966731674817809, -0.6244237209961813]| 79.2270407820355018|      0.06250000|[260, 80, 20, 40]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      21|[0.7043467238986029, 0.2201013887584775, 1.1183043590893438, 2.134472169936275, 0.7674023718245517, -0.6517036962817626]| 76.9298304313396955|      0.12500000|[273, 84, 21, 42]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      22|[0.7043467238986029, 0.2201013887584775, 1.1183043590893438, 2.134472169936275, 0.7674023718245517, -0.6517036962817626]| 76.9298304313396955|      0.06250000|[286, 88, 22, 44]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      23|[0.6669685768756167, 0.2219968115756294, 1.0992093594743162, 2.1539022212954597, 0.7347110266418009, -0.6253472636419684]| 75.1726747385115175|      0.12500000|[299, 92, 23, 46]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      24|[0.6669685768756167, 0.2219968115756294, 1.0992093594743162, 2.1539022212954597, 0.7347110266418009, -0.6253472636419684]| 75.1726747385115175|      0.06250000|[312, 96, 24, 48]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      25|[0.6474208243375784, 0.2080382131187405, 1.113945104694106, 2.1788577253123558, 0.7053774779033066, -0.6657071007367518]| 73.2199718414132406|      0.12500000|[325, 100, 25, 50]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      26|[0.6474208243375784, 0.2080382131187405, 1.113945104694106, 2.1788577253123558, 0.7053774779033066, -0.6657071007367518]| 73.2199718414132406|      0.06250000|[338, 104, 26, 52]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      27|[0.6015935166074183, 0.2210087798819429, 1.108746194320452, 2.1908536372247847, 0.6827178176946647, -0.6348286051193911]| 72.1206781077471959|      0.12500000|[351, 108, 27, 54]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      28|[0.5349922219264814, 0.206679954315384, 1.0863262098005766, 2.284328982866177, 0.6628384691689998, -0.6715500955337532]| 68.5783558413354655|      0.25000000|[364, 112, 28, 56]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      29|[0.5349922219264814, 0.206679954315384, 1.0863262098005766, 2.284328982866177, 0.6628384691689998, -0.6715500955337532]| 68.5783558413354655|      0.12500000|[377, 116, 29, 58]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      30|[0.5349922219264814, 0.206679954315384, 1.0863262098005766, 2.284328982866177, 0.6628384691689998, -0.6715500955337532]| 68.5783558413354655|      0.06250000|[390, 120, 30, 60]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
