k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]                                                  |564.8131740000001173|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.0240077967941735, -0.0250136100255777, 1.0301518821592144, 0.401262634191721, 0.7461561917121273, 0.2417350748005629]|476.0170703344804224|      2.00000000|[17, 0, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=0
      20|[0.7036914497501352, 0.7468001037061051, 0.9567928338697811, 1.9886261962130218, 0.4066347964570677, -0.7852756097056184]| 72.1398615884718311|      0.25000000|[340, 0, 20, 40]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      21|[0.7036914497501352, 0.7468001037061051, 0.9567928338697811, 1.9886261962130218, 0.4066347964570677, -0.7852756097056184]| 72.1398615884718311|      0.12500000|[357, 0, 21, 42]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      22|[0.7230410661344993, 0.7316037854589857, 0.9631146889808926, 2.037987584590038, 0.3745957982425797, -0.8925912858036132]| 70.6027306204715757|      0.25000000|[374, 0, 22, 44]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      23|[0.7230410661344993, 0.7316037854589857, 0.9631146889808926, 2.037987584590038, 0.3745957982425797, -0.8925912858036132]| 70.6027306204715757|      0.12500000|[391, 0, 23, 46]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      24|[0.6495264895066566, 0.7453883645571405, 0.9468271221425371, 2.022407825372488, 0.3431791330465245, -0.8002031273660515]| 69.1912236817730246|      0.25000000|[408, 0, 24, 48]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      25|[0.6495264895066566, 0.7453883645571405, 0.9468271221425371, 2.022407825372488, 0.3431791330465245, -0.8002031273660515]| 69.1912236817730246|      0.12500000|[425, 0, 25, 50]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      26|[0.6710502289871763, 0.7253838587501662, 0.9548214223094914, 2.055564461618148, 0.3131178726538185, -0.9128734324491078]| 67.5746153307523372|      0.25000000|[442, 0, 26, 52]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      27|[0.6710502289871763, 0.7253838587501662, 0.9548214223094914, 2.055564461618148, 0.3131178726538185, -0.9128734324491078]| 67.5746153307523372|      0.12500000|[459, 0, 27, 54]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      28|[0.6710502289871763, 0.7253838587501662, 0.9548214223094914, 2.055564461618148, 0.3131178726538185, -0.9128734324491078]| 67.5746153307523372|      0.06250000|[476, 0, 28, 56]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      29|[0.6352123980837976, 0.735932597820481, 0.9452813805129926, 2.0567422912436246, 0.2995521349700055, -0.865606159826757]| 64.1766216800749589|      0.12500000|[493, 0, 29, 58]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      30|[0.5569472242261918, 0.7278303529159247, 0.9281669485472188, 2.076975563820803, 0.213380118984385, -0.9017449305422338]| 60.5259849559985028|      0.25000000|[510, 0, 30, 60]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
