k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[11.0, 3.0, 0.5, 40.0, -0.7, -1.3, 25.0, -0.3, 1.4]                             |1153.9439484858455671|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.541806440038362, 3.1105009141522264, 0.3527199732275064, 39.977233158106316, -0.4221651202158369, -1.0726291995033774, 25.58734108249536, -0.3592100701202342, 0.8724837507036731]|936.5604174076787558|      2.00000000|[13, 4, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=4
      30|[10.619169602119262, 3.0600456183077562, 0.5250025851616558, 40.487472699685256, -0.6705086689675656, -1.3685112731258098, 26.296247264698188, -0.5767601559724354, 1.2771277588210639]|841.6602257742929396|      0.06250000|[390, 120, 30, 60]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      31|[10.637709954347688, 3.045400315416844, 0.505153267949763, 40.52972025321937, -0.6743496991379943, -1.346557458354262, 26.308251361475957, -0.553794176653984, 1.2780823413393443]|840.5131061459230750|      0.12500000|[403, 124, 31, 62]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      32|[10.637709954347688, 3.045400315416844, 0.505153267949763, 40.52972025321937, -0.6743496991379943, -1.346557458354262, 26.308251361475957, -0.553794176653984, 1.2780823413393443]|840.5131061459230750|      0.06250000|[416, 128, 32, 64]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      33|[10.637709954347688, 3.045400315416844, 0.505153267949763, 40.52972025321937, -0.6743496991379943, -1.346557458354262, 26.308251361475957, -0.553794176653984, 1.2780823413393443]|840.5131061459230750|      0.03125000|[429, 132, 33, 66]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      34|[10.637794184330993, 3.04436721684081, 0.5099446181754806, 40.54762225855956, -0.6855854093589643, -1.3371909215826479, 26.309448259453717, -0.53542547135268, 1.2869836999984148]|839.9740245547205859|      0.06250000|[442, 136, 34, 68]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      35|[10.64388880299866, 3.0707584499843423, 0.5203454691572791, 40.58595092846342, -0.6912653158280664, -1.3300912308819677, 26.338641441902134, -0.5205262529387336, 1.3079228557206157]|838.8549434234652153|      0.12500000|[455, 140, 35, 70]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      36|[10.64388880299866, 3.0707584499843423, 0.5203454691572791, 40.58595092846342, -0.6912653158280664, -1.3300912308819677, 26.338641441902134, -0.5205262529387336, 1.3079228557206157]|838.8549434234652153|      0.06250000|[468, 144, 36, 72]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      37|[10.615123051552214, 3.0609602823676796, 0.5282689677386763, 40.616917945823275, -0.70008856858016, -1.3046016063224157, 26.365938657599006, -0.5088839550813125, 1.3267054973778853]|838.0621965694065238|      0.12500000|[481, 148, 37, 74]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      38|[10.615123051552214, 3.0609602823676796, 0.5282689677386763, 40.616917945823275, -0.70008856858016, -1.3046016063224157, 26.365938657599006, -0.5088839550813125, 1.3267054973778853]|838.0621965694065238|      0.06250000|[494, 152, 38, 76]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      39|[10.6109316605598, 3.062943572262298, 0.5108823689693944, 40.65121403682174, -0.7060844752006, -1.3006395492712484, 26.36677911736029, -0.4603679077632581, 1.3269721731129434]|837.0824930450183956|      0.12500000|[507, 156, 39, 78]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      40|[10.6109316605598, 3.062943572262298, 0.5108823689693944, 40.65121403682174, -0.7060844752006, -1.3006395492712484, 26.36677911736029, -0.4603679077632581, 1.3269721731129434]|837.0824930450183956|      0.06250000|[520, 160, 40, 80]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      41|[10.630726750962712, 3.070869993079373, 0.5292705879547799, 40.69184450662631, -0.7230632015464099, -1.278005703769884, 26.387049110834656, -0.4445531390384079, 1.328005090921752]|836.1180186228660887|      0.12500000|[533, 164, 41, 82]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      42|[10.630726750962712, 3.070869993079373, 0.5292705879547799, 40.69184450662631, -0.7230632015464099, -1.278005703769884, 26.387049110834656, -0.4445531390384079, 1.328005090921752]|836.1180186228660887|      0.06250000|[546, 168, 42, 84]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      43|[10.630362091199776, 3.053121912787421, 0.519680546679262, 40.71683746904065, -0.7447573153666592, -1.273660278723649, 26.385930068784266, -0.3984717134929179, 1.3118731884114003]|835.5576533662004977|      0.12500000|[559, 172, 43, 86]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      44|[10.630362091199776, 3.053121912787421, 0.519680546679262, 40.71683746904065, -0.7447573153666592, -1.273660278723649, 26.385930068784266, -0.3984717134929179, 1.3118731884114003]|835.5576533662004977|      0.06250000|[572, 176, 44, 88]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      45|[10.630362091199776, 3.053121912787421, 0.519680546679262, 40.71683746904065, -0.7447573153666592, -1.273660278723649, 26.385930068784266, -0.3984717134929179, 1.3118731884114003]|835.5576533662004977|      0.03125000|[585, 180, 45, 90]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
