k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      1.00000000|[0, 0, 0, 0]                                                               | 
      18|[-0.0022384766588298, -0.0025767346185428, -0.0010838132613939, -0.0013454775251741, -0.0010778606359836, 0.0018558113173044, 0.0012051160283788, -0.0019240653745782, -0.0012281042065998, -0.003014795019464, 0.0011448422919324, -0.0024699241782057, 0.0009712577354494, -0.0029893627784322, 1.0007972577109532]|2113.7495117187500000|      0.00097656|[507, 36, 0, 36]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      19|[-0.0022384766588298, -0.0025767346185428, -0.0010838132613939, -0.0013454775251741, -0.0010778606359836, 0.0018558113173044, 0.0012051160283788, -0.0019240653745782, -0.0012281042065998, -0.003014795019464, 0.0011448422919324, -0.0024699241782057, 0.0009712577354494, -0.0029893627784322, 1.0007972577109532]|2113.7495117187500000|      0.00048828|[535, 38, 0, 38]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      20|[-0.0023313354109607, -0.0027382763361099, -0.0012885012688629, -0.0013309665982552, -0.0009917055829166, 0.0021012677320305, 0.0012500783955987, -0.0019831632374117, -0.0014124284915805, -0.0029693738148879, 0.0012000272968367, -0.0025995096394154, 0.0008646729974628, -0.0029982185502358, 1.0006520282189981]|2113.3789062500000000|      0.00097656|[563, 40, 0, 40]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      21|[-0.0025409062193332, -0.0032161073691305, -0.0012886051883406, -0.001287840094098, -0.0010005345957135, 0.0018231434473195, 0.0015408127328372, -0.0021690004860399, -0.001729933440127, -0.0030201932114982, 0.0009029080788644, -0.0023618240614814, 0.0006900804626565, -0.0034315105689648, 1.0005228454430848]|2113.0761718750000000|      0.00195312|[591, 42, 0, 42]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      22|[-0.0025409062193332, -0.0032161073691305, -0.0012886051883406, -0.001287840094098, -0.0010005345957135, 0.0018231434473195, 0.0015408127328372, -0.0021690004860399, -0.001729933440127, -0.0030201932114982, 0.0009029080788644, -0.0023618240614814, 0.0006900804626565, -0.0034315105689648, 1.0005228454430848]|2113.0761718750000000|      0.00097656|[619, 44, 0, 44]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      23|[-0.0025409062193332, -0.0032161073691305, -0.0012886051883406, -0.001287840094098, -0.0010005345957135, 0.0018231434473195, 0.0015408127328372, -0.0021690004860399, -0.001729933440127, -0.0030201932114982, 0.0009029080788644, -0.0023618240614814, 0.0006900804626565, -0.0034315105689648, 1.0005228454430848]|2113.0761718750000000|      0.00048828|[647, 46, 0, 46]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      24|[-0.0023541209514023, -0.0034393595762891, -0.0012443157124972, -0.0011786243374904, -0.0010452960137579, 0.001901441385671, 0.0015873164635812, -0.0021378043727262, -0.0015895761437189, -0.0028316581346167, 0.0010361329853033, -0.0022860271452041, 0.0005086255485736, -0.0035436524074316, 1.0005883232072956]|2112.8562011718750000|      0.00097656|[675, 48, 0, 48]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      25|[-0.0023541209514023, -0.0034393595762891, -0.0012443157124972, -0.0011786243374904, -0.0010452960137579, 0.001901441385671, 0.0015873164635812, -0.0021378043727262, -0.0015895761437189, -0.0028316581346167, 0.0010361329853033, -0.0022860271452041, 0.0005086255485736, -0.0035436524074316, 1.0005883232072956]|2112.8562011718750000|      0.00048828|[703, 50, 0, 50]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      26|[-0.0025296203016025, -0.0036075489923004, -0.0013897812726053, -0.0011883953705958, -0.0010940951127134, 0.0021441463051176, 0.0016312126817606, -0.0021092607576502, -0.0015711803573857, -0.0029107940511118, 0.001040349218306, -0.0022058557945443, 0.0005868458765234, -0.0035986954616794, 1.0008563759101274]|2112.7685546875000000|      0.00097656|[731, 52, 0, 52]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      27|[-0.0025296203016025, -0.0036075489923004, -0.0013897812726053, -0.0011883953705958, -0.0010940951127134, 0.0021441463051176, 0.0016312126817606, -0.0021092607576502, -0.0015711803573857, -0.0029107940511118, 0.001040349218306, -0.0022058557945443, 0.0005868458765234, -0.0035986954616794, 1.0008563759101274]|2112.7685546875000000|      0.00048828|[760, 54, 0, 54]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      28|[-0.0022772438159202, -0.0038560266218812, -0.001462642526133, -0.0013364724929456, -0.0010481447620561, 0.0021537066410366, 0.0017775675166439, -0.0021897538743954, -0.0015310590098523, -0.0031191563640786, 0.0010860307753935, -0.0022082488333518, 0.0006558306732279, -0.0035430360561447, 1.0008304478061987]|2112.6591796875000000|      0.00097656|[788, 56, 0, 56]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      29|[-0.0022772438159202, -0.0038560266218812, -0.001462642526133, -0.0013364724929456, -0.0010481447620561, 0.0021537066410366, 0.0017775675166439, -0.0021897538743954, -0.0015310590098523, -0.0031191563640786, 0.0010860307753935, -0.0022082488333518, 0.0006558306732279, -0.0035430360561447, 1.0008304478061987]|2112.6591796875000000|      0.00048828|[816, 58, 0, 58]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      30|[-0.0022772438159202, -0.0038560266218812, -0.001462642526133, -0.0013364724929456, -0.0010481447620561, 0.0021537066410366, 0.0017775675166439, -0.0021897538743954, -0.0015310590098523, -0.0031191563640786, 0.0010860307753935, -0.0022082488333518, 0.0006558306732279, -0.0035430360561447, 1.0008304478061987]|2112.6591796875000000|      0.00024414|[844, 60, 0, 60]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      31|[-0.0023648778809783, -0.0039656726467355, -0.0014247993158111, -0.0012673231907526, -0.000964444690995, 0.002146592701978, 0.001793012519828, -0.0021578561742366, -0.0015604673115425, -0.0031596174057952, 0.0009597509000479, -0.0022359265543786, 0.0006556883020644, -0.0035960444131843, 1.000772550524599]|2112.5312500000000000|      0.00048828|[872, 62, 0, 62]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      32|[-0.0022765365567977, -0.0041999992781298, -0.0014474377442583, -0.0013558404830631, -0.0009512304359172, 0.002362622751635, 0.0017756693833382, -0.0020767864722648, -0.0017181516060846, -0.0032788025143272, 0.0008689910351273, -0.0020869692705171, 0.0006316132032728, -0.0037862255601216, 1.00085855865596]|2112.4919433593750000|      0.00097656|[900, 64, 0, 64]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      33|[-0.0022765365567977, -0.0041999992781298, -0.0014474377442583, -0.0013558404830631, -0.0009512304359172, 0.002362622751635, 0.0017756693833382, -0.0020767864722648, -0.0017181516060846, -0.0032788025143272, 0.0008689910351273, -0.0020869692705171, 0.0006316132032728, -0.0037862255601216, 1.00085855865596]|2112.4919433593750000|      0.00048828|[928, 66, 0, 66]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      34|[-0.0022765365567977, -0.0041999992781298, -0.0014474377442583, -0.0013558404830631, -0.0009512304359172, 0.002362622751635, 0.0017756693833382, -0.0020767864722648, -0.0017181516060846, -0.0032788025143272, 0.0008689910351273, -0.0020869692705171, 0.0006316132032728, -0.0037862255601216, 1.00085855865596]|2112.4919433593750000|      0.00024414|[956, 68, 0, 68]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      35|[-0.0023704222370543, -0.0042425978962447, -0.0014762152782824, -0.0013089807956644, -0.0009802424230242, 0.0022753792834479, 0.001798952285511, -0.0021164566225165, -0.0016307135902097, -0.0032073752268969, 0.0009264887290831, -0.0020705842058711, 0.000553423361194, -0.0038940652452391, 1.0008948602267174]|2112.3479003906250000|      0.00048828|[985, 70, 0, 70]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      36|[-0.0023378911504194, -0.004270447736444, -0.0016416034244178, -0.0013137013567491, -0.0010593343878685, 0.002025160836384, 0.0018396806523459, -0.0019550438229126, -0.0016579631045242, -0.0032277011233673, 0.0009369779801397, -0.0020254066792465, 0.0005777137553788, -0.0042055721153616, 1.000786701987779]|2112.2497558593750000|      0.00097656|[1013, 72, 0, 72]                                                          |  | trying linear partial model with 16 points | iterate success | actual_k=1
      37|[-0.0023378911504194, -0.004270447736444, -0.0016416034244178, -0.0013137013567491, -0.0010593343878685, 0.002025160836384, 0.0018396806523459, -0.0019550438229126, -0.0016579631045242, -0.0032277011233673, 0.0009369779801397, -0.0020254066792465, 0.0005777137553788, -0.0042055721153616, 1.000786701987779]|2112.2497558593750000|      0.00048828|[1042, 74, 0, 74]                                                          |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      38|[-0.0024410776457862, -0.0044803896160875, -0.0016659928236855, -0.0013809217401845, -0.0009581273631565, 0.0021710401069563, 0.0018555574971625, -0.0018575766604468, -0.0013799146793851, -0.003265101588105, 0.0010489248717903, -0.0018724198733429, 0.0005595562870376, -0.0041717418809219, 1.0006411492616878]|2112.1567382812500000|      0.00097656|[1071, 76, 0, 76]                                                          |  | trying linear partial model with 16 points | iterate success | actual_k=1
      39|[-0.0024410776457862, -0.0044803896160875, -0.0016659928236855, -0.0013809217401845, -0.0009581273631565, 0.0021710401069563, 0.0018555574971625, -0.0018575766604468, -0.0013799146793851, -0.003265101588105, 0.0010489248717903, -0.0018724198733429, 0.0005595562870376, -0.0041717418809219, 1.0006411492616878]|2112.1567382812500000|      0.00048828|[1099, 78, 0, 78]                                                          |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      40|[-0.0024410776457862, -0.0044803896160875, -0.0016659928236855, -0.0013809217401845, -0.0009581273631565, 0.0021710401069563, 0.0018555574971625, -0.0018575766604468, -0.0013799146793851, -0.003265101588105, 0.0010489248717903, -0.0018724198733429, 0.0005595562870376, -0.0041717418809219, 1.0006411492616878]|2112.1567382812500000|      0.00024414|[1127, 80, 0, 80]                                                          |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      41|[-0.0022754688577955, -0.0045731075554049, -0.0017196729978212, -0.0013243510029325, -0.000986507537517, 0.0021060023235653, 0.0019187330395425, -0.0018800206792099, -0.0013483548626026, -0.0032272108360533, 0.0010651407086955, -0.0019064598278112, 0.0005266766765785, -0.0041863115387828, 1.0006942809003814]|2112.0952148437500000|      0.00048828|[1155, 82, 0, 82]                                                          |  | trying linear partial model with 16 points | iterate success | actual_k=1
      42|[-0.0022754688577955, -0.0045731075554049, -0.0017196729978212, -0.0013243510029325, -0.000986507537517, 0.0021060023235653, 0.0019187330395425, -0.0018800206792099, -0.0013483548626026, -0.0032272108360533, 0.0010651407086955, -0.0019064598278112, 0.0005266766765785, -0.0041863115387828, 1.0006942809003814]|2112.0952148437500000|      0.00024414|[1184, 84, 0, 84]                                                          |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      43|[-0.0024079276944155, -0.0047300249166947, -0.0017326730045794, -0.0013704291486437, -0.000965811194337, 0.0020821587821163, 0.0019089844739403, -0.0018683790250976, -0.0013641399139907, -0.0032004569901118, 0.0010784750993458, -0.0018626156808429, 0.0004479511633408, -0.0042041365965076, 1.0006284315173308]|2111.9726562500000000|      0.00048828|[1212, 86, 0, 86]                                                          |  | trying linear partial model with 16 points | iterate success | actual_k=1
      44|[-0.0022480821091731, -0.0050977452572711, -0.0017274546858361, -0.0013190648486506, -0.00098652650705, 0.0020538455826016, 0.0019233189107288, -0.0018876870791298, -0.0013544894017735, -0.0030922714302715, 0.0009764035999152, -0.0018758086964594, 0.0003468858378117, -0.0044055205271168, 1.0006244848056602]|2111.7722167968750000|      0.00097656|[1240, 88, 0, 88]                                                          |  | trying linear partial model with 16 points | iterate success | actual_k=1
      45|[-0.0022480821091731, -0.0050977452572711, -0.0017274546858361, -0.0013190648486506, -0.00098652650705, 0.0020538455826016, 0.0019233189107288, -0.0018876870791298, -0.0013544894017735, -0.0030922714302715, 0.0009764035999152, -0.0018758086964594, 0.0003468858378117, -0.0044055205271168, 1.0006244848056602]|2111.7722167968750000|      0.00048828|[1268, 90, 0, 90]                                                          |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      46|[-0.0024279491693473, -0.0051397774295957, -0.0019823082260468, -0.001319426018245, -0.000971462747528, 0.0021421041118892, 0.0019784193328258, -0.0018998026500403, -0.0014568308075604, -0.0030605072757727, 0.0008471781481136, -0.0021074026334043, 0.0004491606773385, -0.0043739521945428, 1.0008112347297384]|2111.7001953125000000|      0.00097656|[1296, 92, 0, 92]                                                          |  | trying linear partial model with 16 points | iterate success | actual_k=1
      47|[-0.0024279491693473, -0.0051397774295957, -0.0019823082260468, -0.001319426018245, -0.000971462747528, 0.0021421041118892, 0.0019784193328258, -0.0018998026500403, -0.0014568308075604, -0.0030605072757727, 0.0008471781481136, -0.0021074026334043, 0.0004491606773385, -0.0043739521945428, 1.0008112347297384]|2111.7001953125000000|      0.00048828|[1324, 94, 0, 94]                                                          |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      48|[-0.0024279491693473, -0.0051397774295957, -0.0019823082260468, -0.001319426018245, -0.000971462747528, 0.0021421041118892, 0.0019784193328258, -0.0018998026500403, -0.0014568308075604, -0.0030605072757727, 0.0008471781481136, -0.0021074026334043, 0.0004491606773385, -0.0043739521945428, 1.0008112347297384]|2111.7001953125000000|      0.00024414|[1353, 96, 0, 96]                                                          |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      49|[-0.0022520639578015, -0.0052170731812493, -0.0019775930897887, -0.0013456174895027, -0.0009800521430614, 0.0021331348652594, 0.0019392542929991, -0.0018939178472894, -0.001484100102302, -0.0029402921026002, 0.0008722983690452, -0.0021197429474441, 0.0004436629405823, -0.0044351036456998, 1.0008339302282112]|2111.6445312500000000|      0.00048828|[1382, 98, 0, 98]                                                          |  | trying linear partial model with 16 points | iterate success | actual_k=1
      50|[-0.0022520639578015, -0.0052170731812493, -0.0019775930897887, -0.0013456174895027, -0.0009800521430614, 0.0021331348652594, 0.0019392542929991, -0.0018939178472894, -0.001484100102302, -0.0029402921026002, 0.0008722983690452, -0.0021197429474441, 0.0004436629405823, -0.0044351036456998, 1.0008339302282112]|2111.6445312500000000|      0.00024414|[1410, 100, 0, 100]                                                        |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      51|[-0.0023484327334343, -0.0053233866586446, -0.0019816514424123, -0.0012971389202018, -0.0009496418380377, 0.0020194124527222, 0.0020529842485145, -0.0018938132552297, -0.0015194223981736, -0.0029007899789067, 0.0008533791027696, -0.0021261866646034, 0.0003936527418083, -0.0044983729911113, 1.0008218950111492]|2111.5300292968750000|      0.00048828|[1438, 102, 0, 102]                                                        |  | trying linear partial model with 16 points | iterate success | actual_k=1
      52|[-0.0023484327334343, -0.0053233866586446, -0.0019816514424123, -0.0012971389202018, -0.0009496418380377, 0.0020194124527222, 0.0020529842485145, -0.0018938132552297, -0.0015194223981736, -0.0029007899789067, 0.0008533791027696, -0.0021261866646034, 0.0003936527418083, -0.0044983729911113, 1.0008218950111492]|2111.5300292968750000|      0.00024414|[1466, 104, 0, 104]                                                        |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      53|[-0.0022846971622486, -0.005431330687852, -0.0021207819248094, -0.0012625832108553, -0.0009636129483724, 0.0020437816476452, 0.0021022521794815, -0.0019249345857884, -0.0016328636592262, -0.0028742831608513, 0.0008372507505567, -0.0021786419031044, 0.0003432040387639, -0.0044969115157863, 1.000817017527845]|2111.4487304687500000|      0.00048828|[1494, 106, 0, 106]                                                        |  | trying linear partial model with 16 points | iterate success | actual_k=1
      54|[-0.0024726054952902, -0.005747509750671, -0.0021960792819432, -0.0011195800892498, -0.0008236622655132, 0.002055277302646, 0.0021473340160967, -0.0020163032616332, -0.0017700601084978, -0.0028404236407014, 0.0009162732228008, -0.0022262011429361, 0.0003122887903687, -0.004564004042061, 1.0007030509651214]|2111.3156738281250000|      0.00097656|[1522, 108, 0, 108]                                                        |  | trying linear partial model with 16 points | iterate success | actual_k=1
      55|[-0.0024726054952902, -0.005747509750671, -0.0021960792819432, -0.0011195800892498, -0.0008236622655132, 0.002055277302646, 0.0021473340160967, -0.0020163032616332, -0.0017700601084978, -0.0028404236407014, 0.0009162732228008, -0.0022262011429361, 0.0003122887903687, -0.004564004042061, 1.0007030509651214]|2111.3156738281250000|      0.00048828|[1550, 110, 0, 110]                                                        |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      56|[-0.002184359150854, -0.0059628388339651, -0.002297868640917, -0.0012040386532862, -0.0007110908894468, 0.0021351223774637, 0.0021857605288362, -0.0021255879352414, -0.0018821440022029, -0.002753711517609, 0.0008244780635046, -0.0023382671501356, 0.0002333098962767, -0.0046521963661275, 1.0007656761623234]|2111.1086425781250000|      0.00097656|[1578, 112, 0, 112]                                                        |  | trying linear partial model with 16 points | iterate success | actual_k=1
      57|[-0.002184359150854, -0.0059628388339651, -0.002297868640917, -0.0012040386532862, -0.0007110908894468, 0.0021351223774637, 0.0021857605288362, -0.0021255879352414, -0.0018821440022029, -0.002753711517609, 0.0008244780635046, -0.0023382671501356, 0.0002333098962767, -0.0046521963661275, 1.0007656761623234]|2111.1086425781250000|      0.00048828|[1606, 114, 0, 114]                                                        |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      58|[-0.002184359150854, -0.0059628388339651, -0.002297868640917, -0.0012040386532862, -0.0007110908894468, 0.0021351223774637, 0.0021857605288362, -0.0021255879352414, -0.0018821440022029, -0.002753711517609, 0.0008244780635046, -0.0023382671501356, 0.0002333098962767, -0.0046521963661275, 1.0007656761623234]|2111.1086425781250000|      0.00024414|[1634, 116, 0, 116]                                                        |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      59|[-0.002311695326552, -0.0060403556922919, -0.0023685048189768, -0.0012544070499253, -0.0006619407524033, 0.0021610476103002, 0.0022169885492037, -0.0020910729009594, -0.001937212252453, -0.0027782830995778, 0.000868812860901, -0.0022475704363447, 0.0001720892171087, -0.0047358885789, 1.0007701931576116]|2110.9814453125000000|      0.00048828|[1662, 118, 0, 118]                                                        |  | trying linear partial model with 16 points | iterate success | actual_k=1
      60|[-0.0024287623888676, -0.0062368232218146, -0.0024622661241648, -0.0014086153044348, -0.0006244320176135, 0.001958083864529, 0.002278519212767, -0.0020454606081543, -0.0019913506030823, -0.0028290245842562, 0.0009844926106538, -0.0021574183412958, -4.24113133959e-05, -0.0049149124300737, 1.0007695210244265]|2110.8837890625000000|      0.00097656|[1690, 120, 0, 120]                                                        |  | trying linear partial model with 16 points | iterate success | actual_k=1
      61|[-0.0024287623888676, -0.0062368232218146, -0.0024622661241648, -0.0014086153044348, -0.0006244320176135, 0.001958083864529, 0.002278519212767, -0.0020454606081543, -0.0019913506030823, -0.0028290245842562, 0.0009844926106538, -0.0021574183412958, -4.24113133959e-05, -0.0049149124300737, 1.0007695210244265]|2110.8837890625000000|      0.00048828|[1718, 122, 0, 122]                                                        |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
