k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[11.0, 3.0, 0.5, 40.0, -0.7, -1.3, 25.0, -0.3, 1.4]                             |1153.9439484858455671|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[11.0, 3.0, 0.5, 40.0, -0.7, -1.3, 25.0, -0.3, 1.4]                             |1153.9439484858455671|      0.50000000|[10, 3, 1, 4]                                                              |  | used linear model with 13 points | iterate failure | actual_k=1
      12|[10.699042814821759, 3.075357057393591, 0.4309336153020627, 40.33307052793357, -0.5139553868098988, -1.2838602848956893, 25.93412261846206, -0.7871854503941522, 0.829916843598323]|863.5346339990442175|      0.25000000|[120, 36, 12, 48]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      13|[10.699042814821759, 3.075357057393591, 0.4309336153020627, 40.33307052793357, -0.5139553868098988, -1.2838602848956893, 25.93412261846206, -0.7871854503941522, 0.829916843598323]|863.5346339990442175|      0.12500000|[130, 39, 13, 52]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      14|[10.699042814821759, 3.075357057393591, 0.4309336153020627, 40.33307052793357, -0.5139553868098988, -1.2838602848956893, 25.93412261846206, -0.7871854503941522, 0.829916843598323]|863.5346339990442175|      0.06250000|[140, 42, 14, 56]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      15|[10.699042814821759, 3.075357057393591, 0.4309336153020627, 40.33307052793357, -0.5139553868098988, -1.2838602848956893, 25.93412261846206, -0.7871854503941522, 0.829916843598323]|863.5346339990442175|      0.03125000|[150, 45, 15, 60]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      16|[10.699798170662962, 3.0725406788884113, 0.4463946224154766, 40.34254660346198, -0.5197296481333641, -1.289289115209543, 25.955704911135047, -0.7900042898544486, 0.8400492517994234]|862.1680444019904144|      0.06250000|[160, 48, 16, 64]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      17|[10.695849401233689, 3.0600377321422587, 0.4444848032770358, 40.353027905120875, -0.5305107987153758, -1.3080075275585026, 25.978773080829757, -0.801966850319284, 0.8898385375381694]|859.4843627409143210|      0.12500000|[170, 51, 17, 68]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      18|[10.652606562647035, 3.0591172611238413, 0.4974865015669004, 40.33291780815929, -0.5435215361607184, -1.3881241784508531, 25.96860092463961, -0.7930074725285914, 0.9512300139141862]|857.0771326002197839|      0.25000000|[180, 54, 18, 72]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      19|[10.652606562647035, 3.0591172611238413, 0.4974865015669004, 40.33291780815929, -0.5435215361607184, -1.3881241784508531, 25.96860092463961, -0.7930074725285914, 0.9512300139141862]|857.0771326002197839|      0.12500000|[190, 57, 19, 76]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      20|[10.652606562647035, 3.0591172611238413, 0.4974865015669004, 40.33291780815929, -0.5435215361607184, -1.3881241784508531, 25.96860092463961, -0.7930074725285914, 0.9512300139141862]|857.0771326002197839|      0.06250000|[200, 60, 20, 80]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      21|[10.682556553304265, 3.036788134429342, 0.4899403650105591, 40.34602244737512, -0.5533016884053021, -1.3789479489691192, 26.013448406366507, -0.8002370073215911, 0.9450199367172012]|856.0691898059716323|      0.12500000|[210, 63, 21, 84]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      22|[10.682556553304265, 3.036788134429342, 0.4899403650105591, 40.34602244737512, -0.5533016884053021, -1.3789479489691192, 26.013448406366507, -0.8002370073215911, 0.9450199367172012]|856.0691898059716323|      0.06250000|[220, 66, 22, 88]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      23|[10.682556553304265, 3.036788134429342, 0.4899403650105591, 40.34602244737512, -0.5533016884053021, -1.3789479489691192, 26.013448406366507, -0.8002370073215911, 0.9450199367172012]|856.0691898059716323|      0.03125000|[230, 69, 23, 92]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
