k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, 10.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0]                                    |1607.3529257951240652|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.634005958308641, 9.393930455458783, 9.51078954121009, 9.877064580200615, 0.0583683415977005, -0.0193580082311379, 0.3168527834608876, -0.374313766811861]|1572.1633306353992339|      2.00000000|[17, 0, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=0
      12|[2.4842892630214815, 1.6185876328307582, 1.6471917075516003, 3.190288143160783, 1.012803300113962, 1.9025616503043437, 2.3132036322406706, 1.5764041048469843]|109.8331317368154600|      1.00000000|[204, 0, 12, 24]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      13|[2.1214293026389233, 1.8169993535195679, 2.156177718338621, 3.1870336769270997, 0.7410353057382688, 1.2399702220009843, 2.1183816727165126, 1.4383923373189318]|103.7508700497158713|      2.00000000|[221, 0, 13, 26]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      14|[1.3113125062487212, 1.371884176597176, 2.221551800806152, 2.8896881666104184, 0.1776848905515677, 0.0444465574648745, 1.5969832293098993, 0.4213386156443355]| 84.2098854485222859|      4.00000000|[238, 0, 14, 28]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      15|[0.2873528175615163, -1.2633548583282486, 2.2198920391035313, 3.3242927472011425, -0.1860201761111194, -0.266807195240028, -0.9245482389965156, -0.6881011838585815]| 55.2326701992161659|      8.00000000|[255, 0, 15, 30]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      16|[0.2873528175615163, -1.2633548583282486, 2.2198920391035313, 3.3242927472011425, -0.1860201761111194, -0.266807195240028, -0.9245482389965156, -0.6881011838585815]| 55.2326701992161659|      4.00000000|[272, 0, 16, 32]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      17|[0.2784060461625226, -0.161412230265775, 0.4837874285885864, 0.8908143395220383, -0.0693238200457242, -1.5611699170680717, 1.0553154352377856, -0.1972723371930276]| 13.7175828270408129|      8.00000000|[289, 0, 17, 34]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      18|[0.2784060461625226, -0.161412230265775, 0.4837874285885864, 0.8908143395220383, -0.0693238200457242, -1.5611699170680717, 1.0553154352377856, -0.1972723371930276]| 13.7175828270408129|      4.00000000|[306, 0, 18, 36]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      19|[0.2784060461625226, -0.161412230265775, 0.4837874285885864, 0.8908143395220383, -0.0693238200457242, -1.5611699170680717, 1.0553154352377856, -0.1972723371930276]| 13.7175828270408129|      2.00000000|[323, 0, 19, 38]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      20|[0.2784060461625226, -0.161412230265775, 0.4837874285885864, 0.8908143395220383, -0.0693238200457242, -1.5611699170680717, 1.0553154352377856, -0.1972723371930276]| 13.7175828270408129|      1.00000000|[340, 0, 20, 40]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      21|[0.1132699378410967, -0.5081715776814445, -0.0534208354868227, 0.6191786576843914, -0.0798135570959501, -0.8833441292243098, 0.9970878649741229, -0.3620785108692173]| 11.7478903557308954|      2.00000000|[357, 0, 21, 42]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      22|[0.1132699378410967, -0.5081715776814445, -0.0534208354868227, 0.6191786576843914, -0.0798135570959501, -0.8833441292243098, 0.9970878649741229, -0.3620785108692173]| 11.7478903557308954|      1.00000000|[374, 0, 22, 44]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      23|[0.6542468017805763, -0.1111759987643846, 0.1171931641152436, 0.9222424064299644, 0.1551886342651544, -0.8060724848548133, 1.04512424795781, -0.9664602935863489]|  3.7858445423983356|      2.00000000|[391, 0, 23, 46]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      24|[0.6542468017805763, -0.1111759987643846, 0.1171931641152436, 0.9222424064299644, 0.1551886342651544, -0.8060724848548133, 1.04512424795781, -0.9664602935863489]|  3.7858445423983356|      1.00000000|[408, 0, 24, 48]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      25|[0.6542468017805763, -0.1111759987643846, 0.1171931641152436, 0.9222424064299644, 0.1551886342651544, -0.8060724848548133, 1.04512424795781, -0.9664602935863489]|  3.7858445423983356|      0.50000000|[425, 0, 25, 50]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      26|[0.6542468017805763, -0.1111759987643846, 0.1171931641152436, 0.9222424064299644, 0.1551886342651544, -0.8060724848548133, 1.04512424795781, -0.9664602935863489]|  3.7858445423983356|      0.25000000|[442, 0, 26, 52]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      27|[0.6509936034836543, -0.2080942032449198, -0.0139422690542354, 0.8060563892527163, 0.2528496060807697, -0.8441753739300519, 0.958191575882283, -1.0285392825843178]|  2.0236101678877030|      0.50000000|[459, 0, 27, 54]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      28|[0.6509936034836543, -0.2080942032449198, -0.0139422690542354, 0.8060563892527163, 0.2528496060807697, -0.8441753739300519, 0.958191575882283, -1.0285392825843178]|  2.0236101678877030|      0.25000000|[476, 0, 28, 56]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      29|[0.6886962715483749, -0.2133893126264541, 0.0019571164058418, 0.7473123115227256, 0.3307272182006896, -0.6736390040167167, 0.8165919182125905, -1.0748941585542853]|  1.1787597389468700|      0.50000000|[493, 0, 29, 58]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      30|[0.6886962715483749, -0.2133893126264541, 0.0019571164058418, 0.7473123115227256, 0.3307272182006896, -0.6736390040167167, 0.8165919182125905, -1.0748941585542853]|  1.1787597389468700|      0.25000000|[510, 0, 30, 60]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      31|[0.6886962715483749, -0.2133893126264541, 0.0019571164058418, 0.7473123115227256, 0.3307272182006896, -0.6736390040167167, 0.8165919182125905, -1.0748941585542853]|  1.1787597389468700|      0.12500000|[527, 0, 31, 62]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      32|[0.6976038364512519, -0.2033378988382658, -0.0161023005133193, 0.6851265817612459, 0.3037291559936158, -0.7071606214723597, 0.7287282679128927, -1.1158673400168555]|  0.8403526134195838|      0.25000000|[544, 0, 32, 64]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      33|[0.6976038364512519, -0.2033378988382658, -0.0161023005133193, 0.6851265817612459, 0.3037291559936158, -0.7071606214723597, 0.7287282679128927, -1.1158673400168555]|  0.8403526134195838|      0.12500000|[561, 0, 33, 66]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      34|[0.6781652827441389, -0.2043913438966785, -0.0057116996135093, 0.5975483076162432, 0.3333406763416364, -0.7234523734609137, 0.6610259895564647, -1.1576076368435335]|  0.6366273173099177|      0.25000000|[578, 0, 34, 68]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      35|[0.6781652827441389, -0.2043913438966785, -0.0057116996135093, 0.5975483076162432, 0.3333406763416364, -0.7234523734609137, 0.6610259895564647, -1.1576076368435335]|  0.6366273173099177|      0.12500000|[595, 0, 35, 70]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      36|[0.6471406716535608, -0.1656994828102925, 0.0458670834210217, 0.5789139672029445, 0.4097510996976071, -0.722216880579918, 0.6884298812577644, -1.09788535147271]|  0.5143171772527667|      0.25000000|[612, 0, 36, 72]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      37|[0.6471406716535608, -0.1656994828102925, 0.0458670834210217, 0.5789139672029445, 0.4097510996976071, -0.722216880579918, 0.6884298812577644, -1.09788535147271]|  0.5143171772527667|      0.12500000|[629, 0, 37, 74]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      38|[0.6471406716535608, -0.1656994828102925, 0.0458670834210217, 0.5789139672029445, 0.4097510996976071, -0.722216880579918, 0.6884298812577644, -1.09788535147271]|  0.5143171772527667|      0.06250000|[646, 0, 38, 76]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      39|[0.6192347197058393, -0.1807190143277879, 0.0388323607884806, 0.5330817916636528, 0.4235037826370269, -0.7407780764963815, 0.6789910493265655, -1.0865231311087926]|  0.4607556800242968|      0.12500000|[663, 0, 39, 78]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      40|[0.6192347197058393, -0.1807190143277879, 0.0388323607884806, 0.5330817916636528, 0.4235037826370269, -0.7407780764963815, 0.6789910493265655, -1.0865231311087926]|  0.4607556800242968|      0.06250000|[680, 0, 40, 80]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
