k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]                     |  7.1860500120595514|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]                     |  7.1860500120595514|      0.50000000|[13, 4, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=4
      12|[1.1919119693662488, -1.1431092912549399, -1.190569047662188, -1.154015052486662, -1.0780338764504234, -1.1559736998117824, -1.15512642090979, -1.040534701906041, -1.173869127862965, -1.0628573757287427]|  0.0175563085252343|      0.06250000|[156, 48, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      13|[1.1919119693662488, -1.1431092912549399, -1.190569047662188, -1.154015052486662, -1.0780338764504234, -1.1559736998117824, -1.15512642090979, -1.040534701906041, -1.173869127862965, -1.0628573757287427]|  0.0175563085252343|      0.03125000|[169, 52, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      14|[1.187101177099104, -1.1490844755519358, -1.1793129207682589, -1.1420186999723592, -1.0808796782696493, -1.1552650897456869, -1.157288309731664, -1.0590718634602834, -1.1767174408845742, -1.0460618596895053]|  0.0095643215790352|      0.06250000|[182, 56, 14, 28]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      15|[1.187101177099104, -1.1490844755519358, -1.1793129207682589, -1.1420186999723592, -1.0808796782696493, -1.1552650897456869, -1.157288309731664, -1.0590718634602834, -1.1767174408845742, -1.0460618596895053]|  0.0095643215790352|      0.03125000|[195, 60, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      16|[1.187101177099104, -1.1490844755519358, -1.1793129207682589, -1.1420186999723592, -1.0808796782696493, -1.1552650897456869, -1.157288309731664, -1.0590718634602834, -1.1767174408845742, -1.0460618596895053]|  0.0095643215790352|      0.01562500|[208, 64, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      17|[1.1831588550566927, -1.1391617211949703, -1.170005160815757, -1.1405619278799475, -1.0842287832908573, -1.1531226233998988, -1.161081636122128, -1.0615304457216272, -1.1767213405133115, -1.0483291166421251]|  0.0051065179814840|      0.03125000|[221, 68, 17, 34]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      18|[1.1831588550566927, -1.1391617211949703, -1.170005160815757, -1.1405619278799475, -1.0842287832908573, -1.1531226233998988, -1.161081636122128, -1.0615304457216272, -1.1767213405133115, -1.0483291166421251]|  0.0051065179814840|      0.01562500|[234, 72, 18, 36]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      19|[1.1805837329938744, -1.132656413081214, -1.1716946579645393, -1.1477620076255342, -1.0889296896253025, -1.1440159939087444, -1.1633137427858997, -1.0640125271440166, -1.1755860759020589, -1.0531284617651973]|  0.0036470969082789|      0.03125000|[247, 76, 19, 38]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      20|[1.1805837329938744, -1.132656413081214, -1.1716946579645393, -1.1477620076255342, -1.0889296896253025, -1.1440159939087444, -1.1633137427858997, -1.0640125271440166, -1.1755860759020589, -1.0531284617651973]|  0.0036470969082789|      0.01562500|[260, 80, 20, 40]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      21|[1.1747449525456242, -1.1293718606260714, -1.1636916979269445, -1.145512667281745, -1.095405730915042, -1.146007089619381, -1.1708395576071864, -1.0643369867225054, -1.1807560743086005, -1.0540107669956436]|  0.0020515083813554|      0.03125000|[273, 84, 21, 42]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      22|[1.1747449525456242, -1.1293718606260714, -1.1636916979269445, -1.145512667281745, -1.095405730915042, -1.146007089619381, -1.1708395576071864, -1.0643369867225054, -1.1807560743086005, -1.0540107669956436]|  0.0020515083813554|      0.01562500|[286, 88, 22, 44]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      23|[1.1718338251119984, -1.1280560915051339, -1.157254609944384, -1.1465817252414763, -1.104616540996565, -1.1467775301444072, -1.1662150423457969, -1.0679874547817687, -1.185931562686769, -1.047345529737937]|  0.0013673174859072|      0.03125000|[299, 92, 23, 46]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      24|[1.1718338251119984, -1.1280560915051339, -1.157254609944384, -1.1465817252414763, -1.104616540996565, -1.1467775301444072, -1.1662150423457969, -1.0679874547817687, -1.185931562686769, -1.047345529737937]|  0.0013673174859072|      0.01562500|[312, 96, 24, 48]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      25|[1.1718338251119984, -1.1280560915051339, -1.157254609944384, -1.1465817252414763, -1.104616540996565, -1.1467775301444072, -1.1662150423457969, -1.0679874547817687, -1.185931562686769, -1.047345529737937]|  0.0013673174859072|      0.00781250|[325, 100, 25, 50]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      26|[1.1703192804684721, -1.1275436085223753, -1.1552884376814758, -1.1440334884673105, -1.1031754402175789, -1.1436976311212834, -1.1650674967595376, -1.0730307771907721, -1.1874292193506446, -1.0500954099564421]|  0.0009631248259956|      0.01562500|[338, 104, 26, 52]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      27|[1.1617668867559754, -1.1295631555409267, -1.1492180667005116, -1.1452823293020984, -1.1016593684001315, -1.1379013564157663, -1.1655110116165484, -1.0763871961691618, -1.1945853350530573, -1.0555673464873663]|  0.0006452528738753|      0.03125000|[351, 108, 27, 54]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      28|[1.1617668867559754, -1.1295631555409267, -1.1492180667005116, -1.1452823293020984, -1.1016593684001315, -1.1379013564157663, -1.1655110116165484, -1.0763871961691618, -1.1945853350530573, -1.0555673464873663]|  0.0006452528738753|      0.01562500|[364, 112, 28, 56]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      29|[1.1617668867559754, -1.1295631555409267, -1.1492180667005116, -1.1452823293020984, -1.1016593684001315, -1.1379013564157663, -1.1655110116165484, -1.0763871961691618, -1.1945853350530573, -1.0555673464873663]|  0.0006452528738753|      0.00781250|[377, 116, 29, 58]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      30|[1.1612391236395057, -1.1272469018499842, -1.1505416466387723, -1.1447789350103748, -1.10771985911559, -1.13603281799, -1.1646247176893867, -1.0794733886165369, -1.1957136990693187, -1.0543095580096369]|  0.0004285644042291|      0.01562500|[390, 120, 30, 60]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      31|[1.1612391236395057, -1.1272469018499842, -1.1505416466387723, -1.1447789350103748, -1.10771985911559, -1.13603281799, -1.1646247176893867, -1.0794733886165369, -1.1957136990693187, -1.0543095580096369]|  0.0004285644042291|      0.00781250|[403, 124, 31, 62]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      32|[1.1612391236395057, -1.1272469018499842, -1.1505416466387723, -1.1447789350103748, -1.10771985911559, -1.13603281799, -1.1646247176893867, -1.0794733886165369, -1.1957136990693187, -1.0543095580096369]|  0.0004285644042291|      0.00390625|[416, 128, 32, 64]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      33|[1.1603741398803624, -1.1265459288597957, -1.1487672933625634, -1.1447081225429776, -1.1100462823958877, -1.1366792655553162, -1.165569917258766, -1.0812430109818398, -1.196679138677835, -1.0545901041883163]|  0.0003453996775398|      0.00781250|[429, 132, 33, 66]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      34|[1.1584757735623363, -1.1283311238809142, -1.1489182149543635, -1.1441765443034388, -1.1123440884443638, -1.1350130646025074, -1.1632194776251714, -1.0870731358116077, -1.1944719443439817, -1.0558133459782906]|  0.0002524486621825|      0.01562500|[442, 136, 34, 68]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      35|[1.1584757735623363, -1.1283311238809142, -1.1489182149543635, -1.1441765443034388, -1.1123440884443638, -1.1350130646025074, -1.1632194776251714, -1.0870731358116077, -1.1944719443439817, -1.0558133459782906]|  0.0002524486621825|      0.00781250|[455, 140, 35, 70]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      36|[1.1595541145709864, -1.1233608269095856, -1.1471034328039793, -1.143193585145157, -1.1158163759793722, -1.137193716261125, -1.1647065995652288, -1.0874908356090895, -1.197739490316526, -1.0568301832934737]|  0.0002129416510055|      0.01562500|[468, 144, 36, 72]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      37|[1.1595541145709864, -1.1233608269095856, -1.1471034328039793, -1.143193585145157, -1.1158163759793722, -1.137193716261125, -1.1647065995652288, -1.0874908356090895, -1.197739490316526, -1.0568301832934737]|  0.0002129416510055|      0.00781250|[481, 148, 37, 74]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      38|[1.1598690887747898, -1.1209097328519158, -1.147244395827132, -1.1409910612551595, -1.1190674348192649, -1.1331296199549945, -1.160811150244283, -1.0852636708784815, -1.196410434847529, -1.055795937478133]|  0.0001732399415244|      0.01562500|[494, 152, 38, 76]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      39|[1.1598690887747898, -1.1209097328519158, -1.147244395827132, -1.1409910612551595, -1.1190674348192649, -1.1331296199549945, -1.160811150244283, -1.0852636708784815, -1.196410434847529, -1.055795937478133]|  0.0001732399415244|      0.00781250|[507, 156, 39, 78]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      40|[1.1621233512964084, -1.1222357564402115, -1.1463340410885403, -1.1410393200375688, -1.1194571420599655, -1.1353765953640018, -1.1612257000166906, -1.0918370643088189, -1.1984619535088872, -1.0550388431822175]|  0.0001450632028905|      0.01562500|[520, 160, 40, 80]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      41|[1.1621233512964084, -1.1222357564402115, -1.1463340410885403, -1.1410393200375688, -1.1194571420599655, -1.1353765953640018, -1.1612257000166906, -1.0918370643088189, -1.1984619535088872, -1.0550388431822175]|  0.0001450632028905|      0.00781250|[533, 164, 41, 82]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      42|[1.1621233512964084, -1.1222357564402115, -1.1463340410885403, -1.1410393200375688, -1.1194571420599655, -1.1353765953640018, -1.1612257000166906, -1.0918370643088189, -1.1984619535088872, -1.0550388431822175]|  0.0001450632028905|      0.00390625|[546, 168, 42, 84]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      43|[1.1629789186600386, -1.1206304649344372, -1.1464116782444134, -1.1404736981466612, -1.1208806716128064, -1.134513279549387, -1.1594224881635922, -1.0895327526636702, -1.1981496073095002, -1.0545993648529846]|  0.0001372910222613|      0.00781250|[559, 172, 43, 86]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      44|[1.1629789186600386, -1.1206304649344372, -1.1464116782444134, -1.1404736981466612, -1.1208806716128064, -1.134513279549387, -1.1594224881635922, -1.0895327526636702, -1.1981496073095002, -1.0545993648529846]|  0.0001372910222613|      0.00390625|[572, 176, 44, 88]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      45|[1.1625394103439208, -1.119736186695485, -1.1454384559096804, -1.1397437727848796, -1.1239619691631988, -1.1338740729890877, -1.1596293750735431, -1.0909629694097844, -1.1973217998008783, -1.0549300734268297]|  0.0001133130976349|      0.00781250|[585, 180, 45, 90]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      46|[1.1625394103439208, -1.119736186695485, -1.1454384559096804, -1.1397437727848796, -1.1239619691631988, -1.1338740729890877, -1.1596293750735431, -1.0909629694097844, -1.1973217998008783, -1.0549300734268297]|  0.0001133130976349|      0.00390625|[598, 184, 46, 92]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      47|[1.1625394103439208, -1.119736186695485, -1.1454384559096804, -1.1397437727848796, -1.1239619691631988, -1.1338740729890877, -1.1596293750735431, -1.0909629694097844, -1.1973217998008783, -1.0549300734268297]|  0.0001133130976349|      0.00195312|[611, 188, 47, 94]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      48|[1.1627111897526674, -1.1195224407363125, -1.145325863860356, -1.1395635508651172, -1.1245692258170554, -1.133101479096304, -1.159422511041933, -1.0921711707903843, -1.1972301864403008, -1.0560335889804335]|  0.0001034923944388|      0.00390625|[624, 192, 48, 96]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      49|[1.163825310540092, -1.1194167110124849, -1.1440962371755212, -1.1387067634202674, -1.1261639606544929, -1.1325637965028428, -1.1594687786129956, -1.0910629339173432, -1.1945326873863986, -1.0566825620735336]|  0.0000987086806268|      0.00781250|[637, 196, 49, 98]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      50|[1.1628724489943827, -1.1154344336683208, -1.1459847566772534, -1.13870672070458, -1.1282134391733853, -1.1282980525206567, -1.158876437198307, -1.091788024348124, -1.1922589114469075, -1.0601837842801762]|  0.0000822728395995|      0.01562500|[650, 200, 50, 100]                                                        |  | used linear model with 17 points | iterate success | actual_k=4
