k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]                              | 51.0855557048649089|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.3053032808601111, -0.0664952220687551, 0.782067374985517, 0.7574426516066186, 0.3088559541869138, 0.1690591697280175, 0.8929064986818732, 1.3076309380871427, 0.9971017531565504, 0.9900113153371952]| 29.6583452769100937|      2.00000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
      19|[0.3477408192809554, -0.3199554007179486, 0.8443070109374737, 0.8088410738697205, 0.3434692127973098, 0.3409727988330524, 0.9026969427587728, 1.462926236180851, 0.9610390810439322, 0.9653347350404271]|  4.1368217934003244|      0.00781250|[304, 19, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      20|[0.3453633328543518, -0.3144685635543478, 0.8450584117772018, 0.8125329039233339, 0.3427653019443219, 0.3390608508553377, 0.900715174938467, 1.4615939478150213, 0.9600002289462035, 0.9649468241073311]|  4.0795737046060552|      0.01562500|[320, 20, 20, 40]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      21|[0.341429526833507, -0.3200805602590592, 0.847210547871928, 0.8194697661743565, 0.3477881945222746, 0.3402159768062389, 0.902632505940784, 1.45783049439091, 0.9523586897206434, 0.9584952418889126]|  3.9988275259487631|      0.03125000|[336, 21, 21, 42]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      22|[0.341429526833507, -0.3200805602590592, 0.847210547871928, 0.8194697661743565, 0.3477881945222746, 0.3402159768062389, 0.902632505940784, 1.45783049439091, 0.9523586897206434, 0.9584952418889126]|  3.9988275259487631|      0.01562500|[352, 22, 22, 44]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      23|[0.341429526833507, -0.3200805602590592, 0.847210547871928, 0.8194697661743565, 0.3477881945222746, 0.3402159768062389, 0.902632505940784, 1.45783049439091, 0.9523586897206434, 0.9584952418889126]|  3.9988275259487631|      0.00781250|[368, 23, 23, 46]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      24|[0.3403628732122118, -0.3145127371093207, 0.8479228710775067, 0.822271695413283, 0.3452257358342916, 0.3413006874117783, 0.9000648955502997, 1.4582404398918984, 0.9520356964337693, 0.9560599297638663]|  3.9534205746466013|      0.01562500|[384, 24, 24, 48]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      25|[0.3403628732122118, -0.3145127371093207, 0.8479228710775067, 0.822271695413283, 0.3452257358342916, 0.3413006874117783, 0.9000648955502997, 1.4582404398918984, 0.9520356964337693, 0.9560599297638663]|  3.9534205746466013|      0.00781250|[400, 25, 25, 50]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      26|[0.3421013070866816, -0.3199288000833649, 0.848852279464517, 0.8246856919274022, 0.3427704114638236, 0.3423565367763976, 0.8990660529047075, 1.4559683950711402, 0.9500415210528095, 0.9538901276387721]|  3.9260301609953596|      0.01562500|[416, 26, 26, 52]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      27|[0.3421013070866816, -0.3199288000833649, 0.848852279464517, 0.8246856919274022, 0.3427704114638236, 0.3423565367763976, 0.8990660529047075, 1.4559683950711402, 0.9500415210528095, 0.9538901276387721]|  3.9260301609953596|      0.00781250|[432, 27, 27, 54]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      28|[0.3421013070866816, -0.3199288000833649, 0.848852279464517, 0.8246856919274022, 0.3427704114638236, 0.3423565367763976, 0.8990660529047075, 1.4559683950711402, 0.9500415210528095, 0.9538901276387721]|  3.9260301609953596|      0.00390625|[448, 28, 28, 56]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      29|[0.3424160394019634, -0.3166764169059432, 0.8488284806488281, 0.8259046244166145, 0.3420212105770399, 0.3419699059749604, 0.9001378746105267, 1.4563964125306246, 0.9490322894390666, 0.9537056310471719]|  3.8957558448056622|      0.00781250|[464, 29, 29, 58]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      30|[0.3424160394019634, -0.3166764169059432, 0.8488284806488281, 0.8259046244166145, 0.3420212105770399, 0.3419699059749604, 0.9001378746105267, 1.4563964125306246, 0.9490322894390666, 0.9537056310471719]|  3.8957558448056622|      0.00390625|[480, 30, 30, 60]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      31|[0.3420407822301962, -0.3178086689376672, 0.8499372068090953, 0.828102255248106, 0.3410965764548934, 0.3413238493700997, 0.8990872132584555, 1.4579367380731048, 0.9492274170141366, 0.9519764065783466]|  3.8790923568426496|      0.00781250|[496, 31, 31, 62]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      32|[0.3405185618846546, -0.3166465608165197, 0.8514482501001884, 0.83443885379317, 0.3400394625380673, 0.3441093856372246, 0.9002845726858139, 1.4573536064010115, 0.9481980754884483, 0.9501814650792682]|  3.8546155388467107|      0.01562500|[512, 32, 32, 64]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      33|[0.3405185618846546, -0.3166465608165197, 0.8514482501001884, 0.83443885379317, 0.3400394625380673, 0.3441093856372246, 0.9002845726858139, 1.4573536064010115, 0.9481980754884483, 0.9501814650792682]|  3.8546155388467107|      0.00781250|[528, 33, 33, 66]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      34|[0.3401568351212064, -0.318233686048834, 0.8526238441148806, 0.8401155978720758, 0.3403175485824307, 0.3410417533761444, 0.9004278572587879, 1.4580901550787477, 0.9471988929288894, 0.946476225664245]|  3.8276385987026993|      0.01562500|[544, 34, 34, 68]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      35|[0.3401568351212064, -0.318233686048834, 0.8526238441148806, 0.8401155978720758, 0.3403175485824307, 0.3410417533761444, 0.9004278572587879, 1.4580901550787477, 0.9471988929288894, 0.946476225664245]|  3.8276385987026993|      0.00781250|[560, 35, 35, 70]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      36|[0.3401568351212064, -0.318233686048834, 0.8526238441148806, 0.8401155978720758, 0.3403175485824307, 0.3410417533761444, 0.9004278572587879, 1.4580901550787477, 0.9471988929288894, 0.946476225664245]|  3.8276385987026993|      0.00390625|[576, 36, 36, 72]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      37|[0.3422627425389267, -0.3160924156463963, 0.8529647730629896, 0.8418254383367175, 0.3408397780466903, 0.3420819531217402, 0.9001140271172958, 1.456927489897333, 0.9465767585132053, 0.9465601725218987]|  3.8211353559616881|      0.00781250|[592, 37, 37, 74]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      38|[0.3422627425389267, -0.3160924156463963, 0.8529647730629896, 0.8418254383367175, 0.3408397780466903, 0.3420819531217402, 0.9001140271172958, 1.456927489897333, 0.9465767585132053, 0.9465601725218987]|  3.8211353559616881|      0.00390625|[608, 38, 38, 76]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      39|[0.3422627425389267, -0.3160924156463963, 0.8529647730629896, 0.8418254383367175, 0.3408397780466903, 0.3420819531217402, 0.9001140271172958, 1.456927489897333, 0.9465767585132053, 0.9465601725218987]|  3.8211353559616881|      0.00195312|[624, 39, 39, 78]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      40|[0.3421553353936171, -0.3177826900307735, 0.8532799738080874, 0.8423850779557625, 0.3412700828700502, 0.3417194368391299, 0.9000938702656961, 1.4571668177740429, 0.9463433627289191, 0.9462363709718089]|  3.8141327138742023|      0.00390625|[640, 40, 40, 80]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      41|[0.3421553353936171, -0.3177826900307735, 0.8532799738080874, 0.8423850779557625, 0.3412700828700502, 0.3417194368391299, 0.9000938702656961, 1.4571668177740429, 0.9463433627289191, 0.9462363709718089]|  3.8141327138742023|      0.00195312|[656, 41, 41, 82]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      42|[0.3422362090292664, -0.3165042118732733, 0.8536656200698569, 0.8432762476996551, 0.3418452051732924, 0.3418288401070442, 0.9000014658432925, 1.457659944112951, 0.9457511618534635, 0.9457019600897917]|  3.8108031357029328|      0.00390625|[672, 42, 42, 84]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      43|[0.3432645170436698, -0.317827626591194, 0.8552589887024873, 0.8457272239911774, 0.341788958639311, 0.3425442752648791, 0.8987239324145287, 1.4575302351786283, 0.9453236682495743, 0.9444540983967019]|  3.8019425046193547|      0.00781250|[688, 43, 43, 86]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      44|[0.3432645170436698, -0.317827626591194, 0.8552589887024873, 0.8457272239911774, 0.341788958639311, 0.3425442752648791, 0.8987239324145287, 1.4575302351786283, 0.9453236682495743, 0.9444540983967019]|  3.8019425046193547|      0.00390625|[704, 44, 44, 88]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      45|[0.3432645170436698, -0.317827626591194, 0.8552589887024873, 0.8457272239911774, 0.341788958639311, 0.3425442752648791, 0.8987239324145287, 1.4575302351786283, 0.9453236682495743, 0.9444540983967019]|  3.8019425046193547|      0.00195312|[720, 45, 45, 90]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      46|[0.3421553905343167, -0.317000523830014, 0.8555315500124195, 0.8468766366983643, 0.3418587508505532, 0.3425079579189153, 0.8985649979987506, 1.4575650192411953, 0.9456245119818839, 0.9438361740469279]|  3.7974977106498975|      0.00390625|[736, 46, 46, 92]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      47|[0.3429332561965177, -0.318018321767355, 0.8557536589678191, 0.8490004758261115, 0.343582330243595, 0.3419595712952409, 0.8999500762927592, 1.4584947938419934, 0.9439554365998605, 0.9433697115389473]|  3.7944434752522409|      0.00781250|[752, 47, 47, 94]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      48|[0.3429332561965177, -0.318018321767355, 0.8557536589678191, 0.8490004758261115, 0.343582330243595, 0.3419595712952409, 0.8999500762927592, 1.4584947938419934, 0.9439554365998605, 0.9433697115389473]|  3.7944434752522409|      0.00390625|[768, 48, 48, 96]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      49|[0.3429332561965177, -0.318018321767355, 0.8557536589678191, 0.8490004758261115, 0.343582330243595, 0.3419595712952409, 0.8999500762927592, 1.4584947938419934, 0.9439554365998605, 0.9433697115389473]|  3.7944434752522409|      0.00195312|[784, 49, 49, 98]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      50|[0.3426291615317265, -0.3166293870409757, 0.8563718910345406, 0.8493088652590819, 0.3428727006259205, 0.3415713222049946, 0.8999497947901323, 1.4582391277079945, 0.9436234958036421, 0.9426726408095605]|  3.7906021120004980|      0.00390625|[800, 50, 50, 100]                                                         |  | used linear model with 17 points | iterate success | actual_k=1
