k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.3, 0.65, 0.65, 0.7, 0.6, 3.0, 5.0, 7.0, 2.0, 4.5, 5.5]                       |  3.1657058167640839|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.3, 0.65, 0.65, 0.7, 0.6, 3.0, 5.0, 7.0, 2.0, 4.5, 5.5]                       |  3.1657058167640839|      0.50000000|[13, 4, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=4
      12|[1.255451647997397, 0.2226158464819478, 0.6678963010407429, 0.7657692838937371, 0.4856904158443958, 3.0948946894780676, 5.130172133641094, 6.948030643681804, 2.3142684744054667, 4.668904093394211, 5.7186901409065625]|  0.9397885528448506|      0.25000000|[156, 48, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      13|[1.255451647997397, 0.2226158464819478, 0.6678963010407429, 0.7657692838937371, 0.4856904158443958, 3.0948946894780676, 5.130172133641094, 6.948030643681804, 2.3142684744054667, 4.668904093394211, 5.7186901409065625]|  0.9397885528448506|      0.12500000|[169, 52, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      14|[1.2575631523854502, 0.2574944786774767, 0.6508619512600546, 0.7781436634465899, 0.3805323028836883, 3.0851617722600304, 5.089579101026496, 6.943579809039038, 2.2989543389770857, 4.698494896297177, 5.724169852428282]|  0.6580179395926589|      0.25000000|[182, 56, 14, 28]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      15|[1.2575631523854502, 0.2574944786774767, 0.6508619512600546, 0.7781436634465899, 0.3805323028836883, 3.0851617722600304, 5.089579101026496, 6.943579809039038, 2.2989543389770857, 4.698494896297177, 5.724169852428282]|  0.6580179395926589|      0.12500000|[195, 60, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      16|[1.2575631523854502, 0.2574944786774767, 0.6508619512600546, 0.7781436634465899, 0.3805323028836883, 3.0851617722600304, 5.089579101026496, 6.943579809039038, 2.2989543389770857, 4.698494896297177, 5.724169852428282]|  0.6580179395926589|      0.06250000|[208, 64, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      17|[1.2410248167802969, 0.2392011225198272, 0.6474939970663174, 0.7560083786938359, 0.4170849948388173, 3.1022122067095754, 5.067564966992431, 6.9563399027443635, 2.319210709602384, 4.6903027914341555, 5.717455479513062]|  0.6188214388434379|      0.12500000|[221, 68, 17, 34]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      18|[1.259429752582105, 0.1428276080678403, 0.677361256012061, 0.7357983667482483, 0.3678317659355388, 3.091355147390379, 5.075714608129149, 6.975779862613416, 2.352835509805523, 4.707925673064235, 5.733845359929201]|  0.5672073122997432|      0.25000000|[234, 72, 18, 36]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      19|[1.259429752582105, 0.1428276080678403, 0.677361256012061, 0.7357983667482483, 0.3678317659355388, 3.091355147390379, 5.075714608129149, 6.975779862613416, 2.352835509805523, 4.707925673064235, 5.733845359929201]|  0.5672073122997432|      0.12500000|[247, 76, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      20|[1.259429752582105, 0.1428276080678403, 0.677361256012061, 0.7357983667482483, 0.3678317659355388, 3.091355147390379, 5.075714608129149, 6.975779862613416, 2.352835509805523, 4.707925673064235, 5.733845359929201]|  0.5672073122997432|      0.06250000|[260, 80, 20, 40]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      21|[1.259429752582105, 0.1428276080678403, 0.677361256012061, 0.7357983667482483, 0.3678317659355388, 3.091355147390379, 5.075714608129149, 6.975779862613416, 2.352835509805523, 4.707925673064235, 5.733845359929201]|  0.5672073122997432|      0.03125000|[273, 84, 21, 42]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      22|[1.2421295476803267, 0.1427400811243565, 0.6724938655559601, 0.7314656836476026, 0.3881597511946934, 3.085850645410421, 5.074698758799162, 6.971148744587173, 2.3594525747298825, 4.713949781546993, 5.743264115403501]|  0.5456797674677303|      0.06250000|[286, 88, 22, 44]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      23|[1.2375048140078524, 0.1765264340948469, 0.6543905390649718, 0.7165429901210744, 0.3817348444556272, 3.0953270654731653, 5.052139909440377, 6.964098391530119, 2.357850183534428, 4.710586933180552, 5.781856335424827]|  0.5007834230013145|      0.12500000|[299, 92, 23, 46]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      24|[1.2375048140078524, 0.1765264340948469, 0.6543905390649718, 0.7165429901210744, 0.3817348444556272, 3.0953270654731653, 5.052139909440377, 6.964098391530119, 2.357850183534428, 4.710586933180552, 5.781856335424827]|  0.5007834230013145|      0.06250000|[312, 96, 24, 48]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      25|[1.2375048140078524, 0.1765264340948469, 0.6543905390649718, 0.7165429901210744, 0.3817348444556272, 3.0953270654731653, 5.052139909440377, 6.964098391530119, 2.357850183534428, 4.710586933180552, 5.781856335424827]|  0.5007834230013145|      0.03125000|[325, 100, 25, 50]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      26|[1.2258739705112143, 0.1743003469589686, 0.6430447843984788, 0.7124631877389996, 0.3615355746952273, 3.087800150071165, 5.063050247190079, 6.9647685343274945, 2.3596238648276784, 4.719252960528077, 5.776511797243716]|  0.4814940602569541|      0.06250000|[338, 104, 26, 52]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      27|[1.2258739705112143, 0.1743003469589686, 0.6430447843984788, 0.7124631877389996, 0.3615355746952273, 3.087800150071165, 5.063050247190079, 6.9647685343274945, 2.3596238648276784, 4.719252960528077, 5.776511797243716]|  0.4814940602569541|      0.03125000|[351, 108, 27, 54]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      28|[1.2211365843212774, 0.180963745960933, 0.6202656672156334, 0.7061065457111695, 0.3716176576896073, 3.0888624362455297, 5.05446293113328, 6.96173491820265, 2.3618834742001575, 4.72865732852553, 5.7849470840264186]|  0.4596520033230177|      0.06250000|[364, 112, 28, 56]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      29|[1.2211365843212774, 0.180963745960933, 0.6202656672156334, 0.7061065457111695, 0.3716176576896073, 3.0888624362455297, 5.05446293113328, 6.96173491820265, 2.3618834742001575, 4.72865732852553, 5.7849470840264186]|  0.4596520033230177|      0.03125000|[377, 116, 29, 58]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      30|[1.2211365843212774, 0.180963745960933, 0.6202656672156334, 0.7061065457111695, 0.3716176576896073, 3.0888624362455297, 5.05446293113328, 6.96173491820265, 2.3618834742001575, 4.72865732852553, 5.7849470840264186]|  0.4596520033230177|      0.01562500|[390, 120, 30, 60]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      31|[1.2215688636772957, 0.1827487576552303, 0.6120042976503816, 0.7070135199714986, 0.3612765696900815, 3.08470713491259, 5.0515670427280135, 6.964297972430893, 2.367346039692626, 4.7302803205763615, 5.78470032171913]|  0.4496860627263511|      0.03125000|[403, 124, 31, 62]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      32|[1.2215688636772957, 0.1827487576552303, 0.6120042976503816, 0.7070135199714986, 0.3612765696900815, 3.08470713491259, 5.0515670427280135, 6.964297972430893, 2.367346039692626, 4.7302803205763615, 5.78470032171913]|  0.4496860627263511|      0.01562500|[416, 128, 32, 64]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      33|[1.2199607260328367, 0.1774394282793771, 0.6057646043240665, 0.7029326230916657, 0.3695142128495428, 3.0786300782532376, 5.049580809710835, 6.959685325179127, 2.371879425932715, 4.732229353922648, 5.782851887996552]|  0.4437561877115385|      0.03125000|[429, 132, 33, 66]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      34|[1.2199607260328367, 0.1774394282793771, 0.6057646043240665, 0.7029326230916657, 0.3695142128495428, 3.0786300782532376, 5.049580809710835, 6.959685325179127, 2.371879425932715, 4.732229353922648, 5.782851887996552]|  0.4437561877115385|      0.01562500|[442, 136, 34, 68]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      35|[1.2227772433326074, 0.176675638245957, 0.6036213302730814, 0.700506060692159, 0.3587514112852234, 3.076294527768344, 5.051652571043324, 6.963588420515488, 2.381025728574469, 4.732074281012049, 5.782048949690993]|  0.4353205499163463|      0.03125000|[455, 140, 35, 70]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      36|[1.2227772433326074, 0.176675638245957, 0.6036213302730814, 0.700506060692159, 0.3587514112852234, 3.076294527768344, 5.051652571043324, 6.963588420515488, 2.381025728574469, 4.732074281012049, 5.782048949690993]|  0.4353205499163463|      0.01562500|[468, 144, 36, 72]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      37|[1.216582670741822, 0.1741487654177837, 0.5993011742968176, 0.698782925203038, 0.3654979640732247, 3.072898019024579, 5.051171028112605, 6.968395072437302, 2.3895058107797493, 4.729781638660269, 5.777555195143428]|  0.4300522323124731|      0.03125000|[481, 148, 37, 74]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      38|[1.2083746804589088, 0.1760480486528868, 0.5911224640007635, 0.6913450961681501, 0.3503820849511113, 3.0817312481448718, 5.061041533293048, 6.9609924509277, 2.406243907801492, 4.735447402666541, 5.7810716317073245]|  0.4146229831024631|      0.06250000|[494, 152, 38, 76]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      39|[1.2083746804589088, 0.1760480486528868, 0.5911224640007635, 0.6913450961681501, 0.3503820849511113, 3.0817312481448718, 5.061041533293048, 6.9609924509277, 2.406243907801492, 4.735447402666541, 5.7810716317073245]|  0.4146229831024631|      0.03125000|[507, 156, 39, 78]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      40|[1.2083746804589088, 0.1760480486528868, 0.5911224640007635, 0.6913450961681501, 0.3503820849511113, 3.0817312481448718, 5.061041533293048, 6.9609924509277, 2.406243907801492, 4.735447402666541, 5.7810716317073245]|  0.4146229831024631|      0.01562500|[520, 160, 40, 80]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      41|[1.2010441753279744, 0.166960885580737, 0.5870196224203375, 0.6892980745863273, 0.3545318548531789, 3.085467933133824, 5.05959266513593, 6.957410707247443, 2.4071943633295176, 4.740903079631079, 5.777905420737048]|  0.4079141295189908|      0.03125000|[533, 164, 41, 82]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      42|[1.2010441753279744, 0.166960885580737, 0.5870196224203375, 0.6892980745863273, 0.3545318548531789, 3.085467933133824, 5.05959266513593, 6.957410707247443, 2.4071943633295176, 4.740903079631079, 5.777905420737048]|  0.4079141295189908|      0.01562500|[546, 168, 42, 84]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      43|[1.1994133838425673, 0.1693979927654831, 0.5815873674890281, 0.6870262308717657, 0.3458087745938234, 3.087806936119271, 5.060873204993077, 6.961025048794866, 2.412846523753469, 4.741774966308124, 5.769426177254337]|  0.4021525555451691|      0.03125000|[559, 172, 43, 86]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      44|[1.1959539253483866, 0.1708842913881736, 0.5692797552485647, 0.6848978946361262, 0.3554802940916733, 3.0900176042542595, 5.055190124654973, 6.9721358429709985, 2.428518495133966, 4.759257131665129, 5.7684417260047445]|  0.3968452374583131|      0.06250000|[572, 176, 44, 88]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      45|[1.1959539253483866, 0.1708842913881736, 0.5692797552485647, 0.6848978946361262, 0.3554802940916733, 3.0900176042542595, 5.055190124654973, 6.9721358429709985, 2.428518495133966, 4.759257131665129, 5.7684417260047445]|  0.3968452374583131|      0.03125000|[585, 180, 45, 90]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      46|[1.2154332102159535, 0.1622922322302954, 0.5593929968495116, 0.6695633903004923, 0.3456448658639196, 3.0891421471965916, 5.0549515982577775, 6.966514693433401, 2.4336552512851197, 4.757772624694447, 5.7627272574849995]|  0.3870797154318861|      0.06250000|[598, 184, 46, 92]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      47|[1.2154332102159535, 0.1622922322302954, 0.5593929968495116, 0.6695633903004923, 0.3456448658639196, 3.0891421471965916, 5.0549515982577775, 6.966514693433401, 2.4336552512851197, 4.757772624694447, 5.7627272574849995]|  0.3870797154318861|      0.03125000|[611, 188, 47, 94]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      48|[1.2059303195669455, 0.1531996849303656, 0.565162324163496, 0.6820310551369129, 0.3477033539914276, 3.089191069684347, 5.051768036598516, 6.947096785650028, 2.4478271854399223, 4.756261122670175, 5.758222036244916]|  0.3840122650688023|      0.06250000|[624, 192, 48, 96]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      49|[1.2059303195669455, 0.1531996849303656, 0.565162324163496, 0.6820310551369129, 0.3477033539914276, 3.089191069684347, 5.051768036598516, 6.947096785650028, 2.4478271854399223, 4.756261122670175, 5.758222036244916]|  0.3840122650688023|      0.03125000|[637, 196, 49, 98]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      50|[1.2059303195669455, 0.1531996849303656, 0.565162324163496, 0.6820310551369129, 0.3477033539914276, 3.089191069684347, 5.051768036598516, 6.947096785650028, 2.4478271854399223, 4.756261122670175, 5.758222036244916]|  0.3840122650688023|      0.01562500|[650, 200, 50, 100]                                                        |  | used linear model with 17 points | iterate failure | actual_k=4
      51|[1.2059303195669455, 0.1531996849303656, 0.565162324163496, 0.6820310551369129, 0.3477033539914276, 3.089191069684347, 5.051768036598516, 6.947096785650028, 2.4478271854399223, 4.756261122670175, 5.758222036244916]|  0.3840122650688023|      0.00781250|[663, 204, 51, 102]                                                        |  | used linear model with 17 points | iterate failure | actual_k=4
      52|[1.2050910965324477, 0.1530142763894275, 0.56077096731535, 0.6792496351200258, 0.3457475382401456, 3.0872566514514226, 5.052568720603693, 6.947745065349296, 2.452455923404336, 4.756223924064797, 5.760016757077331]|  0.3798891505061547|      0.01562500|[676, 208, 52, 104]                                                        |  | used linear model with 17 points | iterate success | actual_k=4
      53|[1.2050910965324477, 0.1530142763894275, 0.56077096731535, 0.6792496351200258, 0.3457475382401456, 3.0872566514514226, 5.052568720603693, 6.947745065349296, 2.452455923404336, 4.756223924064797, 5.760016757077331]|  0.3798891505061547|      0.00781250|[689, 212, 53, 106]                                                        |  | used linear model with 17 points | iterate failure | actual_k=4
      54|[1.202916155695591, 0.150549323826818, 0.5588722791336739, 0.6757911342752331, 0.3469821508912206, 3.089741442735551, 5.053060302672537, 6.945717335675958, 2.4561871961332424, 4.754974351119889, 5.76268638760627]|  0.3774970735907081|      0.01562500|[702, 216, 54, 108]                                                        |  | used linear model with 17 points | iterate success | actual_k=4
      55|[1.1961588684762312, 0.1561778873216247, 0.5559512124688085, 0.6696641134537916, 0.3406274081414056, 3.092483084453772, 5.0494517049066525, 6.943542113509263, 2.4612563356829846, 4.756513632610128, 5.767883258346845]|  0.3712125518836452|      0.03125000|[715, 220, 55, 110]                                                        |  | used linear model with 17 points | iterate success | actual_k=4
