k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 1.0, 0.05, 17.06794, 8.0, 13642.3]                                   | 37.1342671014830401|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 1.0, 0.05, 17.06794, 8.0, 13642.3]                                   | 37.1342671014830401|      0.50000000|[9, 0, 0, 3]                                                               |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      12|[0.0, 0.0, 1.0, 0.05, 17.06794, 8.0, 13642.3]                                   | 37.1342671014830401|      0.00024414|[97, 0, 0, 36]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      13|[0.0, 0.0, 1.0, 0.05, 17.06794, 8.0, 13642.3]                                   | 37.1342671014830401|      0.00012207|[105, 0, 0, 39]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      14|[0.0, 0.0, 1.0, 0.05, 17.06794, 8.0, 13642.3]                                   | 37.1342671014830401|      0.00006104|[113, 0, 0, 42]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      15|[1.95773058023e-05, 3.07339512524e-05, 0.9999972354528197, 0.0499819215770227, 17.067895226430984, 7.999994670915282, 13642.299994531919]| 27.5053043365478516|      0.00012207|[119, 0, 0, 44]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      16|[1.95773058023e-05, 3.07339512524e-05, 0.9999972354528197, 0.0499819215770227, 17.067895226430984, 7.999994670915282, 13642.299994531919]| 27.5053043365478516|      0.00006104|[127, 0, 0, 47]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      17|[1.95773058023e-05, 3.07339512524e-05, 0.9999972354528197, 0.0499819215770227, 17.067895226430984, 7.999994670915282, 13642.299994531919]| 27.5053043365478516|      0.00003052|[135, 0, 0, 50]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      18|[1.95773058023e-05, 3.07339512524e-05, 0.9999972354528197, 0.0499819215770227, 17.067895226430984, 7.999994670915282, 13642.299994531919]| 27.5053043365478516|      0.00001526|[143, 0, 0, 53]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      19|[1.95773058023e-05, 3.07339512524e-05, 0.9999972354528197, 0.0499819215770227, 17.067895226430984, 7.999994670915282, 13642.299994531919]| 27.5053043365478516|      0.00000763|[151, 0, 0, 56]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      20|[1.95773058023e-05, 3.07339512524e-05, 0.9999972354528197, 0.0499819215770227, 17.067895226430984, 7.999994670915282, 13642.299994531919]| 27.5053043365478516|      0.00000381|[159, 0, 0, 59]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      21|[1.95773058023e-05, 3.07339512524e-05, 0.9999972354528197, 0.0499819215770227, 17.067895226430984, 7.999994670915282, 13642.299994531919]| 27.5053043365478516|      0.00000191|[167, 0, 0, 62]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      22|[1.94938288662e-05, 2.98240633699e-05, 0.9999970759825723, 0.04998195472842, 17.067895322696575, 7.9999953972457565, 13642.299993035336]| 27.4954948425292969|      0.00000381|[173, 0, 0, 64]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      23|[1.94938288662e-05, 2.98240633699e-05, 0.9999970759825723, 0.04998195472842, 17.067895322696575, 7.9999953972457565, 13642.299993035336]| 27.4954948425292969|      0.00000191|[181, 0, 0, 67]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      24|[1.94938288662e-05, 2.98240633699e-05, 0.9999970759825723, 0.04998195472842, 17.067895322696575, 7.9999953972457565, 13642.299993035336]| 27.4954948425292969|      0.00000095|[189, 0, 0, 70]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
