k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]                                                  |564.8131740000001173|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]                                                  |564.8131740000001173|      0.50000000|[17, 0, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
      18|[0.8383165989413927, -0.0217261109369668, 1.9766389572744267, 0.3595841813997726, 1.9869241239739557, 0.3264990406261077]|132.9330519017356949|      0.25000000|[306, 0, 18, 36]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      19|[0.8383165989413927, -0.0217261109369668, 1.9766389572744267, 0.3595841813997726, 1.9869241239739557, 0.3264990406261077]|132.9330519017356949|      0.12500000|[323, 0, 19, 38]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      20|[0.8383165989413927, -0.0217261109369668, 1.9766389572744267, 0.3595841813997726, 1.9869241239739557, 0.3264990406261077]|132.9330519017356949|      0.06250000|[340, 0, 20, 40]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      21|[0.8066382289081077, 0.0194690545722857, 1.9709359020272696, 0.3845590451663266, 1.9870829400596275, 0.349938224247566]|130.0729775540847584|      0.12500000|[357, 0, 21, 42]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      22|[0.8066382289081077, 0.0194690545722857, 1.9709359020272696, 0.3845590451663266, 1.9870829400596275, 0.349938224247566]|130.0729775540847584|      0.06250000|[374, 0, 22, 44]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      23|[0.8175784326066708, -0.0093617533204704, 2.0121220675526406, 0.4071957037022448, 2.0081023314164947, 0.3673971218621571]|128.9668664450513802|      0.12500000|[391, 0, 23, 46]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      24|[0.8175784326066708, -0.0093617533204704, 2.0121220675526406, 0.4071957037022448, 2.0081023314164947, 0.3673971218621571]|128.9668664450513802|      0.06250000|[408, 0, 24, 48]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      25|[0.7845067880783201, 0.0172226332429721, 1.990194998054363, 0.447448585331318, 2.0062274493325427, 0.3684837129446997]|126.6064993496005400|      0.12500000|[425, 0, 25, 50]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      26|[0.7575508586148327, 0.0369590895458565, 2.0876405270111076, 0.4616259538050367, 1.9538874204630836, 0.4140110964277057]|124.4399601793981560|      0.25000000|[442, 0, 26, 52]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      27|[0.7575508586148327, 0.0369590895458565, 2.0876405270111076, 0.4616259538050367, 1.9538874204630836, 0.4140110964277057]|124.4399601793981560|      0.12500000|[459, 0, 27, 54]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      28|[0.7575508586148327, 0.0369590895458565, 2.0876405270111076, 0.4616259538050367, 1.9538874204630836, 0.4140110964277057]|124.4399601793981560|      0.06250000|[476, 0, 28, 56]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      29|[0.7659411661463831, 0.0697993048228643, 2.0786597624874616, 0.4847777542850292, 2.0001084560463256, 0.4160916907668056]|121.1158585139409354|      0.12500000|[493, 0, 29, 58]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      30|[0.758114777297579, 0.1085947779210854, 2.1801359863048106, 0.4522414458953242, 2.003751682597417, 0.4679506383179398]|120.2936038041682707|      0.25000000|[510, 0, 30, 60]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
