k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.215698840915334, -0.5985301314836518, -0.1256240484852187, 0.7867271229761608, 0.0735047860454149, 0.2147203995444871, -0.2856003807215335]|75844.3354532446392113|      2.00000000|[15, 2, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
      23|[9.49113591001378, -0.976198787130916, -0.526910345103008, -1.7834912747925082, -0.1456870136864262, 0.3674124906667132, -0.1289789504177721]|9130.4528679162795015|      0.00781250|[345, 46, 23, 46]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      24|[9.489082530643373, -0.9722574729836972, -0.5271542160989258, -1.7825295754524433, -0.1435781331109048, 0.3699287800435694, -0.1344123107050069]|9119.0822739033028483|      0.01562500|[360, 48, 24, 48]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      25|[9.489082530643373, -0.9722574729836972, -0.5271542160989258, -1.7825295754524433, -0.1435781331109048, 0.3699287800435694, -0.1344123107050069]|9119.0822739033028483|      0.00781250|[375, 50, 25, 50]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      26|[9.489082530643373, -0.9722574729836972, -0.5271542160989258, -1.7825295754524433, -0.1435781331109048, 0.3699287800435694, -0.1344123107050069]|9119.0822739033028483|      0.00390625|[390, 52, 26, 52]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      27|[9.489058511338914, -0.9722425076357479, -0.5270945829129797, -1.7826618160758825, -0.1437383218053986, 0.3684229671791084, -0.1308145597861827]|9108.0396385836611444|      0.00781250|[405, 54, 27, 54]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      28|[9.489058511338914, -0.9722425076357479, -0.5270945829129797, -1.7826618160758825, -0.1437383218053986, 0.3684229671791084, -0.1308145597861827]|9108.0396385836611444|      0.00390625|[420, 56, 28, 56]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      29|[9.489058511338914, -0.9722425076357479, -0.5270945829129797, -1.7826618160758825, -0.1437383218053986, 0.3684229671791084, -0.1308145597861827]|9108.0396385836611444|      0.00195312|[435, 58, 29, 58]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      30|[9.489456873412587, -0.9725787267781714, -0.5272005512941202, -1.7826160225482794, -0.1437805684603481, 0.3674522756047384, -0.1324225424834694]|9098.5422697386293294|      0.00390625|[450, 60, 30, 60]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      31|[9.489072217895501, -0.9723308726136815, -0.5271519251521453, -1.7832741114636224, -0.1438934618887003, 0.3636838109030832, -0.1317901811525414]|9085.4701700180248736|      0.00781250|[465, 62, 31, 62]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      32|[9.489072217895501, -0.9723308726136815, -0.5271519251521453, -1.7832741114636224, -0.1438934618887003, 0.3636838109030832, -0.1317901811525414]|9085.4701700180248736|      0.00390625|[480, 64, 32, 64]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      33|[9.48782502004353, -0.9728873447922399, -0.5259044359922593, -1.7838661374159046, -0.1439026764986912, 0.3606957791399865, -0.1333897069061667]|9077.5824740110583662|      0.00781250|[495, 66, 33, 66]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      34|[9.48782502004353, -0.9728873447922399, -0.5259044359922593, -1.7838661374159046, -0.1439026764986912, 0.3606957791399865, -0.1333897069061667]|9077.5824740110583662|      0.00390625|[510, 68, 34, 68]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      35|[9.48782502004353, -0.9728873447922399, -0.5259044359922593, -1.7838661374159046, -0.1439026764986912, 0.3606957791399865, -0.1333897069061667]|9077.5824740110583662|      0.00195312|[525, 70, 35, 70]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
