k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      0.50000000|[13, 4, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=4
      16|[20.072703280857016, 2.2223534599550496, 2.0314366966322974, 2.040889689043212, 0.5415230591794092]|3534.0248818377294810|      0.06250000|[208, 64, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      17|[20.058302774352057, 2.274800816121166, 2.0554706044384186, 2.044658929038425, 0.560399349837546]|3480.1603914475713282|      0.12500000|[221, 68, 17, 34]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      18|[20.058302774352057, 2.274800816121166, 2.0554706044384186, 2.044658929038425, 0.560399349837546]|3480.1603914475713282|      0.06250000|[234, 72, 18, 36]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      19|[20.058302774352057, 2.274800816121166, 2.0554706044384186, 2.044658929038425, 0.560399349837546]|3480.1603914475713282|      0.03125000|[247, 76, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      20|[20.060470329767718, 2.2843533938879195, 2.0580893654731818, 2.0474770156335844, 0.5309746503468943]|3400.0179259122160147|      0.06250000|[260, 80, 20, 40]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      21|[20.066146472107068, 2.3448330068402803, 2.0698060810845176, 2.055297906133525, 0.5267556371510023]|3284.4083387783057333|      0.12500000|[273, 84, 21, 42]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      22|[20.066146472107068, 2.3448330068402803, 2.0698060810845176, 2.055297906133525, 0.5267556371510023]|3284.4083387783057333|      0.06250000|[286, 88, 22, 44]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      23|[20.066146472107068, 2.3448330068402803, 2.0698060810845176, 2.055297906133525, 0.5267556371510023]|3284.4083387783057333|      0.03125000|[299, 92, 23, 46]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      24|[20.071437437738354, 2.370846159503537, 2.076923956534019, 2.0622308204178412, 0.5135968142622193]|3234.0341632551480870|      0.06250000|[312, 96, 24, 48]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      25|[20.092475643189953, 2.4216637442392837, 2.1055906932328323, 2.062629031595945, 0.521295945895071]|3144.1100112440403791|      0.12500000|[325, 100, 25, 50]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
