k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.939456117588996, -0.4089383528658367, -0.240200577033107, 0.3121090558407734, 0.3200575152115935, 0.1233873422837715, -0.5598444259188051]|59314.9135204147096374|      2.00000000|[17, 0, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=0
      12|[10.492293564364655, 0.8035144237317218, 0.1520916652893314, -1.4714773097732536, 0.4419807590327416, -1.423729083836515, -0.1269754081348637]|8451.3477304819352867|      0.25000000|[204, 0, 12, 24]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      13|[10.492293564364655, 0.8035144237317218, 0.1520916652893314, -1.4714773097732536, 0.4419807590327416, -1.423729083836515, -0.1269754081348637]|8451.3477304819352867|      0.12500000|[221, 0, 13, 26]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      14|[10.517138126133212, 0.7997886501990145, 0.1847581230618505, -1.4472971521769136, 0.4957090705660323, -1.3362995467009067, -0.0739524559975232]|5794.3803499056275541|      0.25000000|[238, 0, 14, 28]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      15|[10.517138126133212, 0.7997886501990145, 0.1847581230618505, -1.4472971521769136, 0.4957090705660323, -1.3362995467009067, -0.0739524559975232]|5794.3803499056275541|      0.12500000|[255, 0, 15, 30]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      16|[10.517138126133212, 0.7997886501990145, 0.1847581230618505, -1.4472971521769136, 0.4957090705660323, -1.3362995467009067, -0.0739524559975232]|5794.3803499056275541|      0.06250000|[272, 0, 16, 32]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      17|[10.517138126133212, 0.7997886501990145, 0.1847581230618505, -1.4472971521769136, 0.4957090705660323, -1.3362995467009067, -0.0739524559975232]|5794.3803499056275541|      0.03125000|[289, 0, 17, 34]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      18|[10.517138126133212, 0.7997886501990145, 0.1847581230618505, -1.4472971521769136, 0.4957090705660323, -1.3362995467009067, -0.0739524559975232]|5794.3803499056275541|      0.01562500|[306, 0, 18, 36]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      19|[10.518513131179617, 0.7972797161851298, 0.1849964612276452, -1.444442891378578, 0.4940557904904042, -1.335458187535437, -0.0889294518977816]|4337.2643004943756750|      0.03125000|[323, 0, 19, 38]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      20|[10.518513131179617, 0.7972797161851298, 0.1849964612276452, -1.444442891378578, 0.4940557904904042, -1.335458187535437, -0.0889294518977816]|4337.2643004943756750|      0.01562500|[340, 0, 20, 40]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      21|[10.518513131179617, 0.7972797161851298, 0.1849964612276452, -1.444442891378578, 0.4940557904904042, -1.335458187535437, -0.0889294518977816]|4337.2643004943756750|      0.00781250|[357, 0, 21, 42]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      22|[10.518513131179617, 0.7972797161851298, 0.1849964612276452, -1.444442891378578, 0.4940557904904042, -1.335458187535437, -0.0889294518977816]|4337.2643004943756750|      0.00390625|[374, 0, 22, 44]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      23|[10.518513131179617, 0.7972797161851298, 0.1849964612276452, -1.444442891378578, 0.4940557904904042, -1.335458187535437, -0.0889294518977816]|4337.2643004943756750|      0.00195312|[391, 0, 23, 46]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      24|[10.518395558601137, 0.7974061029195498, 0.1848969161795933, -1.444675398038709, 0.4941360133745604, -1.3355314612381355, -0.0870035424924535]|4323.8952627142825804|      0.00390625|[408, 0, 24, 48]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      25|[10.518395558601137, 0.7974061029195498, 0.1848969161795933, -1.444675398038709, 0.4941360133745604, -1.3355314612381355, -0.0870035424924535]|4323.8952627142825804|      0.00195312|[425, 0, 25, 50]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      26|[10.518395558601137, 0.7974061029195498, 0.1848969161795933, -1.444675398038709, 0.4941360133745604, -1.3355314612381355, -0.0870035424924535]|4323.8952627142825804|      0.00097656|[442, 0, 26, 52]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      27|[10.518395558601137, 0.7974061029195498, 0.1848969161795933, -1.444675398038709, 0.4941360133745604, -1.3355314612381355, -0.0870035424924535]|4323.8952627142825804|      0.00048828|[459, 0, 27, 54]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      28|[10.518389065223094, 0.797404890514232, 0.1848779407499776, -1.4445066265402366, 0.4941452507434855, -1.335666275046074, -0.0874408878568914]|4322.7151662951155231|      0.00097656|[476, 0, 28, 56]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      29|[10.518389065223094, 0.797404890514232, 0.1848779407499776, -1.4445066265402366, 0.4941452507434855, -1.335666275046074, -0.0874408878568914]|4322.7151662951155231|      0.00048828|[493, 0, 29, 58]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      30|[10.518407857212221, 0.7974393599488598, 0.1849551018286792, -1.4441873948508412, 0.4941656240580035, -1.3359752663289595, -0.0872588881044237]|4321.5363153135076573|      0.00097656|[510, 0, 30, 60]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      31|[10.518496325906726, 0.7976671896047983, 0.1852349772754688, -1.4435308543525447, 0.4940641015359022, -1.3365867524971031, -0.0872774193329196]|4319.2031077829160495|      0.00195312|[527, 0, 31, 62]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      32|[10.518496325906726, 0.7976671896047983, 0.1852349772754688, -1.4435308543525447, 0.4940641015359022, -1.3365867524971031, -0.0872774193329196]|4319.2031077829160495|      0.00097656|[544, 0, 32, 64]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      33|[10.518304809603185, 0.797953892629795, 0.1853475791028717, -1.4432256072836154, 0.4942130387369121, -1.337343170160966, -0.0876442875390494]|4318.2185986731910816|      0.00195312|[561, 0, 33, 66]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      34|[10.518304809603185, 0.797953892629795, 0.1853475791028717, -1.4432256072836154, 0.4942130387369121, -1.337343170160966, -0.0876442875390494]|4318.2185986731910816|      0.00097656|[578, 0, 34, 68]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      35|[10.518309688407987, 0.7979590492306257, 0.1853576912657275, -1.44282462314887, 0.494168843639687, -1.3375143768176279, -0.0867716659342982]|4317.3849024631863358|      0.00195312|[595, 0, 35, 70]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
