k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337744340301|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.52090304426033, -1.1906276427060583, -0.0550765419142085, -0.648721373736579, -0.4666284207143864, -0.0114730869895004, 0.35850264560971]|68432.7978102732304251|      2.00000000|[11, 1, 1, 2]                                                              |  | used linear model with 12 points | iterate success | actual_k=1
      23|[8.669743399392658, -1.0462173023045729, 0.1396552647101357, -1.9700498606507268, -0.6221713991152891, 0.6650414857005975, -0.1486860271781761]|9739.9782754714069597|      0.00781250|[263, 13, 23, 46]                                                          |  | used linear model with 12 points | iterate success | actual_k=1
      24|[8.669743399392658, -1.0462173023045729, 0.1396552647101357, -1.9700498606507268, -0.6221713991152891, 0.6650414857005975, -0.1486860271781761]|9739.9782754714069597|      0.00390625|[275, 13, 24, 48]                                                          |  | used linear model with 12 points | iterate failure | actual_k=1
      25|[8.669743399392658, -1.0462173023045729, 0.1396552647101357, -1.9700498606507268, -0.6221713991152891, 0.6650414857005975, -0.1486860271781761]|9739.9782754714069597|      0.00195312|[286, 14, 25, 50]                                                          |  | used linear model with 12 points | iterate failure | actual_k=1
      26|[8.669463392926819, -1.0457464552567322, 0.1397181936793325, -1.97029475032776, -0.6223517950753846, 0.6646760384905882, -0.150498365813048]|9730.4753084362619120|      0.00390625|[297, 15, 26, 52]                                                          |  | used linear model with 12 points | iterate success | actual_k=1
      27|[8.669828778525916, -1.0457073749989565, 0.1389424077976094, -1.9718171782065625, -0.6229540534801401, 0.6612355300437898, -0.1504327059250083]|9717.2494988393500535|      0.00781250|[308, 16, 27, 54]                                                          |  | used linear model with 12 points | iterate success | actual_k=1
      28|[8.669828778525916, -1.0457073749989565, 0.1389424077976094, -1.9718171782065625, -0.6229540534801401, 0.6612355300437898, -0.1504327059250083]|9717.2494988393500535|      0.00390625|[319, 17, 28, 56]                                                          |  | used linear model with 12 points | iterate failure | actual_k=1
      29|[8.669828778525916, -1.0457073749989565, 0.1389424077976094, -1.9718171782065625, -0.6229540534801401, 0.6612355300437898, -0.1504327059250083]|9717.2494988393500535|      0.00195312|[330, 18, 29, 58]                                                          |  | used linear model with 12 points | iterate failure | actual_k=1
      30|[8.669828778525916, -1.0457073749989565, 0.1389424077976094, -1.9718171782065625, -0.6229540534801401, 0.6612355300437898, -0.1504327059250083]|9717.2494988393500535|      0.00097656|[341, 19, 30, 60]                                                          |  | used linear model with 12 points | iterate failure | actual_k=1
      31|[8.669593129295581, -1.045676191002913, 0.1388189398997641, -1.9720851369260015, -0.6228271530281334, 0.6603474643444575, -0.150359489076758]|9714.0506394842923328|      0.00195312|[353, 19, 31, 62]                                                          |  | used linear model with 12 points | iterate success | actual_k=1
      32|[8.670251856841798, -1.0456211264265, 0.1386256258241922, -1.972851521976064, -0.6230129567003128, 0.6590058631939735, -0.1513179305979561]|9709.6613886136474321|      0.00390625|[364, 20, 32, 64]                                                          |  | used linear model with 12 points | iterate success | actual_k=1
      33|[8.670251856841798, -1.0456211264265, 0.1386256258241922, -1.972851521976064, -0.6230129567003128, 0.6590058631939735, -0.1513179305979561]|9709.6613886136474321|      0.00195312|[376, 20, 33, 66]                                                          |  | used linear model with 12 points | iterate failure | actual_k=1
      34|[8.67048501101846, -1.0456605684620128, 0.1392034610776226, -1.9743271586032147, -0.622234433830201, 0.6589450357938236, -0.1505194408647892]|9706.8375105622490082|      0.00390625|[387, 21, 34, 68]                                                          |  | used linear model with 12 points | iterate success | actual_k=1
      35|[8.67047022052628, -1.0444248151100708, 0.1405296215794547, -1.9741196419779, -0.6215986036201845, 0.6556984866428832, -0.1495267890198999]|9698.4975607756659883|      0.00781250|[399, 21, 35, 70]                                                          |  | used linear model with 12 points | iterate success | actual_k=1
