k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]                              | 51.0855557048649089|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5751384800206318, 0.2965869607752898, 0.8484407877941793, 0.3459663136154759, -0.0645371268699011, 0.3893162270622818, 0.8608470704563528, 0.9133228718670904, 0.8931916390032972, 0.7563662176638409]| 28.9558523059468556|      2.00000000|[10, 3, 1, 4]                                                              |  | used linear model with 13 points | iterate success | actual_k=1
      16|[0.682294833910468, 0.3218078078530766, 0.8594216174190618, 0.3307369863070533, -0.0609124033537833, 0.329906259626335, 0.8673125495539197, 0.8930151215716893, 0.9322604863097732, 0.7650783914557128]| 12.0317103497358104|      0.06250000|[160, 48, 16, 64]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      17|[0.682294833910468, 0.3218078078530766, 0.8594216174190618, 0.3307369863070533, -0.0609124033537833, 0.329906259626335, 0.8673125495539197, 0.8930151215716893, 0.9322604863097732, 0.7650783914557128]| 12.0317103497358104|      0.03125000|[170, 51, 17, 68]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      18|[0.6899378969999473, 0.3266740094269445, 0.8412777525562067, 0.3209374780420206, -0.0428255200555542, 0.332712526599329, 0.8687733256250082, 0.9024773395853803, 0.9353059271023751, 0.7593092193662767]|  9.8567312419854929|      0.06250000|[180, 54, 18, 72]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      19|[0.6899378969999473, 0.3266740094269445, 0.8412777525562067, 0.3209374780420206, -0.0428255200555542, 0.332712526599329, 0.8687733256250082, 0.9024773395853803, 0.9353059271023751, 0.7593092193662767]|  9.8567312419854929|      0.03125000|[190, 57, 19, 76]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      20|[0.7139843849567216, 0.3308398267486244, 0.838286899956357, 0.3255662201361552, -0.0602716332805157, 0.335326216715671, 0.8717943639461817, 0.9076877419170486, 0.9335376606164694, 0.7593759748573579]|  9.3456754758449296|      0.06250000|[200, 60, 20, 80]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      21|[0.7139843849567216, 0.3308398267486244, 0.838286899956357, 0.3255662201361552, -0.0602716332805157, 0.335326216715671, 0.8717943639461817, 0.9076877419170486, 0.9335376606164694, 0.7593759748573579]|  9.3456754758449296|      0.03125000|[210, 63, 21, 84]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      22|[0.7139843849567216, 0.3308398267486244, 0.838286899956357, 0.3255662201361552, -0.0602716332805157, 0.335326216715671, 0.8717943639461817, 0.9076877419170486, 0.9335376606164694, 0.7593759748573579]|  9.3456754758449296|      0.01562500|[220, 66, 22, 88]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      23|[0.7214658939154254, 0.3298895431393316, 0.8353361258312725, 0.3232831520669943, -0.0497161788253389, 0.3398588674655034, 0.869708887024702, 0.9024315586873324, 0.9308781572078585, 0.7578485698923937]|  7.2699113347849700|      0.03125000|[230, 69, 23, 92]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      24|[0.7371834617767513, 0.3303095112561198, 0.8350358952272957, 0.342541614750297, -0.0416067178221555, 0.3551292705408903, 0.8693222401896191, 0.8986295951880537, 0.9249069644685228, 0.7608747111917402]|  6.5609941956103137|      0.06250000|[240, 72, 24, 96]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      25|[0.7371834617767513, 0.3303095112561198, 0.8350358952272957, 0.342541614750297, -0.0416067178221555, 0.3551292705408903, 0.8693222401896191, 0.8986295951880537, 0.9249069644685228, 0.7608747111917402]|  6.5609941956103137|      0.03125000|[250, 75, 25, 100]                                                         |  | used linear model with 13 points | iterate failure | actual_k=1
