k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      0.50000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
      14|[20.151233066644245, 2.1348760986582893, 2.1386291174367353, 1.879643764869878, 0.5659820342575919]|3725.5372087336468212|      0.06250000|[224, 14, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      15|[20.151233066644245, 2.1348760986582893, 2.1386291174367353, 1.879643764869878, 0.5659820342575919]|3725.5372087336468212|      0.03125000|[240, 15, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      16|[20.151971966627016, 2.1563571987578363, 2.1492193172071965, 1.882637114362419, 0.5461460469374221]|3650.6211639507323525|      0.06250000|[256, 16, 16, 32]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      17|[20.170214922929855, 2.2027964005718235, 2.1463081222926528, 1.9151248212161482, 0.5273599103530113]|3540.6882659008406335|      0.12500000|[272, 17, 17, 34]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      18|[20.170214922929855, 2.2027964005718235, 2.1463081222926528, 1.9151248212161482, 0.5273599103530113]|3540.6882659008406335|      0.06250000|[288, 18, 18, 36]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      19|[20.171128271265275, 2.2566501128479906, 2.149273704672178, 1.8937273643648702, 0.5505665393702115]|3451.8421352249051779|      0.12500000|[304, 19, 19, 38]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      20|[20.171128271265275, 2.2566501128479906, 2.149273704672178, 1.8937273643648702, 0.5505665393702115]|3451.8421352249051779|      0.06250000|[320, 20, 20, 40]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      21|[20.176343913911108, 2.286337895931882, 2.170185586946556, 1.9222441572023818, 0.5087673968747035]|3376.1518340370716942|      0.12500000|[336, 21, 21, 42]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      22|[20.176343913911108, 2.286337895931882, 2.170185586946556, 1.9222441572023818, 0.5087673968747035]|3376.1518340370716942|      0.06250000|[352, 22, 22, 44]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      23|[20.186021120597083, 2.323676938428626, 2.1847985468918516, 1.944927872094527, 0.549880753056269]|3320.4188589222162591|      0.12500000|[368, 23, 23, 46]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      24|[20.11535429618165, 2.3131836106309547, 2.2357937160223096, 2.0295289964479526, 0.5222540905314375]|3258.6529042207066595|      0.25000000|[384, 24, 24, 48]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      25|[20.11535429618165, 2.3131836106309547, 2.2357937160223096, 2.0295289964479526, 0.5222540905314375]|3258.6529042207066595|      0.12500000|[400, 25, 25, 50]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
