k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[11.0, 3.0, 0.5, 40.0, -0.7, -1.3, 25.0, -0.3, 1.4]                             |1153.9439484858455671|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.881681086741237, 3.116410480855328, 0.6957892911018104, 39.887843760160955, -0.4310925926588141, -1.3794276051137238, 25.7107646895531, -0.4782398259533664, 0.8468626315110747]|911.4107630641849482|      2.00000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
      19|[10.61680830078119, 3.0438210091427305, 0.6134360062606118, 40.290628076633496, -0.4803214124837854, -1.4021475281877958, 26.190238720392284, -0.6690843523316133, 1.1690920745902733]|849.4079586126696313|      0.12500000|[304, 19, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      20|[10.61053980449046, 3.0552317438085206, 0.5516391011501818, 40.37601778324472, -0.4918622914357631, -1.3538502540528439, 26.230348624559753, -0.66696609196578, 1.1527785342905683]|847.5745110273950331|      0.25000000|[320, 20, 20, 40]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      21|[10.61053980449046, 3.0552317438085206, 0.5516391011501818, 40.37601778324472, -0.4918622914357631, -1.3538502540528439, 26.230348624559753, -0.66696609196578, 1.1527785342905683]|847.5745110273950331|      0.12500000|[336, 21, 21, 42]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      22|[10.637342482512103, 3.0417441295031566, 0.4989968065918509, 40.44283379535318, -0.5652723222350786, -1.3731936312988822, 26.246372548290513, -0.6480317196376436, 1.186104719315942]|844.8855471513631983|      0.25000000|[352, 22, 22, 44]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      23|[10.637342482512103, 3.0417441295031566, 0.4989968065918509, 40.44283379535318, -0.5652723222350786, -1.3731936312988822, 26.246372548290513, -0.6480317196376436, 1.186104719315942]|844.8855471513631983|      0.12500000|[368, 23, 23, 46]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      24|[10.596038391412852, 2.9747074939609144, 0.4942014701779154, 40.49754103912742, -0.571938590096745, -1.3935982588158486, 26.288319470764474, -0.5985542883676309, 1.2278280379701338]|843.9045834945465003|      0.25000000|[384, 24, 24, 48]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      25|[10.596038391412852, 2.9747074939609144, 0.4942014701779154, 40.49754103912742, -0.571938590096745, -1.3935982588158486, 26.288319470764474, -0.5985542883676309, 1.2278280379701338]|843.9045834945465003|      0.12500000|[400, 25, 25, 50]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      26|[10.596038391412852, 2.9747074939609144, 0.4942014701779154, 40.49754103912742, -0.571938590096745, -1.3935982588158486, 26.288319470764474, -0.5985542883676309, 1.2278280379701338]|843.9045834945465003|      0.06250000|[416, 26, 26, 52]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      27|[10.624611940324508, 3.000558617046938, 0.4987972486156699, 40.502372683982074, -0.5985166991518394, -1.3936864713758297, 26.318513651907416, -0.582672497995559, 1.2503387523883513]|842.4488758070735912|      0.12500000|[432, 27, 27, 54]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      28|[10.624611940324508, 3.000558617046938, 0.4987972486156699, 40.502372683982074, -0.5985166991518394, -1.3936864713758297, 26.318513651907416, -0.582672497995559, 1.2503387523883513]|842.4488758070735912|      0.06250000|[448, 28, 28, 56]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      29|[10.614894712775575, 3.021898836358216, 0.4946861187185463, 40.527326916318586, -0.6166456969844029, -1.381486401057834, 26.33650608643177, -0.5398782294352689, 1.2595162263367]|841.0883203868501141|      0.12500000|[464, 29, 29, 58]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      30|[10.614894712775575, 3.021898836358216, 0.4946861187185463, 40.527326916318586, -0.6166456969844029, -1.381486401057834, 26.33650608643177, -0.5398782294352689, 1.2595162263367]|841.0883203868501141|      0.06250000|[480, 30, 30, 60]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      31|[10.620635019305714, 3.0403635997399823, 0.4985128055831847, 40.552533414192254, -0.6404389673569835, -1.3697440507194365, 26.320155834928897, -0.5012114117437899, 1.2799094680038472]|840.0280010345212531|      0.12500000|[496, 31, 31, 62]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      32|[10.594478857040313, 3.0519144364258244, 0.4599140142955149, 40.55757393945746, -0.7121728364640003, -1.3612202275433136, 26.36297544802444, -0.4343371900965566, 1.3219579571373354]|838.9972198673974617|      0.25000000|[512, 32, 32, 64]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      33|[10.594478857040313, 3.0519144364258244, 0.4599140142955149, 40.55757393945746, -0.7121728364640003, -1.3612202275433136, 26.36297544802444, -0.4343371900965566, 1.3219579571373354]|838.9972198673974617|      0.12500000|[528, 33, 33, 66]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      34|[10.594478857040313, 3.0519144364258244, 0.4599140142955149, 40.55757393945746, -0.7121728364640003, -1.3612202275433136, 26.36297544802444, -0.4343371900965566, 1.3219579571373354]|838.9972198673974617|      0.06250000|[544, 34, 34, 68]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      35|[10.623231055197396, 3.058186068092387, 0.4782899229885517, 40.57916940308411, -0.7226155917772553, -1.3504270484994847, 26.407662062193417, -0.4378854668210682, 1.3230359468519262]|837.8919226719656308|      0.12500000|[560, 35, 35, 70]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      36|[10.623231055197396, 3.058186068092387, 0.4782899229885517, 40.57916940308411, -0.7226155917772553, -1.3504270484994847, 26.407662062193417, -0.4378854668210682, 1.3230359468519262]|837.8919226719656308|      0.06250000|[576, 36, 36, 72]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      37|[10.626953007156509, 3.063574666764233, 0.4731624696206564, 40.63477090275533, -0.7062258282642645, -1.360261498641932, 26.420762397143413, -0.4262202583074117, 1.3315509871427316]|836.9950213210457832|      0.12500000|[592, 37, 37, 74]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      38|[10.607265384584947, 3.0834178372474246, 0.5442588292508422, 40.68165816618922, -0.7473209812004792, -1.3507945050933052, 26.390891322161362, -0.3560789508863166, 1.3316873273280436]|836.4480586019221846|      0.25000000|[608, 38, 38, 76]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      39|[10.607265384584947, 3.0834178372474246, 0.5442588292508422, 40.68165816618922, -0.7473209812004792, -1.3507945050933052, 26.390891322161362, -0.3560789508863166, 1.3316873273280436]|836.4480586019221846|      0.12500000|[624, 39, 39, 78]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      40|[10.606379056673674, 3.062714310422218, 0.486935949806539, 40.7421644889177, -0.7728861689532851, -1.3530672449750967, 26.464624806899902, -0.3712732931335861, 1.287842010331806]|835.3641813462371601|      0.25000000|[640, 40, 40, 80]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      41|[10.606379056673674, 3.062714310422218, 0.486935949806539, 40.7421644889177, -0.7728861689532851, -1.3530672449750967, 26.464624806899902, -0.3712732931335861, 1.287842010331806]|835.3641813462371601|      0.12500000|[656, 41, 41, 82]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      42|[10.606379056673674, 3.062714310422218, 0.486935949806539, 40.7421644889177, -0.7728861689532851, -1.3530672449750967, 26.464624806899902, -0.3712732931335861, 1.287842010331806]|835.3641813462371601|      0.06250000|[672, 42, 42, 84]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      43|[10.63510833090948, 3.06537081896814, 0.4812978424407514, 40.77104853956673, -0.7930961992878588, -1.3250555945462974, 26.47825041956361, -0.37165660356144, 1.31663164378641]|834.2049353948751786|      0.12500000|[688, 43, 43, 86]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      44|[10.63510833090948, 3.06537081896814, 0.4812978424407514, 40.77104853956673, -0.7930961992878588, -1.3250555945462974, 26.47825041956361, -0.37165660356144, 1.31663164378641]|834.2049353948751786|      0.06250000|[704, 44, 44, 88]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      45|[10.638946823956841, 3.080073329555931, 0.495463588943271, 40.77030477177105, -0.809044777133208, -1.30831811046884, 26.442891546327488, -0.3322662303037563, 1.3283695592143498]|833.7433076142366417|      0.12500000|[720, 45, 45, 90]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
