k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[11.0, 3.0, 0.5, 40.0, -0.7, -1.3, 25.0, -0.3, 1.4]                             |1153.9439484858455671|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.524482434064444, 2.999141037115983, 0.1540341192604465, 40.224309829136416, -0.4554786037292631, -1.2211941738647463, 25.437670413280834, -0.616005188817401, 0.9035533512063989]|937.3953841923356549|      2.00000000|[15, 2, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
      13|[10.768702299607199, 3.1619296273452937, 0.2934213791904601, 40.494100239720844, -0.622330409710064, -1.3455036135969896, 26.09284927698095, -0.8147189713129855, 0.979807974911115]|859.6641925361445828|      0.12500000|[195, 26, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      14|[10.695627154561157, 3.145565108703554, 0.3710486932891062, 40.50856698738187, -0.6590506503363222, -1.3591151294650539, 26.13623003253995, -0.8322784289054482, 0.9721879300045391]|855.4977833929514190|      0.25000000|[210, 28, 14, 28]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      15|[10.695627154561157, 3.145565108703554, 0.3710486932891062, 40.50856698738187, -0.6590506503363222, -1.3591151294650539, 26.13623003253995, -0.8322784289054482, 0.9721879300045391]|855.4977833929514190|      0.12500000|[225, 30, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      16|[10.680665368465132, 3.127237669043904, 0.4244630280596376, 40.5693879505624, -0.6304523126063385, -1.3583279713610283, 26.104538153710372, -0.7991544361508278, 1.0469736945095351]|850.2869835452754614|      0.25000000|[240, 32, 16, 32]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      17|[10.549003995835132, 3.058533530770316, 0.4956672452169955, 40.64943919425731, -0.6122686694298752, -1.2869682762738144, 26.1905369418706, -0.7184080848214461, 1.1450969150183874]|845.9832290012141129|      0.50000000|[255, 34, 17, 34]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      18|[10.549003995835132, 3.058533530770316, 0.4956672452169955, 40.64943919425731, -0.6122686694298752, -1.2869682762738144, 26.1905369418706, -0.7184080848214461, 1.1450969150183874]|845.9832290012141129|      0.25000000|[270, 36, 18, 36]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      19|[10.549003995835132, 3.058533530770316, 0.4956672452169955, 40.64943919425731, -0.6122686694298752, -1.2869682762738144, 26.1905369418706, -0.7184080848214461, 1.1450969150183874]|845.9832290012141129|      0.12500000|[285, 38, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      20|[10.616761060216366, 3.0701148812642627, 0.4670514613796242, 40.69623653118813, -0.6665262087045057, -1.2798574728543508, 26.227811748689273, -0.6660546860601101, 1.1727784077543129]|842.1879306319380021|      0.25000000|[300, 40, 20, 40]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      21|[10.616761060216366, 3.0701148812642627, 0.4670514613796242, 40.69623653118813, -0.6665262087045057, -1.2798574728543508, 26.227811748689273, -0.6660546860601101, 1.1727784077543129]|842.1879306319380021|      0.12500000|[315, 42, 21, 42]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      22|[10.563129148630058, 3.0593591701054548, 0.5014330216553454, 40.73971474591573, -0.7215074070895052, -1.283078264965811, 26.285046433324762, -0.638844353909555, 1.2228879768547474]|840.0375450748756521|      0.25000000|[330, 44, 22, 44]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      23|[10.563129148630058, 3.0593591701054548, 0.5014330216553454, 40.73971474591573, -0.7215074070895052, -1.283078264965811, 26.285046433324762, -0.638844353909555, 1.2228879768547474]|840.0375450748756521|      0.12500000|[345, 46, 23, 46]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      24|[10.648940505071812, 3.0402554464776257, 0.510861791038951, 40.759599962839914, -0.7187919822854965, -1.3185355383137336, 26.345481112648567, -0.5904969604859924, 1.235446743673483]|838.5305049993924058|      0.25000000|[360, 48, 24, 48]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      25|[10.648940505071812, 3.0402554464776257, 0.510861791038951, 40.759599962839914, -0.7187919822854965, -1.3185355383137336, 26.345481112648567, -0.5904969604859924, 1.235446743673483]|838.5305049993924058|      0.12500000|[375, 50, 25, 50]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      26|[10.661658110390764, 3.0122173439564794, 0.5066442482318825, 40.75834845202916, -0.7399252497798796, -1.295054081005804, 26.290608613215294, -0.4939894676255099, 1.271985656776671]|837.6435936345310438|      0.25000000|[390, 52, 26, 52]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      27|[10.661658110390764, 3.0122173439564794, 0.5066442482318825, 40.75834845202916, -0.7399252497798796, -1.295054081005804, 26.290608613215294, -0.4939894676255099, 1.271985656776671]|837.6435936345310438|      0.12500000|[405, 54, 27, 54]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      28|[10.661658110390764, 3.0122173439564794, 0.5066442482318825, 40.75834845202916, -0.7399252497798796, -1.295054081005804, 26.290608613215294, -0.4939894676255099, 1.271985656776671]|837.6435936345310438|      0.06250000|[420, 56, 28, 56]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      29|[10.639360936584456, 3.0279139054546405, 0.5261199618116655, 40.77465370838143, -0.7651908215677999, -1.2938917402753563, 26.32543734378455, -0.5135688225019022, 1.2887620517721743]|836.0761086083590499|      0.12500000|[435, 58, 29, 58]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      30|[10.639360936584456, 3.0279139054546405, 0.5261199618116655, 40.77465370838143, -0.7651908215677999, -1.2938917402753563, 26.32543734378455, -0.5135688225019022, 1.2887620517721743]|836.0761086083590499|      0.06250000|[450, 60, 30, 60]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      31|[10.64059043750684, 3.0332781092282297, 0.5297487824925199, 40.80082462671176, -0.7901498617006562, -1.2985478813679927, 26.375280924612344, -0.5066941193786886, 1.2900273235111988]|835.1584716996522957|      0.12500000|[465, 62, 31, 62]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      32|[10.672256020490321, 3.009696517890382, 0.5793573558878727, 40.887672130031355, -0.8452991439789862, -1.3077270185700087, 26.397829888019547, -0.4859994084782852, 1.2905501155759225]|834.4641950120403635|      0.25000000|[480, 64, 32, 64]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      33|[10.672256020490321, 3.009696517890382, 0.5793573558878727, 40.887672130031355, -0.8452991439789862, -1.3077270185700087, 26.397829888019547, -0.4859994084782852, 1.2905501155759225]|834.4641950120403635|      0.12500000|[495, 66, 33, 66]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      34|[10.672256020490321, 3.009696517890382, 0.5793573558878727, 40.887672130031355, -0.8452991439789862, -1.3077270185700087, 26.397829888019547, -0.4859994084782852, 1.2905501155759225]|834.4641950120403635|      0.06250000|[510, 68, 34, 68]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      35|[10.643239976658897, 3.0283340024962553, 0.5593886297225779, 40.897819161069094, -0.8521967762549122, -1.271377222574595, 26.40004146821915, -0.4691535431401356, 1.3141656155388897]|832.8977299152896876|      0.12500000|[525, 70, 35, 70]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      36|[10.643239976658897, 3.0283340024962553, 0.5593886297225779, 40.897819161069094, -0.8521967762549122, -1.271377222574595, 26.40004146821915, -0.4691535431401356, 1.3141656155388897]|832.8977299152896876|      0.06250000|[540, 72, 36, 72]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      37|[10.646160120389299, 3.039130898965218, 0.5257395427152215, 40.92166723768595, -0.8804299763974128, -1.2597362431095054, 26.400846088215893, -0.454277342771447, 1.3445890148975808]|831.8102275463867272|      0.12500000|[555, 74, 37, 74]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      38|[10.608187325818355, 3.0169521917724422, 0.5003924859799666, 40.97136076697507, -0.8802679663537851, -1.2232373029123411, 26.472616713318928, -0.442641385797517, 1.4075225884194458]|831.2108497919066394|      0.25000000|[570, 76, 38, 76]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      39|[10.608187325818355, 3.0169521917724422, 0.5003924859799666, 40.97136076697507, -0.8802679663537851, -1.2232373029123411, 26.472616713318928, -0.442641385797517, 1.4075225884194458]|831.2108497919066394|      0.12500000|[585, 78, 39, 78]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      40|[10.647321587325743, 3.0678471393010267, 0.5247550315485554, 41.012235476929256, -0.9609743043232949, -1.1883513192845165, 26.45348109943603, -0.411946319455854, 1.4216659505865354]|829.4328467501004525|      0.25000000|[600, 80, 40, 80]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      41|[10.647321587325743, 3.0678471393010267, 0.5247550315485554, 41.012235476929256, -0.9609743043232949, -1.1883513192845165, 26.45348109943603, -0.411946319455854, 1.4216659505865354]|829.4328467501004525|      0.12500000|[615, 82, 41, 82]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      42|[10.647321587325743, 3.0678471393010267, 0.5247550315485554, 41.012235476929256, -0.9609743043232949, -1.1883513192845165, 26.45348109943603, -0.411946319455854, 1.4216659505865354]|829.4328467501004525|      0.06250000|[630, 84, 42, 84]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      43|[10.641504146369218, 3.052050794011116, 0.5398348107481368, 41.060063029365544, -0.9668391417445001, -1.186461167241137, 26.475044329576228, -0.3894643577192586, 1.4116845752746947]|828.3033778873639221|      0.12500000|[645, 86, 43, 86]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      44|[10.633343102261168, 3.0719380038997444, 0.5216580630036043, 41.176225504185325, -0.976649500848041, -1.173456304830083, 26.465530590206694, -0.3602464710376371, 1.400317262659754]|826.3181419721508973|      0.25000000|[660, 88, 44, 88]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      45|[10.633343102261168, 3.0719380038997444, 0.5216580630036043, 41.176225504185325, -0.976649500848041, -1.173456304830083, 26.465530590206694, -0.3602464710376371, 1.400317262659754]|826.3181419721508973|      0.12500000|[675, 90, 45, 90]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
