k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1000.0, 1000.0, 400.0, 40.0, 0.7, 0.3, 0.03]                                   |4528124.6035751951858401|      1.00000000|[0, 0, 0, 0]                                                               | 
      12|[1000.0563419731438, 999.6385008644778, 400.23415247425925, 40.248548401253004, 0.708030390858517, 0.3051895846649111, -0.0393272017688196]|1361158.7500000000000000|      0.06250000|[89, 0, 0, 32]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      13|[1000.0563419731438, 999.6385008644778, 400.23415247425925, 40.248548401253004, 0.708030390858517, 0.3051895846649111, -0.0393272017688196]|1361158.7500000000000000|      0.03125000|[97, 0, 0, 35]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      14|[1000.0563419731438, 999.6385008644778, 400.23415247425925, 40.248548401253004, 0.708030390858517, 0.3051895846649111, -0.0393272017688196]|1361158.7500000000000000|      0.01562500|[105, 0, 0, 38]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      15|[1000.0599622557526, 999.6444717103708, 400.2316481255169, 40.25421641558493, 0.7113626021606875, 0.2959030996253669, -0.0470500634478187]|1325205.6250000000000000|      0.03125000|[111, 0, 0, 40]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      16|[1000.0763876625292, 999.6466704429412, 400.2364646800597, 40.25191105983463, 0.736166808224419, 0.3032394918823745, -0.0449646534866058]|1295190.3750000000000000|      0.06250000|[117, 0, 0, 42]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      17|[1000.0566442313353, 999.5992547676689, 400.2168471197888, 40.26863348508314, 0.7568559349825877, 0.3121462899343596, -0.0547800224776315]|1260580.6250000000000000|      0.12500000|[123, 0, 0, 44]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      18|[1000.0566442313353, 999.5992547676689, 400.2168471197888, 40.26863348508314, 0.7568559349825877, 0.3121462899343596, -0.0547800224776315]|1260580.6250000000000000|      0.06250000|[131, 0, 0, 47]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      19|[1000.0566442313353, 999.5992547676689, 400.2168471197888, 40.26863348508314, 0.7568559349825877, 0.3121462899343596, -0.0547800224776315]|1260580.6250000000000000|      0.03125000|[139, 0, 0, 50]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      20|[1000.0507326926894, 999.6083401256742, 400.2301852090401, 40.253738622966694, 0.7658641708493197, 0.2937670797252791, -0.0611335456789461]|1203049.2500000000000000|      0.06250000|[145, 0, 0, 52]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      21|[1000.0507326926894, 999.6083401256742, 400.2301852090401, 40.253738622966694, 0.7658641708493197, 0.2937670797252791, -0.0611335456789461]|1203049.2500000000000000|      0.03125000|[153, 0, 0, 55]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      22|[1000.0507326926894, 999.6083401256742, 400.2301852090401, 40.253738622966694, 0.7658641708493197, 0.2937670797252791, -0.0611335456789461]|1203049.2500000000000000|      0.01562500|[161, 0, 0, 58]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      23|[1000.0580871457768, 999.6069477262564, 400.2335765817547, 40.26131726227208, 0.7701157228395391, 0.2840113945994974, -0.0586988794928926]|1185218.0000000000000000|      0.03125000|[167, 0, 0, 60]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      24|[1000.0580871457768, 999.6069477262564, 400.2335765817547, 40.26131726227208, 0.7701157228395391, 0.2840113945994974, -0.0586988794928926]|1185218.0000000000000000|      0.01562500|[175, 0, 0, 63]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      25|[1000.0681633268358, 999.6083260223098, 400.23556695835015, 40.258278995333725, 0.7772416667604033, 0.2782598403944199, -0.0653064041986361]|1165217.7500000000000000|      0.03125000|[181, 0, 0, 65]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      26|[1000.080365130557, 999.6185166164546, 400.22507515587927, 40.26062367249258, 0.7963735557494369, 0.2744004586391029, -0.0803838987862237]|1149128.5000000000000000|      0.06250000|[187, 0, 0, 67]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      27|[1000.080365130557, 999.6185166164546, 400.22507515587927, 40.26062367249258, 0.7963735557494369, 0.2744004586391029, -0.0803838987862237]|1149128.5000000000000000|      0.03125000|[195, 0, 0, 70]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
