k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.6046763587936216, 0.0529365046011554, 0.1347814635630586, 0.7824561603678388, -0.0059130604886967, -0.0030157359189857, -0.0064709334390101, 0.018628472717783, -0.010677566669248, -0.0074138494399871, 0.002584147084109, -0.0101854408206783, -0.0137255503199514, -0.0083294421051466, 0.0026641990545058, 0.0060974555989365, 0.0079779467691121, 0.0016264850975675, 0.002640729047633, 0.0055151234584257, -0.002542585243639, 0.0059998431773787]| 13.1520248377200843|      2.00000000|[97, 32, 1, 3]                                                             |  | trying linear partial model with 49 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=16
      27|[1.4851482316272449, 0.0670787150778568, 0.3164591535396069, 1.9372365286170798, -0.0881833494513298, 0.0245649860578084, 0.0200733170816048, 0.0134901329092128, 0.0073084078837963, -0.0417185420473768, 0.0290323021164832, -0.0110573801625366, 0.0069299744928682, -0.0422014183019058, 0.0690202670353949, -0.1310650506246051, 0.026459946444778, -0.0168758964920481, 0.0100879089725763, -0.0820132316451451, 0.0102500842969389, 0.0808983728954055]| 12.1445379257202148|      0.00781250|[2602, 864, 9, 63]                                                         |  | trying linear partial model with 49 points | iterate success | actual_k=16
      28|[1.4851482316272449, 0.0670787150778568, 0.3164591535396069, 1.9372365286170798, -0.0881833494513298, 0.0245649860578084, 0.0200733170816048, 0.0134901329092128, 0.0073084078837963, -0.0417185420473768, 0.0290323021164832, -0.0110573801625366, 0.0069299744928682, -0.0422014183019058, 0.0690202670353949, -0.1310650506246051, 0.026459946444778, -0.0168758964920481, 0.0100879089725763, -0.0820132316451451, 0.0102500842969389, 0.0808983728954055]| 12.1445379257202148|      0.00390625|[2698, 896, 9, 65]                                                         |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
      29|[1.4820044355072577, 0.0658510671313814, 0.3168553815867877, 1.9388736318909119, -0.0882473172118371, 0.0243726717644824, 0.0199807588771218, 0.0130829494890928, 0.0073227605841002, -0.041273945922418, 0.029144012231309, -0.0110512008042535, 0.0068796172437897, -0.0418522145326151, 0.0686274517293304, -0.131295951620033, 0.0267020499289139, -0.0164458801539687, 0.0102357335428295, -0.0820193531981356, 0.0102747096591267, 0.0809829795223735]| 12.1445310819039776|      0.00781250|[2794, 928, 10, 68]                                                        |  | trying linear partial model with 49 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=16
      30|[1.4820044355072577, 0.0658510671313814, 0.3168553815867877, 1.9388736318909119, -0.0882473172118371, 0.0243726717644824, 0.0199807588771218, 0.0130829494890928, 0.0073227605841002, -0.041273945922418, 0.029144012231309, -0.0110512008042535, 0.0068796172437897, -0.0418522145326151, 0.0686274517293304, -0.131295951620033, 0.0267020499289139, -0.0164458801539687, 0.0102357335428295, -0.0820193531981356, 0.0102747096591267, 0.0809829795223735]| 12.1445310819039776|      0.00390625|[2891, 960, 11, 71]                                                        |  | trying linear partial model with 49 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=16
      31|[1.4798969885084237, 0.064387646590907, 0.3174095012607559, 1.9417210921886392, -0.0879626812862505, 0.0243921603061905, 0.0200437116932337, 0.0131180527870324, 0.0073599793025833, -0.0412253411252031, 0.0289487892119128, -0.0110992918396058, 0.0067895468260508, -0.0417800334673832, 0.0686986746376231, -0.1310908920798257, 0.0266664227648209, -0.0165651144324938, 0.0100221650398, -0.081978553047412, 0.0103419914710697, 0.0810307143399431]| 12.1445236206054688|      0.00781250|[2988, 992, 11, 73]                                                        |  | trying linear partial model with 49 points | iterate success | actual_k=16
      32|[1.4798969885084237, 0.064387646590907, 0.3174095012607559, 1.9417210921886392, -0.0879626812862505, 0.0243921603061905, 0.0200437116932337, 0.0131180527870324, 0.0073599793025833, -0.0412253411252031, 0.0289487892119128, -0.0110992918396058, 0.0067895468260508, -0.0417800334673832, 0.0686986746376231, -0.1310908920798257, 0.0266664227648209, -0.0165651144324938, 0.0100221650398, -0.081978553047412, 0.0103419914710697, 0.0810307143399431]| 12.1445236206054688|      0.00390625|[3084, 1024, 11, 75]                                                       |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
      33|[1.4768165275278986, 0.0630854132023104, 0.3179611443663258, 1.9435432064633618, -0.0878568739276454, 0.0243616654737258, 0.0201082544825801, 0.0133792426756162, 0.0072551888996233, -0.040962542259595, 0.0289000758271213, -0.0109837900313492, 0.0067073045232383, -0.0416870585811006, 0.0686576901302588, -0.1307510742510637, 0.0263442176590862, -0.0164618203707392, 0.010048434112834, -0.0819357744221215, 0.0103088388197017, 0.0808951086945375]| 12.1445155691765372|      0.00781250|[3180, 1056, 12, 78]                                                       |  | trying linear partial model with 49 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=16
      34|[1.4768165275278986, 0.0630854132023104, 0.3179611443663258, 1.9435432064633618, -0.0878568739276454, 0.0243616654737258, 0.0201082544825801, 0.0133792426756162, 0.0072551888996233, -0.040962542259595, 0.0289000758271213, -0.0109837900313492, 0.0067073045232383, -0.0416870585811006, 0.0686576901302588, -0.1307510742510637, 0.0263442176590862, -0.0164618203707392, 0.010048434112834, -0.0819357744221215, 0.0103088388197017, 0.0808951086945375]| 12.1445155691765372|      0.00390625|[3277, 1088, 13, 81]                                                       |  | trying linear partial model with 49 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=16
      35|[1.4742901336060554, 0.0619522878944848, 0.3185449871946212, 1.946177692063547, -0.0879649400964604, 0.0244669945547863, 0.0203659298595996, 0.0134338993740465, 0.0071665308193614, -0.0409651240968803, 0.0289292070045636, -0.0109022109638322, 0.0069840940587729, -0.041678447343941, 0.068556294984733, -0.1306732219219789, 0.0260584748321148, -0.0163929999631154, 0.0099058797055031, -0.0819368836317727, 0.0103566438833203, 0.0808602693294146]| 12.1445078373400488|      0.00781250|[3374, 1120, 14, 84]                                                       |  | trying linear partial model with 49 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=16
      36|[1.4742901336060554, 0.0619522878944848, 0.3185449871946212, 1.946177692063547, -0.0879649400964604, 0.0244669945547863, 0.0203659298595996, 0.0134338993740465, 0.0071665308193614, -0.0409651240968803, 0.0289292070045636, -0.0109022109638322, 0.0069840940587729, -0.041678447343941, 0.068556294984733, -0.1306732219219789, 0.0260584748321148, -0.0163929999631154, 0.0099058797055031, -0.0819368836317727, 0.0103566438833203, 0.0808602693294146]| 12.1445078373400488|      0.00390625|[3471, 1152, 15, 87]                                                       |  | trying linear partial model with 49 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=16
      37|[1.4713451829689008, 0.0609879424363698, 0.319022841279019, 1.9483348484125957, -0.0879055127435076, 0.0246730810460463, 0.0205858578019869, 0.0131763571245901, 0.006693641896223, -0.0410159028315734, 0.0289142008523694, -0.011152842242573, 0.0068929250988106, -0.0416473358810726, 0.0684250623544362, -0.1304578324201231, 0.025772253748695, -0.0167121905682082, 0.0100243253585227, -0.0821112524956529, 0.0104562296831506, 0.0809761602569812]| 12.1444997787475586|      0.00781250|[3568, 1184, 15, 89]                                                       |  | trying linear partial model with 49 points | iterate success | actual_k=16
      38|[1.4713451829689008, 0.0609879424363698, 0.319022841279019, 1.9483348484125957, -0.0879055127435076, 0.0246730810460463, 0.0205858578019869, 0.0131763571245901, 0.006693641896223, -0.0410159028315734, 0.0289142008523694, -0.011152842242573, 0.0068929250988106, -0.0416473358810726, 0.0684250623544362, -0.1304578324201231, 0.025772253748695, -0.0167121905682082, 0.0100243253585227, -0.0821112524956529, 0.0104562296831506, 0.0809761602569812]| 12.1444997787475586|      0.00390625|[3664, 1216, 16, 92]                                                       |  | trying linear partial model with 49 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=16
      39|[1.4713451829689008, 0.0609879424363698, 0.319022841279019, 1.9483348484125957, -0.0879055127435076, 0.0246730810460463, 0.0205858578019869, 0.0131763571245901, 0.006693641896223, -0.0410159028315734, 0.0289142008523694, -0.011152842242573, 0.0068929250988106, -0.0416473358810726, 0.0684250623544362, -0.1304578324201231, 0.025772253748695, -0.0167121905682082, 0.0100243253585227, -0.0821112524956529, 0.0104562296831506, 0.0809761602569812]| 12.1444997787475586|      0.00195312|[3761, 1248, 16, 94]                                                       |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
      40|[1.4698502399095539, 0.0608366336459894, 0.3195134176178279, 1.9492902775344934, -0.0879269690923772, 0.0245071162024496, 0.0208306678223943, 0.0132912246206993, 0.0066038522292071, -0.0410271469237855, 0.0288703592161556, -0.0113258365761614, 0.006833764086325, -0.0416893005601078, 0.0682481187484731, -0.1304956446464379, 0.0258756443934594, -0.0169274928501209, 0.0101316468648427, -0.0822023861162744, 0.0107576694717108, 0.0812139322671219]| 12.1444969177246094|      0.00390625|[3857, 1280, 16, 96]                                                       |  | trying linear partial model with 49 points | iterate success | actual_k=16
      41|[1.4669386227011199, 0.0596220146120379, 0.3204238940143505, 1.9513325329288826, -0.0880589651819008, 0.0246085685829281, 0.0208552452822806, 0.0133143916014916, 0.0068996434874805, -0.0411144182772141, 0.028953129813385, -0.0112690638198347, 0.0069656039751736, -0.0419004909657996, 0.0684599106155276, -0.1304784556531204, 0.0257977733126105, -0.016905206751262, 0.0099333451383303, -0.0821287517873628, 0.0106436747853953, 0.0811869880711351]| 12.1444886868546664|      0.00781250|[3953, 1312, 17, 99]                                                       |  | trying linear partial model with 49 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=16
      42|[1.4669386227011199, 0.0596220146120379, 0.3204238940143505, 1.9513325329288826, -0.0880589651819008, 0.0246085685829281, 0.0208552452822806, 0.0133143916014916, 0.0068996434874805, -0.0411144182772141, 0.028953129813385, -0.0112690638198347, 0.0069656039751736, -0.0419004909657996, 0.0684599106155276, -0.1304784556531204, 0.0257977733126105, -0.016905206751262, 0.0099333451383303, -0.0821287517873628, 0.0106436747853953, 0.0811869880711351]| 12.1444886868546664|      0.00390625|[4050, 1344, 18, 102]                                                      |  | trying linear partial model with 49 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=16
      43|[1.46399320196381, 0.0587949343093473, 0.320997112021053, 1.9535178887708635, -0.0881670668160605, 0.0248200324707776, 0.020718884481222, 0.0135837141778272, 0.0070753756633869, -0.0410943419300269, 0.0291250020061423, -0.0112087429799166, 0.0072283092342321, -0.0423220314943845, 0.0686337589195272, -0.1307274495556352, 0.0258698091748326, -0.0171731308957394, 0.0097106906301214, -0.0818416634266081, 0.010742401416879, 0.0813458075386398]| 12.1444807052612305|      0.00781250|[4147, 1376, 18, 104]                                                      |  | trying linear partial model with 49 points | iterate success | actual_k=16
      44|[1.46399320196381, 0.0587949343093473, 0.320997112021053, 1.9535178887708635, -0.0881670668160605, 0.0248200324707776, 0.020718884481222, 0.0135837141778272, 0.0070753756633869, -0.0410943419300269, 0.0291250020061423, -0.0112087429799166, 0.0072283092342321, -0.0423220314943845, 0.0686337589195272, -0.1307274495556352, 0.0258698091748326, -0.0171731308957394, 0.0097106906301214, -0.0818416634266081, 0.010742401416879, 0.0813458075386398]| 12.1444807052612305|      0.00390625|[4243, 1408, 18, 106]                                                      |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
