k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, 10.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0]                                    |1607.3529257951240652|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.79810530120988, 9.175631409751034, 9.650720061408933, 9.826383155813488, -0.0162632873497086, 0.1143264809115636, 0.2261535047398504, 0.2510681729426463]|1572.3145863175573140|      2.00000000|[15, 2, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
      27|[1.190415019135784, -0.8905059493433558, 0.6532616983731784, 0.112992874141387, -2.461681969444229, 2.407155920039546, -1.3836769150558261, 0.7648376772942922]|  3.0328750761285272|      0.12500000|[405, 54, 27, 54]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      28|[1.1400873493644692, -0.8491004781121485, 0.6669164435092466, 0.1595078156167481, -2.4390681311168603, 2.364485267960451, -1.4648545696427313, 0.7751157571412998]|  2.7607893992471744|      0.25000000|[420, 56, 28, 56]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      29|[0.9597237778023588, -0.7681009158097788, 0.5738948387879587, 0.1127154259321971, -2.421261224892788, 2.3090980857384404, -1.5502719346523182, 0.7317043050356451]|  2.5142429383383154|      0.50000000|[435, 58, 29, 58]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      30|[0.9597237778023588, -0.7681009158097788, 0.5738948387879587, 0.1127154259321971, -2.421261224892788, 2.3090980857384404, -1.5502719346523182, 0.7317043050356451]|  2.5142429383383154|      0.25000000|[450, 60, 30, 60]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      31|[0.9597237778023588, -0.7681009158097788, 0.5738948387879587, 0.1127154259321971, -2.421261224892788, 2.3090980857384404, -1.5502719346523182, 0.7317043050356451]|  2.5142429383383154|      0.12500000|[465, 62, 31, 62]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      32|[0.9649606803941844, -0.7084854601028222, 0.5585067184578955, 0.112976259530411, -2.3614555958065964, 2.2567765425426862, -1.5560536050065958, 0.8055895210519184]|  2.1959180532273086|      0.25000000|[480, 64, 32, 64]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      33|[0.9649606803941844, -0.7084854601028222, 0.5585067184578955, 0.112976259530411, -2.3614555958065964, 2.2567765425426862, -1.5560536050065958, 0.8055895210519184]|  2.1959180532273086|      0.12500000|[495, 66, 33, 66]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      34|[0.9040025847807291, -0.666769594666266, 0.6105000071456876, 0.1781503165344029, -2.3409304351929356, 2.2440952762876973, -1.5258988145404901, 0.847141046355174]|  2.0194763612623201|      0.25000000|[510, 68, 34, 68]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      35|[0.9040025847807291, -0.666769594666266, 0.6105000071456876, 0.1781503165344029, -2.3409304351929356, 2.2440952762876973, -1.5258988145404901, 0.847141046355174]|  2.0194763612623201|      0.12500000|[525, 70, 35, 70]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      36|[0.8994944310791689, -0.5689835118287108, 0.5875935140641089, 0.1104283456701932, -2.34999149226523, 2.259451166365914, -1.5157517521558488, 0.8697400905841051]|  1.8356731773095083|      0.25000000|[540, 72, 36, 72]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      37|[0.8994944310791689, -0.5689835118287108, 0.5875935140641089, 0.1104283456701932, -2.34999149226523, 2.259451166365914, -1.5157517521558488, 0.8697400905841051]|  1.8356731773095083|      0.12500000|[555, 74, 37, 74]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      38|[0.8659282725011681, -0.489815036787781, 0.5161177679190703, 0.0941700684532296, -2.3282244262741933, 2.2538780958142652, -1.5412906015476782, 0.9109766591545645]|  1.6796611291827372|      0.25000000|[570, 76, 38, 76]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      39|[0.8659282725011681, -0.489815036787781, 0.5161177679190703, 0.0941700684532296, -2.3282244262741933, 2.2538780958142652, -1.5412906015476782, 0.9109766591545645]|  1.6796611291827372|      0.12500000|[585, 78, 39, 78]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      40|[0.8920309783332278, -0.4444006200173518, 0.4741297921998595, 0.08495300327094, -2.322409143890212, 2.195176487317242, -1.6261993011976588, 0.9295252838065781]|  1.6011909851253099|      0.25000000|[600, 80, 40, 80]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
